membership_row_id,is_repurchase,target_repurchase,repurchase_score,churn_risk_score,risk_band,final_segment_key,final_segment_name_ko,use_in_stage09_simulation,modifier_low_or_no_early_engagement,modifier_delayed_start,modifier_late_week3_intensity,modifier_genre_affinity_any,modifier_price_promotion_context,modifier_week2_surge_small_sample,modifier_early_routine_review
65,Y,1,0.8188847423078567,0.1811152576921433,risk_30_60,genre_affinity_content_recommendation_pool,장르 선호 기반 콘텐츠 추천군,Y,0,0,0,1,0,0,0
66,Y,1,0.9597697160085782,0.0402302839914218,bottom_40_lowest_risk,late_week3_engaged_retention_candidate,3주차 집중 시청 안정/전환 후보군,Y,0,0,1,1,1,0,0
67,Y,1,0.983162544514308,0.016837455485692,bottom_40_lowest_risk,late_week3_engaged_retention_candidate,3주차 집중 시청 안정/전환 후보군,Y,0,0,1,1,1,0,0
68,N,0,0.4133666842227458,0.5866333157772542,risk_10_30,risk_10_30_other_review,상위위험 관찰/추천 후보군,Y,0,0,0,1,1,0,0
69,N,0,0.1857193423961483,0.8142806576038517,top_10_highest_risk,top_decile_high_churn_risk,최상위 이탈위험군,Y,1,0,0,0,1,0,0
70,Y,1,0.9660462490849874,0.0339537509150126,bottom_40_lowest_risk,genre_affinity_content_recommendation_pool,장르 선호 기반 콘텐츠 추천군,Y,0,0,0,1,1,1,0
71,N,0,0.2201623682650519,0.779837631734948,top_10_highest_risk,top_decile_high_churn_risk,최상위 이탈위험군,Y,1,0,0,1,1,0,1
72,Y,1,0.6587115861385398,0.3412884138614602,risk_30_60,low_risk_or_general_maintenance,저위험/일반 유지군,N,0,0,0,0,1,0,1
73,Y,1,0.9278167140320652,0.0721832859679346,bottom_40_lowest_risk,genre_affinity_content_recommendation_pool,장르 선호 기반 콘텐츠 추천군,Y,0,0,0,1,1,0,1
74,Y,1,0.6892149398449781,0.3107850601550219,risk_30_60,genre_affinity_content_recommendation_pool,장르 선호 기반 콘텐츠 추천군,Y,0,1,0,1,1,1,0
75,Y,1,0.9630197363685128,0.0369802636314871,bottom_40_lowest_risk,genre_affinity_content_recommendation_pool,장르 선호 기반 콘텐츠 추천군,Y,1,0,0,1,1,0,0
76,Y,1,0.9428910174849904,0.0571089825150095,bottom_40_lowest_risk,low_risk_or_general_maintenance,저위험/일반 유지군,N,0,1,0,0,1,1,0
77,Y,1,0.9669988515210806,0.0330011484789194,bottom_40_lowest_risk,genre_affinity_content_recommendation_pool,장르 선호 기반 콘텐츠 추천군,Y,0,0,0,1,0,1,0
78,N,0,0.7313083800506682,0.2686916199493318,risk_30_60,genre_affinity_content_recommendation_pool,장르 선호 기반 콘텐츠 추천군,Y,0,0,0,1,1,1,0
79,Y,1,0.982434990947078,0.0175650090529219,bottom_40_lowest_risk,late_week3_engaged_retention_candidate,3주차 집중 시청 안정/전환 후보군,Y,0,0,1,1,1,0,0
80,Y,1,0.3466538169870722,0.6533461830129278,risk_10_30,risk_10_30_other_review,상위위험 관찰/추천 후보군,Y,0,0,0,1,1,0,0
81,N,0,0.7880007664412868,0.2119992335587132,risk_30_60,genre_affinity_content_recommendation_pool,장르 선호 기반 콘텐츠 추천군,Y,0,0,0,1,1,0,1
82,N,0,0.6344658011328274,0.3655341988671726,risk_30_60,genre_affinity_content_recommendation_pool,장르 선호 기반 콘텐츠 추천군,Y,0,1,0,1,1,1,0
83,Y,1,0.1831073743777874,0.8168926256222127,top_10_highest_risk,top_decile_high_churn_risk,최상위 이탈위험군,Y,1,1,0,1,1,0,0
84,Y,1,0.9466164473065136,0.0533835526934864,bottom_40_lowest_risk,late_week3_engaged_retention_candidate,3주차 집중 시청 안정/전환 후보군,Y,0,0,1,1,1,1,0
85,Y,1,0.7501542787292426,0.2498457212707574,risk_30_60,low_risk_or_general_maintenance,저위험/일반 유지군,N,1,0,0,0,1,0,0
86,Y,1,0.9796923387493972,0.0203076612506026,bottom_40_lowest_risk,late_week3_engaged_retention_candidate,3주차 집중 시청 안정/전환 후보군,Y,0,1,1,1,1,1,0
87,Y,1,0.8307532433262306,0.1692467566737694,risk_30_60,low_risk_or_general_maintenance,저위험/일반 유지군,N,1,1,0,0,1,0,0
88,Y,1,0.9263931135910056,0.0736068864089943,bottom_40_lowest_risk,late_week3_engaged_retention_candidate,3주차 집중 시청 안정/전환 후보군,Y,0,0,1,1,1,0,0
89,N,0,0.3964501074588183,0.6035498925411816,risk_10_30,risk_10_30_low_engagement,초기 저관여 고위험군,Y,1,0,0,1,0,0,1
90,N,0,0.2388448766037164,0.7611551233962836,top_10_highest_risk,top_decile_high_churn_risk,최상위 이탈위험군,Y,1,0,0,1,1,0,1
91,N,0,0.4760670714870285,0.5239329285129715,risk_10_30,risk_10_30_low_engagement,초기 저관여 고위험군,Y,1,0,0,1,1,0,1
92,Y,1,0.4746509741174591,0.5253490258825408,risk_10_30,risk_10_30_other_review,상위위험 관찰/추천 후보군,Y,0,0,0,1,1,0,1
93,N,0,0.6686611582110404,0.3313388417889595,risk_30_60,genre_affinity_content_recommendation_pool,장르 선호 기반 콘텐츠 추천군,Y,0,0,0,1,1,0,0
94,Y,1,0.5291825252146238,0.4708174747853761,risk_10_30,risk_10_30_other_review,상위위험 관찰/추천 후보군,Y,0,0,0,1,0,0,1
95,Y,1,0.9869488285305692,0.0130511714694308,bottom_40_lowest_risk,late_week3_engaged_retention_candidate,3주차 집중 시청 안정/전환 후보군,Y,0,0,1,1,1,1,0
96,Y,1,0.934724936552392,0.065275063447608,bottom_40_lowest_risk,genre_affinity_content_recommendation_pool,장르 선호 기반 콘텐츠 추천군,Y,0,0,0,1,0,1,0
97,Y,1,0.8351469617169127,0.1648530382830872,risk_30_60,genre_affinity_content_recommendation_pool,장르 선호 기반 콘텐츠 추천군,Y,0,0,0,1,1,1,0
98,Y,1,0.5391837746330291,0.4608162253669708,risk_10_30,risk_10_30_other_review,상위위험 관찰/추천 후보군,Y,0,0,0,1,1,0,1
99,Y,1,0.4290293238260026,0.5709706761739974,risk_10_30,risk_10_30_low_engagement,초기 저관여 고위험군,Y,1,0,0,1,1,0,1
100,Y,1,0.9862985399962622,0.0137014600037378,bottom_40_lowest_risk,late_week3_engaged_retention_candidate,3주차 집중 시청 안정/전환 후보군,Y,0,0,1,1,0,0,0
101,N,0,0.4194673937579615,0.5805326062420384,risk_10_30,risk_10_30_other_review,상위위험 관찰/추천 후보군,Y,0,0,0,1,1,0,0
102,Y,1,0.4025143718665076,0.5974856281334924,risk_10_30,risk_10_30_low_engagement,초기 저관여 고위험군,Y,1,0,0,1,0,0,0
103,N,0,0.4187721721234149,0.581227827876585,risk_10_30,risk_10_30_other_review,상위위험 관찰/추천 후보군,Y,0,0,0,1,1,0,1
104,Y,1,0.961281241151008,0.0387187588489921,bottom_40_lowest_risk,genre_affinity_content_recommendation_pool,장르 선호 기반 콘텐츠 추천군,Y,0,0,0,1,1,1,0
105,Y,1,0.918472360652261,0.0815276393477389,bottom_40_lowest_risk,genre_affinity_content_recommendation_pool,장르 선호 기반 콘텐츠 추천군,Y,0,0,0,1,1,1,0
106,Y,1,0.9332359295247228,0.0667640704752772,bottom_40_lowest_risk,late_week3_engaged_retention_candidate,3주차 집중 시청 안정/전환 후보군,Y,0,0,1,0,0,1,0
107,Y,1,0.7730506799396912,0.2269493200603087,risk_30_60,genre_affinity_content_recommendation_pool,장르 선호 기반 콘텐츠 추천군,Y,0,0,0,1,1,0,1
108,Y,1,0.970084781424809,0.0299152185751909,bottom_40_lowest_risk,late_week3_engaged_retention_candidate,3주차 집중 시청 안정/전환 후보군,Y,0,0,1,0,1,1,0
109,N,0,0.3724166695079524,0.6275833304920476,risk_10_30,risk_10_30_low_engagement,초기 저관여 고위험군,Y,1,0,0,1,1,0,0
110,Y,1,0.5651322027419271,0.4348677972580729,risk_10_30,risk_10_30_low_engagement,초기 저관여 고위험군,Y,1,0,0,0,1,0,0
111,N,0,0.2419057337589275,0.7580942662410725,top_10_highest_risk,top_decile_high_churn_risk,최상위 이탈위험군,Y,1,1,0,0,1,0,0
112,Y,1,0.9588257106057866,0.0411742893942134,bottom_40_lowest_risk,late_week3_engaged_retention_candidate,3주차 집중 시청 안정/전환 후보군,Y,0,0,1,1,1,0,0
113,Y,1,0.9685054794129266,0.0314945205870733,bottom_40_lowest_risk,late_week3_engaged_retention_candidate,3주차 집중 시청 안정/전환 후보군,Y,0,0,1,1,1,0,0
114,Y,1,0.960691893872334,0.0393081061276661,bottom_40_lowest_risk,low_risk_or_general_maintenance,저위험/일반 유지군,N,0,0,0,0,1,1,0
115,Y,1,0.3243762562329488,0.6756237437670511,risk_10_30,risk_10_30_low_engagement,초기 저관여 고위험군,Y,1,0,0,0,0,0,1
116,Y,1,0.9502113226113134,0.0497886773886866,bottom_40_lowest_risk,late_week3_engaged_retention_candidate,3주차 집중 시청 안정/전환 후보군,Y,0,1,1,1,1,0,0
117,Y,1,0.9095423481908588,0.0904576518091413,bottom_40_lowest_risk,late_week3_engaged_retention_candidate,3주차 집중 시청 안정/전환 후보군,Y,0,0,1,1,1,0,0
118,Y,1,0.491617662743293,0.508382337256707,risk_10_30,risk_10_30_other_review,상위위험 관찰/추천 후보군,Y,0,0,0,1,0,0,1
119,Y,1,0.8214745992862007,0.1785254007137993,risk_30_60,genre_affinity_content_recommendation_pool,장르 선호 기반 콘텐츠 추천군,Y,0,0,0,1,1,1,0
120,Y,1,0.3680351761215362,0.6319648238784639,risk_10_30,risk_10_30_low_engagement,초기 저관여 고위험군,Y,1,0,0,1,1,0,1
121,Y,1,0.9668672180370098,0.0331327819629901,bottom_40_lowest_risk,genre_affinity_content_recommendation_pool,장르 선호 기반 콘텐츠 추천군,Y,0,1,0,1,1,0,0
122,N,0,0.8163948003483805,0.1836051996516194,risk_30_60,genre_affinity_content_recommendation_pool,장르 선호 기반 콘텐츠 추천군,Y,1,0,0,1,1,0,0
123,N,0,0.8084402265199827,0.1915597734800173,risk_30_60,late_week3_engaged_retention_candidate,3주차 집중 시청 안정/전환 후보군,Y,0,0,1,0,1,1,0
124,Y,1,0.7372512306584362,0.2627487693415637,risk_30_60,genre_affinity_content_recommendation_pool,장르 선호 기반 콘텐츠 추천군,Y,1,1,0,1,1,0,0
125,Y,1,0.9800248555091324,0.0199751444908675,bottom_40_lowest_risk,late_week3_engaged_retention_candidate,3주차 집중 시청 안정/전환 후보군,Y,0,0,1,1,1,0,0
126,Y,1,0.92190067945104,0.0780993205489599,bottom_40_lowest_risk,late_week3_engaged_retention_candidate,3주차 집중 시청 안정/전환 후보군,Y,0,1,1,0,1,0,0
127,Y,1,0.9710520253099968,0.0289479746900033,bottom_40_lowest_risk,late_week3_engaged_retention_candidate,3주차 집중 시청 안정/전환 후보군,Y,0,0,1,1,1,0,0
128,Y,1,0.913211783682178,0.0867882163178218,bottom_40_lowest_risk,late_week3_engaged_retention_candidate,3주차 집중 시청 안정/전환 후보군,Y,0,1,1,1,0,0,0
129,N,0,0.2730226105727572,0.7269773894272429,top_10_highest_risk,top_decile_high_churn_risk,최상위 이탈위험군,Y,1,1,0,1,1,0,0
130,Y,1,0.9552706241191352,0.0447293758808646,bottom_40_lowest_risk,late_week3_engaged_retention_candidate,3주차 집중 시청 안정/전환 후보군,Y,0,0,1,1,1,1,0
131,Y,1,0.7501542787292426,0.2498457212707574,risk_30_60,low_risk_or_general_maintenance,저위험/일반 유지군,N,1,0,0,0,1,0,0
132,N,0,0.2341640224669717,0.7658359775330283,top_10_highest_risk,top_decile_high_churn_risk,최상위 이탈위험군,Y,1,1,0,1,1,0,0
133,Y,1,0.880009064711365,0.119990935288635,risk_30_60,late_week3_engaged_retention_candidate,3주차 집중 시청 안정/전환 후보군,Y,0,0,1,0,0,0,0
134,N,0,0.4139070360314749,0.5860929639685251,risk_10_30,risk_10_30_low_engagement,초기 저관여 고위험군,Y,1,0,0,1,0,0,1
135,Y,1,0.9361356044112404,0.0638643955887596,bottom_40_lowest_risk,genre_affinity_content_recommendation_pool,장르 선호 기반 콘텐츠 추천군,Y,0,0,0,1,0,1,0
136,Y,1,0.8396286052857844,0.1603713947142155,risk_30_60,low_risk_or_general_maintenance,저위험/일반 유지군,N,0,0,0,0,1,1,0
137,N,0,0.1709900156979484,0.8290099843020515,top_10_highest_risk,top_decile_high_churn_risk,최상위 이탈위험군,Y,1,1,0,0,1,0,0
138,N,0,0.6035091402470973,0.3964908597529026,risk_30_60,genre_affinity_content_recommendation_pool,장르 선호 기반 콘텐츠 추천군,Y,0,0,0,1,1,0,1
139,N,0,0.5651322027419271,0.4348677972580729,risk_10_30,risk_10_30_low_engagement,초기 저관여 고위험군,Y,1,0,0,0,1,0,0
140,N,0,0.8126526130772858,0.1873473869227142,risk_30_60,low_risk_or_general_maintenance,저위험/일반 유지군,N,1,1,0,0,0,0,0
141,N,0,0.4187209889759563,0.5812790110240438,risk_10_30,risk_10_30_other_review,상위위험 관찰/추천 후보군,Y,0,0,0,1,1,0,0
142,Y,1,0.9308725476998206,0.0691274523001793,bottom_40_lowest_risk,late_week3_engaged_retention_candidate,3주차 집중 시청 안정/전환 후보군,Y,0,0,1,1,1,0,0
143,N,0,0.2044838858797966,0.7955161141202034,top_10_highest_risk,top_decile_high_churn_risk,최상위 이탈위험군,Y,1,0,0,1,1,0,1
144,Y,1,0.9354009798911782,0.0645990201088217,bottom_40_lowest_risk,low_risk_or_general_maintenance,저위험/일반 유지군,N,0,0,0,0,1,1,0
145,N,0,0.9794310321231252,0.0205689678768746,bottom_40_lowest_risk,late_week3_engaged_retention_candidate,3주차 집중 시청 안정/전환 후보군,Y,0,1,1,1,0,0,0
146,Y,1,0.8929376840482658,0.1070623159517342,risk_30_60,genre_affinity_content_recommendation_pool,장르 선호 기반 콘텐츠 추천군,Y,0,0,0,1,1,0,0
147,Y,1,0.2986220704624516,0.7013779295375484,risk_10_30,risk_10_30_other_review,상위위험 관찰/추천 후보군,Y,0,0,0,0,1,0,1
148,Y,1,0.6808560418759088,0.3191439581240912,risk_30_60,low_risk_or_general_maintenance,저위험/일반 유지군,N,0,0,0,0,1,0,1
149,Y,1,0.7282407154620013,0.2717592845379987,risk_30_60,low_risk_or_general_maintenance,저위험/일반 유지군,N,1,0,0,0,0,0,0
150,Y,1,0.8072058540074826,0.1927941459925174,risk_30_60,genre_affinity_content_recommendation_pool,장르 선호 기반 콘텐츠 추천군,Y,0,0,0,1,1,0,0
151,Y,1,0.4011886322633557,0.5988113677366442,risk_10_30,risk_10_30_other_review,상위위험 관찰/추천 후보군,Y,0,0,0,1,1,0,1
152,N,0,0.3704642974645186,0.6295357025354813,risk_10_30,risk_10_30_low_engagement,초기 저관여 고위험군,Y,1,1,0,1,0,1,0
153,N,0,0.4415707979097351,0.5584292020902649,risk_10_30,risk_10_30_other_review,상위위험 관찰/추천 후보군,Y,0,0,0,0,1,0,1
154,Y,1,0.915719935817666,0.0842800641823339,bottom_40_lowest_risk,low_risk_or_general_maintenance,저위험/일반 유지군,N,0,0,0,0,1,1,0
155,Y,1,0.8880091807564345,0.1119908192435654,risk_30_60,late_week3_engaged_retention_candidate,3주차 집중 시청 안정/전환 후보군,Y,0,0,1,0,1,0,0
156,Y,1,0.9800603235759836,0.0199396764240165,bottom_40_lowest_risk,late_week3_engaged_retention_candidate,3주차 집중 시청 안정/전환 후보군,Y,0,0,1,1,0,0,0
157,N,0,0.8164920093293598,0.1835079906706401,risk_30_60,genre_affinity_content_recommendation_pool,장르 선호 기반 콘텐츠 추천군,Y,0,0,0,1,1,1,0
158,N,0,0.4237786244968371,0.5762213755031629,risk_10_30,risk_10_30_other_review,상위위험 관찰/추천 후보군,Y,0,0,0,1,0,0,0
159,Y,1,0.9567381964725172,0.0432618035274828,bottom_40_lowest_risk,genre_affinity_content_recommendation_pool,장르 선호 기반 콘텐츠 추천군,Y,0,0,0,1,1,1,0
160,Y,1,0.9579358177565188,0.042064182243481,bottom_40_lowest_risk,genre_affinity_content_recommendation_pool,장르 선호 기반 콘텐츠 추천군,Y,0,0,0,1,1,1,0
161,N,0,0.3453584828535926,0.6546415171464073,risk_10_30,risk_10_30_low_engagement,초기 저관여 고위험군,Y,1,0,0,1,1,0,0
162,Y,1,0.9189978005309022,0.0810021994690978,bottom_40_lowest_risk,genre_affinity_content_recommendation_pool,장르 선호 기반 콘텐츠 추천군,Y,0,0,0,1,0,0,1
163,Y,1,0.8399966319234103,0.1600033680765896,risk_30_60,genre_affinity_content_recommendation_pool,장르 선호 기반 콘텐츠 추천군,Y,0,0,0,1,1,0,0
164,Y,1,0.9534754214511671,0.0465245785488327,bottom_40_lowest_risk,late_week3_engaged_retention_candidate,3주차 집중 시청 안정/전환 후보군,Y,0,0,1,1,1,1,0
165,N,0,0.9134192614394698,0.0865807385605301,bottom_40_lowest_risk,genre_affinity_content_recommendation_pool,장르 선호 기반 콘텐츠 추천군,Y,1,0,0,1,1,0,1
166,Y,1,0.9223684670898638,0.0776315329101362,bottom_40_lowest_risk,low_risk_or_general_maintenance,저위험/일반 유지군,N,0,0,0,0,1,1,0
167,Y,1,0.9305773195049304,0.0694226804950695,bottom_40_lowest_risk,genre_affinity_content_recommendation_pool,장르 선호 기반 콘텐츠 추천군,Y,1,0,0,1,0,0,0
168,Y,1,0.2893411287559025,0.7106588712440974,risk_10_30,risk_10_30_low_engagement,초기 저관여 고위험군,Y,1,0,0,1,1,0,0
