column_name,patched_primary_role,patched_feature_family,patched_timing_family,patched_allowed_for_overall_model_candidate,patched_allowed_for_groupwise_model_candidate,status_for_06_primary_main_cohort_table,include_in_06_primary_main_cohort_conservative_table,reason,later_resolution_step
is_male,membership_context,membership_context,static_or_pre_subscription_review,review,review,review_excluded_from_standard_modeling,no,05b review-required column. Excluded until explicit downstream resolution.,confirm_metadata_semantics_before_modeling
reg_is_weekend,acquisition,registration_context,subscription_anchor_derived_review,review,review,review_excluded_from_standard_modeling,no,05b review-required column. Excluded until explicit downstream resolution.,confirm_registration_context_semantics_before_modeling
reg_hour_morning,acquisition,registration_context,subscription_anchor_derived_review,review,review,review_excluded_from_standard_modeling,no,05b review-required column. Excluded until explicit downstream resolution.,confirm_registration_context_semantics_before_modeling
reg_hour_afternoon,acquisition,registration_context,subscription_anchor_derived_review,review,review,review_excluded_from_standard_modeling,no,05b review-required column. Excluded until explicit downstream resolution.,confirm_registration_context_semantics_before_modeling
reg_hour_evening,acquisition,registration_context,subscription_anchor_derived_review,review,review,review_excluded_from_standard_modeling,no,05b review-required column. Excluded until explicit downstream resolution.,confirm_registration_context_semantics_before_modeling
reg_hour_night,acquisition,registration_context,subscription_anchor_derived_review,review,review,review_excluded_from_standard_modeling,no,05b review-required column. Excluded until explicit downstream resolution.,confirm_registration_context_semantics_before_modeling
payment_is_mobile,membership_context,membership_context,static_or_pre_subscription_review,review,review,review_excluded_from_standard_modeling,no,05b review-required column. Excluded until explicit downstream resolution.,confirm_metadata_semantics_before_modeling
payment_is_pc,membership_context,membership_context,static_or_pre_subscription_review,review,review,review_excluded_from_standard_modeling,no,05b review-required column. Excluded until explicit downstream resolution.,confirm_metadata_semantics_before_modeling
payment_is_android,membership_context,membership_context,static_or_pre_subscription_review,review,review,review_excluded_from_standard_modeling,no,05b review-required column. Excluded until explicit downstream resolution.,confirm_metadata_semantics_before_modeling
payment_is_ios,membership_context,membership_context,static_or_pre_subscription_review,review,review,review_excluded_from_standard_modeling,no,05b review-required column. Excluded until explicit downstream resolution.,confirm_metadata_semantics_before_modeling
total_watch_count,aggregate_usage_review,usage_aggregate,all_period_ambiguous,review,review,review_excluded_from_standard_modeling,no,05b review-required column. Excluded until explicit downstream resolution.,confirm_total_usage_window_before_modeling
unique_movie,aggregate_usage_review,usage_behavior_summary,all_period_ambiguous,review,review,review_excluded_from_standard_modeling,no,05b review-required column. Excluded until explicit downstream resolution.,confirm_usage_window_before_modeling
watch_days,aggregate_usage_review,usage_behavior_summary,all_period_ambiguous,review,review,review_excluded_from_standard_modeling,no,05b review-required column. Excluded until explicit downstream resolution.,confirm_usage_window_before_modeling
active_ratio,retention,usage_behavior_ratio,all_period_ambiguous,review,review,review_excluded_from_standard_modeling,no,05b review-required column. Excluded until explicit downstream resolution.,confirm_usage_ratio_window_before_modeling
total_watch_time(min),aggregate_usage_review,usage_aggregate,all_period_ambiguous,review,review,review_excluded_from_standard_modeling,no,05b review-required column. Excluded until explicit downstream resolution.,confirm_total_usage_window_before_modeling
watch_per_day,aggregate_usage_review,usage_behavior_summary,all_period_ambiguous,review,review,review_excluded_from_standard_modeling,no,05b review-required column. Excluded until explicit downstream resolution.,confirm_usage_window_before_modeling
avg_watch_time(min),aggregate_usage_review,usage_behavior_summary,all_period_ambiguous,review,review,review_excluded_from_standard_modeling,no,05b review-required column. Excluded until explicit downstream resolution.,confirm_usage_window_before_modeling
median_watch_time(min),aggregate_usage_review,usage_behavior_summary,all_period_ambiguous,review,review,review_excluded_from_standard_modeling,no,05b review-required column. Excluded until explicit downstream resolution.,confirm_usage_window_before_modeling
std_watch_time(min),aggregate_usage_review,usage_behavior_summary,all_period_ambiguous,review,review,review_excluded_from_standard_modeling,no,05b review-required column. Excluded until explicit downstream resolution.,confirm_usage_window_before_modeling
avg_daily_watch_time(min),aggregate_usage_review,usage_behavior_summary,all_period_ambiguous,review,review,review_excluded_from_standard_modeling,no,05b review-required column. Excluded until explicit downstream resolution.,confirm_usage_window_before_modeling
max_watch_time(min),aggregate_usage_review,usage_behavior_summary,all_period_ambiguous,review,review,review_excluded_from_standard_modeling,no,05b review-required column. Excluded until explicit downstream resolution.,confirm_usage_window_before_modeling
max_daily_watch_time(min),aggregate_usage_review,usage_behavior_summary,all_period_ambiguous,review,review,review_excluded_from_standard_modeling,no,05b review-required column. Excluded until explicit downstream resolution.,confirm_usage_window_before_modeling
max_daily_sessions,aggregate_usage_review,usage_behavior_summary,all_period_ambiguous,review,review,review_excluded_from_standard_modeling,no,05b review-required column. Excluded until explicit downstream resolution.,confirm_usage_window_before_modeling
recency,timing_review_required,content_recency,reference_date_review,review,review,review_excluded_from_standard_modeling,no,05b review-required column. Excluded until explicit downstream resolution.,confirm_recency_reference_date
avg_gap_between_watch_days,aggregate_usage_review,usage_behavior_summary,all_period_ambiguous,review,review,review_excluded_from_standard_modeling,no,05b review-required column. Excluded until explicit downstream resolution.,confirm_usage_window_before_modeling
avg_gap_w1_watch_days,activation,usage_observation,week1_observation,yes,yes,include_safe_feature,yes,Included because 05b conservative safe candidate list approved it for conservative baseline candidates.,baseline_ladder_activation
avg_gap_w2_watch_days,retention,usage_observation,week2_observation,yes,yes,include_safe_feature,yes,Included because 05b conservative safe candidate list approved it for conservative baseline candidates.,baseline_ladder_retention_w2
avg_gap_w3_watch_days,retention,usage_observation,week3_observation,yes,yes,include_safe_feature,yes,Included because 05b conservative safe candidate list approved it for conservative baseline candidates.,baseline_ladder_retention_w3
max_inactive_gap_days,aggregate_usage_review,usage_behavior_summary,all_period_ambiguous,review,review,review_excluded_from_standard_modeling,no,05b review-required column. Excluded until explicit downstream resolution.,confirm_usage_window_before_modeling
avg_rewatch_ratio,aggregate_usage_review,engagement_depth,all_period_ambiguous,review,review,review_excluded_from_standard_modeling,no,05b review-required column. Excluded until explicit downstream resolution.,confirm_usage_ratio_window_before_modeling
weekend_watch_ratio,aggregate_usage_review,viewing_pattern,all_period_ambiguous,review,review,review_excluded_from_standard_modeling,no,05b review-required column. Excluded until explicit downstream resolution.,confirm_usage_ratio_window_before_modeling
watch_ratio_under_1m,aggregate_usage_review,short_watch_behavior,all_period_ambiguous,review,review,review_excluded_from_standard_modeling,no,05b review-required column. Excluded until explicit downstream resolution.,confirm_usage_ratio_window_before_modeling
watch_ratio_under_5m,aggregate_usage_review,short_watch_behavior,all_period_ambiguous,review,review,review_excluded_from_standard_modeling,no,05b review-required column. Excluded until explicit downstream resolution.,confirm_usage_ratio_window_before_modeling
is_cold_start_3d,activation,activation_onboarding,early_activation,yes,yes,include_safe_feature,yes,Included because 05b conservative safe candidate list approved it for conservative baseline candidates.,baseline_ladder_activation
is_cold_start_7d,activation,activation_onboarding,week1_observation,yes,yes,include_safe_feature,yes,Included because 05b conservative safe candidate list approved it for conservative baseline candidates.,baseline_ladder_activation
movie_per_active_day,aggregate_usage_review,usage_behavior_summary,all_period_ambiguous,review,review,review_excluded_from_standard_modeling,no,05b review-required column. Excluded until explicit downstream resolution.,confirm_usage_window_before_modeling
max_day_share,aggregate_usage_review,usage_behavior_summary,all_period_ambiguous,review,review,review_excluded_from_standard_modeling,no,05b review-required column. Excluded until explicit downstream resolution.,confirm_usage_window_before_modeling
day_count_over_3times,aggregate_usage_review,usage_behavior_summary,all_period_ambiguous,review,review,review_excluded_from_standard_modeling,no,05b review-required column. Excluded until explicit downstream resolution.,confirm_usage_window_before_modeling
watch_time(min)_w1,activation,usage_observation,week1_observation,yes,yes,include_safe_feature,yes,Included because 05b conservative safe candidate list approved it for conservative baseline candidates.,baseline_ladder_activation
watch_time(min)_w2,retention,usage_observation,week2_observation,yes,yes,include_safe_feature,yes,Included because 05b conservative safe candidate list approved it for conservative baseline candidates.,baseline_ladder_retention_w2
watch_time(min)_w3,retention,usage_observation,week3_observation,yes,yes,include_safe_feature,yes,Included because 05b conservative safe candidate list approved it for conservative baseline candidates.,baseline_ladder_retention_w3
watch_session_w1,activation,usage_observation,week1_observation,yes,yes,include_safe_feature,yes,Included because 05b conservative safe candidate list approved it for conservative baseline candidates.,baseline_ladder_activation
watch_session_w2,retention,usage_observation,week2_observation,yes,yes,include_safe_feature,yes,Included because 05b conservative safe candidate list approved it for conservative baseline candidates.,baseline_ladder_retention_w2
watch_session_w3,retention,usage_observation,week3_observation,yes,yes,include_safe_feature,yes,Included because 05b conservative safe candidate list approved it for conservative baseline candidates.,baseline_ladder_retention_w3
retention_w2_ratio,retention,retention_ratio,week1_to_week2_change,yes,yes,include_safe_feature,yes,Included because 05b conservative safe candidate list approved it for conservative baseline candidates.,baseline_ladder_retention
retention_w3_ratio,retention,retention_ratio,week1_to_week3_change,yes,yes,include_safe_feature,yes,Included because 05b conservative safe candidate list approved it for conservative baseline candidates.,baseline_ladder_retention
diff_between_w2_w1,retention,retention_change,week1_to_week2_change,yes,yes,include_safe_feature,yes,Included because 05b conservative safe candidate list approved it for conservative baseline candidates.,baseline_ladder_retention_change
diff_between_w3_w1,retention,retention_change,week1_to_week3_change,yes,yes,include_safe_feature,yes,Included because 05b conservative safe candidate list approved it for conservative baseline candidates.,baseline_ladder_retention_change
diff_between_w3_w2,retention,retention_change,week2_to_week3_change,yes,yes,include_safe_feature,yes,Included because 05b conservative safe candidate list approved it for conservative baseline candidates.,baseline_ladder_retention_change
is_w1_over_50pct,activation,usage_observation,week1_observation,yes,yes,include_safe_feature,yes,Included because 05b conservative safe candidate list approved it for conservative baseline candidates.,baseline_ladder_activation
is_w2_over_50pct,retention,usage_observation,week2_observation,yes,yes,include_safe_feature,yes,Included because 05b conservative safe candidate list approved it for conservative baseline candidates.,baseline_ladder_retention_w2
is_w3_over_50pct,retention,usage_observation,week3_observation,yes,yes,include_safe_feature,yes,Included because 05b conservative safe candidate list approved it for conservative baseline candidates.,baseline_ladder_retention_w3
is_only_w1,activation,usage_observation,week1_observation,yes,yes,include_safe_feature,yes,Included because 05b conservative safe candidate list approved it for conservative baseline candidates.,baseline_ladder_activation
is_only_w2,retention,usage_observation,week2_observation,yes,yes,include_safe_feature,yes,Included because 05b conservative safe candidate list approved it for conservative baseline candidates.,baseline_ladder_retention_w2
is_only_w3,retention,usage_observation,week3_observation,yes,yes,include_safe_feature,yes,Included because 05b conservative safe candidate list approved it for conservative baseline candidates.,baseline_ladder_retention_w3
new_movie_in_90d_ratio,content_recency,content_recency,content_recency_window_ambiguous,review,review,review_excluded_from_standard_modeling,no,05b review-required column. Excluded until explicit downstream resolution.,confirm_content_window_before_modeling
new_movie_in_180d_ratio,content_recency,content_recency,content_recency_window_ambiguous,review,review,review_excluded_from_standard_modeling,no,05b review-required column. Excluded until explicit downstream resolution.,confirm_content_window_before_modeling
new_movie_in_365d_ratio,content_recency,content_recency,content_recency_window_ambiguous,review,review,review_excluded_from_standard_modeling,no,05b review-required column. Excluded until explicit downstream resolution.,confirm_content_window_before_modeling
old_movie_ratio(5y),genre_ratio,content_genre,content_window_ambiguous,review,review,review_excluded_from_standard_modeling,no,05b review-required column. Excluded until explicit downstream resolution.,confirm_content_window_before_modeling
avg_ott_release_year,content_recency,content_metadata_recency,content_recency_window_ambiguous,review,review,review_excluded_from_standard_modeling,no,05b review-required column. Excluded until explicit downstream resolution.,confirm_content_window_before_modeling
genre_diversity_count,genre_ratio,content_genre,content_window_ambiguous,review,review,review_excluded_from_standard_modeling,no,05b review-required column. Excluded until explicit downstream resolution.,confirm_content_window_before_modeling
action_adventure_ratio,genre_ratio,content_genre,content_window_ambiguous,review,review,review_excluded_from_standard_modeling,no,05b review-required column. Excluded until explicit downstream resolution.,confirm_content_window_before_modeling
family_animation_ratio,genre_ratio,content_genre,content_window_ambiguous,review,review,review_excluded_from_standard_modeling,no,05b review-required column. Excluded until explicit downstream resolution.,confirm_content_window_before_modeling
drama_ratio,genre_ratio,content_genre,content_window_ambiguous,review,review,review_excluded_from_standard_modeling,no,05b review-required column. Excluded until explicit downstream resolution.,confirm_content_window_before_modeling
thriller_crime_ratio,genre_ratio,content_genre,content_window_ambiguous,review,review,review_excluded_from_standard_modeling,no,05b review-required column. Excluded until explicit downstream resolution.,confirm_content_window_before_modeling
sf_fantasy_ratio,genre_ratio,content_genre,content_window_ambiguous,review,review,review_excluded_from_standard_modeling,no,05b review-required column. Excluded until explicit downstream resolution.,confirm_content_window_before_modeling
comedy_ratio,genre_ratio,content_genre,content_window_ambiguous,review,review,review_excluded_from_standard_modeling,no,05b review-required column. Excluded until explicit downstream resolution.,confirm_content_window_before_modeling
romance_ratio,genre_ratio,content_genre,content_window_ambiguous,review,review,review_excluded_from_standard_modeling,no,05b review-required column. Excluded until explicit downstream resolution.,confirm_content_window_before_modeling
horror_ratio,genre_ratio,content_genre,content_window_ambiguous,review,review,review_excluded_from_standard_modeling,no,05b review-required column. Excluded until explicit downstream resolution.,confirm_content_window_before_modeling
documentary_ratio,genre_ratio,content_genre,content_window_ambiguous,review,review,review_excluded_from_standard_modeling,no,05b review-required column. Excluded until explicit downstream resolution.,confirm_content_window_before_modeling
historical_war_ratio,genre_ratio,content_genre,content_window_ambiguous,review,review,review_excluded_from_standard_modeling,no,05b review-required column. Excluded until explicit downstream resolution.,confirm_content_window_before_modeling
other_ratio,genre_ratio,content_genre,content_window_ambiguous,review,review,review_excluded_from_standard_modeling,no,05b review-required column. Excluded until explicit downstream resolution.,confirm_content_window_before_modeling
