model_role,feature,feature_family,feature_bin,feature_value_mean_or_count,repurchase_score_mean,churn_risk_score_mean,target_repurchase_rate,row_count,direction_summary,interpretation_note_ko,explanation_method
primary_conservative,price,membership,mid,100.0,0.681267437214531,0.318732562785469,0.6683417085427136,1592,ambiguous_or_nonlinear,"price: 구간별 방향이 단순하지 않아 비선형 또는 혼합 신호로 해석해야 합니다. 단, 이는 예측 근거이지 인과 효과가 아닙니다.",score_association_fallback_not_shap
primary_conservative,price,membership,high,8797.5,0.7429028507961223,0.2570971492038777,0.7512562814070352,1592,ambiguous_or_nonlinear,"price: 구간별 방향이 단순하지 않아 비선형 또는 혼합 신호로 해석해야 합니다. 단, 이는 예측 근거이지 인과 효과가 아닙니다.",score_association_fallback_not_shap
primary_conservative,w1_3_week2_ratio,usage,low,0.0,0.6416585197888864,0.35834148021111356,0.6585059635907093,1593,increase_repurchase,"w1_3_week2_ratio: 값이 높을수록 재구독 점수 쪽으로 해석됩니다. 단, 이는 예측 근거이지 인과 효과가 아닙니다.",score_association_fallback_not_shap
primary_conservative,w1_3_week2_ratio,usage,mid,0.16278352575376884,0.7505271014536736,0.24947289854632634,0.7185929648241206,1592,increase_repurchase,"w1_3_week2_ratio: 값이 높을수록 재구독 점수 쪽으로 해석됩니다. 단, 이는 예측 근거이지 인과 효과가 아닙니다.",score_association_fallback_not_shap
primary_conservative,w1_3_week2_ratio,usage,high,0.7240637104271357,0.759057339146613,0.24094266085338692,0.7619346733668342,1592,increase_repurchase,"w1_3_week2_ratio: 값이 높을수록 재구독 점수 쪽으로 해석됩니다. 단, 이는 예측 근거이지 인과 효과가 아닙니다.",score_association_fallback_not_shap
primary_conservative,w1_3_genre_ratio_drama,genre,low,0.0,0.6345438484250979,0.3654561515749021,0.6296296296296297,1593,increase_repurchase,"w1_3_genre_ratio_drama: 값이 높을수록 재구독 점수 쪽으로 해석됩니다. 단, 이는 예측 근거이지 인과 효과가 아닙니다.",score_association_fallback_not_shap
primary_conservative,w1_3_genre_ratio_drama,genre,mid,0.01721050188442211,0.7057923767261928,0.2942076232738072,0.7035175879396985,1592,increase_repurchase,"w1_3_genre_ratio_drama: 값이 높을수록 재구독 점수 쪽으로 해석됩니다. 단, 이는 예측 근거이지 인과 효과가 아닙니다.",score_association_fallback_not_shap
primary_conservative,w1_3_genre_ratio_drama,genre,high,0.47652647550251254,0.8109112042525582,0.18908879574744186,0.8059045226130653,1592,increase_repurchase,"w1_3_genre_ratio_drama: 값이 높을수록 재구독 점수 쪽으로 해석됩니다. 단, 이는 예측 근거이지 인과 효과가 아닙니다.",score_association_fallback_not_shap
primary_conservative,w1_3_last_watch_rel_day,usage,low,8.000671140939597,0.5266734714999304,0.4733265285000696,0.5194630872483221,1490,increase_repurchase,"w1_3_last_watch_rel_day: 값이 높을수록 재구독 점수 쪽으로 해석됩니다. 단, 이는 예측 근거이지 인과 효과가 아닙니다.",score_association_fallback_not_shap
primary_conservative,w1_3_last_watch_rel_day,usage,mid,16.21423774345198,0.7977837628174479,0.20221623718255205,0.7871054398925453,1489,increase_repurchase,"w1_3_last_watch_rel_day: 값이 높을수록 재구독 점수 쪽으로 해석됩니다. 단, 이는 예측 근거이지 인과 효과가 아닙니다.",score_association_fallback_not_shap
primary_conservative,w1_3_last_watch_rel_day,usage,high,19.480536912751678,0.8371358918460885,0.16286410815391159,0.8335570469798658,1490,increase_repurchase,"w1_3_last_watch_rel_day: 값이 높을수록 재구독 점수 쪽으로 해석됩니다. 단, 이는 예측 근거이지 인과 효과가 아닙니다.",score_association_fallback_not_shap
primary_conservative,w1_3_genre_watch_time_animation_family,genre,low,0.0,0.6874915019722161,0.3125084980277839,0.6704331450094162,1593,increase_repurchase,"w1_3_genre_watch_time_animation_family: 값이 높을수록 재구독 점수 쪽으로 해석됩니다. 단, 이는 예측 근거이지 인과 효과가 아닙니다.",score_association_fallback_not_shap
primary_conservative,w1_3_genre_watch_time_animation_family,genre,mid,0.0,0.6801120014342504,0.3198879985657496,0.6777638190954773,1592,increase_repurchase,"w1_3_genre_watch_time_animation_family: 값이 높을수록 재구독 점수 쪽으로 해석됩니다. 단, 이는 예측 근거이지 인과 효과가 아닙니다.",score_association_fallback_not_shap
primary_conservative,w1_3_genre_watch_time_animation_family,genre,high,91.77889447236181,0.7836106674210337,0.21638933257896634,0.7908291457286433,1592,increase_repurchase,"w1_3_genre_watch_time_animation_family: 값이 높을수록 재구독 점수 쪽으로 해석됩니다. 단, 이는 예측 근거이지 인과 효과가 아닙니다.",score_association_fallback_not_shap
primary_conservative,w1_3_genre_watch_time_romance,genre,low,0.0,0.67386611830097,0.32613388169902996,0.6641556811048337,1593,increase_repurchase,"w1_3_genre_watch_time_romance: 값이 높을수록 재구독 점수 쪽으로 해석됩니다. 단, 이는 예측 근거이지 인과 효과가 아닙니다.",score_association_fallback_not_shap
primary_conservative,w1_3_genre_watch_time_romance,genre,mid,0.0,0.6643997347055784,0.33560026529442155,0.6608040201005025,1592,increase_repurchase,"w1_3_genre_watch_time_romance: 값이 높을수록 재구독 점수 쪽으로 해석됩니다. 단, 이는 예측 근거이지 인과 효과가 아닙니다.",score_association_fallback_not_shap
primary_conservative,w1_3_genre_watch_time_romance,genre,high,82.74309045226131,0.8129568764790366,0.18704312352096336,0.8140703517587939,1592,increase_repurchase,"w1_3_genre_watch_time_romance: 값이 높을수록 재구독 점수 쪽으로 해석됩니다. 단, 이는 예측 근거이지 인과 효과가 아닙니다.",score_association_fallback_not_shap
primary_conservative,max_screen,membership,low,1.0,0.7149705432448035,0.28502945675519653,0.6998112020138452,1589,increase_repurchase,"max_screen: 값이 높을수록 재구독 점수 쪽으로 해석됩니다. 단, 이는 예측 근거이지 인과 효과가 아닙니다.",score_association_fallback_not_shap
primary_conservative,max_screen,membership,mid,1.121536523929471,0.7009563994697592,0.2990436005302408,0.6996221662468514,1588,increase_repurchase,"max_screen: 값이 높을수록 재구독 점수 쪽으로 해석됩니다. 단, 이는 예측 근거이지 인과 효과가 아닙니다.",score_association_fallback_not_shap
primary_conservative,max_screen,membership,high,3.032115869017632,0.7351871674966011,0.2648128325033989,0.739294710327456,1588,increase_repurchase,"max_screen: 값이 높을수록 재구독 점수 쪽으로 해석됩니다. 단, 이는 예측 근거이지 인과 효과가 아닙니다.",score_association_fallback_not_shap
primary_conservative,w1_3_top_genre,genre,Drama,809.0,0.8050863534704403,0.1949136465295597,0.799752781211372,809,ambiguous_or_nonlinear,"w1_3_top_genre: 구간별 방향이 단순하지 않아 비선형 또는 혼합 신호로 해석해야 합니다. 단, 이는 예측 근거이지 인과 효과가 아닙니다.",score_association_fallback_not_shap
primary_conservative,w1_3_top_genre,genre,Thriller/Crime,597.0,0.6135225055297356,0.3864774944702643,0.5879396984924623,597,ambiguous_or_nonlinear,"w1_3_top_genre: 구간별 방향이 단순하지 않아 비선형 또는 혼합 신호로 해석해야 합니다. 단, 이는 예측 근거이지 인과 효과가 아닙니다.",score_association_fallback_not_shap
primary_conservative,w1_3_top_genre,genre,other,3063.0,0.7142784502226384,0.2857215497773616,0.7143280925541382,3371,ambiguous_or_nonlinear,"w1_3_top_genre: 구간별 방향이 단순하지 않아 비선형 또는 혼합 신호로 해석해야 합니다. 단, 이는 예측 근거이지 인과 효과가 아닙니다.",score_association_fallback_not_shap
primary_conservative,w1_3_genre_session_count_drama,genre,low,0.0,0.6345438484250979,0.3654561515749021,0.6296296296296297,1593,increase_repurchase,"w1_3_genre_session_count_drama: 값이 높을수록 재구독 점수 쪽으로 해석됩니다. 단, 이는 예측 근거이지 인과 효과가 아닙니다.",score_association_fallback_not_shap
primary_conservative,w1_3_genre_session_count_drama,genre,mid,0.3768844221105528,0.6798299474938353,0.3201700525061648,0.6689698492462312,1592,increase_repurchase,"w1_3_genre_session_count_drama: 값이 높을수록 재구독 점수 쪽으로 해석됩니다. 단, 이는 예측 근거이지 인과 효과가 아닙니다.",score_association_fallback_not_shap
primary_conservative,w1_3_genre_session_count_drama,genre,high,2.9736180904522613,0.8368736334849157,0.1631263665150842,0.8404522613065326,1592,increase_repurchase,"w1_3_genre_session_count_drama: 값이 높을수록 재구독 점수 쪽으로 해석됩니다. 단, 이는 예측 근거이지 인과 효과가 아닙니다.",score_association_fallback_not_shap
primary_conservative,w1_3_avg_watch_time_per_session,usage,low,9.079271599497803,0.6036771340937039,0.3963228659062961,0.6045197740112994,1593,increase_repurchase,"w1_3_avg_watch_time_per_session: 값이 높을수록 재구독 점수 쪽으로 해석됩니다. 단, 이는 예측 근거이지 인과 효과가 아닙니다.",score_association_fallback_not_shap
primary_conservative,w1_3_avg_watch_time_per_session,usage,mid,39.58994996419598,0.7544600352128009,0.24553996478719906,0.7412060301507538,1592,increase_repurchase,"w1_3_avg_watch_time_per_session: 값이 높을수록 재구독 점수 쪽으로 해석됩니다. 단, 이는 예측 근거이지 인과 효과가 아닙니다.",score_association_fallback_not_shap
primary_conservative,w1_3_avg_watch_time_per_session,usage,high,78.25726317650754,0.7931296487369994,0.20687035126300057,0.7933417085427136,1592,increase_repurchase,"w1_3_avg_watch_time_per_session: 값이 높을수록 재구독 점수 쪽으로 해석됩니다. 단, 이는 예측 근거이지 인과 효과가 아닙니다.",score_association_fallback_not_shap
primary_conservative,w1_3_genre_ratio_action_adventure,genre,low,0.0,0.7144119989864727,0.2855880010135273,0.711864406779661,1593,ambiguous_or_nonlinear,"w1_3_genre_ratio_action_adventure: 구간별 방향이 단순하지 않아 비선형 또는 혼합 신호로 해석해야 합니다. 단, 이는 예측 근거이지 인과 효과가 아닙니다.",score_association_fallback_not_shap
primary_conservative,w1_3_genre_ratio_action_adventure,genre,mid,0.0,0.7068988793650891,0.2931011206349109,0.7141959798994975,1592,ambiguous_or_nonlinear,"w1_3_genre_ratio_action_adventure: 구간별 방향이 단순하지 않아 비선형 또는 혼합 신호로 해석해야 합니다. 단, 이는 예측 근거이지 인과 효과가 아닙니다.",score_association_fallback_not_shap
primary_conservative,w1_3_genre_ratio_action_adventure,genre,high,0.30451275690954777,0.7298863826160049,0.27011361738399514,0.7129396984924623,1592,ambiguous_or_nonlinear,"w1_3_genre_ratio_action_adventure: 구간별 방향이 단순하지 않아 비선형 또는 혼합 신호로 해석해야 합니다. 단, 이는 예측 근거이지 인과 효과가 아닙니다.",score_association_fallback_not_shap
primary_conservative,w1_3_week3_ratio,usage,low,0.0,0.5460192216008259,0.4539807783991741,0.5549278091650973,1593,increase_repurchase,"w1_3_week3_ratio: 값이 높을수록 재구독 점수 쪽으로 해석됩니다. 단, 이는 예측 근거이지 인과 효과가 아닙니다.",score_association_fallback_not_shap
primary_conservative,w1_3_week3_ratio,usage,mid,0.18541170603015075,0.7658623875757774,0.23413761242422254,0.7600502512562815,1592,increase_repurchase,"w1_3_week3_ratio: 값이 높을수록 재구독 점수 쪽으로 해석됩니다. 단, 이는 예측 근거이지 인과 효과가 아닙니다.",score_association_fallback_not_shap
primary_conservative,w1_3_week3_ratio,usage,high,0.7690303385678392,0.8394214261486177,0.1605785738513824,0.8241206030150754,1592,increase_repurchase,"w1_3_week3_ratio: 값이 높을수록 재구독 점수 쪽으로 해석됩니다. 단, 이는 예측 근거이지 인과 효과가 아닙니다.",score_association_fallback_not_shap
primary_conservative,w1_3_genre_ratio_romance,genre,low,0.0,0.67386611830097,0.32613388169902996,0.6641556811048337,1593,increase_repurchase,"w1_3_genre_ratio_romance: 값이 높을수록 재구독 점수 쪽으로 해석됩니다. 단, 이는 예측 근거이지 인과 효과가 아닙니다.",score_association_fallback_not_shap
primary_conservative,w1_3_genre_ratio_romance,genre,mid,0.0,0.6643997347055784,0.33560026529442155,0.6608040201005025,1592,increase_repurchase,"w1_3_genre_ratio_romance: 값이 높을수록 재구독 점수 쪽으로 해석됩니다. 단, 이는 예측 근거이지 인과 효과가 아닙니다.",score_association_fallback_not_shap
primary_conservative,w1_3_genre_ratio_romance,genre,high,0.2823359962311558,0.8129568764790366,0.18704312352096336,0.8140703517587939,1592,increase_repurchase,"w1_3_genre_ratio_romance: 값이 높을수록 재구독 점수 쪽으로 해석됩니다. 단, 이는 예측 근거이지 인과 효과가 아닙니다.",score_association_fallback_not_shap
