promo_scope,representative_segment_id,provisional_label,demographic_group_type,demographic_group_value,feature_name,feature_family,row_count,mean,median,q25,q75,segment_overall_mean,difference_vs_segment_overall,actual_repurchase_rate,mean_gb_churn_risk,evidence_strength,interpretation,caveat
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,20,watch_days,weekly_usage,371,1.943396,2.0,1.0,3.0,1.919931,0.023465,0.339623,0.674634,weak,"Within this segment, age_group=20 differs on watch_days versus the segment average.",Behavior difference is small or not clearly connected to risk/repurchase difference.
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,20,log_retention_w2_ratio,retention_decay,371,-2.281691,-2.397895,-4.595069,-0.500687,-2.212421,-0.06927,0.339623,0.674634,weak,"Within this segment, age_group=20 differs on log_retention_w2_ratio versus the segment average.",Behavior difference is small or not clearly connected to risk/repurchase difference.
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,20,log_retention_w3_ratio,retention_decay,371,-1.176154,0.0,-1.94591,0.0,-1.16757,-0.008584,0.339623,0.674634,weak,"Within this segment, age_group=20 differs on log_retention_w3_ratio versus the segment average.",Behavior difference is small or not clearly connected to risk/repurchase difference.
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,20,active_ratio,usage_concentration,371,0.092543,0.095238,0.047619,0.142857,0.091425,0.001117,0.339623,0.674634,weak,"Within this segment, age_group=20 differs on active_ratio versus the segment average.",Behavior difference is small or not clearly connected to risk/repurchase difference.
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,20,recency,inactivity_recency,371,13.908356,14.0,11.0,17.0,13.840438,0.067918,0.339623,0.674634,weak,"Within this segment, age_group=20 differs on recency versus the segment average.",Behavior difference is small or not clearly connected to risk/repurchase difference.
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,20,max_inactive_gap_days,inactivity_recency,371,2.091644,1.0,0.0,4.0,2.237327,-0.145683,0.339623,0.674634,weak,"Within this segment, age_group=20 differs on max_inactive_gap_days versus the segment average.",Behavior difference is small or not clearly connected to risk/repurchase difference.
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,20,is_only_w1,week_specific_usage_pattern,371,0.587601,1.0,0.0,1.0,0.56682,0.020781,0.339623,0.674634,weak,"Within this segment, age_group=20 differs on is_only_w1 versus the segment average.",Behavior difference is small or not clearly connected to risk/repurchase difference.
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,20,is_only_w2,week_specific_usage_pattern,371,0.113208,0.0,0.0,0.0,0.130184,-0.016977,0.339623,0.674634,moderate,"Within this segment, age_group=20 differs on is_only_w2 versus the segment average.","Behavior difference exists, but action use remains provisional."
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,20,is_only_w3,week_specific_usage_pattern,371,0.0,0.0,0.0,0.0,0.0,0.0,0.339623,0.674634,weak,"Within this segment, age_group=20 differs on is_only_w3 versus the segment average.",Behavior difference is small or not clearly connected to risk/repurchase difference.
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,20,genre_diversity_count,genre_preference,371,1.940701,1.0,1.0,3.0,1.919931,0.02077,0.339623,0.674634,weak,"Within this segment, age_group=20 differs on genre_diversity_count versus the segment average.",Behavior difference is small or not clearly connected to risk/repurchase difference.
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,20,action_adventure_ratio,genre_preference,371,0.167138,0.0,0.0,0.178529,0.156396,0.010743,0.339623,0.674634,weak,"Within this segment, age_group=20 differs on action_adventure_ratio versus the segment average.",Behavior difference is small or not clearly connected to risk/repurchase difference.
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,20,family_animation_ratio,genre_preference,371,0.075911,0.0,0.0,0.0,0.087461,-0.011551,0.339623,0.674634,moderate,"Within this segment, age_group=20 differs on family_animation_ratio versus the segment average.","Behavior difference exists, but action use remains provisional."
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,20,drama_ratio,genre_preference,371,0.148927,0.0,0.0,0.016464,0.132762,0.016165,0.339623,0.674634,moderate,"Within this segment, age_group=20 differs on drama_ratio versus the segment average.","Behavior difference exists, but action use remains provisional."
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,20,thriller_crime_ratio,genre_preference,371,0.171325,0.0,0.0,0.2,0.172888,-0.001563,0.339623,0.674634,weak,"Within this segment, age_group=20 differs on thriller_crime_ratio versus the segment average.",Behavior difference is small or not clearly connected to risk/repurchase difference.
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,20,sf_fantasy_ratio,genre_preference,371,0.157876,0.0,0.0,0.020469,0.153355,0.004522,0.339623,0.674634,weak,"Within this segment, age_group=20 differs on sf_fantasy_ratio versus the segment average.",Behavior difference is small or not clearly connected to risk/repurchase difference.
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,20,comedy_ratio,genre_preference,371,0.098224,0.0,0.0,0.0,0.091473,0.006751,0.339623,0.674634,weak,"Within this segment, age_group=20 differs on comedy_ratio versus the segment average.",Behavior difference is small or not clearly connected to risk/repurchase difference.
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,20,romance_ratio,genre_preference,371,0.078787,0.0,0.0,0.0,0.07165,0.007137,0.339623,0.674634,weak,"Within this segment, age_group=20 differs on romance_ratio versus the segment average.",Behavior difference is small or not clearly connected to risk/repurchase difference.
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,20,horror_ratio,genre_preference,371,0.030343,0.0,0.0,0.0,0.039484,-0.009141,0.339623,0.674634,moderate,"Within this segment, age_group=20 differs on horror_ratio versus the segment average.","Behavior difference exists, but action use remains provisional."
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,20,documentary_ratio,genre_preference,371,0.012082,0.0,0.0,0.0,0.016216,-0.004134,0.339623,0.674634,moderate,"Within this segment, age_group=20 differs on documentary_ratio versus the segment average.","Behavior difference exists, but action use remains provisional."
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,20,historical_war_ratio,genre_preference,371,0.045591,0.0,0.0,0.0,0.06359,-0.017999,0.339623,0.674634,moderate,"Within this segment, age_group=20 differs on historical_war_ratio versus the segment average.","Behavior difference exists, but action use remains provisional."
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,20,other_ratio,genre_preference,371,0.013796,0.0,0.0,0.0,0.014725,-0.000929,0.339623,0.674634,weak,"Within this segment, age_group=20 differs on other_ratio versus the segment average.",Behavior difference is small or not clearly connected to risk/repurchase difference.
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,30,watch_time_min_w1,weekly_usage,386,98.554404,65.0,2.0,134.75,94.741935,3.812469,0.300518,0.655038,weak,"Within this segment, age_group=30 differs on watch_time_min_w1 versus the segment average.",Behavior difference is small or not clearly connected to risk/repurchase difference.
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,30,watch_time_min_w2,weekly_usage,386,19.709845,0.0,0.0,12.75,19.402074,0.307771,0.300518,0.655038,weak,"Within this segment, age_group=30 differs on watch_time_min_w2 versus the segment average.",Behavior difference is small or not clearly connected to risk/repurchase difference.
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,30,watch_time_min_w3,weekly_usage,386,0.0,0.0,0.0,0.0,0.0,0.0,0.300518,0.655038,weak,"Within this segment, age_group=30 differs on watch_time_min_w3 versus the segment average.",Behavior difference is small or not clearly connected to risk/repurchase difference.
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,30,watch_session_w1,weekly_usage,386,2.531088,2.0,1.0,3.0,2.536866,-0.005778,0.300518,0.655038,weak,"Within this segment, age_group=30 differs on watch_session_w1 versus the segment average.",Behavior difference is small or not clearly connected to risk/repurchase difference.
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,30,watch_session_w2,weekly_usage,386,0.854922,0.0,0.0,1.0,0.822581,0.032342,0.300518,0.655038,weak,"Within this segment, age_group=30 differs on watch_session_w2 versus the segment average.",Behavior difference is small or not clearly connected to risk/repurchase difference.
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,30,watch_session_w3,weekly_usage,386,0.0,0.0,0.0,0.0,0.0,0.0,0.300518,0.655038,weak,"Within this segment, age_group=30 differs on watch_session_w3 versus the segment average.",Behavior difference is small or not clearly connected to risk/repurchase difference.
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,30,total_watch_time_min,weekly_usage,386,118.264249,78.5,10.25,164.25,114.144009,4.120239,0.300518,0.655038,weak,"Within this segment, age_group=30 differs on total_watch_time_min versus the segment average.",Behavior difference is small or not clearly connected to risk/repurchase difference.
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,30,total_watch_count,weekly_usage,386,3.38601,3.0,1.0,4.0,3.359447,0.026563,0.300518,0.655038,weak,"Within this segment, age_group=30 differs on total_watch_count versus the segment average.",Behavior difference is small or not clearly connected to risk/repurchase difference.
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,30,watch_days,weekly_usage,386,1.914508,2.0,1.0,2.0,1.919931,-0.005423,0.300518,0.655038,weak,"Within this segment, age_group=30 differs on watch_days versus the segment average.",Behavior difference is small or not clearly connected to risk/repurchase difference.
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,30,log_retention_w2_ratio,retention_decay,386,-2.070657,-2.138333,-4.439693,-0.31132,-2.212421,0.141764,0.300518,0.655038,weak,"Within this segment, age_group=30 differs on log_retention_w2_ratio versus the segment average.",Behavior difference is small or not clearly connected to risk/repurchase difference.
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,30,log_retention_w3_ratio,retention_decay,386,-1.275327,0.0,-2.62053,0.0,-1.16757,-0.107757,0.300518,0.655038,weak,"Within this segment, age_group=30 differs on log_retention_w3_ratio versus the segment average.",Behavior difference is small or not clearly connected to risk/repurchase difference.
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,30,active_ratio,usage_concentration,386,0.091167,0.095238,0.047619,0.095238,0.091425,-0.000258,0.300518,0.655038,weak,"Within this segment, age_group=30 differs on active_ratio versus the segment average.",Behavior difference is small or not clearly connected to risk/repurchase difference.
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,30,recency,inactivity_recency,386,13.756477,14.0,10.0,17.0,13.840438,-0.083961,0.300518,0.655038,weak,"Within this segment, age_group=30 differs on recency versus the segment average.",Behavior difference is small or not clearly connected to risk/repurchase difference.
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,30,max_inactive_gap_days,inactivity_recency,386,2.367876,1.0,0.0,4.75,2.237327,0.130548,0.300518,0.655038,weak,"Within this segment, age_group=30 differs on max_inactive_gap_days versus the segment average.",Behavior difference is small or not clearly connected to risk/repurchase difference.
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,30,is_only_w1,week_specific_usage_pattern,386,0.541451,1.0,0.0,1.0,0.56682,-0.025369,0.300518,0.655038,weak,"Within this segment, age_group=30 differs on is_only_w1 versus the segment average.",Behavior difference is small or not clearly connected to risk/repurchase difference.
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,30,is_only_w2,week_specific_usage_pattern,386,0.150259,0.0,0.0,0.0,0.130184,0.020075,0.300518,0.655038,moderate,"Within this segment, age_group=30 differs on is_only_w2 versus the segment average.","Behavior difference exists, but action use remains provisional."
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,30,is_only_w3,week_specific_usage_pattern,386,0.0,0.0,0.0,0.0,0.0,0.0,0.300518,0.655038,weak,"Within this segment, age_group=30 differs on is_only_w3 versus the segment average.",Behavior difference is small or not clearly connected to risk/repurchase difference.
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,30,genre_diversity_count,genre_preference,386,1.950777,1.0,1.0,3.0,1.919931,0.030846,0.300518,0.655038,weak,"Within this segment, age_group=30 differs on genre_diversity_count versus the segment average.",Behavior difference is small or not clearly connected to risk/repurchase difference.
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,30,action_adventure_ratio,genre_preference,386,0.139463,0.0,0.0,0.024639,0.156396,-0.016933,0.300518,0.655038,moderate,"Within this segment, age_group=30 differs on action_adventure_ratio versus the segment average.","Behavior difference exists, but action use remains provisional."
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,30,family_animation_ratio,genre_preference,386,0.094565,0.0,0.0,0.0,0.087461,0.007104,0.300518,0.655038,weak,"Within this segment, age_group=30 differs on family_animation_ratio versus the segment average.",Behavior difference is small or not clearly connected to risk/repurchase difference.
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,30,drama_ratio,genre_preference,386,0.107511,0.0,0.0,0.000567,0.132762,-0.025251,0.300518,0.655038,moderate,"Within this segment, age_group=30 differs on drama_ratio versus the segment average.","Behavior difference exists, but action use remains provisional."
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,30,thriller_crime_ratio,genre_preference,386,0.165727,0.0,0.0,0.16275,0.172888,-0.007161,0.300518,0.655038,weak,"Within this segment, age_group=30 differs on thriller_crime_ratio versus the segment average.",Behavior difference is small or not clearly connected to risk/repurchase difference.
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,30,sf_fantasy_ratio,genre_preference,386,0.158237,0.0,0.0,0.024801,0.153355,0.004882,0.300518,0.655038,weak,"Within this segment, age_group=30 differs on sf_fantasy_ratio versus the segment average.",Behavior difference is small or not clearly connected to risk/repurchase difference.
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,30,comedy_ratio,genre_preference,386,0.098235,0.0,0.0,0.0,0.091473,0.006762,0.300518,0.655038,weak,"Within this segment, age_group=30 differs on comedy_ratio versus the segment average.",Behavior difference is small or not clearly connected to risk/repurchase difference.
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,30,romance_ratio,genre_preference,386,0.07672,0.0,0.0,0.0,0.07165,0.00507,0.300518,0.655038,weak,"Within this segment, age_group=30 differs on romance_ratio versus the segment average.",Behavior difference is small or not clearly connected to risk/repurchase difference.
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,30,horror_ratio,genre_preference,386,0.040546,0.0,0.0,0.0,0.039484,0.001061,0.300518,0.655038,weak,"Within this segment, age_group=30 differs on horror_ratio versus the segment average.",Behavior difference is small or not clearly connected to risk/repurchase difference.
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,30,documentary_ratio,genre_preference,386,0.021955,0.0,0.0,0.0,0.016216,0.005739,0.300518,0.655038,moderate,"Within this segment, age_group=30 differs on documentary_ratio versus the segment average.","Behavior difference exists, but action use remains provisional."
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,30,historical_war_ratio,genre_preference,386,0.079548,0.0,0.0,0.0,0.06359,0.015958,0.300518,0.655038,moderate,"Within this segment, age_group=30 differs on historical_war_ratio versus the segment average.","Behavior difference exists, but action use remains provisional."
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,30,other_ratio,genre_preference,386,0.017494,0.0,0.0,0.0,0.014725,0.002769,0.300518,0.655038,moderate,"Within this segment, age_group=30 differs on other_ratio versus the segment average.","Behavior difference exists, but action use remains provisional."
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,40,watch_time_min_w1,weekly_usage,853,89.403283,63.0,3.0,127.0,94.741935,-5.338653,0.311841,0.658718,weak,"Within this segment, age_group=40 differs on watch_time_min_w1 versus the segment average.",Behavior difference is small or not clearly connected to risk/repurchase difference.
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,40,watch_time_min_w2,weekly_usage,853,17.065651,0.0,0.0,4.0,19.402074,-2.336423,0.311841,0.658718,moderate,"Within this segment, age_group=40 differs on watch_time_min_w2 versus the segment average.","Behavior difference exists, but action use remains provisional."
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,40,watch_time_min_w3,weekly_usage,853,0.0,0.0,0.0,0.0,0.0,0.0,0.311841,0.658718,weak,"Within this segment, age_group=40 differs on watch_time_min_w3 versus the segment average.",Behavior difference is small or not clearly connected to risk/repurchase difference.
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,40,watch_session_w1,weekly_usage,853,2.47714,2.0,1.0,3.0,2.536866,-0.059727,0.311841,0.658718,weak,"Within this segment, age_group=40 differs on watch_session_w1 versus the segment average.",Behavior difference is small or not clearly connected to risk/repurchase difference.
promo0,promo0_s01,promo0_high_risk_week3_inactive,age_group,40,watch_session_w2,weekly_usage,853,0.772567,0.0,0.0,1.0,0.822581,-0.050013,0.311841,0.658718,weak,"Within this segment, age_group=40 differs on watch_session_w2 versus the segment average.",Behavior difference is small or not clearly connected to risk/repurchase difference.
