promo_scope,revised_segment_family,demographic_modifier,observed_demographic_pattern,observed_behavior_difference,recommended_message_direction,recommended_channel_or_touchpoint,recommended_content_strategy,evidence_file,evidence_strength,risk_of_overinterpretation,final_status
promo0,other_needs_review_residual,age_group=10,n=59; churn=0.0678; risk=0.1015,total_watch_time_min diff_vs_segment=41.3581,"Adjust copy around the observed behavior difference, not around demographic identity itself.",Use as review candidate for channel/touchpoint planning after user approval.,Use only if behavior feature or genre evidence supports a content cue.,17_segment_age_behavior_profile_demographic_hotfix.csv,moderate,medium; do not describe age/gender as churn cause,recommended_for_business_storyline_candidate
promo0,other_needs_review_residual,age_group=60,n=87; churn=0.1149; risk=0.1223,watch_time_min_w1 diff_vs_segment=26.7202,"Adjust copy around the observed behavior difference, not around demographic identity itself.",Use as review candidate for channel/touchpoint planning after user approval.,Use only if behavior feature or genre evidence supports a content cue.,17_segment_age_behavior_profile_demographic_hotfix.csv,moderate,medium; do not describe age/gender as churn cause,recommended_for_business_storyline_candidate
promo0,stable_usage_lower_risk,age_group=30,n=416; churn=0.0625; risk=0.0739,watch_time_min_w3 diff_vs_segment=-12.6870,"Adjust copy around the observed behavior difference, not around demographic identity itself.",Use as review candidate for channel/touchpoint planning after user approval.,Use only if behavior feature or genre evidence supports a content cue.,17_segment_age_behavior_profile_demographic_hotfix.csv,moderate,medium; do not describe age/gender as churn cause,recommended_for_business_storyline_candidate
promo0,stable_usage_lower_risk,age_group=20,n=414; churn=0.0797; risk=0.0736,watch_time_min_w3 diff_vs_segment=10.8692,"Adjust copy around the observed behavior difference, not around demographic identity itself.",Use as review candidate for channel/touchpoint planning after user approval.,Use only if behavior feature or genre evidence supports a content cue.,17_segment_age_behavior_profile_demographic_hotfix.csv,moderate,medium; do not describe age/gender as churn cause,recommended_for_business_storyline_candidate
promo0,stable_usage_lower_risk,age_group=30,n=416; churn=0.0625; risk=0.0739,watch_time_min_w2 diff_vs_segment=8.8363,"Adjust copy around the observed behavior difference, not around demographic identity itself.",Use as review candidate for channel/touchpoint planning after user approval.,Use only if behavior feature or genre evidence supports a content cue.,17_segment_age_behavior_profile_demographic_hotfix.csv,moderate,medium; do not describe age/gender as churn cause,recommended_for_business_storyline_candidate
promo1,high_risk_activation_or_low_engagement,age_group=30,n=116; churn=0.7586; risk=0.7318,total_watch_time_min diff_vs_segment=-4.3883,"Adjust copy around the observed behavior difference, not around demographic identity itself.",Use as review candidate for channel/touchpoint planning after user approval.,Use only if behavior feature or genre evidence supports a content cue.,17_segment_age_behavior_profile_demographic_hotfix.csv,moderate,medium; do not describe age/gender as churn cause,recommended_for_business_storyline_candidate
promo1,high_risk_activation_or_low_engagement,age_group=30,n=116; churn=0.7586; risk=0.7318,watch_time_min_w2 diff_vs_segment=-3.3932,"Adjust copy around the observed behavior difference, not around demographic identity itself.",Use as review candidate for channel/touchpoint planning after user approval.,Use only if behavior feature or genre evidence supports a content cue.,17_segment_age_behavior_profile_demographic_hotfix.csv,moderate,medium; do not describe age/gender as churn cause,recommended_for_business_storyline_candidate
promo1,high_risk_activation_or_low_engagement,age_group=30,n=116; churn=0.7586; risk=0.7318,watch_time_min_w3 diff_vs_segment=-1.2419,"Adjust copy around the observed behavior difference, not around demographic identity itself.",Use as review candidate for channel/touchpoint planning after user approval.,Use only if behavior feature or genre evidence supports a content cue.,17_segment_age_behavior_profile_demographic_hotfix.csv,moderate,medium; do not describe age/gender as churn cause,recommended_for_business_storyline_candidate
promo1,high_risk_week3_inactivity_or_retention_decay,age_group=10,n=54; churn=0.7407; risk=0.7270,total_watch_time_min diff_vs_segment=-12.4893,"Adjust copy around the observed behavior difference, not around demographic identity itself.",Use as review candidate for channel/touchpoint planning after user approval.,Use only if behavior feature or genre evidence supports a content cue.,17_segment_age_behavior_profile_demographic_hotfix.csv,moderate,medium; do not describe age/gender as churn cause,recommended_for_business_storyline_candidate
promo1,high_risk_week3_inactivity_or_retention_decay,age_group=60,n=48; churn=0.7708; risk=0.7263,total_watch_time_min diff_vs_segment=-12.3366,"Adjust copy around the observed behavior difference, not around demographic identity itself.",Use as review candidate for channel/touchpoint planning after user approval.,Use only if behavior feature or genre evidence supports a content cue.,17_segment_age_behavior_profile_demographic_hotfix.csv,moderate,medium; do not describe age/gender as churn cause,recommended_for_business_storyline_candidate
promo1,high_risk_week3_inactivity_or_retention_decay,age_group=60,n=48; churn=0.7708; risk=0.7263,watch_time_min_w1 diff_vs_segment=-10.8839,"Adjust copy around the observed behavior difference, not around demographic identity itself.",Use as review candidate for channel/touchpoint planning after user approval.,Use only if behavior feature or genre evidence supports a content cue.,17_segment_age_behavior_profile_demographic_hotfix.csv,moderate,medium; do not describe age/gender as churn cause,recommended_for_business_storyline_candidate
promo1,mid_risk_retention_watchlist,age_group=40,n=219; churn=0.6119; risk=0.5248,total_watch_time_min diff_vs_segment=16.4687,"Adjust copy around the observed behavior difference, not around demographic identity itself.",Use as review candidate for channel/touchpoint planning after user approval.,Use only if behavior feature or genre evidence supports a content cue.,17_segment_age_behavior_profile_demographic_hotfix.csv,moderate,medium; do not describe age/gender as churn cause,recommended_for_business_storyline_candidate
promo1,mid_risk_retention_watchlist,age_group=40,n=219; churn=0.6119; risk=0.5248,watch_time_min_w1 diff_vs_segment=10.6651,"Adjust copy around the observed behavior difference, not around demographic identity itself.",Use as review candidate for channel/touchpoint planning after user approval.,Use only if behavior feature or genre evidence supports a content cue.,17_segment_age_behavior_profile_demographic_hotfix.csv,moderate,medium; do not describe age/gender as churn cause,recommended_for_business_storyline_candidate
promo1,mid_risk_retention_watchlist,age_group=30,n=413; churn=0.5908; risk=0.5274,watch_time_min_w1 diff_vs_segment=-5.1829,"Adjust copy around the observed behavior difference, not around demographic identity itself.",Use as review candidate for channel/touchpoint planning after user approval.,Use only if behavior feature or genre evidence supports a content cue.,17_segment_age_behavior_profile_demographic_hotfix.csv,moderate,medium; do not describe age/gender as churn cause,recommended_for_business_storyline_candidate
promo1,other_needs_review_residual,age_group=60,n=172; churn=0.1802; risk=0.2133,total_watch_time_min diff_vs_segment=-28.1626,"Adjust copy around the observed behavior difference, not around demographic identity itself.",Use as review candidate for channel/touchpoint planning after user approval.,Use only if behavior feature or genre evidence supports a content cue.,17_segment_age_behavior_profile_demographic_hotfix.csv,moderate,medium; do not describe age/gender as churn cause,recommended_for_business_storyline_candidate
promo1,other_needs_review_residual,age_group=60,n=172; churn=0.1802; risk=0.2133,watch_time_min_w3 diff_vs_segment=-16.2350,"Adjust copy around the observed behavior difference, not around demographic identity itself.",Use as review candidate for channel/touchpoint planning after user approval.,Use only if behavior feature or genre evidence supports a content cue.,17_segment_age_behavior_profile_demographic_hotfix.csv,moderate,medium; do not describe age/gender as churn cause,recommended_for_business_storyline_candidate
promo1,other_needs_review_residual,age_group=60,n=172; churn=0.1802; risk=0.2133,watch_time_min_w2 diff_vs_segment=-11.6029,"Adjust copy around the observed behavior difference, not around demographic identity itself.",Use as review candidate for channel/touchpoint planning after user approval.,Use only if behavior feature or genre evidence supports a content cue.,17_segment_age_behavior_profile_demographic_hotfix.csv,moderate,medium; do not describe age/gender as churn cause,recommended_for_business_storyline_candidate
promo1,stable_usage_lower_risk,age_group=10,n=48; churn=0.1250; risk=0.1407,watch_time_min_w3 diff_vs_segment=-28.3250,"Adjust copy around the observed behavior difference, not around demographic identity itself.",Use as review candidate for channel/touchpoint planning after user approval.,Use only if behavior feature or genre evidence supports a content cue.,17_segment_age_behavior_profile_demographic_hotfix.csv,moderate,medium; do not describe age/gender as churn cause,recommended_for_business_storyline_candidate
promo1,stable_usage_lower_risk,age_group=40,n=336; churn=0.1131; risk=0.1320,watch_time_min_w2 diff_vs_segment=-24.7226,"Adjust copy around the observed behavior difference, not around demographic identity itself.",Use as review candidate for channel/touchpoint planning after user approval.,Use only if behavior feature or genre evidence supports a content cue.,17_segment_age_behavior_profile_demographic_hotfix.csv,moderate,medium; do not describe age/gender as churn cause,recommended_for_business_storyline_candidate
promo1,stable_usage_lower_risk,age_group=10,n=48; churn=0.1250; risk=0.1407,total_watch_time_min diff_vs_segment=-21.1966,"Adjust copy around the observed behavior difference, not around demographic identity itself.",Use as review candidate for channel/touchpoint planning after user approval.,Use only if behavior feature or genre evidence supports a content cue.,17_segment_age_behavior_profile_demographic_hotfix.csv,moderate,medium; do not describe age/gender as churn cause,recommended_for_business_storyline_candidate
promo0,high_risk_activation_or_low_engagement,gender_derived=unknown_or_unreported,n=95; churn=0.7579; risk=0.6278,total_watch_time_min diff_vs_segment=-5.7758,"Adjust copy around the observed behavior difference, not around demographic identity itself.",Use as review candidate for channel/touchpoint planning after user approval.,Use only if behavior feature or genre evidence supports a content cue.,17_segment_gender_behavior_profile_demographic_hotfix.csv,moderate,medium; do not describe age/gender as churn cause,recommended_for_business_storyline_candidate
promo0,high_risk_activation_or_low_engagement,gender_derived=unknown_or_unreported,n=95; churn=0.7579; risk=0.6278,watch_time_min_w3 diff_vs_segment=-5.6348,"Adjust copy around the observed behavior difference, not around demographic identity itself.",Use as review candidate for channel/touchpoint planning after user approval.,Use only if behavior feature or genre evidence supports a content cue.,17_segment_gender_behavior_profile_demographic_hotfix.csv,moderate,medium; do not describe age/gender as churn cause,recommended_for_business_storyline_candidate
promo0,high_risk_activation_or_low_engagement,gender_derived=female,n=130; churn=0.7308; risk=0.6241,total_watch_time_min diff_vs_segment=3.7396,"Adjust copy around the observed behavior difference, not around demographic identity itself.",Use as review candidate for channel/touchpoint planning after user approval.,Use only if behavior feature or genre evidence supports a content cue.,17_segment_gender_behavior_profile_demographic_hotfix.csv,moderate,medium; do not describe age/gender as churn cause,recommended_for_business_storyline_candidate
promo0,high_risk_week3_inactivity_or_retention_decay,gender_derived=unknown_or_unreported,n=571; churn=0.6708; risk=0.6422,total_watch_time_min diff_vs_segment=-8.4325,"Adjust copy around the observed behavior difference, not around demographic identity itself.",Use as review candidate for channel/touchpoint planning after user approval.,Use only if behavior feature or genre evidence supports a content cue.,17_segment_gender_behavior_profile_demographic_hotfix.csv,moderate,medium; do not describe age/gender as churn cause,recommended_for_business_storyline_candidate
promo0,high_risk_week3_inactivity_or_retention_decay,gender_derived=unknown_or_unreported,n=571; churn=0.6708; risk=0.6422,watch_time_min_w1 diff_vs_segment=-5.6828,"Adjust copy around the observed behavior difference, not around demographic identity itself.",Use as review candidate for channel/touchpoint planning after user approval.,Use only if behavior feature or genre evidence supports a content cue.,17_segment_gender_behavior_profile_demographic_hotfix.csv,moderate,medium; do not describe age/gender as churn cause,recommended_for_business_storyline_candidate
promo0,high_risk_week3_inactivity_or_retention_decay,gender_derived=female,n=819; churn=0.6838; risk=0.6579,total_watch_time_min diff_vs_segment=5.5747,"Adjust copy around the observed behavior difference, not around demographic identity itself.",Use as review candidate for channel/touchpoint planning after user approval.,Use only if behavior feature or genre evidence supports a content cue.,17_segment_gender_behavior_profile_demographic_hotfix.csv,moderate,medium; do not describe age/gender as churn cause,recommended_for_business_storyline_candidate
promo0,mid_risk_retention_watchlist,gender_derived=female,n=557; churn=0.4219; risk=0.3608,total_watch_time_min diff_vs_segment=-9.2492,"Adjust copy around the observed behavior difference, not around demographic identity itself.",Use as review candidate for channel/touchpoint planning after user approval.,Use only if behavior feature or genre evidence supports a content cue.,17_segment_gender_behavior_profile_demographic_hotfix.csv,moderate,medium; do not describe age/gender as churn cause,recommended_for_business_storyline_candidate
promo0,mid_risk_retention_watchlist,gender_derived=female,n=557; churn=0.4219; risk=0.3608,watch_time_min_w1 diff_vs_segment=-8.8647,"Adjust copy around the observed behavior difference, not around demographic identity itself.",Use as review candidate for channel/touchpoint planning after user approval.,Use only if behavior feature or genre evidence supports a content cue.,17_segment_gender_behavior_profile_demographic_hotfix.csv,moderate,medium; do not describe age/gender as churn cause,recommended_for_business_storyline_candidate
promo0,mid_risk_retention_watchlist,gender_derived=male,n=312; churn=0.4423; risk=0.3658,watch_time_min_w1 diff_vs_segment=-5.1776,"Adjust copy around the observed behavior difference, not around demographic identity itself.",Use as review candidate for channel/touchpoint planning after user approval.,Use only if behavior feature or genre evidence supports a content cue.,17_segment_gender_behavior_profile_demographic_hotfix.csv,moderate,medium; do not describe age/gender as churn cause,recommended_for_business_storyline_candidate
promo0,other_needs_review_residual,gender_derived=unknown_or_unreported,n=1912; churn=0.0952; risk=0.1159,total_watch_time_min diff_vs_segment=-8.1844,"Adjust copy around the observed behavior difference, not around demographic identity itself.",Use as review candidate for channel/touchpoint planning after user approval.,Use only if behavior feature or genre evidence supports a content cue.,17_segment_gender_behavior_profile_demographic_hotfix.csv,moderate,medium; do not describe age/gender as churn cause,recommended_for_business_storyline_candidate
promo0,other_needs_review_residual,gender_derived=unknown_or_unreported,n=1912; churn=0.0952; risk=0.1159,watch_time_min_w3 diff_vs_segment=-7.1091,"Adjust copy around the observed behavior difference, not around demographic identity itself.",Use as review candidate for channel/touchpoint planning after user approval.,Use only if behavior feature or genre evidence supports a content cue.,17_segment_gender_behavior_profile_demographic_hotfix.csv,moderate,medium; do not describe age/gender as churn cause,recommended_for_business_storyline_candidate
promo0,other_needs_review_residual,gender_derived=male,n=1367; churn=0.0922; risk=0.1127,total_watch_time_min diff_vs_segment=5.9445,"Adjust copy around the observed behavior difference, not around demographic identity itself.",Use as review candidate for channel/touchpoint planning after user approval.,Use only if behavior feature or genre evidence supports a content cue.,17_segment_gender_behavior_profile_demographic_hotfix.csv,moderate,medium; do not describe age/gender as churn cause,recommended_for_business_storyline_candidate
promo0,stable_usage_lower_risk,gender_derived=male,n=475; churn=0.0863; risk=0.0715,total_watch_time_min diff_vs_segment=-9.1181,"Adjust copy around the observed behavior difference, not around demographic identity itself.",Use as review candidate for channel/touchpoint planning after user approval.,Use only if behavior feature or genre evidence supports a content cue.,17_segment_gender_behavior_profile_demographic_hotfix.csv,moderate,medium; do not describe age/gender as churn cause,recommended_for_business_storyline_candidate
promo0,stable_usage_lower_risk,gender_derived=male,n=475; churn=0.0863; risk=0.0715,watch_time_min_w1 diff_vs_segment=-5.9279,"Adjust copy around the observed behavior difference, not around demographic identity itself.",Use as review candidate for channel/touchpoint planning after user approval.,Use only if behavior feature or genre evidence supports a content cue.,17_segment_gender_behavior_profile_demographic_hotfix.csv,moderate,medium; do not describe age/gender as churn cause,recommended_for_business_storyline_candidate
promo0,stable_usage_lower_risk,gender_derived=unknown_or_unreported,n=596; churn=0.0721; risk=0.0701,watch_time_min_w1 diff_vs_segment=4.6202,"Adjust copy around the observed behavior difference, not around demographic identity itself.",Use as review candidate for channel/touchpoint planning after user approval.,Use only if behavior feature or genre evidence supports a content cue.,17_segment_gender_behavior_profile_demographic_hotfix.csv,moderate,medium; do not describe age/gender as churn cause,recommended_for_business_storyline_candidate
promo1,high_risk_activation_or_low_engagement,gender_derived=female,n=223; churn=0.7578; risk=0.7318,total_watch_time_min diff_vs_segment=2.1679,"Adjust copy around the observed behavior difference, not around demographic identity itself.",Use as review candidate for channel/touchpoint planning after user approval.,Use only if behavior feature or genre evidence supports a content cue.,17_segment_gender_behavior_profile_demographic_hotfix.csv,moderate,medium; do not describe age/gender as churn cause,recommended_for_business_storyline_candidate
promo1,high_risk_activation_or_low_engagement,gender_derived=female,n=223; churn=0.7578; risk=0.7318,watch_time_min_w3 diff_vs_segment=2.0821,"Adjust copy around the observed behavior difference, not around demographic identity itself.",Use as review candidate for channel/touchpoint planning after user approval.,Use only if behavior feature or genre evidence supports a content cue.,17_segment_gender_behavior_profile_demographic_hotfix.csv,moderate,medium; do not describe age/gender as churn cause,recommended_for_business_storyline_candidate
promo1,high_risk_activation_or_low_engagement,gender_derived=male,n=147; churn=0.8231; risk=0.7315,watch_time_min_w2 diff_vs_segment=-0.1118,"Adjust copy around the observed behavior difference, not around demographic identity itself.",Use as review candidate for channel/touchpoint planning after user approval.,Use only if behavior feature or genre evidence supports a content cue.,17_segment_gender_behavior_profile_demographic_hotfix.csv,moderate,medium; do not describe age/gender as churn cause,recommended_for_business_storyline_candidate
promo1,high_risk_week3_inactivity_or_retention_decay,gender_derived=male,n=730; churn=0.7397; risk=0.7370,total_watch_time_min diff_vs_segment=3.1761,"Adjust copy around the observed behavior difference, not around demographic identity itself.",Use as review candidate for channel/touchpoint planning after user approval.,Use only if behavior feature or genre evidence supports a content cue.,17_segment_gender_behavior_profile_demographic_hotfix.csv,moderate,medium; do not describe age/gender as churn cause,recommended_for_business_storyline_candidate
promo1,high_risk_week3_inactivity_or_retention_decay,gender_derived=male,n=730; churn=0.7397; risk=0.7370,watch_time_min_w1 diff_vs_segment=2.1210,"Adjust copy around the observed behavior difference, not around demographic identity itself.",Use as review candidate for channel/touchpoint planning after user approval.,Use only if behavior feature or genre evidence supports a content cue.,17_segment_gender_behavior_profile_demographic_hotfix.csv,moderate,medium; do not describe age/gender as churn cause,recommended_for_business_storyline_candidate
promo1,high_risk_week3_inactivity_or_retention_decay,gender_derived=female,n=1163; churn=0.7446; risk=0.7417,total_watch_time_min diff_vs_segment=-1.9936,"Adjust copy around the observed behavior difference, not around demographic identity itself.",Use as review candidate for channel/touchpoint planning after user approval.,Use only if behavior feature or genre evidence supports a content cue.,17_segment_gender_behavior_profile_demographic_hotfix.csv,moderate,medium; do not describe age/gender as churn cause,recommended_for_business_storyline_candidate
promo1,mid_risk_retention_watchlist,gender_derived=male,n=489; churn=0.6299; risk=0.5298,watch_time_min_w1 diff_vs_segment=3.8364,"Adjust copy around the observed behavior difference, not around demographic identity itself.",Use as review candidate for channel/touchpoint planning after user approval.,Use only if behavior feature or genre evidence supports a content cue.,17_segment_gender_behavior_profile_demographic_hotfix.csv,moderate,medium; do not describe age/gender as churn cause,recommended_for_business_storyline_candidate
promo1,mid_risk_retention_watchlist,gender_derived=male,n=489; churn=0.6299; risk=0.5298,total_watch_time_min diff_vs_segment=3.1959,"Adjust copy around the observed behavior difference, not around demographic identity itself.",Use as review candidate for channel/touchpoint planning after user approval.,Use only if behavior feature or genre evidence supports a content cue.,17_segment_gender_behavior_profile_demographic_hotfix.csv,moderate,medium; do not describe age/gender as churn cause,recommended_for_business_storyline_candidate
promo1,mid_risk_retention_watchlist,gender_derived=female,n=820; churn=0.5841; risk=0.5264,watch_time_min_w1 diff_vs_segment=-2.2878,"Adjust copy around the observed behavior difference, not around demographic identity itself.",Use as review candidate for channel/touchpoint planning after user approval.,Use only if behavior feature or genre evidence supports a content cue.,17_segment_gender_behavior_profile_demographic_hotfix.csv,moderate,medium; do not describe age/gender as churn cause,recommended_for_business_storyline_candidate
promo1,other_needs_review_residual,gender_derived=male,n=2428; churn=0.1866; risk=0.1941,total_watch_time_min diff_vs_segment=-10.2315,"Adjust copy around the observed behavior difference, not around demographic identity itself.",Use as review candidate for channel/touchpoint planning after user approval.,Use only if behavior feature or genre evidence supports a content cue.,17_segment_gender_behavior_profile_demographic_hotfix.csv,moderate,medium; do not describe age/gender as churn cause,recommended_for_business_storyline_candidate
promo1,other_needs_review_residual,gender_derived=female,n=3903; churn=0.1773; risk=0.1940,total_watch_time_min diff_vs_segment=6.3033,"Adjust copy around the observed behavior difference, not around demographic identity itself.",Use as review candidate for channel/touchpoint planning after user approval.,Use only if behavior feature or genre evidence supports a content cue.,17_segment_gender_behavior_profile_demographic_hotfix.csv,moderate,medium; do not describe age/gender as churn cause,recommended_for_business_storyline_candidate
promo1,other_needs_review_residual,gender_derived=male,n=2428; churn=0.1866; risk=0.1941,watch_time_min_w1 diff_vs_segment=-5.4302,"Adjust copy around the observed behavior difference, not around demographic identity itself.",Use as review candidate for channel/touchpoint planning after user approval.,Use only if behavior feature or genre evidence supports a content cue.,17_segment_gender_behavior_profile_demographic_hotfix.csv,moderate,medium; do not describe age/gender as churn cause,recommended_for_business_storyline_candidate
promo1,stable_usage_lower_risk,gender_derived=male,n=744; churn=0.1223; risk=0.1363,total_watch_time_min diff_vs_segment=-10.4641,"Adjust copy around the observed behavior difference, not around demographic identity itself.",Use as review candidate for channel/touchpoint planning after user approval.,Use only if behavior feature or genre evidence supports a content cue.,17_segment_gender_behavior_profile_demographic_hotfix.csv,moderate,medium; do not describe age/gender as churn cause,recommended_for_business_storyline_candidate
promo1,stable_usage_lower_risk,gender_derived=female,n=1254; churn=0.1180; risk=0.1328,total_watch_time_min diff_vs_segment=6.1840,"Adjust copy around the observed behavior difference, not around demographic identity itself.",Use as review candidate for channel/touchpoint planning after user approval.,Use only if behavior feature or genre evidence supports a content cue.,17_segment_gender_behavior_profile_demographic_hotfix.csv,moderate,medium; do not describe age/gender as churn cause,recommended_for_business_storyline_candidate
promo1,stable_usage_lower_risk,gender_derived=male,n=744; churn=0.1223; risk=0.1363,watch_time_min_w3 diff_vs_segment=-5.8392,"Adjust copy around the observed behavior difference, not around demographic identity itself.",Use as review candidate for channel/touchpoint planning after user approval.,Use only if behavior feature or genre evidence supports a content cue.,17_segment_gender_behavior_profile_demographic_hotfix.csv,moderate,medium; do not describe age/gender as churn cause,recommended_for_business_storyline_candidate
