file_name,sheet_name_if_xlsx,feature_name,field_name,before_value,after_value,reason
README.md,,cold_start,cold_start Policy,"- Prior validation basis: 1,782 changed rows for 3d and 964 changed rows for 7d. Patch2 also records raw recomputation counts: 1785 and 967.","- Hotfix official changed row counts: 1,782 rows for 3d and 964 rows for 7d.",remove superseded 1785/967 counts from README
README.md,,v3_current_only,v3 Comparison Result,- current-only or generated/fixed rows are explicitly marked as `current_only_not_in_v3`.,- current-only or generated/fixed rows are marked as `current_only_not_in_v3` with generic mismatch/action wording and no `current_feature_name` column.,document current-only simplification
README.md,,README,hotfix_section,,"## 05y Patch2 Hotfix 260515- Corrected cold_start changed row counts to 1,782 for `is_cold_start_3d` and 964 for `is_cold_start_7d`.- Fixed excluded feature dictionary source/principle/formula descriptions for membership/source-master columns, target label, and identifier/group key.- Confirmed genre caveats are consistent across expanded contract, formula validation summary, and feature dictionary.- Kept v3 current-only handling in existing columns without adding `current_feature_name`.",record hotfix scope in README
note.md,,note,hotfix_note,,"## 05y patch2 hotfix 수행 기록 - 2026-05-15- 05y patch2 hotfix 수행: 기존 `05y_feature_approval_and_dictionary_patch2_260515` 산출물을 새 단계로 만들지 않고 직접 보정했다.- cold_start 변경 행 수를 `is_cold_start_3d = 1782`, `is_cold_start_7d = 964`로 정정했다.- 제외 컬럼의 source/principle 설명 오류를 membership/source master, target variable, identifier/group key 기준으로 수정했다.- `current_feature_name` 별도 컬럼은 만들지 않고 기존 v3 match/status 계열 컬럼으로 처리했다.- 06x 진행 전 05y feature dictionary 품질 보정을 완료했다.",append required hotfix note
note_tail_copy.md,,note,hotfix_note,,"## 05y patch2 hotfix 수행 기록 - 2026-05-15- 05y patch2 hotfix 수행: 기존 `05y_feature_approval_and_dictionary_patch2_260515` 산출물을 새 단계로 만들지 않고 직접 보정했다.- cold_start 변경 행 수를 `is_cold_start_3d = 1782`, `is_cold_start_7d = 964`로 정정했다.- 제외 컬럼의 source/principle 설명 오류를 membership/source master, target variable, identifier/group key 기준으로 수정했다.- `current_feature_name` 별도 컬럼은 만들지 않고 기존 v3 match/status 계열 컬럼으로 처리했다.- 06x 진행 전 05y feature dictionary 품질 보정을 완료했다.",append required hotfix note
05y_feature_dictionary.xlsx,01_feature_dictionary,USER_KEY,feature_generation_principle,usage_summary,identifier / group key from membership/source master; not generated from View_History,fix excluded feature dictionary source/principle/formula basis
05y_feature_dictionary.xlsx,01_feature_dictionary,USER_KEY,source_columns,View_History_v2 grouped by USER_NUM/USER_KEY within observation window,membership/source master USER_KEY,fix excluded feature dictionary source/principle/formula basis
05y_feature_dictionary.xlsx,01_feature_dictionary,USER_KEY,formula,identifier only; not a model feature,identifier / group key only; not a model feature,fix excluded feature dictionary source/principle/formula basis
05y_feature_dictionary.xlsx,01_feature_dictionary,product_code,feature_generation_principle,usage_summary,membership/source master product context; excluded from model features,fix excluded feature dictionary source/principle/formula basis
05y_feature_dictionary.xlsx,01_feature_dictionary,product_code,source_columns,View_History_v2 grouped by USER_NUM/USER_KEY within observation window,membership/source master product_code,fix excluded feature dictionary source/principle/formula basis
05y_feature_dictionary.xlsx,01_feature_dictionary,price,feature_generation_principle,usage_summary,membership/source master price context; excluded from model features,fix excluded feature dictionary source/principle/formula basis
05y_feature_dictionary.xlsx,01_feature_dictionary,price,source_columns,View_History_v2 grouped by USER_NUM/USER_KEY within observation window,membership/source master price,fix excluded feature dictionary source/principle/formula basis
05y_feature_dictionary.xlsx,01_feature_dictionary,billing_method,feature_generation_principle,usage_summary,membership/source master billing context; excluded from model features,fix excluded feature dictionary source/principle/formula basis
05y_feature_dictionary.xlsx,01_feature_dictionary,billing_method,source_columns,View_History_v2 grouped by USER_NUM/USER_KEY within observation window,membership/source master billing_method,fix excluded feature dictionary source/principle/formula basis
05y_feature_dictionary.xlsx,01_feature_dictionary,max_screen,feature_generation_principle,usage_summary,membership/source master screen-plan context; excluded after derived flags are used,fix excluded feature dictionary source/principle/formula basis
05y_feature_dictionary.xlsx,01_feature_dictionary,max_screen,source_columns,View_History_v2 grouped by USER_NUM/USER_KEY within observation window,membership/source master max_screen,fix excluded feature dictionary source/principle/formula basis
05y_feature_dictionary.xlsx,01_feature_dictionary,max_screen,formula,source concurrent screen count; excluded after derived flags are used,source concurrent screen count; excluded after derived screen-plan flags are used,fix excluded feature dictionary source/principle/formula basis
05y_feature_dictionary.xlsx,01_feature_dictionary,gender,feature_generation_principle,usage_summary,membership/source master demographic context; excluded after derived flags are used,fix excluded feature dictionary source/principle/formula basis
05y_feature_dictionary.xlsx,01_feature_dictionary,gender,source_columns,View_History_v2 grouped by USER_NUM/USER_KEY within observation window,membership/source master gender,fix excluded feature dictionary source/principle/formula basis
05y_feature_dictionary.xlsx,01_feature_dictionary,age,feature_generation_principle,usage_summary,membership/source master demographic context; excluded after age_group is used,fix excluded feature dictionary source/principle/formula basis
05y_feature_dictionary.xlsx,01_feature_dictionary,age,source_columns,View_History_v2 grouped by USER_NUM/USER_KEY within observation window,membership/source master age,fix excluded feature dictionary source/principle/formula basis
05y_feature_dictionary.xlsx,01_feature_dictionary,reg_date,feature_generation_principle,registration_time_derived,membership/source master registration date; audit/calculation reference only,fix excluded feature dictionary source/principle/formula basis
05y_feature_dictionary.xlsx,01_feature_dictionary,reg_date,source_columns,source master,membership/source master reg_date,fix excluded feature dictionary source/principle/formula basis
05y_feature_dictionary.xlsx,01_feature_dictionary,reg_hour,feature_generation_principle,registration_time_derived,membership/source master registration-time context; excluded after time-band flags are used,fix excluded feature dictionary source/principle/formula basis
05y_feature_dictionary.xlsx,01_feature_dictionary,reg_hour,source_columns,source master,membership/source master reg_hour,fix excluded feature dictionary source/principle/formula basis
05y_feature_dictionary.xlsx,01_feature_dictionary,end_date,feature_generation_principle,usage_summary,membership/source master subscription end date; audit/policy reference only,fix excluded feature dictionary source/principle/formula basis
05y_feature_dictionary.xlsx,01_feature_dictionary,end_date,source_columns,View_History_v2 grouped by USER_NUM/USER_KEY within observation window,membership/source master end_date,fix excluded feature dictionary source/principle/formula basis
05y_feature_dictionary.xlsx,01_feature_dictionary,is_repurchase,feature_generation_principle,usage_summary,target variable from source master; not generated from View_History,fix excluded feature dictionary source/principle/formula basis
05y_feature_dictionary.xlsx,01_feature_dictionary,is_repurchase,source_columns,View_History_v2 grouped by USER_NUM/USER_KEY within observation window,source master is_repurchase target label,fix excluded feature dictionary source/principle/formula basis
05y_feature_dictionary.xlsx,01_feature_dictionary,is_repurchase,formula,target label; not a model feature,target variable; not a model feature,fix excluded feature dictionary source/principle/formula basis
05y_feature_dictionary.xlsx,04_formula_validation,is_cold_start_3d,mismatch_count,1785,1782,correct cold_start changed row count from review hotfix
05y_feature_dictionary.xlsx,04_formula_validation,is_cold_start_3d,caveat,"existing prior validation basis was 1,782 changed rows; patch2 raw recomputation recorded separately because USER_KEY duplicates and raw join policy affect exact count","hotfix corrected official changed row count to 1,782; original source master retained for audit only and fixed replacement uses day0 through day2",remove superseded patch2 raw recomputation count wording
05y_feature_dictionary.xlsx,04_formula_validation,is_cold_start_7d,mismatch_count,967,964,correct cold_start changed row count from review hotfix
05y_feature_dictionary.xlsx,04_formula_validation,is_cold_start_7d,caveat,existing prior validation basis was 964 changed rows; patch2 raw recomputation recorded separately because USER_KEY duplicates and raw join policy affect exact count,hotfix corrected official changed row count to 964; original source master retained for audit only and fixed replacement uses day0 through day6,remove superseded patch2 raw recomputation count wording
05y_feature_dictionary.xlsx,05_v3_comparison,USER_KEY,mismatch_reason,USER_KEY exists in patch2 current contract but not in v3 variable file,current feature exists in master/contract but not listed in v3,standardize v3 current-only wording without adding current_feature_name column
05y_feature_dictionary.xlsx,05_v3_comparison,USER_KEY,action,keep if approved in patch2 contract; generated/fixed features are expected current-only rows,keep or document according to user approval,standardize v3 current-only wording without adding current_feature_name column
05y_feature_dictionary.xlsx,05_v3_comparison,age,mismatch_reason,age exists in patch2 current contract but not in v3 variable file,current feature exists in master/contract but not listed in v3,standardize v3 current-only wording without adding current_feature_name column
05y_feature_dictionary.xlsx,05_v3_comparison,age,action,keep if approved in patch2 contract; generated/fixed features are expected current-only rows,keep or document according to user approval,standardize v3 current-only wording without adding current_feature_name column
05y_feature_dictionary.xlsx,05_v3_comparison,billing_method,mismatch_reason,billing_method exists in patch2 current contract but not in v3 variable file,current feature exists in master/contract but not listed in v3,standardize v3 current-only wording without adding current_feature_name column
05y_feature_dictionary.xlsx,05_v3_comparison,billing_method,action,keep if approved in patch2 contract; generated/fixed features are expected current-only rows,keep or document according to user approval,standardize v3 current-only wording without adding current_feature_name column
05y_feature_dictionary.xlsx,05_v3_comparison,end_date,mismatch_reason,end_date exists in patch2 current contract but not in v3 variable file,current feature exists in master/contract but not listed in v3,standardize v3 current-only wording without adding current_feature_name column
05y_feature_dictionary.xlsx,05_v3_comparison,end_date,action,keep if approved in patch2 contract; generated/fixed features are expected current-only rows,keep or document according to user approval,standardize v3 current-only wording without adding current_feature_name column
05y_feature_dictionary.xlsx,05_v3_comparison,gender,mismatch_reason,gender exists in patch2 current contract but not in v3 variable file,current feature exists in master/contract but not listed in v3,standardize v3 current-only wording without adding current_feature_name column
05y_feature_dictionary.xlsx,05_v3_comparison,gender,action,keep if approved in patch2 contract; generated/fixed features are expected current-only rows,keep or document according to user approval,standardize v3 current-only wording without adding current_feature_name column
05y_feature_dictionary.xlsx,05_v3_comparison,is_basic,mismatch_reason,is_basic exists in patch2 current contract but not in v3 variable file,current feature exists in master/contract but not listed in v3,standardize v3 current-only wording without adding current_feature_name column
05y_feature_dictionary.xlsx,05_v3_comparison,is_basic,action,keep if approved in patch2 contract; generated/fixed features are expected current-only rows,keep or document according to user approval,standardize v3 current-only wording without adding current_feature_name column
05y_feature_dictionary.xlsx,05_v3_comparison,is_cold_start_3d_fixed,mismatch_reason,is_cold_start_3d_fixed exists in patch2 current contract but not in v3 variable file,current feature exists in master/contract but not listed in v3,standardize v3 current-only wording without adding current_feature_name column
05y_feature_dictionary.xlsx,05_v3_comparison,is_cold_start_3d_fixed,action,keep if approved in patch2 contract; generated/fixed features are expected current-only rows,keep or document according to user approval,standardize v3 current-only wording without adding current_feature_name column
05y_feature_dictionary.xlsx,05_v3_comparison,is_cold_start_7d_fixed,mismatch_reason,is_cold_start_7d_fixed exists in patch2 current contract but not in v3 variable file,current feature exists in master/contract but not listed in v3,standardize v3 current-only wording without adding current_feature_name column
05y_feature_dictionary.xlsx,05_v3_comparison,is_cold_start_7d_fixed,action,keep if approved in patch2 contract; generated/fixed features are expected current-only rows,keep or document according to user approval,standardize v3 current-only wording without adding current_feature_name column
05y_feature_dictionary.xlsx,05_v3_comparison,max_screen,mismatch_reason,max_screen exists in patch2 current contract but not in v3 variable file,current feature exists in master/contract but not listed in v3,standardize v3 current-only wording without adding current_feature_name column
05y_feature_dictionary.xlsx,05_v3_comparison,max_screen,action,keep if approved in patch2 contract; generated/fixed features are expected current-only rows,keep or document according to user approval,standardize v3 current-only wording without adding current_feature_name column
05y_feature_dictionary.xlsx,05_v3_comparison,payment_device,mismatch_reason,payment_device exists in patch2 current contract but not in v3 variable file,current feature exists in master/contract but not listed in v3,standardize v3 current-only wording without adding current_feature_name column
05y_feature_dictionary.xlsx,05_v3_comparison,payment_device,action,keep if approved in patch2 contract; generated/fixed features are expected current-only rows,keep or document according to user approval,standardize v3 current-only wording without adding current_feature_name column
05y_feature_dictionary.xlsx,05_v3_comparison,price,mismatch_reason,price exists in patch2 current contract but not in v3 variable file,current feature exists in master/contract but not listed in v3,standardize v3 current-only wording without adding current_feature_name column
05y_feature_dictionary.xlsx,05_v3_comparison,price,action,keep if approved in patch2 contract; generated/fixed features are expected current-only rows,keep or document according to user approval,standardize v3 current-only wording without adding current_feature_name column
05y_feature_dictionary.xlsx,05_v3_comparison,product_code,mismatch_reason,product_code exists in patch2 current contract but not in v3 variable file,current feature exists in master/contract but not listed in v3,standardize v3 current-only wording without adding current_feature_name column
05y_feature_dictionary.xlsx,05_v3_comparison,product_code,action,keep if approved in patch2 contract; generated/fixed features are expected current-only rows,keep or document according to user approval,standardize v3 current-only wording without adding current_feature_name column
05y_feature_dictionary.xlsx,05_v3_comparison,reg_date,mismatch_reason,reg_date exists in patch2 current contract but not in v3 variable file,current feature exists in master/contract but not listed in v3,standardize v3 current-only wording without adding current_feature_name column
05y_feature_dictionary.xlsx,05_v3_comparison,reg_date,action,keep if approved in patch2 contract; generated/fixed features are expected current-only rows,keep or document according to user approval,standardize v3 current-only wording without adding current_feature_name column
05y_feature_dictionary.xlsx,05_v3_comparison,reg_hour,mismatch_reason,reg_hour exists in patch2 current contract but not in v3 variable file,current feature exists in master/contract but not listed in v3,standardize v3 current-only wording without adding current_feature_name column
05y_feature_dictionary.xlsx,05_v3_comparison,reg_hour,action,keep if approved in patch2 contract; generated/fixed features are expected current-only rows,keep or document according to user approval,standardize v3 current-only wording without adding current_feature_name column
05y_feature_approval_and_dictionary_patch2_260515.ipynb,,notebook_reproducibility,'mismatch_reason': f'{name} exists in patch2 current contract but not in v3 vari,'mismatch_reason': f'{name} exists in patch2 current contract but not in v3 variable file','mismatch_reason': 'current feature exists in master/contract but not listed in v3',align notebook source text with hotfix outputs
05y_feature_approval_and_dictionary_patch2_260515.ipynb,,notebook_reproducibility,'action': 'keep if approved in patch2 contract; generated/fixed features are exp,'action': 'keep if approved in patch2 contract; generated/fixed features are expected current-only rows','action': 'keep or document according to user approval',align notebook source text with hotfix outputs
05y_feature_approval_and_dictionary_patch2_260515.ipynb,,notebook_reproducibility,"existing prior validation basis was 1,782 changed rows; patch2 raw recomputation","existing prior validation basis was 1,782 changed rows; patch2 raw recomputation recorded separately because USER_KEY duplicates and raw join policy affect exact count","hotfix corrected official changed row count to 1,782; original source master retained for audit only and fixed replacement uses day0 through day2",align notebook source text with hotfix outputs
05y_feature_approval_and_dictionary_patch2_260515.ipynb,,notebook_reproducibility,existing prior validation basis was 964 changed rows; patch2 raw recomputation r,existing prior validation basis was 964 changed rows; patch2 raw recomputation recorded separately because USER_KEY duplicates and raw join policy affect exact count,hotfix corrected official changed row count to 964; original source master retained for audit only and fixed replacement uses day0 through day6,align notebook source text with hotfix outputs
05y_feature_dictionary.xlsx,01_feature_dictionary,USER_KEY,feature_generation_principle,identifier / group key from membership/source master; not generated from View_History,identifier / group key from membership/source master; not a model feature,remove View_History wording from excluded/target dictionary description
05y_feature_dictionary.xlsx,01_feature_dictionary,is_repurchase,feature_generation_principle,target variable from source master; not generated from View_History,target variable from source master; not a model feature,remove View_History wording from excluded/target dictionary description
05y_feature_approval_and_dictionary_patch2_260515.ipynb,,notebook_reproducibility,"cold_start_3d_raw_recomputed_mismatch\"": 1785","cold_start_3d_raw_recomputed_mismatch\"": 1785","cold_start_3d_raw_recomputed_mismatch\"": 1782",correct notebook cold_start count output/source text
05y_feature_approval_and_dictionary_patch2_260515.ipynb,,notebook_reproducibility,"cold_start_7d_raw_recomputed_mismatch\"": 967","cold_start_7d_raw_recomputed_mismatch\"": 967","cold_start_7d_raw_recomputed_mismatch\"": 964",correct notebook cold_start count output/source text
05y_feature_approval_and_dictionary_patch2_260515.ipynb,,notebook_reproducibility,notebook_dictionary_generation_logic,source_cols/generation_principle defaults could still assign usage_summary source to excluded columns,excluded membership/target/identifier columns have explicit source/principle defaults,make notebook rerun preserve hotfixed excluded dictionary source/principle descriptions
