safe_model_feature_name,feature_set_name,AARRR_stage,feature_family,why_reviewed,distribution_summary,group_pattern_summary,risk_summary,caveat_reason,recommended_next_step,not_a_feature_selection_decision,notes
historical_war_ratio,expanded_feature_set,Retention_context,content_preference_context,09x strong observed feature or 08x/09x proxy-risk/context/content feature family,n=23079; mean=0.0659; q05=0.0000; median=0.0000; q95=0.4667; zero_rate=0.7832,promotion_only_mean=0.0647; nonpromotion_only_mean=0.0672; promotion_repurchase_mean=0.0668; promotion_nonrepurchase_mean=0.0605; nonpromotion_repurchase_mean=0.0694; nonpromotion_nonrepurchase_mean=0.0601,zero-inflation or tail risk; high/extreme VIF diagnostic,Movie_Master same MOVIE_NUM multi-category caveat applies to content/genre interpretation,carry to 11x actual input and scope-sensitivity preflight; no selection decision in 10x,True,observed distribution difference is not feature importance
horror_ratio,expanded_feature_set,Retention_context,content_preference_context,09x strong observed feature or 08x/09x proxy-risk/context/content feature family,n=23079; mean=0.0261; q05=0.0000; median=0.0000; q95=0.1675; zero_rate=0.8811,promotion_only_mean=0.0267; nonpromotion_only_mean=0.0256; promotion_repurchase_mean=0.0206; promotion_nonrepurchase_mean=0.0393; nonpromotion_repurchase_mean=0.0201; nonpromotion_nonrepurchase_mean=0.0431,zero-inflation or tail risk; high/extreme VIF diagnostic,Movie_Master same MOVIE_NUM multi-category caveat applies to content/genre interpretation,carry to 11x actual input and scope-sensitivity preflight; no selection decision in 10x,True,observed distribution difference is not feature importance
is_cold_start_3d_fixed,expanded_feature_set,Activation,onboarding_cold_start_fixed,09x strong observed feature or 08x/09x proxy-risk/context/content feature family,n=23079; mean=0.3869; q05=0.0000; median=0.0000; q95=1.0000; zero_rate=0.6131,promotion_only_mean=0.3850; nonpromotion_only_mean=0.3889; promotion_repurchase_mean=0.4005; promotion_nonrepurchase_mean=0.3527; nonpromotion_repurchase_mean=0.3904; nonpromotion_nonrepurchase_mean=0.3842,leakage/proxy pre-audit,cold_start_fixed row-level first-watch timing caveat applies,carry to 11x actual input and scope-sensitivity preflight; no selection decision in 10x,True,observed distribution difference is not feature importance
is_cold_start_7d_fixed,expanded_feature_set,Activation,onboarding_cold_start_fixed,09x strong observed feature or 08x/09x proxy-risk/context/content feature family,n=23079; mean=0.6379; q05=0.0000; median=1.0000; q95=1.0000; zero_rate=0.3621,promotion_only_mean=0.6348; nonpromotion_only_mean=0.6411; promotion_repurchase_mean=0.6231; promotion_nonrepurchase_mean=0.6592; nonpromotion_repurchase_mean=0.6239; nonpromotion_nonrepurchase_mean=0.6960,leakage/proxy pre-audit,cold_start_fixed row-level first-watch timing caveat applies,carry to 11x actual input and scope-sensitivity preflight; no selection decision in 10x,True,observed distribution difference is not feature importance
is_female,expanded_feature_set,Needs_user_review,profile_context_needs_review,09x strong observed feature or 08x/09x proxy-risk/context/content feature family,n=23079; mean=0.5349; q05=0.0000; median=1.0000; q95=1.0000; zero_rate=0.4651,promotion_only_mean=0.6185; nonpromotion_only_mean=0.4458; promotion_repurchase_mean=0.6232; promotion_nonrepurchase_mean=0.6087; nonpromotion_repurchase_mean=0.4480; nonpromotion_nonrepurchase_mean=0.4388,group proxy risk review; leakage/proxy pre-audit,,carry to 11x actual input and scope-sensitivity preflight; no selection decision in 10x,True,observed distribution difference is not feature importance
is_male,expanded_feature_set,Needs_user_review,profile_context_needs_review,09x strong observed feature or 08x/09x proxy-risk/context/content feature family,n=23079; mean=0.3135; q05=0.0000; median=0.0000; q95=1.0000; zero_rate=0.6865,promotion_only_mean=0.3812; nonpromotion_only_mean=0.2413; promotion_repurchase_mean=0.3764; promotion_nonrepurchase_mean=0.3913; nonpromotion_repurchase_mean=0.2362; nonpromotion_nonrepurchase_mean=0.2580,group proxy risk review; leakage/proxy pre-audit,,carry to 11x actual input and scope-sensitivity preflight; no selection decision in 10x,True,observed distribution difference is not feature importance
is_only_w1,expanded_feature_set,Activation,early_week1_watch_behavior,09x strong observed feature or 08x/09x proxy-risk/context/content feature family,n=23079; mean=0.0988; q05=0.0000; median=0.0000; q95=1.0000; zero_rate=0.9012,promotion_only_mean=0.0965; nonpromotion_only_mean=0.1013; promotion_repurchase_mean=0.0392; promotion_nonrepurchase_mean=0.2157; nonpromotion_repurchase_mean=0.0457; nonpromotion_nonrepurchase_mean=0.2798,leakage/proxy pre-audit,,carry to 11x actual input and scope-sensitivity preflight; no selection decision in 10x,True,observed distribution difference is not feature importance
is_premium,expanded_feature_set,Acquisition_context,membership_context,09x strong observed feature or 08x/09x proxy-risk/context/content feature family,n=23079; mean=0.1637; q05=0.0000; median=0.0000; q95=1.0000; zero_rate=0.8363,promotion_only_mean=0.2252; nonpromotion_only_mean=0.0981; promotion_repurchase_mean=0.2363; promotion_nonrepurchase_mean=0.2022; nonpromotion_repurchase_mean=0.0993; nonpromotion_nonrepurchase_mean=0.0942,group proxy risk review; high/extreme VIF diagnostic; leakage/proxy pre-audit,,carry to 11x actual input and scope-sensitivity preflight; no selection decision in 10x,True,observed distribution difference is not feature importance
is_user_verified,expanded_feature_set,Needs_user_review,profile_context_needs_review,09x strong observed feature or 08x/09x proxy-risk/context/content feature family,n=23079; mean=0.7741; q05=0.0000; median=1.0000; q95=1.0000; zero_rate=0.2259,promotion_only_mean=1.0000; nonpromotion_only_mean=0.5334; promotion_repurchase_mean=1.0000; promotion_nonrepurchase_mean=1.0000; nonpromotion_repurchase_mean=0.5272; nonpromotion_nonrepurchase_mean=0.5533,group proxy risk review; leakage/proxy pre-audit,,carry to 11x actual input and scope-sensitivity preflight; no selection decision in 10x,True,observed distribution difference is not feature importance
new_movie_in_180d_ratio,expanded_feature_set,Retention_context,content_preference_context,09x strong observed feature or 08x/09x proxy-risk/context/content feature family,n=23079; mean=0.2070; q05=0.0000; median=0.0000; q95=1.0000; zero_rate=0.5916,promotion_only_mean=0.2090; nonpromotion_only_mean=0.2049; promotion_repurchase_mean=0.1964; promotion_nonrepurchase_mean=0.2351; nonpromotion_repurchase_mean=0.1909; nonpromotion_nonrepurchase_mean=0.2501,zero-inflation or tail risk; high/extreme VIF diagnostic,,carry to 11x actual input and scope-sensitivity preflight; no selection decision in 10x,True,observed distribution difference is not feature importance
new_movie_in_365d_ratio,expanded_feature_set,Retention_context,content_preference_context,09x strong observed feature or 08x/09x proxy-risk/context/content feature family,n=23079; mean=0.2563; q05=0.0000; median=0.0000; q95=1.0000; zero_rate=0.5156,promotion_only_mean=0.2574; nonpromotion_only_mean=0.2552; promotion_repurchase_mean=0.2435; promotion_nonrepurchase_mean=0.2862; nonpromotion_repurchase_mean=0.2395; nonpromotion_nonrepurchase_mean=0.3057,zero-inflation or tail risk,,carry to 11x actual input and scope-sensitivity preflight; no selection decision in 10x,True,observed distribution difference is not feature importance
new_movie_in_90d_ratio,expanded_feature_set,Retention_context,content_preference_context,09x strong observed feature or 08x/09x proxy-risk/context/content feature family,n=23079; mean=0.1713; q05=0.0000; median=0.0000; q95=1.0000; zero_rate=0.6368,promotion_only_mean=0.1744; nonpromotion_only_mean=0.1680; promotion_repurchase_mean=0.1628; promotion_nonrepurchase_mean=0.1984; nonpromotion_repurchase_mean=0.1557; nonpromotion_nonrepurchase_mean=0.2074,zero-inflation or tail risk,,carry to 11x actual input and scope-sensitivity preflight; no selection decision in 10x,True,observed distribution difference is not feature importance
old_movie_ratio_5y,expanded_feature_set,Retention_context,content_preference_context,09x strong observed feature or 08x/09x proxy-risk/context/content feature family,n=23079; mean=0.1647; q05=0.0000; median=0.0000; q95=0.6667; zero_rate=0.5337,promotion_only_mean=0.1657; nonpromotion_only_mean=0.1636; promotion_repurchase_mean=0.1665; promotion_nonrepurchase_mean=0.1640; nonpromotion_repurchase_mean=0.1676; nonpromotion_nonrepurchase_mean=0.1507,zero-inflation or tail risk,old_movie_ratio_5y 9-row mismatch caveat applies,carry to 11x actual input and scope-sensitivity preflight; no selection decision in 10x,True,observed distribution difference is not feature importance
other_ratio,expanded_feature_set,Retention_context,content_preference_context,09x strong observed feature or 08x/09x proxy-risk/context/content feature family,n=23079; mean=0.0256; q05=0.0000; median=0.0000; q95=0.1272; zero_rate=0.8940,promotion_only_mean=0.0255; nonpromotion_only_mean=0.0257; promotion_repurchase_mean=0.0289; promotion_nonrepurchase_mean=0.0185; nonpromotion_repurchase_mean=0.0274; nonpromotion_nonrepurchase_mean=0.0202,zero-inflation or tail risk; high/extreme VIF diagnostic,Movie_Master same MOVIE_NUM multi-category caveat applies to content/genre interpretation,carry to 11x actual input and scope-sensitivity preflight; no selection decision in 10x,True,observed distribution difference is not feature importance
payment_is_ios,expanded_feature_set,Acquisition_context,membership_context,09x strong observed feature or 08x/09x proxy-risk/context/content feature family,n=23079; mean=0.1654; q05=0.0000; median=0.0000; q95=1.0000; zero_rate=0.8346,promotion_only_mean=0.0000; nonpromotion_only_mean=0.3417; promotion_repurchase_mean=0.0000; promotion_nonrepurchase_mean=0.0000; nonpromotion_repurchase_mean=0.3479; nonpromotion_nonrepurchase_mean=0.3217,group proxy risk review; leakage/proxy pre-audit,,carry to 11x actual input and scope-sensitivity preflight; no selection decision in 10x,True,observed distribution difference is not feature importance
payment_is_mobile,expanded_feature_set,Acquisition_context,membership_context,09x strong observed feature or 08x/09x proxy-risk/context/content feature family,n=23079; mean=0.1547; q05=0.0000; median=0.0000; q95=1.0000; zero_rate=0.8453,promotion_only_mean=0.2252; nonpromotion_only_mean=0.0796; promotion_repurchase_mean=0.2246; promotion_nonrepurchase_mean=0.2265; nonpromotion_repurchase_mean=0.0798; nonpromotion_nonrepurchase_mean=0.0791,group proxy risk review; leakage/proxy pre-audit,,carry to 11x actual input and scope-sensitivity preflight; no selection decision in 10x,True,observed distribution difference is not feature importance
payment_is_pc,expanded_feature_set,Acquisition_context,membership_context,09x strong observed feature or 08x/09x proxy-risk/context/content feature family,n=23079; mean=0.1938; q05=0.0000; median=0.0000; q95=1.0000; zero_rate=0.8062,promotion_only_mean=0.2502; nonpromotion_only_mean=0.1337; promotion_repurchase_mean=0.2571; promotion_nonrepurchase_mean=0.2358; nonpromotion_repurchase_mean=0.1346; nonpromotion_nonrepurchase_mean=0.1307,group proxy risk review; high/extreme VIF diagnostic; leakage/proxy pre-audit,,carry to 11x actual input and scope-sensitivity preflight; no selection decision in 10x,True,observed distribution difference is not feature importance
recency,expanded_feature_set,Retention,usage_retention_behavior,09x strong observed feature or 08x/09x proxy-risk/context/content feature family,n=23079; mean=6.3006; q05=0.0000; median=4.0000; q95=21.0000; zero_rate=0.1732,promotion_only_mean=6.2188; nonpromotion_only_mean=6.3878; promotion_repurchase_mean=5.0025; promotion_nonrepurchase_mean=8.7466; nonpromotion_repurchase_mean=5.3013; nonpromotion_nonrepurchase_mean=9.8746,high/extreme VIF diagnostic; leakage/proxy pre-audit,,carry to 11x actual input and scope-sensitivity preflight; no selection decision in 10x,True,observed distribution difference is not feature importance
retention_w2_ratio,expanded_feature_set,Retention,usage_retention_behavior,09x strong observed feature or 08x/09x proxy-risk/context/content feature family,n=23079; mean=29.3394; q05=0.0059; median=1.0000; q95=184.0000; zero_rate=0.0000,promotion_only_mean=29.2662; nonpromotion_only_mean=29.4174; promotion_repurchase_mean=37.6050; promotion_nonrepurchase_mean=11.9354; nonpromotion_repurchase_mean=35.9511; nonpromotion_nonrepurchase_mean=8.4503,zero-inflation or tail risk; leakage/proxy pre-audit,,carry to 11x actual input and scope-sensitivity preflight; no selection decision in 10x,True,observed distribution difference is not feature importance
retention_w3_ratio,expanded_feature_set,Retention,usage_retention_behavior,09x strong observed feature or 08x/09x proxy-risk/context/content feature family,n=23079; mean=31.4641; q05=0.0056; median=1.0000; q95=200.0000; zero_rate=0.0000,promotion_only_mean=31.5876; nonpromotion_only_mean=31.3326; promotion_repurchase_mean=40.9587; promotion_nonrepurchase_mean=12.1111; nonpromotion_repurchase_mean=39.0915; nonpromotion_nonrepurchase_mean=6.4342,zero-inflation or tail risk; leakage/proxy pre-audit,,carry to 11x actual input and scope-sensitivity preflight; no selection decision in 10x,True,observed distribution difference is not feature importance
romance_ratio,expanded_feature_set,Retention_context,content_preference_context,09x strong observed feature or 08x/09x proxy-risk/context/content feature family,n=23079; mean=0.0943; q05=0.0000; median=0.0000; q95=0.5904; zero_rate=0.6889,promotion_only_mean=0.0965; nonpromotion_only_mean=0.0920; promotion_repurchase_mean=0.1126; promotion_nonrepurchase_mean=0.0630; nonpromotion_repurchase_mean=0.1026; nonpromotion_nonrepurchase_mean=0.0579,zero-inflation or tail risk; high/extreme VIF diagnostic,Movie_Master same MOVIE_NUM multi-category caveat applies to content/genre interpretation,carry to 11x actual input and scope-sensitivity preflight; no selection decision in 10x,True,observed distribution difference is not feature importance
sf_fantasy_ratio,expanded_feature_set,Retention_context,content_preference_context,09x strong observed feature or 08x/09x proxy-risk/context/content feature family,n=23079; mean=0.1164; q05=0.0000; median=0.0000; q95=0.8818; zero_rate=0.6925,promotion_only_mean=0.1152; nonpromotion_only_mean=0.1177; promotion_repurchase_mean=0.1095; promotion_nonrepurchase_mean=0.1269; nonpromotion_repurchase_mean=0.1131; nonpromotion_nonrepurchase_mean=0.1324,zero-inflation or tail risk; high/extreme VIF diagnostic,Movie_Master same MOVIE_NUM multi-category caveat applies to content/genre interpretation,carry to 11x actual input and scope-sensitivity preflight; no selection decision in 10x,True,observed distribution difference is not feature importance
thriller_crime_ratio,expanded_feature_set,Retention_context,content_preference_context,09x strong observed feature or 08x/09x proxy-risk/context/content feature family,n=23079; mean=0.1217; q05=0.0000; median=0.0000; q95=0.6895; zero_rate=0.6259,promotion_only_mean=0.1225; nonpromotion_only_mean=0.1209; promotion_repurchase_mean=0.0997; promotion_nonrepurchase_mean=0.1699; nonpromotion_repurchase_mean=0.1041; nonpromotion_nonrepurchase_mean=0.1747,zero-inflation or tail risk; high/extreme VIF diagnostic,Movie_Master same MOVIE_NUM multi-category caveat applies to content/genre interpretation,carry to 11x actual input and scope-sensitivity preflight; no selection decision in 10x,True,observed distribution difference is not feature importance
watch_ratio_under_1m,expanded_feature_set,Retention,usage_retention_behavior,09x strong observed feature or 08x/09x proxy-risk/context/content feature family,n=23079; mean=0.2101; q05=0.0000; median=0.1111; q95=0.8000; zero_rate=0.4400,promotion_only_mean=0.2122; nonpromotion_only_mean=0.2079; promotion_repurchase_mean=0.1905; promotion_nonrepurchase_mean=0.2572; nonpromotion_repurchase_mean=0.1832; nonpromotion_nonrepurchase_mean=0.2871,routine review only,"under_1m/under_5m are <= threshold ratio features, not business effect evidence",carry to 11x actual input and scope-sensitivity preflight; no selection decision in 10x,True,observed distribution difference is not feature importance
watch_ratio_under_5m,expanded_feature_set,Retention,usage_retention_behavior,09x strong observed feature or 08x/09x proxy-risk/context/content feature family,n=23079; mean=0.3057; q05=0.0000; median=0.2500; q95=1.0000; zero_rate=0.3190,promotion_only_mean=0.3073; nonpromotion_only_mean=0.3040; promotion_repurchase_mean=0.2814; promotion_nonrepurchase_mean=0.3612; nonpromotion_repurchase_mean=0.2783; nonpromotion_nonrepurchase_mean=0.3866,routine review only,"under_1m/under_5m are <= threshold ratio features, not business effect evidence",carry to 11x actual input and scope-sensitivity preflight; no selection decision in 10x,True,observed distribution difference is not feature importance
watch_session_w3,expanded_feature_set,Retention,usage_retention_behavior,09x strong observed feature or 08x/09x proxy-risk/context/content feature family,n=23079; mean=2.2057; q05=0.0000; median=1.0000; q95=8.0000; zero_rate=0.3629,promotion_only_mean=2.2214; nonpromotion_only_mean=2.1889; promotion_repurchase_mean=2.7801; promotion_nonrepurchase_mean=1.0603; nonpromotion_repurchase_mean=2.6286; nonpromotion_nonrepurchase_mean=0.7778,zero-inflation or tail risk; high/extreme VIF diagnostic; leakage/proxy pre-audit,,carry to 11x actual input and scope-sensitivity preflight; no selection decision in 10x,True,observed distribution difference is not feature importance
watch_time_min_w3,expanded_feature_set,Retention,usage_retention_behavior,09x strong observed feature or 08x/09x proxy-risk/context/content feature family,n=23079; mean=98.8251; q05=0.0000; median=26.0000; q95=384.0000; zero_rate=0.3629,promotion_only_mean=99.1056; nonpromotion_only_mean=98.5264; promotion_repurchase_mean=128.9104; promotion_nonrepurchase_mean=37.1606; nonpromotion_repurchase_mean=121.9289; nonpromotion_nonrepurchase_mean=23.4267,zero-inflation or tail risk; high/extreme VIF diagnostic; leakage/proxy pre-audit,,carry to 11x actual input and scope-sensitivity preflight; no selection decision in 10x,True,observed distribution difference is not feature importance
weekend_watch_ratio,expanded_feature_set,Retention,usage_retention_behavior,09x strong observed feature or 08x/09x proxy-risk/context/content feature family,n=23079; mean=0.3644; q05=0.0000; median=0.2857; q95=1.0000; zero_rate=0.3300,promotion_only_mean=0.3631; nonpromotion_only_mean=0.3658; promotion_repurchase_mean=0.3637; promotion_nonrepurchase_mean=0.3620; nonpromotion_repurchase_mean=0.3647; nonpromotion_nonrepurchase_mean=0.3690,routine review only,,carry to 11x actual input and scope-sensitivity preflight; no selection decision in 10x,True,observed distribution difference is not feature importance
