check_name,status,value,notes,actual_model_output_folder,actual_figure_output_folder
no_USER_KEY_as_feature,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11b_baseline_growth_history_ladder_fix_260514,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11b_baseline_growth_history_ladder_fix_260514
no_source_row_number_as_feature,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11b_baseline_growth_history_ladder_fix_260514,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11b_baseline_growth_history_ladder_fix_260514
no_is_repurchase_as_feature,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11b_baseline_growth_history_ladder_fix_260514,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11b_baseline_growth_history_ladder_fix_260514
is_promotion_not_used_in_groupwise_models,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11b_baseline_growth_history_ladder_fix_260514,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11b_baseline_growth_history_ladder_fix_260514
is_promotion_only_used_in_overall_with_promotion_L5,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11b_baseline_growth_history_ladder_fix_260514,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11b_baseline_growth_history_ladder_fix_260514
L2_has_no_week3_features,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11b_baseline_growth_history_ladder_fix_260514,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11b_baseline_growth_history_ladder_fix_260514
L2_has_no_diff_between_w3_w2,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11b_baseline_growth_history_ladder_fix_260514,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11b_baseline_growth_history_ladder_fix_260514
L3_contains_diff_between_w3_w2,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11b_baseline_growth_history_ladder_fix_260514,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11b_baseline_growth_history_ladder_fix_260514
L4_feature_count_is_22,PASS,22,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11b_baseline_growth_history_ladder_fix_260514,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11b_baseline_growth_history_ladder_fix_260514
L5_feature_count_is_23_for_overall_with_promotion,PASS,23,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11b_baseline_growth_history_ladder_fix_260514,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11b_baseline_growth_history_ladder_fix_260514
StratifiedGroupKFold_used,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11b_baseline_growth_history_ladder_fix_260514,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11b_baseline_growth_history_ladder_fix_260514
no_group_overlap_in_cv,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11b_baseline_growth_history_ladder_fix_260514,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11b_baseline_growth_history_ladder_fix_260514
all_fold_validation_sets_have_both_classes,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11b_baseline_growth_history_ladder_fix_260514,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11b_baseline_growth_history_ladder_fix_260514
no_shap_performed,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11b_baseline_growth_history_ladder_fix_260514,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11b_baseline_growth_history_ladder_fix_260514
no_optuna_performed,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11b_baseline_growth_history_ladder_fix_260514,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11b_baseline_growth_history_ladder_fix_260514
no_hyperparameter_tuning_performed,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11b_baseline_growth_history_ladder_fix_260514,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11b_baseline_growth_history_ladder_fix_260514
no_final_threshold_created,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11b_baseline_growth_history_ladder_fix_260514,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11b_baseline_growth_history_ladder_fix_260514
no_final_segmentation_created,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11b_baseline_growth_history_ladder_fix_260514,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11b_baseline_growth_history_ladder_fix_260514
cv_fold_metrics_created,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11b_baseline_growth_history_ladder_fix_260514,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11b_baseline_growth_history_ladder_fix_260514
cv_summary_metrics_created,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11b_baseline_growth_history_ladder_fix_260514,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11b_baseline_growth_history_ladder_fix_260514
ladder_growth_summary_created,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11b_baseline_growth_history_ladder_fix_260514,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11b_baseline_growth_history_ladder_fix_260514
best_baseline_by_scope_created,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11b_baseline_growth_history_ladder_fix_260514,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11b_baseline_growth_history_ladder_fix_260514
train_valid_gap_audit_created,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11b_baseline_growth_history_ladder_fix_260514,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11b_baseline_growth_history_ladder_fix_260514
selected_oof_predictions_created,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11b_baseline_growth_history_ladder_fix_260514,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11b_baseline_growth_history_ladder_fix_260514
score_orientation_policy_created,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11b_baseline_growth_history_ladder_fix_260514,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11b_baseline_growth_history_ladder_fix_260514
modeling_warnings_created,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11b_baseline_growth_history_ladder_fix_260514,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11b_baseline_growth_history_ladder_fix_260514
handoff_to_12_created,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11b_baseline_growth_history_ladder_fix_260514,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11b_baseline_growth_history_ladder_fix_260514
handoff_to_16_created,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11b_baseline_growth_history_ladder_fix_260514,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11b_baseline_growth_history_ladder_fix_260514
figures_created,PASS,7,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11b_baseline_growth_history_ladder_fix_260514,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11b_baseline_growth_history_ladder_fix_260514
figure_inventory_created,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11b_baseline_growth_history_ladder_fix_260514,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11b_baseline_growth_history_ladder_fix_260514
visualization_warnings_created,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11b_baseline_growth_history_ladder_fix_260514,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11b_baseline_growth_history_ladder_fix_260514
matplotlib_only_for_figures,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11b_baseline_growth_history_ladder_fix_260514,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11b_baseline_growth_history_ladder_fix_260514
seaborn_not_used,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11b_baseline_growth_history_ladder_fix_260514,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11b_baseline_growth_history_ladder_fix_260514
korean_font_found_or_warning_recorded,PASS,"['Malgun Gothic', 'Noto Sans CJK KR', 'Noto Sans KR', 'NanumGothic', 'AppleGothic', 'DejaVu Sans']",,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11b_baseline_growth_history_ladder_fix_260514,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11b_baseline_growth_history_ladder_fix_260514
readme_created,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11b_baseline_growth_history_ladder_fix_260514,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11b_baseline_growth_history_ladder_fix_260514
note_md_updated,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11b_baseline_growth_history_ladder_fix_260514,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11b_baseline_growth_history_ladder_fix_260514
review_zip_created,PASS,C:\Code\ott-churn-prediction\park.ingyeom\zip\11b_baseline_growth_history_ladder_fix_260514_review_package.zip,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11b_baseline_growth_history_ladder_fix_260514,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11b_baseline_growth_history_ladder_fix_260514
notebook_saved_with_outputs,PASS,C:\Code\ott-churn-prediction\park.ingyeom\notebook\11b_baseline_growth_history_ladder_fix_260514\11b_baseline_growth_history_ladder_fix_260514.ipynb,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11b_baseline_growth_history_ladder_fix_260514,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11b_baseline_growth_history_ladder_fix_260514
zip_contains_25_csv_outputs,PASS,25,park.ingyeom/reports/models/11b_baseline_growth_history_ladder_fix_260514/11b_best_baseline_by_scope.csv;park.ingyeom/reports/models/11b_baseline_growth_history_ladder_fix_260514/11b_cv_fold_metrics.csv;park.ingyeom/reports/models/11b_baseline_growth_history_ladder_fix_260514/11b_cv_split_audit.csv;park.ingyeom/reports/models/11b_baseline_growth_history_ladder_fix_260514/11b_cv_summary_metrics.csv;park.ingyeom/reports/models/11b_baseline_growth_history_ladder_fix_260514/11b_dataset_scope_definition.csv;park.ingyeom/reports/models/11b_baseline_growth_history_ladder_fix_260514/11b_deprecated_11_audit.csv;park.ingyeom/reports/models/11b_baseline_growth_history_ladder_fix_260514/11b_feature_ladder_definition.csv;park.ingyeom/reports/models/11b_baseline_growth_history_ladder_fix_260514/11b_feature_usage_by_ladder.csv;park.ingyeom/reports/models/11b_baseline_growth_history_ladder_fix_260514/11b_figure_inventory.csv;park.ingyeom/reports/models/11b_baseline_growth_history_ladder_fix_260514/11b_final_checks.csv;park.ingyeom/reports/models/11b_baseline_growth_history_ladder_fix_260514/11b_handoff_to_12_model_comparison.csv;park.ingyeom/reports/models/11b_baseline_growth_history_ladder_fix_260514/11b_handoff_to_16_shap_later.csv;park.ingyeom/reports/models/11b_baseline_growth_history_ladder_fix_260514/11b_ladder_contamination_check.csv;park.ingyeom/reports/models/11b_baseline_growth_history_ladder_fix_260514/11b_ladder_growth_summary.csv;park.ingyeom/reports/models/11b_baseline_growth_history_ladder_fix_260514/11b_model_registry.csv;park.ingyeom/reports/models/11b_baseline_growth_history_ladder_fix_260514/11b_modeling_input_contract.csv;park.ingyeom/reports/models/11b_baseline_growth_history_ladder_fix_260514/11b_modeling_warnings.csv;park.ingyeom/reports/models/11b_baseline_growth_history_ladder_fix_260514/11b_oof_prediction_manifest.csv;park.ingyeom/reports/models/11b_baseline_growth_history_ladder_fix_260514/11b_oof_predictions_selected_baselines.csv;park.ingyeom/reports/models/11b_baseline_growth_history_ladder_fix_260514/11b_open_risks_for_next_steps.csv;park.ingyeom/reports/models/11b_baseline_growth_history_ladder_fix_260514/11b_preflight_input_validation.csv;park.ingyeom/reports/models/11b_baseline_growth_history_ladder_fix_260514/11b_safe_unsafe_wording.csv;park.ingyeom/reports/models/11b_baseline_growth_history_ladder_fix_260514/11b_score_orientation_policy.csv;park.ingyeom/reports/models/11b_baseline_growth_history_ladder_fix_260514/11b_train_valid_gap_audit.csv;park.ingyeom/reports/models/11b_baseline_growth_history_ladder_fix_260514/11b_visualization_warnings.csv,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11b_baseline_growth_history_ladder_fix_260514,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11b_baseline_growth_history_ladder_fix_260514
zip_contains_required_png_figures,PASS,7,park.ingyeom/reports/figures/11b_baseline_growth_history_ladder_fix_260514/11b_fig_01_overall_ladder_auc.png;park.ingyeom/reports/figures/11b_baseline_growth_history_ladder_fix_260514/11b_fig_02_groupwise_ladder_auc.png;park.ingyeom/reports/figures/11b_baseline_growth_history_ladder_fix_260514/11b_fig_03_model_comparison_auc.png;park.ingyeom/reports/figures/11b_baseline_growth_history_ladder_fix_260514/11b_fig_04_train_valid_gap.png;park.ingyeom/reports/figures/11b_baseline_growth_history_ladder_fix_260514/11b_fig_05_fold_stability.png;park.ingyeom/reports/figures/11b_baseline_growth_history_ladder_fix_260514/11b_fig_06_baseline_growth_summary.png;park.ingyeom/reports/figures/11b_baseline_growth_history_ladder_fix_260514/11b_fig_07_ladder_fix_comparison_note.png,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11b_baseline_growth_history_ladder_fix_260514,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11b_baseline_growth_history_ladder_fix_260514
zip_contains_notebook_readme_note_final_checks,PASS,True,notebook/readme/note/final_checks,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11b_baseline_growth_history_ladder_fix_260514,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11b_baseline_growth_history_ladder_fix_260514
csv_output_count_is_25_excluding_readme,PASS,25,11b_best_baseline_by_scope.csv;11b_cv_fold_metrics.csv;11b_cv_split_audit.csv;11b_cv_summary_metrics.csv;11b_dataset_scope_definition.csv;11b_deprecated_11_audit.csv;11b_feature_ladder_definition.csv;11b_feature_usage_by_ladder.csv;11b_figure_inventory.csv;11b_final_checks.csv;11b_handoff_to_12_model_comparison.csv;11b_handoff_to_16_shap_later.csv;11b_ladder_contamination_check.csv;11b_ladder_growth_summary.csv;11b_model_registry.csv;11b_modeling_input_contract.csv;11b_modeling_warnings.csv;11b_oof_prediction_manifest.csv;11b_oof_predictions_selected_baselines.csv;11b_open_risks_for_next_steps.csv;11b_preflight_input_validation.csv;11b_safe_unsafe_wording.csv;11b_score_orientation_policy.csv;11b_train_valid_gap_audit.csv;11b_visualization_warnings.csv,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11b_baseline_growth_history_ladder_fix_260514,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11b_baseline_growth_history_ladder_fix_260514
