check_name,status,value,note,actual_model_output_folder,actual_figure_output_folder
target_column_exists,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513\run_20260514_171827,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513\run_20260514_171827
split_column_exists,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513\run_20260514_171827,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513\run_20260514_171827
group_key_exists,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513\run_20260514_171827,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513\run_20260514_171827
no_review_columns_used,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513\run_20260514_171827,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513\run_20260514_171827
no_forbidden_columns_used,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513\run_20260514_171827,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513\run_20260514_171827
no_USER_KEY_as_feature,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513\run_20260514_171827,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513\run_20260514_171827
no_source_row_number_as_feature,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513\run_20260514_171827,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513\run_20260514_171827
no_is_repurchase_as_feature,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513\run_20260514_171827,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513\run_20260514_171827
is_promotion_not_used_in_groupwise_models,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513\run_20260514_171827,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513\run_20260514_171827
is_promotion_used_only_in_overall_with_promotion,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513\run_20260514_171827,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513\run_20260514_171827
StratifiedGroupKFold_used,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513\run_20260514_171827,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513\run_20260514_171827
no_group_overlap_in_cv,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513\run_20260514_171827,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513\run_20260514_171827
all_fold_validation_sets_have_both_classes,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513\run_20260514_171827,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513\run_20260514_171827
model_availability_created,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513\run_20260514_171827,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513\run_20260514_171827
optional_unavailable_models_recorded,PASS,1,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513\run_20260514_171827,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513\run_20260514_171827
cv_fold_metrics_created,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513\run_20260514_171827,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513\run_20260514_171827
model_comparison_summary_created,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513\run_20260514_171827,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513\run_20260514_171827
vs_11b_comparison_created,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513\run_20260514_171827,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513\run_20260514_171827
best_candidate_by_scope_created,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513\run_20260514_171827,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513\run_20260514_171827
train_valid_gap_audit_created,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513\run_20260514_171827,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513\run_20260514_171827
fold_stability_audit_created,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513\run_20260514_171827,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513\run_20260514_171827
selected_oof_predictions_created,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513\run_20260514_171827,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513\run_20260514_171827
score_orientation_preserved,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513\run_20260514_171827,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513\run_20260514_171827
no_shap_performed,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513\run_20260514_171827,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513\run_20260514_171827
no_optuna_performed,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513\run_20260514_171827,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513\run_20260514_171827
no_hyperparameter_tuning_performed,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513\run_20260514_171827,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513\run_20260514_171827
no_final_threshold_created,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513\run_20260514_171827,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513\run_20260514_171827
no_final_segmentation_created,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513\run_20260514_171827,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513\run_20260514_171827
handoff_to_14_created,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513\run_20260514_171827,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513\run_20260514_171827
handoff_to_16_created,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513\run_20260514_171827,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513\run_20260514_171827
figures_created,PASS,5,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513\run_20260514_171827,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513\run_20260514_171827
figure_inventory_created,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513\run_20260514_171827,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513\run_20260514_171827
visualization_warnings_created,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513\run_20260514_171827,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513\run_20260514_171827
matplotlib_only_for_figures,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513\run_20260514_171827,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513\run_20260514_171827
seaborn_not_used,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513\run_20260514_171827,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513\run_20260514_171827
korean_font_found_or_warning_recorded,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513\run_20260514_171827,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513\run_20260514_171827
readme_created,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513\run_20260514_171827,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513\run_20260514_171827
note_md_updated,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513\run_20260514_171827,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513\run_20260514_171827
review_zip_created,PASS,C:\Code\ott-churn-prediction\park.ingyeom\zip\12_model_baseline_comparison_260513_review_package.zip,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513\run_20260514_171827,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513\run_20260514_171827
notebook_saved_with_outputs,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513\run_20260514_171827,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513\run_20260514_171827
zip_contains_23_csv_outputs,PASS,23,park.ingyeom/reports/models/12_model_baseline_comparison_260513/run_20260514_171827/12_preflight_input_validation.csv;park.ingyeom/reports/models/12_model_baseline_comparison_260513/run_20260514_171827/12_old_11_exclusion_audit.csv;park.ingyeom/reports/models/12_model_baseline_comparison_260513/run_20260514_171827/12_modeling_input_contract.csv;park.ingyeom/reports/models/12_model_baseline_comparison_260513/run_20260514_171827/12_model_availability.csv;park.ingyeom/reports/models/12_model_baseline_comparison_260513/run_20260514_171827/12_dataset_scope_definition.csv;park.ingyeom/reports/models/12_model_baseline_comparison_260513/run_20260514_171827/12_feature_set_by_scope.csv;park.ingyeom/reports/models/12_model_baseline_comparison_260513/run_20260514_171827/12_cv_split_audit.csv;park.ingyeom/reports/models/12_model_baseline_comparison_260513/run_20260514_171827/12_model_comparison_fold_metrics.csv;park.ingyeom/reports/models/12_model_baseline_comparison_260513/run_20260514_171827/12_model_comparison_summary.csv;park.ingyeom/reports/models/12_model_baseline_comparison_260513/run_20260514_171827/12_vs_11b_baseline_comparison.csv;park.ingyeom/reports/models/12_model_baseline_comparison_260513/run_20260514_171827/12_best_model_candidate_by_scope.csv;park.ingyeom/reports/models/12_model_baseline_comparison_260513/run_20260514_171827/12_train_valid_gap_audit.csv;park.ingyeom/reports/models/12_model_baseline_comparison_260513/run_20260514_171827/12_fold_stability_audit.csv;park.ingyeom/reports/models/12_model_baseline_comparison_260513/run_20260514_171827/12_oof_predictions_selected_candidates.csv;park.ingyeom/reports/models/12_model_baseline_comparison_260513/run_20260514_171827/12_oof_prediction_manifest.csv;park.ingyeom/reports/models/12_model_baseline_comparison_260513/run_20260514_171827/12_modeling_warnings.csv;park.ingyeom/reports/models/12_model_baseline_comparison_260513/run_20260514_171827/12_safe_unsafe_wording.csv;park.ingyeom/reports/models/12_model_baseline_comparison_260513/run_20260514_171827/12_open_risks_for_next_steps.csv;park.ingyeom/reports/models/12_model_baseline_comparison_260513/run_20260514_171827/12_handoff_to_14_optuna_candidate_tuning.csv;park.ingyeom/reports/models/12_model_baseline_comparison_260513/run_20260514_171827/12_handoff_to_16_shap_candidate_interpretation.csv;park.ingyeom/reports/models/12_model_baseline_comparison_260513/run_20260514_171827/12_figure_inventory.csv;park.ingyeom/reports/models/12_model_baseline_comparison_260513/run_20260514_171827/12_visualization_warnings.csv;park.ingyeom/reports/models/12_model_baseline_comparison_260513/run_20260514_171827/12_final_checks.csv,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513\run_20260514_171827,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513\run_20260514_171827
zip_contains_required_png_figures,PASS,5,park.ingyeom/reports/figures/12_model_baseline_comparison_260513/run_20260514_171827/12_fig_01_model_auc_by_scope.png;park.ingyeom/reports/figures/12_model_baseline_comparison_260513/run_20260514_171827/12_fig_02_vs_11b_delta_auc.png;park.ingyeom/reports/figures/12_model_baseline_comparison_260513/run_20260514_171827/12_fig_03_train_valid_gap_by_model.png;park.ingyeom/reports/figures/12_model_baseline_comparison_260513/run_20260514_171827/12_fig_04_fold_stability_by_model.png;park.ingyeom/reports/figures/12_model_baseline_comparison_260513/run_20260514_171827/12_fig_05_best_candidate_summary.png,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513\run_20260514_171827,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513\run_20260514_171827
zip_contains_notebook_readme_note_final_checks,PASS,True,notebook/readme/note/final_checks,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513\run_20260514_171827,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513\run_20260514_171827
