source_row_number,USER_KEY,is_promotion,is_repurchase,reg_date,end_date,duration_days,flag_duration_lt_21,flag_duration_eq_0,flag_duration_21_30,flag_duration_ge_21,flag_invalid_reg_date,flag_invalid_end_date,flag_full_duplicate_all_columns,flag_full_duplicate_keep_first,flag_full_duplicate_to_exclude_from_main,flag_duplicated_USER_KEY,flag_cross_promotion_USER_KEY_overlap,primary_main_cohort_candidate_before_duplicate_policy,primary_main_cohort_final,exclusion_reason_for_primary_main_cohort
697,6513fff57e32407ab087206e57186ee4cbde4888a5f79702f9caee7d23d008d30360c95fe000694668cd0c5fd557fb0e1a6d4473abbb18652a717ebf2d5c471e,0,1,2021-03-04,2021-03-07,3,1,0,0,0,0,0,0,0,0,1,0,0,0,duration_lt_21
719,87d8cc2a4733d41b1b79eba6128741cdff9c5b27c1a89f9a0036bdef715d5c0a5e4f13bb819662dfb965f030d70e804ada9a00dc8728bd25485f9c16c3e17d55,1,0,2021-03-15,2021-03-15,0,1,1,0,0,0,0,0,0,0,1,1,0,0,duration_lt_21
752,a02a14ff1ab86edbfe46ad5a6a7fce054dc83c39aa7c362622171c550dcfe7099733a95d986e379eedfcb8edb5adc79c3f2439a56104f63410b83a10131c8ea5,0,1,2021-03-09,2021-03-12,3,1,0,0,0,0,0,1,1,0,1,0,0,0,duration_lt_21
753,a02a14ff1ab86edbfe46ad5a6a7fce054dc83c39aa7c362622171c550dcfe7099733a95d986e379eedfcb8edb5adc79c3f2439a56104f63410b83a10131c8ea5,0,1,2021-03-09,2021-03-12,3,1,0,0,0,0,0,1,0,1,1,0,0,0,duration_lt_21;exact_full_duplicate_extra_row
793,0d4669edec6028b0488d28a891ad15c35a38bc4404d282812c08b4701d7c03c5f30a7418e6dddb8f560f243a7094f759ccfa1c7903ddea56968a721b4b13b95f,1,1,2021-03-03,2021-03-20,17,1,0,0,0,0,0,0,0,0,0,0,0,0,duration_lt_21
906,b7c2e0ba1b2f17769d882e460abd5371155e1ff30e4064fe248b7e8bfdd66c1a24af1a019127d2e3ecd5ff6d8daf35275710d6a36ee9e8177a0179041534d6bb,0,1,2021-03-01,2021-03-04,3,1,0,0,0,0,0,0,0,0,1,0,0,0,duration_lt_21
1019,a314b99db9accc0284a85b54e8aa45fe052408b4af00d7143cd49ba7f135315a5c9a1376cb3a606a32b1b3ebe9100accef5550ce2cfc853278d0ad4c832b9af2,0,0,2021-03-12,2021-03-12,0,1,1,0,0,0,0,0,0,0,0,0,0,0,duration_lt_21
1168,7044802f9086048148b961731a5f8fa6402415e765fbb9a18c1b62b3f47e63fa206df184652fc6fabf4c12500dc9001a607ee1a82495307b6440e4269e35bf1e,1,1,2021-03-07,2021-03-13,6,1,0,0,0,0,0,0,0,0,1,1,0,0,duration_lt_21
1239,3efaba0ed06d5a2c7c0b38bae736c856b3b5b95c730e832876e62aa35b4b842db00032c8017785e818ca8f519541abc145a8a3b9b71fab4f9367919c868db184,1,0,2021-03-13,2021-03-13,0,1,1,0,0,0,0,0,0,0,1,1,0,0,duration_lt_21
1307,06413c96660e23ddd8e6cc93b3e03e299201a9a1aa05ba70ea10b8a8c6f7a17686772ce450d9427ac59dd24d830052c31a8122bb355ce6d58ae7d6d16a9c8d65,0,1,2021-03-06,2021-03-12,6,1,0,0,0,0,0,1,1,0,1,0,0,0,duration_lt_21
1308,06413c96660e23ddd8e6cc93b3e03e299201a9a1aa05ba70ea10b8a8c6f7a17686772ce450d9427ac59dd24d830052c31a8122bb355ce6d58ae7d6d16a9c8d65,0,1,2021-03-06,2021-03-12,6,1,0,0,0,0,0,1,0,1,1,0,0,0,duration_lt_21;exact_full_duplicate_extra_row
1593,e7f9189412a24b6fd0b7f638e5a662a67830eba629aadfa3fc0ea01ff66eaac295e7e22d16d9b9b82ef655f43756beda69a2c7e9aadd9b50a93fa38dc4f62a40,0,0,2021-03-11,2021-03-22,11,1,0,0,0,0,0,0,0,0,0,0,0,0,duration_lt_21
1644,c1d37e8f9ae8144b361622dc52f607efd06b3493c4e2a7aa34f124f7563608bf35be02f05a203c344cdfc3d842a2ebfbf9350900a73ad0a005c219e165bee3dd,0,0,2021-03-12,2021-03-12,0,1,1,0,0,0,0,0,0,0,1,0,0,0,duration_lt_21
1734,b31c10e7354a7eb3b6316780993a1eaf6c4da9023af8462e9583cdc25dffea5aac33f0c47832c6095cff6515748df4b0502d4c048db479b72391d5f64b3b77ba,0,1,2021-03-07,2021-03-08,1,1,0,0,0,0,0,0,0,0,1,0,0,0,duration_lt_21
1914,a02a14ff1ab86edbfe46ad5a6a7fce054dc83c39aa7c362622171c550dcfe7099733a95d986e379eedfcb8edb5adc79c3f2439a56104f63410b83a10131c8ea5,0,1,2021-03-08,2021-03-09,1,1,0,0,0,0,0,1,1,0,1,0,0,0,duration_lt_21
1915,a02a14ff1ab86edbfe46ad5a6a7fce054dc83c39aa7c362622171c550dcfe7099733a95d986e379eedfcb8edb5adc79c3f2439a56104f63410b83a10131c8ea5,0,1,2021-03-08,2021-03-09,1,1,0,0,0,0,0,1,0,1,1,0,0,0,duration_lt_21;exact_full_duplicate_extra_row
1932,0630767742430ed78fbc599eedbd1f49a12de3d443ec002e933a3ec446fbf0e10eaff710053e77b7856dd72cd8db765795058f1e0c3da55f46045e6e9a79f4de,0,1,2021-03-06,2021-03-15,9,1,0,0,0,0,0,0,0,0,1,0,0,0,duration_lt_21
1950,eb54ac763a0738f16cc1e8ace7d33621860059b136c34c622bdd1881220e2adb5bbafc4acf4128a9ba06b7bacebcfa2da6acdababece2333a9131da2d452381e,1,1,2021-03-05,2021-03-06,1,1,0,0,0,0,0,0,0,0,1,1,0,0,duration_lt_21
2044,668ccf41049f36e111dd8ac2469e982ac66704d1136056dfccdab9a68410c197c501547267390a02dfd02d8f377f115afe2169271e1a6a360590ae5f60116cf7,0,1,2021-03-02,2021-03-05,3,1,0,0,0,0,0,0,0,0,1,0,0,0,duration_lt_21
2108,2c4cf317dfd0acee9d0f5e03b896e33f01fcfcbd6df064a148fe96f4d859c51d7edcbc6c270f8f8487bbc9d08d70949aee3fb9a0aca1722008092f6865cb3d0d,1,1,2021-03-07,2021-03-14,7,1,0,0,0,0,0,0,0,0,1,1,0,0,duration_lt_21
2240,1f55a4113e60127cf7a1ca1d53f5dc1e120ca61a1dc4f1c2539a554eb3955e5b13e646f5c245723bce0097884a3279e3592b0c18296005fa37b2a7afd7600bbe,0,0,2021-03-04,2021-03-04,0,1,1,0,0,0,0,0,0,0,0,0,0,0,duration_lt_21
2360,b2136279b5be134445f75cb894d4930d6f4c402395110a30769695f461ea9ca00c05e86d021ed9115cd59e6bfad832dc3d82ab6eac3ae7b6a4f5cb5d5862eca7,0,1,2021-03-02,2021-03-04,2,1,0,0,0,0,0,0,0,0,1,0,0,0,duration_lt_21
2556,9836289c78440876539d75ef5f0497a739fa35f44c182b4c8c8ec00482f0bfaa081d20d0da1a490bf647a0127ddbbc080033ca0076a7f9633ecb358617394cf4,0,1,2021-03-02,2021-03-14,12,1,0,0,0,0,0,0,0,0,1,0,0,0,duration_lt_21
2715,412fe59a8f5ed105d97c6370f0113053f03efb04890b6814370720be519ee6b48803db2cf8ba59dde3825ff1c2d49765a93b31d2aecd81715ae0a392df3cf146,0,1,2021-03-08,2021-03-09,1,1,0,0,0,0,0,0,0,0,0,0,0,0,duration_lt_21
2748,61fb61f4a6ba6c763a21676b0d0389e0e40abf942b50bae25f9a27ed4778204384880de396c77d0fd61fd5b4f5ff167e7bae38060024bc44f5a4c798c349b130,0,1,2021-03-09,2021-03-22,13,1,0,0,0,0,0,0,0,0,0,0,0,0,duration_lt_21
2821,775b634d8277e4ebb5addc3cc1c0cd092b637777da50dc394681815cdbe57a69a66c6f7b65ae7b06bf9a97ea8b1bee923f85f02f00deb6f6f9f69440df6ea37a,0,0,2021-03-09,2021-03-09,0,1,1,0,0,0,0,0,0,0,0,0,0,0,duration_lt_21
2859,00cdab2fced7341f76b9eeae9f37e5043bce4790290a9f4170e7cef12791bacd78c07d180716c45c91017ca46131e9a7eb2d0a339d1f29a9bd9e0a1a47e0fada,1,1,2021-03-07,2021-03-16,9,1,0,0,0,0,0,0,0,0,0,0,0,0,duration_lt_21
2904,7d5439b889e619ff2f8e37338a8e562bfe0d2439ca15a5b4294529ea58040b3587eca7642ee679eda42049e49e580c21294e85430bee83d828f76b42c3a1c2e8,0,0,2021-03-11,2021-03-11,0,1,1,0,0,0,0,0,0,0,1,0,0,0,duration_lt_21
3118,a6e6e6128f41e37c3fab8276d6861b58a12e2f99976df1f55bc736bdb52db94c58487e29a9cef71c7045834409303e02f24127af76d1d08091312406fcfa3bd5,0,0,2021-03-02,2021-03-02,0,1,1,0,0,0,0,0,0,0,1,0,0,0,duration_lt_21
3132,aee51802d8a2e3f500e043d6d50b21960f06d55cc0ea377727279cdd3bc9e94f4c8abd629fc45afe24a44be64b7bff0860dcc37c39979678330054f19cdfeee9,0,1,2021-03-13,2021-03-14,1,1,0,0,0,0,0,0,0,0,1,0,0,0,duration_lt_21
3220,21ec741899ff999740dcfa0543bfb3a41360c34e981ede69a7cc84ae61c491efbda82bc9c232520b8492c028cf7832bdd689110fb810d429b475fb08bec704aa,0,0,2021-03-04,2021-03-05,1,1,0,0,0,0,0,0,0,0,1,0,0,0,duration_lt_21
3272,03511c9585915363bbdb73bee72dfd254f32a7cf4e3151e7b533f55d077a23f85012718377980bcd96772aa7d7987db45cf202628e63721f5d35086eded28771,1,0,2021-03-01,2021-03-01,0,1,1,0,0,0,0,0,0,0,0,0,0,0,duration_lt_21
3305,7fde7d15ef62456f67f8323066203ec3090257e53d48a8d88b6c4462e105099b85e499e0efccd162e5789c765e85912cf42eba356b5b22e46c68df7749793bb0,0,0,2021-03-01,2021-03-01,0,1,1,0,0,0,0,0,0,0,1,0,0,0,duration_lt_21
3459,5cff16c2f3343c666130d05931146cb6e1c55a8c3dd8f16c8f8575926fab19f59ff8f52588fd918f66b45967368ea4597300dd42b40d26ee657a7b087739c8ce,0,0,2021-03-08,2021-03-08,0,1,1,0,0,0,0,0,0,0,0,0,0,0,duration_lt_21
3582,eba6d33e8fc6af9565283515e7753bc7d2c1f608767a5259b967907a64e363a2cd3764d314cae57ac11518aeb4c11f8d8ec12edefed6725217b68cb34a03f55e,0,1,2021-03-02,2021-03-14,12,1,0,0,0,0,0,0,0,0,1,0,0,0,duration_lt_21
3903,36a5a3f8e2f03c2176a45db79c9701f78e34d5f0c27abfd91c10d0c52ededcdff653394df9c4317660b2d52218aac30eb0af8acea1eeea5e17e309982f1337f2,0,1,2021-03-02,2021-03-11,9,1,0,0,0,0,0,0,0,0,1,0,0,0,duration_lt_21
3910,1cf822e135f383fbc328220cd42d68a1501c424eb1e8c8077d3723d4242e866e63284148b6ff017bbaefea73ddd9d4f52f03e121c66c3f11a84a0b468d4afdb6,0,1,2021-03-01,2021-03-13,12,1,0,0,0,0,0,0,0,0,1,0,0,0,duration_lt_21
3950,70117747c956207450361fcc8ef158ef7e232671fae5fffcd1b207a6d268e2afd564c9d96a2b3b176bd0efc68f9bd86cacfd53b283679c11b693eff244080cbf,0,1,2021-03-13,2021-03-14,1,1,0,0,0,0,0,0,0,0,1,0,0,0,duration_lt_21
3969,037c92e73413f03ea2fd41287fac8a56132cb79c8a2f40769236c8a1a7fd53112d2111934a3b20f8ed4b3e040479e9a6cdb4773909cc29066c498c21d9e7d1ce,0,1,2021-03-14,2021-03-20,6,1,0,0,0,0,0,0,0,0,0,0,0,0,duration_lt_21
4019,07e21f3a885e79ef644b536bbc1394a08874766e979f79465800aa6bf2808380bb61dfa750b073b891342b3b67d9d3d797246bb2cc37b9ba2b77a3eb20316ea0,1,0,2021-03-03,2021-03-03,0,1,1,0,0,0,0,0,0,0,1,1,0,0,duration_lt_21
4479,0634edf466d00eaa3cf36fa26b1451bae7a0653c2f7adcae5489df457fee11d6ef1baef645ed0646223741a06f0826eded072d845a77f56903084264e1ada155,0,0,2021-03-02,2021-03-02,0,1,1,0,0,0,0,0,0,0,1,0,0,0,duration_lt_21
4525,977f3cf10d2737cec466b405ae18a8dd6bf4c4f1034312e0ea8295ca1160088051e9ce96d04f95ea975ab2bd3b8d9b8fc8514d0912a56a6c5d46dded81a107f9,1,1,2021-03-03,2021-03-13,10,1,0,0,0,0,0,0,0,0,1,1,0,0,duration_lt_21
4541,d57b8010488fe129127893cb8c577b6ff57e837afee378cb93f1af68f3916d27b84ebd55e079cfd8a6e679e00ff7aeb54397e39ee4a9b866763b00bb0c4cdc0a,0,0,2021-03-02,2021-03-02,0,1,1,0,0,0,0,0,0,0,0,0,0,0,duration_lt_21
4585,b4ef3e6518e866e89b69393c18b42f3770a1868d7496e70ea97aae3db2db13cef627f6b5fdc7ebf6e3c7cdb439e91905e8885298e01a8c6beaa98aad0d5715c0,0,1,2021-03-06,2021-03-07,1,1,0,0,0,0,0,0,0,0,1,0,0,0,duration_lt_21
4586,b4ef3e6518e866e89b69393c18b42f3770a1868d7496e70ea97aae3db2db13cef627f6b5fdc7ebf6e3c7cdb439e91905e8885298e01a8c6beaa98aad0d5715c0,0,0,2021-03-06,2021-03-07,1,1,0,0,0,0,0,0,0,0,1,0,0,0,duration_lt_21
4646,229b40c752a25555b05e204e459b6988550233ec223c806bcd8691cd0c6dcc63f720bd9da7ad66a3a7bf04342302ce08d9195c5c2e081c46378580688e42e4a8,1,0,2021-03-03,2021-03-03,0,1,1,0,0,0,0,0,0,0,1,1,0,0,duration_lt_21
4734,6513fff57e32407ab087206e57186ee4cbde4888a5f79702f9caee7d23d008d30360c95fe000694668cd0c5fd557fb0e1a6d4473abbb18652a717ebf2d5c471e,0,1,2021-03-02,2021-03-04,2,1,0,0,0,0,0,1,1,0,1,0,0,0,duration_lt_21
4735,6513fff57e32407ab087206e57186ee4cbde4888a5f79702f9caee7d23d008d30360c95fe000694668cd0c5fd557fb0e1a6d4473abbb18652a717ebf2d5c471e,0,1,2021-03-02,2021-03-04,2,1,0,0,0,0,0,1,0,1,1,0,0,0,duration_lt_21;exact_full_duplicate_extra_row
4747,5e87ccbcb4280651c363af9f9f291d7bc6a07ddaf111493925fe7d74452f44d9117b00ad9bb9869e80ca7eda3f0df05076fd1e69247db77f3819f018c64b2714,0,0,2021-03-04,2021-03-06,2,1,0,0,0,0,0,0,0,0,1,0,0,0,duration_lt_21
4770,c1d37e8f9ae8144b361622dc52f607efd06b3493c4e2a7aa34f124f7563608bf35be02f05a203c344cdfc3d842a2ebfbf9350900a73ad0a005c219e165bee3dd,0,0,2021-03-01,2021-03-01,0,1,1,0,0,0,0,0,0,0,1,0,0,0,duration_lt_21
4909,90872015e2c9c96c9b87dec15c014c6b2e090e283274a3fc712bf1480b2ddf4a4cc3ad0bf75e7131b1cec85fb4899cf8be36ae68f4b8fa04d18d3ad6bdc323dd,0,0,2021-03-01,2021-03-01,0,1,1,0,0,0,0,0,0,0,1,0,0,0,duration_lt_21
4911,c3de7304f9750e3c860a4f7f33236338b229077edbb7e45f7e1d0aa854847783e10f42523318bd132192a9afac3f50f497180b5f285b9bcbbe2c34b9832b9362,0,1,2021-03-06,2021-03-07,1,1,0,0,0,0,0,0,0,0,1,0,0,0,duration_lt_21
4940,3097fc7f4a9d416d70a5482fdf87bf5b07729649b96a77774733dfec0695363930b21f0bae2c8fd741dd69e7f1375cc12f954fa085d7c51bb13cae544bbd133e,0,0,2021-03-05,2021-03-11,6,1,0,0,0,0,0,0,0,0,0,0,0,0,duration_lt_21
5116,1fa8c83d3b779d53b01680546a237806f614f374ea05158dd228e4e1116e895a1890d63ee19273bb209b3493881a3ec26b43eb79bf35a1520c1de332a226907c,0,1,2021-03-04,2021-03-22,18,1,0,0,0,0,0,0,0,0,0,0,0,0,duration_lt_21
5270,84b6694601229159ed93f72444ac455e67a0ec28573ce11eef3b7cc3d11fbeffc269dbae54589859addc27f6bff59bbaa9b7fa8a9f4ddb68f59ca148c6f5fc75,0,0,2021-03-03,2021-03-03,0,1,1,0,0,0,0,0,0,0,1,0,0,0,duration_lt_21
5282,698632c2648187c4b455943406060fad66306944817d286c4c1b30d2c9852496fa8264a50abd2bb7cf1d2fcb82cf99a7e20efa1b5b89806aa7e795cd049f1f24,0,0,2021-03-07,2021-03-07,0,1,1,0,0,0,0,0,0,0,1,0,0,0,duration_lt_21
5807,8339c9695a7f06d9ab751a7302c6f64d2e9d5fd0e65759daff4582988680d8853b92487dc645d1afbf894dc4c96d215022b16c8c6c61f2f85015672477c99622,0,0,2021-03-07,2021-03-10,3,1,0,0,0,0,0,0,0,0,0,0,0,0,duration_lt_21
5886,6513fff57e32407ab087206e57186ee4cbde4888a5f79702f9caee7d23d008d30360c95fe000694668cd0c5fd557fb0e1a6d4473abbb18652a717ebf2d5c471e,0,0,2021-03-08,2021-03-10,2,1,0,0,0,0,0,0,0,0,1,0,0,0,duration_lt_21
5887,6513fff57e32407ab087206e57186ee4cbde4888a5f79702f9caee7d23d008d30360c95fe000694668cd0c5fd557fb0e1a6d4473abbb18652a717ebf2d5c471e,0,1,2021-03-08,2021-03-10,2,1,0,0,0,0,0,0,0,0,1,0,0,0,duration_lt_21
5891,bbde69b7a6515144f270e2fecb881da3acd4986b74567a95098106971d617a005eda83a6cd7b4406833303e09c06df28295265efdf17ac03f96fb06cd19ae773,1,0,2021-03-12,2021-03-13,1,1,0,0,0,0,0,0,0,0,1,1,0,0,duration_lt_21
5892,bbde69b7a6515144f270e2fecb881da3acd4986b74567a95098106971d617a005eda83a6cd7b4406833303e09c06df28295265efdf17ac03f96fb06cd19ae773,1,1,2021-03-12,2021-03-13,1,1,0,0,0,0,0,0,0,0,1,1,0,0,duration_lt_21
6149,d4b090cecdd8b01de3c7adc185a03f9c2fb3042e2a1fe79792f2a07d9f87f846eb21386516133a98827ab4c17f149d652fcd65d80438ff38d71df9eb356d3685,0,1,2021-03-06,2021-03-10,4,1,0,0,0,0,0,0,0,0,1,0,0,0,duration_lt_21
6191,79f6527e7ee870060797787b726592c1c94fcb108b8fbc74d153ebf31c6638a97887784d4ba0df0b25e57fb12933633e3519c294af6bc065c71ad1e6217acfb6,0,0,2021-03-05,2021-03-07,2,1,0,0,0,0,0,0,0,0,1,0,0,0,duration_lt_21
6200,acd40950177e99a0cbb7e02b45831db97950aae00b9f4d515176bc927b04d8d06b86593be7ce9896b74577972a3d4df931cb3beb53e4fe7d594e56b51ea31b4f,0,0,2021-03-08,2021-03-08,0,1,1,0,0,0,0,0,0,0,0,0,0,0,duration_lt_21
6281,5531ca9e859042d92dddb0ccd30db1777c66afde354d52155afcb310383b7fc6e7152ccf8e8c7b4927ea5df7b0f16ef57e967d7fc1e34e0400ed36ef34e318e5,1,0,2021-03-12,2021-03-12,0,1,1,0,0,0,0,0,0,0,0,0,0,0,duration_lt_21
6404,a6e6e6128f41e37c3fab8276d6861b58a12e2f99976df1f55bc736bdb52db94c58487e29a9cef71c7045834409303e02f24127af76d1d08091312406fcfa3bd5,0,0,2021-03-02,2021-03-02,0,1,1,0,0,0,0,1,1,0,1,0,0,0,duration_lt_21
6405,a6e6e6128f41e37c3fab8276d6861b58a12e2f99976df1f55bc736bdb52db94c58487e29a9cef71c7045834409303e02f24127af76d1d08091312406fcfa3bd5,0,0,2021-03-02,2021-03-02,0,1,1,0,0,0,0,1,0,1,1,0,0,0,duration_lt_21;exact_full_duplicate_extra_row
6511,2c962fb8493df7e1919d1528b519a9ed88de4aeb29b8f92a2f42b2158e639b38a45a22d5054e46cd0bd331260bf1cea8ce517e063c453e13adb915b59aa94e42,0,0,2021-03-06,2021-03-11,5,1,0,0,0,0,0,0,0,0,1,0,0,0,duration_lt_21
6909,bd62ee7470586d63761161ce63ff64a17f677340e516a43f743f89ef376ed5e47c9952e20cdf4485348345c27835d42efd3835bc449cda00c7f35ffca3c67207,1,0,2021-03-12,2021-03-12,0,1,1,0,0,0,0,0,0,0,1,1,0,0,duration_lt_21
6929,c0cffcce6cf7948b4afca7c4d0d5d27faa8b7a77f7bf99e97d7125e41b78d08cf9ea11b7dab6ab9c20bade5f3b994f853459c058aaf6419a9edd05d73c6cc6a3,1,1,2021-03-08,2021-03-12,4,1,0,0,0,0,0,0,0,0,1,1,0,0,duration_lt_21
6958,30e3c9509b8d6102f80906a80afcd2a3593d4a69314509227839d972bc051a4c2411cac5aa2fabd6069781c5971ec4eec237a88cad2701712ba7806c533da7b8,0,1,2021-03-04,2021-03-06,2,1,0,0,0,0,0,1,1,0,1,0,0,0,duration_lt_21
6959,30e3c9509b8d6102f80906a80afcd2a3593d4a69314509227839d972bc051a4c2411cac5aa2fabd6069781c5971ec4eec237a88cad2701712ba7806c533da7b8,0,1,2021-03-04,2021-03-06,2,1,0,0,0,0,0,1,0,1,1,0,0,0,duration_lt_21;exact_full_duplicate_extra_row
6960,30e3c9509b8d6102f80906a80afcd2a3593d4a69314509227839d972bc051a4c2411cac5aa2fabd6069781c5971ec4eec237a88cad2701712ba7806c533da7b8,0,1,2021-03-04,2021-03-06,2,1,0,0,0,0,0,1,0,1,1,0,0,0,duration_lt_21;exact_full_duplicate_extra_row
7085,30a980a1aab1279a6e670261bd53a7f13a392da34ad6174a5a230a556928b3b9b1dda54baadcbaf2072ef65bc3a0407e7904c9517b362f67bd55ae2904d55794,0,0,2021-03-04,2021-03-04,0,1,1,0,0,0,0,0,0,0,1,0,0,0,duration_lt_21
7100,698632c2648187c4b455943406060fad66306944817d286c4c1b30d2c9852496fa8264a50abd2bb7cf1d2fcb82cf99a7e20efa1b5b89806aa7e795cd049f1f24,0,0,2021-03-06,2021-03-06,0,1,1,0,0,0,0,0,0,0,1,0,0,0,duration_lt_21
7225,a02a14ff1ab86edbfe46ad5a6a7fce054dc83c39aa7c362622171c550dcfe7099733a95d986e379eedfcb8edb5adc79c3f2439a56104f63410b83a10131c8ea5,0,1,2021-03-05,2021-03-07,2,1,0,0,0,0,0,1,1,0,1,0,0,0,duration_lt_21
7226,a02a14ff1ab86edbfe46ad5a6a7fce054dc83c39aa7c362622171c550dcfe7099733a95d986e379eedfcb8edb5adc79c3f2439a56104f63410b83a10131c8ea5,0,1,2021-03-05,2021-03-07,2,1,0,0,0,0,0,1,0,1,1,0,0,0,duration_lt_21;exact_full_duplicate_extra_row
7338,86a308c720c2f9ce4e81b01b00176f343870d5ff4ad6930e65cfc7d4ac851a5413cab32bd49c77d208e26ea952e281a294aabc7bd0fe85bd0aed395a477b7f2d,1,0,2021-03-12,2021-03-12,0,1,1,0,0,0,0,0,0,0,0,0,0,0,duration_lt_21
7445,7e244dd24a58ad016b30f15141b629cd6f48135e842967e77e0793fc75c91ad987d3e3d79c1ff116c90715107f1a9b9481fbc689871f4125f3831ea4b40c39b3,1,1,2021-03-04,2021-03-06,2,1,0,0,0,0,0,0,0,0,1,1,0,0,duration_lt_21
7560,61d395651909beea4dd44ef3afcaabcdff65f2fe52a333b260195c76177514ad5ec536316f93a5d858c4270d0d2f83105e5d115ac669f4ab623ec3c8e60c8920,0,1,2021-03-04,2021-03-05,1,1,0,0,0,0,0,0,0,0,1,0,0,0,duration_lt_21
7779,c9b29b6d9881f1805989102223891658b63c182edcbfc8775479fe7e6ac70071a024eaae95a1092428dac2383b60397d8e329e54326669cbe09c6942749bfc79,0,1,2021-03-04,2021-03-06,2,1,0,0,0,0,0,0,0,0,1,0,0,0,duration_lt_21
7888,e52eb9e1d2cb1da60a49400d132fc83115264d188f24ad4568911562c938504f70798a9021102866e9f47b166deca5dc6a3f86cc636f78f8c3fff453c4de3731,1,0,2021-03-09,2021-03-09,0,1,1,0,0,0,0,0,0,0,1,1,0,0,duration_lt_21
7945,82e1bcb51df54d607f45ac5b2df0ba06ff665217c375cb831bce955be0d2c1aded71c31299a9c01fbc4186da8f4604e6950d6bb2d88a2346a5773d7c2f747a66,1,0,2021-03-13,2021-03-13,0,1,1,0,0,0,0,0,0,0,0,0,0,0,duration_lt_21
8028,b1d2ee754bc6723efea7d42b2e07c771da457bd681fd4ca3dea671cc192243765268067ed99d6e43cbcefcfda5a4fd1924edff6a7f9ab8fc3f2ee4259de0fe07,0,1,2021-03-01,2021-03-14,13,1,0,0,0,0,0,0,0,0,1,0,0,0,duration_lt_21
8185,b733fef0275bc202bba9163109b2d17d28ef791529c6a3e4976b9eb5bd21864517d6177389af75ac0ce9b7714687ced830349c51350893b74b8dadab1018fa6d,0,1,2021-03-01,2021-03-21,20,1,0,0,0,0,0,0,0,0,0,0,0,0,duration_lt_21
