feature_name,old_feature_family,new_feature_family,old_mapping_rule,new_mapping_rule,old_final_mapping_status,new_final_mapping_status,remap_status,reason,notes
action_adventure_ratio,genre_preference,genre_preference,genre/content genre naming pattern,unchanged from 16 mapping,provisional_for_16_shap_only,unchanged_from_16,unchanged,existing family retained,16b changes only family mapping; SHAP values are unchanged.
family_animation_ratio,genre_preference,genre_preference,genre/content genre naming pattern,unchanged from 16 mapping,provisional_for_16_shap_only,unchanged_from_16,unchanged,existing family retained,16b changes only family mapping; SHAP values are unchanged.
genre_diversity_count,genre_preference,genre_preference,genre/content genre naming pattern,unchanged from 16 mapping,provisional_for_16_shap_only,unchanged_from_16,unchanged,existing family retained,16b changes only family mapping; SHAP values are unchanged.
historical_war_ratio,technical_or_unknown,genre_preference,no simple rule matched,explicit 16b genre ratio remap,unknown_needs_review,hotfixed_for_16b_and_17_handoff,remapped,장르/콘텐츠 선호 ratio 계열이다.,16b changes only family mapping; SHAP values are unchanged.
horror_ratio,genre_preference,genre_preference,genre/content genre naming pattern,unchanged from 16 mapping,provisional_for_16_shap_only,unchanged_from_16,unchanged,existing family retained,16b changes only family mapping; SHAP values are unchanged.
is_basic,membership_context,membership_context,membership/subscription naming pattern,unchanged from 16 mapping,provisional_for_16_shap_only,unchanged_from_16,unchanged,existing family retained,16b changes only family mapping; SHAP values are unchanged.
is_churn_prevented,historical_churn_prevention_context,historical_churn_prevention_context,is_churn_prevented exact match,unchanged from 16 mapping,provisional_for_16_shap_only,unchanged_from_16,unchanged,existing family retained,16b changes only family mapping; SHAP values are unchanged.
is_cold_start_3d_fixed,onboarding_activation,onboarding_activation,onboarding/activation naming pattern,unchanged from 16 mapping,provisional_for_16_shap_only,unchanged_from_16,unchanged,existing family retained,16b changes only family mapping; SHAP values are unchanged.
is_cold_start_7d_fixed,onboarding_activation,onboarding_activation,onboarding/activation naming pattern,unchanged from 16 mapping,provisional_for_16_shap_only,unchanged_from_16,unchanged,existing family retained,16b changes only family mapping; SHAP values are unchanged.
is_female,demographic_context,demographic_context,age/gender exact match,unchanged from 16 mapping,provisional_for_16_shap_only,unchanged_from_16,unchanged,existing family retained,16b changes only family mapping; SHAP values are unchanged.
is_male,demographic_context,demographic_context,age/gender exact match,unchanged from 16 mapping,provisional_for_16_shap_only,unchanged_from_16,unchanged,existing family retained,16b changes only family mapping; SHAP values are unchanged.
is_only_w1,technical_or_unknown,week_specific_usage_pattern,no simple rule matched,explicit 16b week-specific usage remap,unknown_needs_review,hotfixed_for_16b_and_17_handoff,remapped,1주차에만 시청한 고객 패턴을 나타낸다.,16b changes only family mapping; SHAP values are unchanged.
is_only_w2,technical_or_unknown,week_specific_usage_pattern,no simple rule matched,explicit 16b week-specific usage remap,unknown_needs_review,hotfixed_for_16b_and_17_handoff,remapped,2주차에만 시청한 고객 패턴을 나타낸다.,16b changes only family mapping; SHAP values are unchanged.
is_only_w3,technical_or_unknown,week_specific_usage_pattern,no simple rule matched,explicit 16b week-specific usage remap,unknown_needs_review,hotfixed_for_16b_and_17_handoff,remapped,3주차에만 시청한 고객 패턴을 나타낸다.,16b changes only family mapping; SHAP values are unchanged.
is_premium,membership_context,membership_context,membership/subscription naming pattern,unchanged from 16 mapping,provisional_for_16_shap_only,unchanged_from_16,unchanged,existing family retained,16b changes only family mapping; SHAP values are unchanged.
is_standard,membership_context,membership_context,membership/subscription naming pattern,unchanged from 16 mapping,provisional_for_16_shap_only,unchanged_from_16,unchanged,existing family retained,16b changes only family mapping; SHAP values are unchanged.
is_user_verified,membership_context,membership_context,membership/subscription naming pattern,unchanged from 16 mapping,provisional_for_16_shap_only,unchanged_from_16,unchanged,existing family retained,16b changes only family mapping; SHAP values are unchanged.
is_w1_over_50pct,weekly_usage,weekly_usage,usage/watch/session naming pattern,unchanged from 16 mapping,provisional_for_16_shap_only,unchanged_from_16,unchanged,existing family retained,16b changes only family mapping; SHAP values are unchanged.
is_w2_over_50pct,weekly_usage,weekly_usage,usage/watch/session naming pattern,unchanged from 16 mapping,provisional_for_16_shap_only,unchanged_from_16,unchanged,existing family retained,16b changes only family mapping; SHAP values are unchanged.
is_w3_over_50pct,weekly_usage,weekly_usage,usage/watch/session naming pattern,unchanged from 16 mapping,provisional_for_16_shap_only,unchanged_from_16,unchanged,existing family retained,16b changes only family mapping; SHAP values are unchanged.
log_retention_w2_ratio,retention_decay,retention_decay,retention naming pattern,unchanged from 16 mapping,provisional_for_16_shap_only,unchanged_from_16,unchanged,existing family retained,16b changes only family mapping; SHAP values are unchanged.
log_retention_w3_ratio,retention_decay,retention_decay,retention naming pattern,unchanged from 16 mapping,provisional_for_16_shap_only,unchanged_from_16,unchanged,existing family retained,16b changes only family mapping; SHAP values are unchanged.
max_daily_sessions,weekly_usage,weekly_usage,usage/watch/session naming pattern,unchanged from 16 mapping,provisional_for_16_shap_only,unchanged_from_16,unchanged,existing family retained,16b changes only family mapping; SHAP values are unchanged.
max_daily_watch_time_min,weekly_usage,weekly_usage,usage/watch/session naming pattern,unchanged from 16 mapping,provisional_for_16_shap_only,unchanged_from_16,unchanged,existing family retained,16b changes only family mapping; SHAP values are unchanged.
max_day_share,technical_or_unknown,usage_concentration,no simple rule matched,explicit 16b usage concentration remap,unknown_needs_review,hotfixed_for_16b_and_17_handoff,remapped,특정 일자에 활동이 몰렸는지 나타낸다.,16b changes only family mapping; SHAP values are unchanged.
max_inactive_gap_days,technical_or_unknown,inactivity_recency,no simple rule matched,explicit 16b inactivity gap remap,unknown_needs_review,hotfixed_for_16b_and_17_handoff,remapped,비활성 공백 길이를 나타낸다.,16b changes only family mapping; SHAP values are unchanged.
max_watch_time_min,weekly_usage,weekly_usage,usage/watch/session naming pattern,unchanged from 16 mapping,provisional_for_16_shap_only,unchanged_from_16,unchanged,existing family retained,16b changes only family mapping; SHAP values are unchanged.
median_watch_time_min,weekly_usage,weekly_usage,usage/watch/session naming pattern,unchanged from 16 mapping,provisional_for_16_shap_only,unchanged_from_16,unchanged,existing family retained,16b changes only family mapping; SHAP values are unchanged.
movie_per_active_day,content_preference,content_preference,content/movie naming pattern,unchanged from 16 mapping,provisional_for_16_shap_only,unchanged_from_16,unchanged,existing family retained,16b changes only family mapping; SHAP values are unchanged.
new_movie_in_180d_ratio,content_preference,content_preference,content/movie naming pattern,unchanged from 16 mapping,provisional_for_16_shap_only,unchanged_from_16,unchanged,existing family retained,16b changes only family mapping; SHAP values are unchanged.
new_movie_in_365d_ratio,content_preference,content_preference,content/movie naming pattern,unchanged from 16 mapping,provisional_for_16_shap_only,unchanged_from_16,unchanged,existing family retained,16b changes only family mapping; SHAP values are unchanged.
new_movie_in_90d_ratio,content_preference,content_preference,content/movie naming pattern,unchanged from 16 mapping,provisional_for_16_shap_only,unchanged_from_16,unchanged,existing family retained,16b changes only family mapping; SHAP values are unchanged.
old_movie_ratio_5y,content_preference,content_preference,content/movie naming pattern,unchanged from 16 mapping,provisional_for_16_shap_only,unchanged_from_16,unchanged,existing family retained,16b changes only family mapping; SHAP values are unchanged.
other_ratio,technical_or_unknown,genre_preference,no simple rule matched,explicit 16b other genre ratio remap,unknown_needs_review,hotfixed_for_16b_and_17_handoff,remapped,명확한 단일 장르는 아니지만 기타 장르 선호 비중을 나타낸다.,16b changes only family mapping; SHAP values are unchanged.
recency,technical_or_unknown,inactivity_recency,no simple rule matched,explicit 16b inactivity/recency remap,unknown_needs_review,hotfixed_for_16b_and_17_handoff,remapped,최근 활동 여부와 마지막 활동 거리 신호다.,16b changes only family mapping; SHAP values are unchanged.
reg_hour_afternoon,technical_or_unknown,registration_timing_context,no simple rule matched,explicit 16b registration hour remap,unknown_needs_review,hotfixed_for_16b_and_17_handoff,remapped,가입 시점과 가입 시간대 맥락 변수다.,16b changes only family mapping; SHAP values are unchanged.
reg_hour_evening,technical_or_unknown,registration_timing_context,no simple rule matched,explicit 16b registration hour remap,unknown_needs_review,hotfixed_for_16b_and_17_handoff,remapped,가입 시점과 가입 시간대 맥락 변수다.,16b changes only family mapping; SHAP values are unchanged.
reg_hour_morning,technical_or_unknown,registration_timing_context,no simple rule matched,explicit 16b registration hour remap,unknown_needs_review,hotfixed_for_16b_and_17_handoff,remapped,가입 시점과 가입 시간대 맥락 변수다.,16b changes only family mapping; SHAP values are unchanged.
reg_hour_night,technical_or_unknown,registration_timing_context,no simple rule matched,explicit 16b registration hour remap,unknown_needs_review,hotfixed_for_16b_and_17_handoff,remapped,가입 시점과 가입 시간대 맥락 변수다.,16b changes only family mapping; SHAP values are unchanged.
reg_is_weekend,technical_or_unknown,registration_timing_context,no simple rule matched,explicit 16b weekend registration remap,unknown_needs_review,hotfixed_for_16b_and_17_handoff,remapped,주중/주말 가입 맥락 변수다.,16b changes only family mapping; SHAP values are unchanged.
romance_ratio,genre_preference,genre_preference,genre/content genre naming pattern,unchanged from 16 mapping,provisional_for_16_shap_only,unchanged_from_16,unchanged,existing family retained,16b changes only family mapping; SHAP values are unchanged.
sf_fantasy_ratio,technical_or_unknown,genre_preference,no simple rule matched,explicit 16b genre ratio remap,unknown_needs_review,hotfixed_for_16b_and_17_handoff,remapped,장르/콘텐츠 선호 ratio 계열이다.,16b changes only family mapping; SHAP values are unchanged.
std_watch_time_min,weekly_usage,weekly_usage,usage/watch/session naming pattern,unchanged from 16 mapping,provisional_for_16_shap_only,unchanged_from_16,unchanged,existing family retained,16b changes only family mapping; SHAP values are unchanged.
thriller_crime_ratio,genre_preference,genre_preference,genre/content genre naming pattern,unchanged from 16 mapping,provisional_for_16_shap_only,unchanged_from_16,unchanged,existing family retained,16b changes only family mapping; SHAP values are unchanged.
total_watch_count,weekly_usage,weekly_usage,usage/watch/session naming pattern,unchanged from 16 mapping,provisional_for_16_shap_only,unchanged_from_16,unchanged,existing family retained,16b changes only family mapping; SHAP values are unchanged.
total_watch_time_min,weekly_usage,weekly_usage,usage/watch/session naming pattern,unchanged from 16 mapping,provisional_for_16_shap_only,unchanged_from_16,unchanged,existing family retained,16b changes only family mapping; SHAP values are unchanged.
unique_movie,content_preference,content_preference,content/movie naming pattern,unchanged from 16 mapping,provisional_for_16_shap_only,unchanged_from_16,unchanged,existing family retained,16b changes only family mapping; SHAP values are unchanged.
watch_days,weekly_usage,weekly_usage,usage/watch/session naming pattern,unchanged from 16 mapping,provisional_for_16_shap_only,unchanged_from_16,unchanged,existing family retained,16b changes only family mapping; SHAP values are unchanged.
watch_per_day,weekly_usage,weekly_usage,usage/watch/session naming pattern,unchanged from 16 mapping,provisional_for_16_shap_only,unchanged_from_16,unchanged,existing family retained,16b changes only family mapping; SHAP values are unchanged.
watch_ratio_under_1m,weekly_usage,weekly_usage,usage/watch/session naming pattern,unchanged from 16 mapping,provisional_for_16_shap_only,unchanged_from_16,unchanged,existing family retained,16b changes only family mapping; SHAP values are unchanged.
watch_ratio_under_5m,weekly_usage,weekly_usage,usage/watch/session naming pattern,unchanged from 16 mapping,provisional_for_16_shap_only,unchanged_from_16,unchanged,existing family retained,16b changes only family mapping; SHAP values are unchanged.
watch_session_w1,weekly_usage,weekly_usage,usage/watch/session naming pattern,unchanged from 16 mapping,provisional_for_16_shap_only,unchanged_from_16,unchanged,existing family retained,16b changes only family mapping; SHAP values are unchanged.
watch_session_w2,weekly_usage,weekly_usage,usage/watch/session naming pattern,unchanged from 16 mapping,provisional_for_16_shap_only,unchanged_from_16,unchanged,existing family retained,16b changes only family mapping; SHAP values are unchanged.
watch_session_w3,weekly_usage,weekly_usage,usage/watch/session naming pattern,unchanged from 16 mapping,provisional_for_16_shap_only,unchanged_from_16,unchanged,existing family retained,16b changes only family mapping; SHAP values are unchanged.
watch_time_min_w1,weekly_usage,weekly_usage,usage/watch/session naming pattern,unchanged from 16 mapping,provisional_for_16_shap_only,unchanged_from_16,unchanged,existing family retained,16b changes only family mapping; SHAP values are unchanged.
watch_time_min_w2,weekly_usage,weekly_usage,usage/watch/session naming pattern,unchanged from 16 mapping,provisional_for_16_shap_only,unchanged_from_16,unchanged,existing family retained,16b changes only family mapping; SHAP values are unchanged.
watch_time_min_w3,weekly_usage,weekly_usage,usage/watch/session naming pattern,unchanged from 16 mapping,provisional_for_16_shap_only,unchanged_from_16,unchanged,existing family retained,16b changes only family mapping; SHAP values are unchanged.
weekend_watch_ratio,weekly_usage,weekly_usage,usage/watch/session naming pattern,unchanged from 16 mapping,provisional_for_16_shap_only,unchanged_from_16,unchanged,existing family retained,16b changes only family mapping; SHAP values are unchanged.
