query_title,movieid,title,grouptitle,origintitle,releasedate,originalreleaseyear,country,targetage,playtime_sec,genre,tags,directors,actors,issubtitle,subtitles,audios,ismultiaudiotrack,isatmos,qualities,downloadable,drms,moviemarks,previewstarttime,previewendtime,creditstarttime,creditendtime,kmrbcode,image,synopsis,price
월스트리트:분노의복수(2013),MV_CL01_JY0000012771,월 스트리트: 분노의 복수,월 스트리트: 분노의 복수,,2014-05-15,2014,"캐나다, 미국",18,5940,드라마|액션|스릴러,드라마|액션|스릴러,우베 볼,도미닉 퍼셀|에린 카프럭|에드워드 펄롱,N,,en,N,n,1080p|720p|480p|360p,n,"WM,FP,PR,NC,WC",svod|drm,5.0,30.0,13708.0,13900.0,2014-MF00463,image.wavve.com/meta/image/202310/1698307989876652011.jpg,"사랑하는 아내 '로지'의 병을 고치기 위해 초과근무도 마다하지 않는 현금수송차 안전요원 '짐'. 그러나 점차 늘어나는 병원비를 대기 위해 묻어뒀던 펀드를 확인한 짐은 충격적인 소식을 듣는다. 바로 증권사의 잘못된 투자로 전 재산을 잃어버리게 된 것. 설상가상으로 두 배로 치솟은 이자로 인해 돈을 갚지 못하게 되자 은행에 집을 빼앗기게 되고, 증권회사의 파산으로 소송을 걸 상대조차 없어져버린다. 게다가 회사는 업무의 성격상 재정 문제가 있는 짐을 해고한다. 한편, 로지는 사랑하는 짐이 자신으로 인해 곤경에 처한 모습을 보며 괴로워하다 자살을 선택하고 마는데... 잃어버린 소박한 삶, 책임을 지지 않는 이들에게 정의의 심판을 내리다!",
알라딘(2019),MV_CA01_DY0000011494,(자막) 알라딘 (2019),알라딘 (2019),,2019-05-23,2019,미국,0,7673,가족|음악|모험|로맨스|SF/판타지,가족|음악|모험|로맨스|판타지,가이 리치,윌 스미스|메나 마수드|나오미 스콧|마르완 켄자리|나비드 네가반|나심 페드라드,Y,ko,en|en,N,n,1080p|720p|480p|360p,n,"WM,FP,PR,NC,WC",won|drm,1.0,28.0,20117.0,20753.0,2019-MF00816,image.wavve.com/movieImg/MovieGroup/2022/GMV_CA01_DY0000011494-Vertical_LogoY.jpg,"머나먼 사막 속 신비의 아그라바 왕국의 시대. 좀도둑 ‘알라딘’은 마법사 ‘자파’의 의뢰로 마법 램프를 찾아 나섰다가 주인에게 세 가지 소원을 들어주는 지니를 만나게 되고, 자스민 공주의 마음을 얻으려다 생각도 못했던 모험에 휘말리게 되는데...",
알라딘(2019),MV_CA01_DY0000011495,(더빙) 알라딘 (2019),알라딘 (2019),,2019-05-23,2019,미국,0,7682,가족|음악|모험|로맨스|SF/판타지,가족|음악|모험|로맨스|판타지,가이 리치,정성화|심규혁|사문영|정훈석|방성준|박신희,N,,und,N,n,1080p|720p|480p|360p,n,"WM,FP,PR,NC,WC",won|drm,5.0,34.0,20122.0,20802.0,2019-MF00816,image.wavve.com/movieImg/MovieGroup/2022/GMV_CA01_DY0000011494-Vertical_LogoY.jpg,"머나먼 사막 속 신비의 아그라바 왕국의 시대. 좀도둑 ‘알라딘’은 마법사 ‘자파’의 의뢰로 마법 램프를 찾아 나섰다가 주인에게 세 가지 소원을 들어주는 지니를 만나게 되고, 자스민 공주의 마음을 얻으려다 생각도 못했던 모험에 휘말리게 되는데...",
알라딘(2019),MV_CA01_DY0000011470,(자막) 알라딘 (1993),알라딘 (1993),,1993-07-03,1993,미국,0,5431,코미디|가족|음악|모험|드라마|애니메이션,코미디|가족|음악|모험|드라마|애니메이션,존 머스커|론 클레멘츠,스콧 와인거|로빈 윌리엄스|린다 라킨|조나단 프리먼|프랭크 웰커|길버트 갓프리드,N,,en,N,n,1080p|720p|480p|360p,n,"WM,FP,PR,NC,WC",won|drm,5.0,29.0,12543.0,13031.0,93-186,image.wavve.com/meta/image/202407/1721372579912523943.jpg,"오늘, 당신의 꿈이 이루어집니다! 사랑의 양탄자를 타고 꿈과 모험이 있는 환상의 세계로 함께 가요! 키우는 원숭이 아부와 함께 살아가는 아그라바의 좀도둑 알라딘은 어느 날 궁궐을 탈출한 술탄의 딸 자스민에게 한눈에 반한다. 술탄의 자리를 노리고 있는 사악한 마법사 자파는 알라딘을 눈여겨보고 그에게 마법의 램프를 가져다주면 부자로 만들어주겠다고 말한다. 동굴에 들어가서 램프를 찾던 알라딘은 도중에 동굴이 무너지는 바람에 갇히게 된다. 위기에 빠진 알라딘은 램프의 요정 지니와 마법 양탄자의 도움으로 동굴에서 탈출한다. 지니의 주인이 된 알라딘은 지니를 램프에서 구해주겠다고 약속하고, 지니의 힘을 빌어 왕자로 변신해 자스민에게 청혼하기 위해 아그라바로 돌아온다. 알라딘 때문에 자신의 계획이 실패로 돌아갈 위기에 처하자 자파는 알라딘을 붙잡아 바다에 던지는데...",
알라딘(2019),MV_CA01_DY0000011196,(더빙) 알라딘 (1993),알라딘 (1993),,1993-07-03,1993,미국,0,5427,코미디|가족|음악|모험|드라마|애니메이션,코미디|가족|음악|모험|드라마|애니메이션,존 머스커|론 클레멘츠,강수진|김명곤|홍영란,N,,ko,N,n,1080p|720p|480p|360p,n,"WM,FP,PR,NC,WC",won|drm,2.0,25.0,12538.0,13027.0,93-186,image.wavve.com/meta/image/202407/1721372579912523943.jpg,"오늘, 당신의 꿈이 이루어집니다! 함께 가요! 사랑의 양탄자를 타고 꿈과 모험이 있는 환상의 세계로 키우는 원숭이 아부와 함께 살아가는 아그라바의 좀도둑 알라딘은 어느 날 궁궐을 탈출한 술탄의 딸 자스민에게 한눈에 반한다. 술탄의 자리를 노리고 있는 사악한 마법사 자파는 알라딘을 눈여겨보고 그에게 마법의 램프를 가져다주면 부자로 만들어주겠다고 말한다. 동굴에 들어가서 램프를 찾던 알라딘은 도중에 동굴이 무너지는 바람에 갇히게 된다. 위기에 빠진 알라딘은 램프의 요정 지니와 마법 양탄자의 도움으로 동굴에서 탈출한다. 지니의 주인이 된 알라딘은 지니를 램프에서 구해주겠다고 약속하고, 지니의 힘을 빌어 왕자로 변신해 자스민에게 청혼하기 위해 아그라바로 돌아온다. 알라딘 때문에 자신의 계획이 실패로 돌아갈 위기에 처하자 자파는 알라딘을 붙잡아 바다에 던지는데...",
피노키오,MV_CL01_JY0000012734,피노키오,피노키오,,2021-03-18,2021,"프랑스, 영국, 이탈리아",12,7500,드라마|SF/판타지,드라마|판타지,마테오 가로네,페데리코 예라피|로베르토 베니니|마린 백트|로코 파팔레오|마시모 세체리니,N,,it,N,n,1080p|720p|480p|360p,n,,svod,5.0,26.0,15952.0,20500.0,2021-VF00450,image.wavve.com/movieImg/MovieGroup/2023/GMV_CL01_JY0000012734-Vertical_LogoY.jpg,"가난하게 살아가던 목공 '제페토 할아버지'는 멋진 꼭두각시를 만들어 돈을 벌 계획을 세운다. 나무를 구해 꼭두각시를 만들던 할아버지는 깜짝 놀란다. 나무 인형에게서 심장이 뛰는 소리가 들리고, 움직이기 시작한 것이다. 제페토 할아버지는 '피노키오'라는 이름을 지어주고, 아들로 삼기로 한다. 하지만 호기심이 많은 피노키오는 말썽만 부리며 할아버지를 걱정만 하게 만들고, 심지어 학교 책을 팔아 인형극 구경을 가게 되는데...!",
피노키오,MV_CA01_DY0000011206,(더빙) 피노키오,피노키오,,1963-08-09,1963,미국,0,4852,애니메이션|가족,애니메이션|가족,벤 샤프스틴|해밀턴 러스크|노먼 퍼거슨,김선우|장승길|탁원제,N,,ko,N,n,1080p|720p|480p|360p,n,"WM,FP,PR,NC,WC",won|drm,2.0,133.0,12031.0,12052.0,95-99,image.wavve.com/movieImg/MovieGroup/2022/GMV_CA01_DY0000011206-Vertical_LogoY.jpg,"이야기는 작은 조용한 마을의 위를 날아 인형 제작자인 제페토의 집에 다달음으로서 시작된다. 재페토는 소원 별을 바라보면서 남자 아이 인형인 피토키오가 정말 사람이 되었으면 하고 기원한다. 그 날 밤 푸른 요정이 제페토의 작업장에 나타나 피노키오에게 아직은 인형 모습 그대로이지만 살아서 움직이게 만든다. 요정은 피노키오에게 그가 용감하고 비이기적이고 진실함을 증명할 수 있다면 그가 진짜 소년이 될 것이라 예기한다. 요정은 또한 지미니 크리켓에게 피노키오의 양심이 되도록 명령한다. 이제 이야기의 주요 설정이 이루어졌으므로 피노키오가 자신을 증명하기 위해 세상을 탐험하도록 전개된다. 첫번째 시련은 제패토가 피노키오를 학교에 보내면서 닥친다. 학교로 가는 도중 피노키오는 J. 워딩톤 파울펠로라는 이름의 교활한 여우를 만난다. 지미니의 반대에도 불구하고 그와 그의 동료인 기데온은 피노키오가 학교를 떼려치우고 연극계로 진출토록 설득한다. 그들은 이 인형을 스톰볼리라는 악독한 인형극단 주인에게 소개한다. 피노키오는 ""나는 줄이 없어요""라는 노래로 무데에 데뷔하며 쉽게 성공한다. 지미니는 피노키오의 미래가 이제 확실해졌다고 믿고 스톰볼리에게 그를 맡기고 떠난다. 그러나 스톰볼리는 자신의 투자를 보호하기위해 피노키오를 철장에 가둔다. 그때 요정이 나타나 피노키오에게 어쩌다가 이런 곤경에 처했는지 물어본다. 이때부터 전개되는 상황은 에니메이트 환타지에서 진정한 고전으로 여겨지는 장면이다. 피노키오가 곤경에서 벗어나기위해 거짓말을 하려하자 그의 코가 자라기 시작한다. 거짓말을 더할 수록 그의 코는 조금씩 길어져 마침내 가지까지 생겨나고 새들이 날아와 둥지까지 튼다. 그의 행동에도 불구하고 요정은 피노키오에게 한번 더 기회를 주기로 하고 그를 자유롭게 풀어준다. 지미니와 함께 피노키오는 다시 한번 세상 구경을 떠난다. 곧 둘은 다시 파울펠로와 기데온을 만단다. 다시 한번 이 교활한 여우는 그를 설득하여 '환락의 섬'으로 떠나는 아이들에게 합류토록 한다. 그곳에서 피노키오는 다른 아이들과 함께 마음내키는 대로 살고 당나귀처럼 행동해도 좋다고 격려받는다. 환락의 섬에서의 목적은 바로 아이들을 당나귀로 만드는 것이었다. 피노키오가 거의 당나귀로 변할 무렵 지미니가 그를 구출하여 섬에서 탈출한다. 피노키오와 지미니가 목공소로 돌아왔을때 제페트는 사라져있었다. 푸른요정은 피노키오에게 제패트가 바다로 나갔다가 몬스트로라는 이름의 고래에 의해 삼켜졌음을 알려준다. 그녀는 제페토가 아직 살아 있으며 고래의 뱃속에서 살고있다 말한다. 주저하지 않고 피노키오와 지미니는 제페토를 구하기 위해 떠나지만 언제나처럼 실수 연발 결국 그도 몬스트로에 의해 삼켜진다. 재페토를 만난 피노키오는 탈출 계획을 세운다. 그는 몬스트로의 뱃속에서 불을 피워서 그가 재채기를 하도록 만들고는 뗏못을 타고 탈출한다. 하지만 화가 난 몬스트로는 그들을 추적하고 따라잡아 뗏목을 부숴버린다. 바다속에서 허우적거리며 제페토는 피노키오에게 도망가라고 예기하지만 피노키오는 자신을 아끼지않고 늙은 목수를 바다에서 끌어낸다. 제페토가 정신을 차렸을 때 그는 피노키오가 죽은 체로 해변에 누워있는 것을 발견한다. 제페토와 지미니는 그의 죽음에 슬퍼하며 목공소로 돌아오는데 이때 요정의 목소리가 들려온다. 그녀는 피노키오가 진정한 소년이 될 자격이 있음을 증명하였다고 말하고 마법에 의해 피노키오는 인형이 아니라 진짜 소년으로서 깨어난다. 이것을 보고난 지미니는 이제 자신은 물러날 때가 되었다고 말하며 합창단이 다시 ""별에게 소원을 빌어요""를 노래하면서 영화는 끝난다.",
호라이즌라인,MV_C3001_C300000012458,호라이즌 라인,호라이즌 라인,,2021-02-10,2021,미국,12,5516,스릴러,스릴러,미카엘 마르키마인,알렉산더 드레이먼|앨리슨 윌리엄스,N,,en,N,n,1080p|720p|480p|360p,y,,won,4.0,125.0,12346.0,13156.0,2020-MF03099,image.wavve.com/meta/image/202602/1770103427942278387.jpg,에메랄드 빛 해안을 낀 열대섬으로 향하던 ‘사라’ 이륙 후 두근거림도 잠시 멀쩡했던 조종사는 심정지로 정신을 잃고 흔들리는 기체로 인해 고장 난 계기판과 GPS! 메이데이! 메이데이! 메이데이! 구조를 외치는 중에도 추락하는 비행기. 생존확률 0%? 욕 터지는 고공 분투가 시작된다!,
내부자들,MV_SB01_SB0000000082,내부자들,내부자들,,2015-11-19,2015,대한민국,18,7825,드라마|범죄,드라마|범죄,우민호,이병헌|조승우|백윤식,N,,ko,N,n,1080p|720p|480p|360p,n,"WM,FP,PR,NC,WC",svod|drm,7.0,45.0,20551.0,21025.0,2015-MF01214,image.wavve.com/meta/image/202504/1743668608617264516.jpg,"“복수극으로 가자고, 화끈하게”  유력한 대통령 후보와 재벌 회장, 그들을 돕는 정치깡패 안상구. 뒷거래의 판을 짠 이는 대한민국 여론을 움직이는 유명 논설주간 이강희다. 더 큰 성공을 원한 안상구는 이들의 비자금 파일로 거래를 준비하다 발각되고, 이 일로 폐인이 되어 버려진다. “넌 복수를 원하고, 난 정의를 원한다. 그림 좋잖아?” 빽 없고 족보가 없어 늘 승진을 눈 앞에 두고 주저 앉는 검사 우장훈. 마침내 대선을 앞둔 대대적인 비자금 조사의 저격수가 되는 기회를 잡는다. 그러나 비자금 파일을 가로챈 안상구 때문에 수사는 종결되고, 우장훈은 책임을 떠안고 좌천된다. 자신을 폐인으로 만든 일당에게 복수를 계획하는 정치깡패 안상구 비자금 파일과 안상구라는 존재를 이용해 성공하고 싶은 무족보 검사 우장훈. 그리고 비자금 스캔들을 덮어야 하는 대통령 후보와 재벌, 그들의 설계자 이강희. 과연 살아남는 자는 누가 될 것인가?",
베테랑,MV_EN01_EN000000014,베테랑,베테랑,,2015-08-05,2015,대한민국,15,7419,드라마|액션,드라마|액션,류승완,황정민|유아인|유해진|오달수|장윤주|정웅인,N,,ko,N,n,1080p|720p|480p|360p,n,"WM,FP,PR,NC,WC",svod|drm,5.0,54.0,15948.0,20340.0,2014-MF01401,image.wavve.com/meta/image/202411/1731549588961195501.jpg,"한 번 꽂힌 것은 무조건 끝을 보는 행동파 ‘서도철’, 20년 경력의 승부사 ‘오팀장’, 위장 전문 홍일점 ‘미스봉’, 육체파 ‘왕형사’, 막내 ‘윤형사’까지 겁 없고, 못 잡는 것 없고, 봐 주는 것 없는 특수 강력사건 담당 광역수사대. 오랫동안 쫓던 대형 범죄를 해결한 후 숨을 돌리려는 찰나, 서도철은 재벌 3세 ‘조태오’를 만나게 된다. 세상 무서울 것 없는 안하무인의 조태오와 언제나 그의 곁을 지키는 오른팔 ‘최상무’. 서도철은 의문의 사건을 쫓던 중 그들이 사건의 배후에 있음을 직감한다. 건들면 다친다는 충고에도 불구하고 포기하지 않는 서도철의 집념에 판은 걷잡을 수 없이 커져가고 조태오는 이를 비웃기라도 하듯 유유히 포위망을 빠져 나가는데... 베테랑 광역수사대 VS 유아독존 재벌 3세. 자존심을 건 한판 대결이 시작된다!",
더셰프,MV_CL01_JY0000013088,더 셰프,더 셰프,,2015-11-05,2015,"미국, 영국",15,6026,드라마,드라마,존 웰스,브래들리 쿠퍼|시에나 밀러|오마 사이|엠마 톰슨|우마 서먼|다니엘 브륄,N,,en,N,n,1080p|720p|480p|360p,n,"WM,FP,PR,NC,WC",won|drm,1.0,19.0,13541.0,14026.0,2015-MF01231,image.wavve.com/meta/image/202512/1766989794858246259.png,"미슐랭 2스타라는 명예와 부를 거머쥔 프랑스 최고의 셰프 '아담 존스'. 모든 것이 완벽해야만 하는 강박증세에 시달리던 그는 괴팍한 성격 탓에 일자리를 잃게 되고 기나긴 슬럼프에 빠지게 된다. 하지만 이내 자신의 모든 것을 걸고 마지막 미슐랭 3스타에 도전하기로 결심한 아담은 각 분야 최고의 셰프들을 모으려는 불가능을 실행에 옮기기 위해 런던으로 떠난다. 절대 미각의 소스 전문가 '스위니'와 상위 1%를 매혹시킨 수셰프 '미쉘', 화려한 테크닉을 자랑하는 파티시에 '맥스'를 포함하여 전폭적인 지원을 아끼지 않는 레스토랑 오너 '토니'까지 모두 아담의 실력만을 믿고 그의 제안을 받아들인다. 그러나 주방에 감도는 뜨거운 열기와 압박감은 '최강의 셰프 군단'과 완벽을 쫓는 아담 사이의 경쟁심을 극으로 치닫게 만드는데...",
