concept_group,source,variable_name,description,issue_note,in_official_w1_3_pruned_set,in_full_exploratory_w1_3,selection_direction,exists_in_modeling_dataset_v2c_w1_3,data_type,non_null_count,unique_count,example_values,min,median_or_top,max
,05f,w1_3_genre_ratio_other,1~3주 관측창에서 other 장르 시청 시간이 전체 장르 시청 시간에서 차지하는 비율입니다.,,True,True,KEEP_OFFICIAL: included in the official 06c2/06c3 w1_3 pruned feature set.,True,float64,23115,1923,0.0019305019305019 | 0.0 | 0.1237721021611002 | 0.23 | 0.1034482758620689 | 0.0013966480446927 | 0.0662420382165605 | 0.3636363636363636,0.0,0.0,1.0
,05f,w1_3_genre_ratio_romance,1~3주 관측창에서 romance 장르 시청 시간이 전체 장르 시청 시간에서 차지하는 비율입니다.,,True,True,KEEP_OFFICIAL: included in the official 06c2/06c3 w1_3 pruned feature set.,True,float64,23115,5389,0.0135135135135135 | 0.0 | 0.1219512195121951 | 0.4094202898550724 | 0.1540880503144654 | 0.1165644171779141 | 0.0442043222003929 | 0.38,0.0,0.0,1.0
,05f,w1_3_genre_ratio_sf_fantasy,1~3주 관측창에서 sf_fantasy 장르 시청 시간이 전체 장르 시청 시간에서 차지하는 비율입니다.,,True,True,KEEP_OFFICIAL: included in the official 06c2/06c3 w1_3 pruned feature set.,True,float64,23115,5220,0.0 | 0.0873983739837398 | 1.0 | 0.7808764940239044 | 0.2607361963190184 | 0.0147347740667976 | 0.2705314009661835 | 0.5221052631578947,0.0,0.0,1.0
,05f,w1_3_genre_ratio_thriller_crime,1~3주 관측창에서 thriller_crime 장르 시청 시간이 전체 장르 시청 시간에서 차지하는 비율입니다.,,True,True,KEEP_OFFICIAL: included in the official 06c2/06c3 w1_3 pruned feature set.,True,float64,23115,6606,0.361003861003861 | 0.0 | 0.992248062015504 | 0.5426829268292683 | 1.0 | 0.0326086956521739 | 0.2191235059760956 | 0.2010376134889753,0.0,0.0,1.0
,05f,w1_3_recent_content_watch_ratio,1~3주 관측창에서 공개월이 상대적으로 최근인 콘텐츠 시청 비중입니다.,,True,True,KEEP_OFFICIAL: included in the official 06c2/06c3 w1_3 pruned feature set.,True,float64,23115,6810,0.416988416988417 | 0.25 | 0.0077519379844961 | 0.0 | 0.5101626016260162 | 0.427536231884058 | 0.0010482180293501 | 0.0053475935828877,0.0,0.0,1.0
,05f,w1_3_week1_watch_time,구독 시작 후 1~3주 관측창에서 해당 주차의 시청 시간을 집계한 변수입니다.,,True,True,KEEP_OFFICIAL: included in the official 06c2/06c3 w1_3 pruned feature set.,True,float64,23115,856,191.0 | 3.0 | 0.0 | 99.0 | 26.0 | 22.0 | 392.0 | 333.0,0.0,27.0,4766.0
,05f,w1_3_week2_watch_time,구독 시작 후 1~3주 관측창에서 해당 주차의 시청 시간을 집계한 변수입니다.,,True,True,KEEP_OFFICIAL: included in the official 06c2/06c3 w1_3 pruned feature set.,True,float64,23115,850,313.0 | 1.0 | 129.0 | 0.0 | 214.0 | 80.0 | 170.0 | 902.0,0.0,23.0,2957.0
,05f,w1_3_week3_watch_time,구독 시작 후 1~3주 관측창에서 해당 주차의 시청 시간을 집계한 변수입니다.,,True,True,KEEP_OFFICIAL: included in the official 06c2/06c3 w1_3 pruned feature set.,True,float64,23115,840,14.0 | 0.0 | 278.0 | 170.0 | 52.0 | 238.0 | 39.0 | 69.0,0.0,26.0,2691.0
,05f,w1_3_w2_minus_w1_watch_time,주차 간 차이 변수는 공식 모델에서 제외했습니다.,,False,True,Keep excluded from official modeling: week-to-week delta is more timing-sensitive and less stable.,True,float64,23115,1381,122.0 | -2.0 | 129.0 | 0.0 | 214.0 | -99.0 | 54.0 | 170.0,-3444.0,0.0,2957.0
,05f,w1_3_w3_minus_w2_watch_time,주차 간 차이 변수는 공식 모델에서 제외했습니다.,,False,True,Keep excluded from official modeling: week-to-week delta is more timing-sensitive and less stable.,True,float64,23115,1407,-299.0 | -1.0 | -129.0 | 0.0 | 64.0 | 90.0 | -170.0 | -850.0,-1824.0,0.0,2691.0
,05f,w1_3_week1_ratio,주차별 시청 비중은 공식 모델에서 제외했습니다.,,False,True,Keep excluded from official modeling: weekly ratio is redundant with weekly watch-time structure.,True,float64,23115,9866,0.368726 | 0.75 | 0.0 | 1.0 | 0.094203 | 0.117647 | 0.780876 | 0.431907,0.0,0.207292,1.0
,05f,w1_3_week2_ratio,주차별 시청 비중은 공식 모델에서 제외했습니다.,,False,True,Keep excluded from official modeling: weekly ratio is redundant with weekly watch-time structure.,True,float64,23115,10088,0.604247 | 0.25 | 1.0 | 0.0 | 0.434959 | 0.289855 | 0.945493 | 0.882353,0.0,0.181628,1.0
,05f,w1_3_week3_ratio,주차별 시청 비중은 공식 모델에서 제외했습니다.,,False,True,Keep excluded from official modeling: weekly ratio is redundant with weekly watch-time structure.,True,float64,23115,9895,0.027027 | 0.0 | 0.565041 | 0.615942 | 0.054507 | 0.730061 | 0.03831 | 0.207207,0.0,0.190476,1.0
