file_path,file_role,sha256,mtime,size_bytes,status
park.ingyeom/reports/audits/15x_payment_device_sensitivity_260516/15x_model_summary_by_scope.csv,core_csv,f681eda5bb6abd5ca0b1499c5a26f9be725327d79df92991f1587693a8664a4f,2026-05-18T01:43:07,2411,FOUND
park.ingyeom/reports/interpretation/16x_SHAP_candidate_interpretation_260516/16x_SHAP_global_importance.csv,core_csv,e3bbb188d44adf1e7071c62423d4e8a69c43a9b6fe8f37d20d3c61c22fe41e2d,2026-05-18T01:43:08,35139,FOUND
park.ingyeom/reports/interpretation/16x_SHAP_candidate_interpretation_260516/16x_SHAP_family_importance.csv,core_csv,5f4f3322b099926dc5625397483bc339e0833cba361f5adb51340d5c1a1e48ef,2026-05-18T01:43:08,2303,FOUND
park.ingyeom/reports/segments/17x_segmentation_design_260516/17x_segment_summary.csv,core_csv,6fcf17ac37925a04a7f143cbae3062ee12bf0e701f788d0d638754bf0e174125,2026-05-18T01:43:08,2467,FOUND
park.ingyeom/reports/segments/17x_segmentation_design_260516/17x_representative_segment_rules.csv,core_csv,7643503994d9ac3b3c75231c3b83a986a6790eb5a785eca650c1053c8a2903a5,2026-05-18T01:43:08,1474,FOUND
park.ingyeom/reports/segments/17x_segmentation_design_260516/17x_internal_multiflag_definitions.csv,core_csv,5daa58acac5f8917cbfb20f594e661ff5504f893df8dbc8dac284fcc8b3f1c3b,2026-05-18T01:43:08,2788,FOUND
park.ingyeom/reports/segments/17x_segmentation_design_260516/17x_score_source_selection.csv,core_csv,43351609814c1529d6930fcc2f51e9dbb50900ce08c35e5e0a7fb7902804a95b,2026-05-18T01:43:08,1909,FOUND
park.ingyeom/reports/storyline/18x_business_recommendation_storyline_260518/18x_segment_to_message_strategy.csv,core_csv,2690385af42812d8d7faad2168ce258e435f86537e677e2771f5537fda34c628,2026-05-18T01:43:08,4660,FOUND
park.ingyeom/reports/storyline/18x_business_recommendation_storyline_260518/18x_safe_unsafe_wording.csv,core_csv,2d5c9950c35158baaccf74ae6dd9f7ee2de20d3a4cd8734da60661bb35112108,2026-05-18T01:43:08,1117,FOUND
park.ingyeom/reports/storyline/18x_business_recommendation_storyline_260518/18x_mentor_QA_defense.csv,core_csv,b2eea08492766cbd6031f4588599b61c1d35cdb627a12919a7cefbfcd729acea,2026-05-18T01:43:08,2884,FOUND
park.ingyeom/reports/storyline/18x_business_recommendation_storyline_260518/18x_open_risks.csv,core_csv,80652183c87a3e6c4dc2d55c85baf77d5427c7214aafc1558a47c3f6ff2378ab,2026-05-18T01:43:08,771,FOUND
park.ingyeom/reports/audits/15x_payment_device_sensitivity_260516/15x_recommendation_for_canonical_feature_contract.csv,core_csv,75af91bdfde7d5f8f999e919e25e8ca6b4a9354725ea72a52d0c93aad7aea1aa,2026-05-18T01:43:08,376,FOUND
park.ingyeom/reports/audits/15x_payment_device_sensitivity_260516/15x_safe_unsafe_wording.csv,core_csv,03ae6c1b9b48aeff8e04cf3ef6d82bcba457b744b43a0c3e4462473c81d98133,2026-05-18T01:43:08,815,FOUND
