column_name,leakage_risk_level,leakage_type,why_suspicious,can_use_in_model_now,required_resolution_before_modeling,recommended_action
age,review,not_leakage_but_review,"Semantic/scoring-time review required. membership metadata requires semantic/scoring-time review. Evidence: likely static/subscription context but semantic review required. Conservative rule: uncertain columns remain review, not approved.",review,confirm_metadata_semantics_before_modeling,hold for human review
reg_date,low,not_leakage_but_review,"Included for explicit conservative review. subscription start anchor, not a regular feature. Evidence: registration anchor date. Conservative rule: uncertain columns remain review, not approved.",no,confirm_allowed_date_derivations_only,exclude now
reg_hour,review,timing_ambiguous,"Construction window/reference date unresolved. meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",review,06_common_preprocessing_final_cohort_policy_260513,hold for human review
end_date,review,timing_ambiguous,"Construction window/reference date unresolved. scheduled-vs-posthoc end date unresolved. Evidence: end date or duration timing unresolved. Conservative rule: uncertain columns remain review, not approved.",no,06_final_cohort_policy_must_resolve_end_date_timing,exclude now
is_repurchase,critical,target_leakage,"Target-like column. target; positive class means repurchase. Evidence: id/target/split control column. Conservative rule: uncertain columns remain review, not approved.",no,target_contract_established,exclude now
is_standard,review,timing_ambiguous,"Construction window/reference date unresolved. meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",review,06_common_preprocessing_final_cohort_policy_260513,hold for human review
is_premium,review,timing_ambiguous,"Construction window/reference date unresolved. meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",review,06_common_preprocessing_final_cohort_policy_260513,hold for human review
age_group,review,not_leakage_but_review,"Semantic/scoring-time review required. membership metadata requires semantic review. Evidence: likely static/subscription context but semantic review required. Conservative rule: uncertain columns remain review, not approved.",review,confirm_metadata_semantics_before_modeling,hold for human review
is_female,review,timing_ambiguous,"Construction window/reference date unresolved. meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",review,06_common_preprocessing_final_cohort_policy_260513,hold for human review
is_male,review,timing_ambiguous,"Construction window/reference date unresolved. meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",review,06_common_preprocessing_final_cohort_policy_260513,hold for human review
reg_is_weekend,review,timing_ambiguous,"Construction window/reference date unresolved. meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",review,06_common_preprocessing_final_cohort_policy_260513,hold for human review
reg_hour_morning,review,timing_ambiguous,"Construction window/reference date unresolved. meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",review,06_common_preprocessing_final_cohort_policy_260513,hold for human review
reg_hour_afternoon,review,timing_ambiguous,"Construction window/reference date unresolved. meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",review,06_common_preprocessing_final_cohort_policy_260513,hold for human review
reg_hour_evening,review,timing_ambiguous,"Construction window/reference date unresolved. meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",review,06_common_preprocessing_final_cohort_policy_260513,hold for human review
reg_hour_night,review,timing_ambiguous,"Construction window/reference date unresolved. meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",review,06_common_preprocessing_final_cohort_policy_260513,hold for human review
payment_is_mobile,review,timing_ambiguous,"Construction window/reference date unresolved. meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",review,06_common_preprocessing_final_cohort_policy_260513,hold for human review
payment_is_pc,review,timing_ambiguous,"Construction window/reference date unresolved. meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",review,06_common_preprocessing_final_cohort_policy_260513,hold for human review
payment_is_android,review,timing_ambiguous,"Construction window/reference date unresolved. meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",review,06_common_preprocessing_final_cohort_policy_260513,hold for human review
payment_is_ios,review,timing_ambiguous,"Construction window/reference date unresolved. meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",review,06_common_preprocessing_final_cohort_policy_260513,hold for human review
total_watch_count,review,timing_ambiguous,"Construction window/reference date unresolved. total usage window unresolved. Evidence: total/all-period window unresolved. Conservative rule: uncertain columns remain review, not approved.",review,confirm_total_usage_window_before_modeling,hold for human review
unique_movie,review,timing_ambiguous,"Construction window/reference date unresolved. meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",review,06_common_preprocessing_final_cohort_policy_260513,hold for human review
watch_days,review,timing_ambiguous,"Construction window/reference date unresolved. meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",review,06_common_preprocessing_final_cohort_policy_260513,hold for human review
active_ratio,review,timing_ambiguous,"Construction window/reference date unresolved. genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",review,confirm_content_window_before_modeling,hold for human review
total_watch_time(min),review,timing_ambiguous,"Construction window/reference date unresolved. total usage window unresolved. Evidence: total/all-period window unresolved. Conservative rule: uncertain columns remain review, not approved.",review,confirm_total_usage_window_before_modeling,hold for human review
watch_per_day,review,timing_ambiguous,"Construction window/reference date unresolved. meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",review,06_common_preprocessing_final_cohort_policy_260513,hold for human review
avg_watch_time(min),review,timing_ambiguous,"Construction window/reference date unresolved. meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",review,06_common_preprocessing_final_cohort_policy_260513,hold for human review
median_watch_time(min),review,timing_ambiguous,"Construction window/reference date unresolved. meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",review,06_common_preprocessing_final_cohort_policy_260513,hold for human review
std_watch_time(min),review,timing_ambiguous,"Construction window/reference date unresolved. meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",review,06_common_preprocessing_final_cohort_policy_260513,hold for human review
avg_daily_watch_time(min),review,timing_ambiguous,"Construction window/reference date unresolved. meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",review,06_common_preprocessing_final_cohort_policy_260513,hold for human review
max_watch_time(min),review,timing_ambiguous,"Construction window/reference date unresolved. meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",review,06_common_preprocessing_final_cohort_policy_260513,hold for human review
max_daily_watch_time(min),review,timing_ambiguous,"Construction window/reference date unresolved. meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",review,06_common_preprocessing_final_cohort_policy_260513,hold for human review
max_daily_sessions,review,timing_ambiguous,"Construction window/reference date unresolved. meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",review,06_common_preprocessing_final_cohort_policy_260513,hold for human review
recency,review,timing_ambiguous,"Construction window/reference date unresolved. recency reference date unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",review,confirm_recency_reference_date,hold for human review
avg_gap_between_watch_days,review,timing_ambiguous,"Construction window/reference date unresolved. meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",review,06_common_preprocessing_final_cohort_policy_260513,hold for human review
avg_gap_w1_watch_days,low,not_leakage_but_review,"Included for explicit conservative review. explicit week1 behavior within observation window if construction matches name. Evidence: explicit week1. Conservative rule: uncertain columns remain review, not approved.",yes,baseline_ladder_activation,eligible only under stated timing contract
avg_gap_w2_watch_days,low,not_leakage_but_review,"Included for explicit conservative review. explicit week2 behavior/change within observation window if construction matches name. Evidence: explicit week2. Conservative rule: uncertain columns remain review, not approved.",yes,baseline_ladder_retention_w2,eligible only under stated timing contract
avg_gap_w3_watch_days,low,not_leakage_but_review,"Included for explicit conservative review. explicit week3 behavior/change within observation window if construction matches name. Evidence: explicit week3. Conservative rule: uncertain columns remain review, not approved.",yes,baseline_ladder_retention_w3,eligible only under stated timing contract
max_inactive_gap_days,review,timing_ambiguous,"Construction window/reference date unresolved. meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",review,06_common_preprocessing_final_cohort_policy_260513,hold for human review
avg_rewatch_ratio,review,timing_ambiguous,"Construction window/reference date unresolved. genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",review,confirm_content_window_before_modeling,hold for human review
weekend_watch_ratio,review,timing_ambiguous,"Construction window/reference date unresolved. genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",review,confirm_content_window_before_modeling,hold for human review
watch_ratio_under_1m,review,timing_ambiguous,"Construction window/reference date unresolved. genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",review,confirm_content_window_before_modeling,hold for human review
watch_ratio_under_5m,review,timing_ambiguous,"Construction window/reference date unresolved. genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",review,confirm_content_window_before_modeling,hold for human review
is_cold_start_3d,review,timing_ambiguous,"Construction window/reference date unresolved. content-derived window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",review,confirm_content_window_before_modeling,hold for human review
is_cold_start_7d,review,timing_ambiguous,"Construction window/reference date unresolved. content-derived window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",review,confirm_content_window_before_modeling,hold for human review
movie_per_active_day,review,timing_ambiguous,"Construction window/reference date unresolved. meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",review,06_common_preprocessing_final_cohort_policy_260513,hold for human review
max_day_share,review,timing_ambiguous,"Construction window/reference date unresolved. meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",review,06_common_preprocessing_final_cohort_policy_260513,hold for human review
day_count_over_3times,review,timing_ambiguous,"Construction window/reference date unresolved. meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",review,06_common_preprocessing_final_cohort_policy_260513,hold for human review
watch_time(min)_w1,low,not_leakage_but_review,"Included for explicit conservative review. explicit week1 behavior within observation window if construction matches name. Evidence: explicit week1. Conservative rule: uncertain columns remain review, not approved.",yes,baseline_ladder_activation,eligible only under stated timing contract
watch_time(min)_w2,low,not_leakage_but_review,"Included for explicit conservative review. explicit week2 behavior/change within observation window if construction matches name. Evidence: explicit week2. Conservative rule: uncertain columns remain review, not approved.",yes,baseline_ladder_retention_w2,eligible only under stated timing contract
watch_time(min)_w3,low,not_leakage_but_review,"Included for explicit conservative review. explicit week3 behavior/change within observation window if construction matches name. Evidence: explicit week3. Conservative rule: uncertain columns remain review, not approved.",yes,baseline_ladder_retention_w3,eligible only under stated timing contract
watch_session_w1,low,not_leakage_but_review,"Included for explicit conservative review. explicit week1 behavior within observation window if construction matches name. Evidence: explicit week1. Conservative rule: uncertain columns remain review, not approved.",yes,baseline_ladder_activation,eligible only under stated timing contract
watch_session_w2,low,not_leakage_but_review,"Included for explicit conservative review. explicit week2 behavior/change within observation window if construction matches name. Evidence: explicit week2. Conservative rule: uncertain columns remain review, not approved.",yes,baseline_ladder_retention_w2,eligible only under stated timing contract
watch_session_w3,low,not_leakage_but_review,"Included for explicit conservative review. explicit week3 behavior/change within observation window if construction matches name. Evidence: explicit week3. Conservative rule: uncertain columns remain review, not approved.",yes,baseline_ladder_retention_w3,eligible only under stated timing contract
retention_w2_ratio,low,not_leakage_but_review,"Included for explicit conservative review. genre/content ratio window unresolved. Evidence: explicit week2. Conservative rule: uncertain columns remain review, not approved.",review,confirm_content_window_before_modeling,hold for human review
retention_w3_ratio,low,not_leakage_but_review,"Included for explicit conservative review. genre/content ratio window unresolved. Evidence: explicit week3. Conservative rule: uncertain columns remain review, not approved.",review,confirm_content_window_before_modeling,hold for human review
diff_between_w2_w1,low,not_leakage_but_review,"Included for explicit conservative review. explicit week1 behavior within observation window if construction matches name. Evidence: week1-week2 change. Conservative rule: uncertain columns remain review, not approved.",review,baseline_ladder_activation,hold for human review
diff_between_w3_w1,low,not_leakage_but_review,"Included for explicit conservative review. explicit week1 behavior within observation window if construction matches name. Evidence: week1-week3 change. Conservative rule: uncertain columns remain review, not approved.",review,baseline_ladder_activation,hold for human review
diff_between_w3_w2,low,not_leakage_but_review,"Included for explicit conservative review. explicit week2 behavior/change within observation window if construction matches name. Evidence: week2-week3 change. Conservative rule: uncertain columns remain review, not approved.",yes,baseline_ladder_retention_w2,eligible only under stated timing contract
is_w1_over_50pct,low,not_leakage_but_review,"Included for explicit conservative review. explicit week1 behavior within observation window if construction matches name. Evidence: explicit week1. Conservative rule: uncertain columns remain review, not approved.",yes,baseline_ladder_activation,eligible only under stated timing contract
is_w2_over_50pct,low,not_leakage_but_review,"Included for explicit conservative review. explicit week2 behavior/change within observation window if construction matches name. Evidence: explicit week2. Conservative rule: uncertain columns remain review, not approved.",yes,baseline_ladder_retention_w2,eligible only under stated timing contract
is_w3_over_50pct,low,not_leakage_but_review,"Included for explicit conservative review. explicit week3 behavior/change within observation window if construction matches name. Evidence: explicit week3. Conservative rule: uncertain columns remain review, not approved.",yes,baseline_ladder_retention_w3,eligible only under stated timing contract
is_only_w1,low,not_leakage_but_review,"Included for explicit conservative review. explicit week1 behavior within observation window if construction matches name. Evidence: explicit week1. Conservative rule: uncertain columns remain review, not approved.",yes,baseline_ladder_activation,eligible only under stated timing contract
is_only_w2,low,not_leakage_but_review,"Included for explicit conservative review. explicit week2 behavior/change within observation window if construction matches name. Evidence: explicit week2. Conservative rule: uncertain columns remain review, not approved.",yes,baseline_ladder_retention_w2,eligible only under stated timing contract
is_only_w3,low,not_leakage_but_review,"Included for explicit conservative review. explicit week3 behavior/change within observation window if construction matches name. Evidence: explicit week3. Conservative rule: uncertain columns remain review, not approved.",yes,baseline_ladder_retention_w3,eligible only under stated timing contract
new_movie_in_90d_ratio,review,timing_ambiguous,"Construction window/reference date unresolved. genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",review,confirm_content_window_before_modeling,hold for human review
new_movie_in_180d_ratio,review,timing_ambiguous,"Construction window/reference date unresolved. genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",review,confirm_content_window_before_modeling,hold for human review
new_movie_in_365d_ratio,review,timing_ambiguous,"Construction window/reference date unresolved. genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",review,confirm_content_window_before_modeling,hold for human review
old_movie_ratio(5y),review,timing_ambiguous,"Construction window/reference date unresolved. genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",review,confirm_content_window_before_modeling,hold for human review
avg_ott_release_year,review,timing_ambiguous,"Construction window/reference date unresolved. content-derived window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",review,confirm_content_window_before_modeling,hold for human review
genre_diversity_count,review,timing_ambiguous,"Construction window/reference date unresolved. genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",review,confirm_content_window_before_modeling,hold for human review
action_adventure_ratio,review,timing_ambiguous,"Construction window/reference date unresolved. genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",review,confirm_content_window_before_modeling,hold for human review
family_animation_ratio,review,timing_ambiguous,"Construction window/reference date unresolved. genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",review,confirm_content_window_before_modeling,hold for human review
drama_ratio,review,timing_ambiguous,"Construction window/reference date unresolved. genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",review,confirm_content_window_before_modeling,hold for human review
thriller_crime_ratio,review,timing_ambiguous,"Construction window/reference date unresolved. genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",review,confirm_content_window_before_modeling,hold for human review
sf_fantasy_ratio,review,timing_ambiguous,"Construction window/reference date unresolved. genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",review,confirm_content_window_before_modeling,hold for human review
comedy_ratio,review,timing_ambiguous,"Construction window/reference date unresolved. genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",review,confirm_content_window_before_modeling,hold for human review
romance_ratio,review,timing_ambiguous,"Construction window/reference date unresolved. genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",review,confirm_content_window_before_modeling,hold for human review
horror_ratio,review,timing_ambiguous,"Construction window/reference date unresolved. genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",review,confirm_content_window_before_modeling,hold for human review
documentary_ratio,review,timing_ambiguous,"Construction window/reference date unresolved. genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",review,confirm_content_window_before_modeling,hold for human review
historical_war_ratio,review,timing_ambiguous,"Construction window/reference date unresolved. genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",review,confirm_content_window_before_modeling,hold for human review
other_ratio,review,timing_ambiguous,"Construction window/reference date unresolved. genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",review,confirm_content_window_before_modeling,hold for human review
