feature_set_name,column_name,include_status,reason,required_resolution_if_review
overall_model_candidate_with_promotion,payment_is_mobile,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",06_common_preprocessing_final_cohort_policy_260513
overall_model_candidate_with_promotion,payment_is_pc,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",06_common_preprocessing_final_cohort_policy_260513
overall_model_candidate_with_promotion,payment_is_android,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",06_common_preprocessing_final_cohort_policy_260513
overall_model_candidate_with_promotion,payment_is_ios,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",06_common_preprocessing_final_cohort_policy_260513
overall_model_candidate_with_promotion,total_watch_count,review,"total usage window unresolved. Evidence: total/all-period window unresolved. Conservative rule: uncertain columns remain review, not approved.",confirm_total_usage_window_before_modeling
overall_model_candidate_with_promotion,unique_movie,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",06_common_preprocessing_final_cohort_policy_260513
overall_model_candidate_with_promotion,watch_days,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",06_common_preprocessing_final_cohort_policy_260513
overall_model_candidate_with_promotion,active_ratio,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",confirm_content_window_before_modeling
overall_model_candidate_with_promotion,total_watch_time(min),review,"total usage window unresolved. Evidence: total/all-period window unresolved. Conservative rule: uncertain columns remain review, not approved.",confirm_total_usage_window_before_modeling
overall_model_candidate_with_promotion,watch_per_day,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",06_common_preprocessing_final_cohort_policy_260513
overall_model_candidate_with_promotion,avg_watch_time(min),review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",06_common_preprocessing_final_cohort_policy_260513
overall_model_candidate_with_promotion,median_watch_time(min),review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",06_common_preprocessing_final_cohort_policy_260513
overall_model_candidate_with_promotion,std_watch_time(min),review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",06_common_preprocessing_final_cohort_policy_260513
overall_model_candidate_with_promotion,avg_daily_watch_time(min),review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",06_common_preprocessing_final_cohort_policy_260513
overall_model_candidate_with_promotion,max_watch_time(min),review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",06_common_preprocessing_final_cohort_policy_260513
overall_model_candidate_with_promotion,max_daily_watch_time(min),review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",06_common_preprocessing_final_cohort_policy_260513
overall_model_candidate_with_promotion,max_daily_sessions,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",06_common_preprocessing_final_cohort_policy_260513
overall_model_candidate_with_promotion,recency,review,"recency reference date unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",confirm_recency_reference_date
overall_model_candidate_with_promotion,avg_gap_between_watch_days,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",06_common_preprocessing_final_cohort_policy_260513
overall_model_candidate_with_promotion,avg_gap_w1_watch_days,include,"explicit week1 behavior within observation window if construction matches name. Evidence: explicit week1. Conservative rule: uncertain columns remain review, not approved.",
overall_model_candidate_with_promotion,avg_gap_w2_watch_days,include,"explicit week2 behavior/change within observation window if construction matches name. Evidence: explicit week2. Conservative rule: uncertain columns remain review, not approved.",
overall_model_candidate_with_promotion,avg_gap_w3_watch_days,include,"explicit week3 behavior/change within observation window if construction matches name. Evidence: explicit week3. Conservative rule: uncertain columns remain review, not approved.",
overall_model_candidate_with_promotion,max_inactive_gap_days,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",06_common_preprocessing_final_cohort_policy_260513
overall_model_candidate_with_promotion,avg_rewatch_ratio,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",confirm_content_window_before_modeling
overall_model_candidate_with_promotion,weekend_watch_ratio,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",confirm_content_window_before_modeling
overall_model_candidate_with_promotion,watch_ratio_under_1m,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",confirm_content_window_before_modeling
overall_model_candidate_with_promotion,watch_ratio_under_5m,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",confirm_content_window_before_modeling
overall_model_candidate_with_promotion,is_cold_start_3d,review,"content-derived window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",confirm_content_window_before_modeling
overall_model_candidate_with_promotion,is_cold_start_7d,review,"content-derived window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",confirm_content_window_before_modeling
overall_model_candidate_with_promotion,movie_per_active_day,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",06_common_preprocessing_final_cohort_policy_260513
overall_model_candidate_with_promotion,max_day_share,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",06_common_preprocessing_final_cohort_policy_260513
overall_model_candidate_with_promotion,day_count_over_3times,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",06_common_preprocessing_final_cohort_policy_260513
overall_model_candidate_with_promotion,watch_time(min)_w1,include,"explicit week1 behavior within observation window if construction matches name. Evidence: explicit week1. Conservative rule: uncertain columns remain review, not approved.",
overall_model_candidate_with_promotion,watch_time(min)_w2,include,"explicit week2 behavior/change within observation window if construction matches name. Evidence: explicit week2. Conservative rule: uncertain columns remain review, not approved.",
overall_model_candidate_with_promotion,watch_time(min)_w3,include,"explicit week3 behavior/change within observation window if construction matches name. Evidence: explicit week3. Conservative rule: uncertain columns remain review, not approved.",
overall_model_candidate_with_promotion,watch_session_w1,include,"explicit week1 behavior within observation window if construction matches name. Evidence: explicit week1. Conservative rule: uncertain columns remain review, not approved.",
overall_model_candidate_with_promotion,watch_session_w2,include,"explicit week2 behavior/change within observation window if construction matches name. Evidence: explicit week2. Conservative rule: uncertain columns remain review, not approved.",
overall_model_candidate_with_promotion,watch_session_w3,include,"explicit week3 behavior/change within observation window if construction matches name. Evidence: explicit week3. Conservative rule: uncertain columns remain review, not approved.",
overall_model_candidate_with_promotion,retention_w2_ratio,review,"genre/content ratio window unresolved. Evidence: explicit week2. Conservative rule: uncertain columns remain review, not approved.",confirm_content_window_before_modeling
overall_model_candidate_with_promotion,retention_w3_ratio,review,"genre/content ratio window unresolved. Evidence: explicit week3. Conservative rule: uncertain columns remain review, not approved.",confirm_content_window_before_modeling
overall_model_candidate_with_promotion,diff_between_w2_w1,review,"explicit week1 behavior within observation window if construction matches name. Evidence: week1-week2 change. Conservative rule: uncertain columns remain review, not approved.",baseline_ladder_activation
overall_model_candidate_with_promotion,diff_between_w3_w1,review,"explicit week1 behavior within observation window if construction matches name. Evidence: week1-week3 change. Conservative rule: uncertain columns remain review, not approved.",baseline_ladder_activation
overall_model_candidate_with_promotion,diff_between_w3_w2,include,"explicit week2 behavior/change within observation window if construction matches name. Evidence: week2-week3 change. Conservative rule: uncertain columns remain review, not approved.",
overall_model_candidate_with_promotion,is_w1_over_50pct,include,"explicit week1 behavior within observation window if construction matches name. Evidence: explicit week1. Conservative rule: uncertain columns remain review, not approved.",
overall_model_candidate_with_promotion,is_w2_over_50pct,include,"explicit week2 behavior/change within observation window if construction matches name. Evidence: explicit week2. Conservative rule: uncertain columns remain review, not approved.",
overall_model_candidate_with_promotion,is_w3_over_50pct,include,"explicit week3 behavior/change within observation window if construction matches name. Evidence: explicit week3. Conservative rule: uncertain columns remain review, not approved.",
overall_model_candidate_with_promotion,is_only_w1,include,"explicit week1 behavior within observation window if construction matches name. Evidence: explicit week1. Conservative rule: uncertain columns remain review, not approved.",
overall_model_candidate_with_promotion,is_only_w2,include,"explicit week2 behavior/change within observation window if construction matches name. Evidence: explicit week2. Conservative rule: uncertain columns remain review, not approved.",
overall_model_candidate_with_promotion,is_only_w3,include,"explicit week3 behavior/change within observation window if construction matches name. Evidence: explicit week3. Conservative rule: uncertain columns remain review, not approved.",
overall_model_candidate_with_promotion,new_movie_in_90d_ratio,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",confirm_content_window_before_modeling
overall_model_candidate_with_promotion,new_movie_in_180d_ratio,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",confirm_content_window_before_modeling
overall_model_candidate_with_promotion,new_movie_in_365d_ratio,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",confirm_content_window_before_modeling
overall_model_candidate_with_promotion,old_movie_ratio(5y),review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",confirm_content_window_before_modeling
overall_model_candidate_with_promotion,avg_ott_release_year,review,"content-derived window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",confirm_content_window_before_modeling
overall_model_candidate_with_promotion,genre_diversity_count,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",confirm_content_window_before_modeling
overall_model_candidate_with_promotion,action_adventure_ratio,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",confirm_content_window_before_modeling
overall_model_candidate_with_promotion,family_animation_ratio,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",confirm_content_window_before_modeling
overall_model_candidate_with_promotion,drama_ratio,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",confirm_content_window_before_modeling
overall_model_candidate_with_promotion,thriller_crime_ratio,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",confirm_content_window_before_modeling
overall_model_candidate_with_promotion,sf_fantasy_ratio,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",confirm_content_window_before_modeling
overall_model_candidate_with_promotion,comedy_ratio,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",confirm_content_window_before_modeling
overall_model_candidate_with_promotion,romance_ratio,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",confirm_content_window_before_modeling
overall_model_candidate_with_promotion,horror_ratio,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",confirm_content_window_before_modeling
overall_model_candidate_with_promotion,documentary_ratio,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",confirm_content_window_before_modeling
overall_model_candidate_with_promotion,historical_war_ratio,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",confirm_content_window_before_modeling
overall_model_candidate_with_promotion,other_ratio,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",confirm_content_window_before_modeling
overall_model_candidate_without_promotion,USER_KEY,exclude,"identifier; not a unique-user analysis unit. Evidence: id/target/split control column. Conservative rule: uncertain columns remain review, not approved.",
overall_model_candidate_without_promotion,product_code,review,"membership metadata requires semantic/scoring-time review. Evidence: likely static/subscription context but semantic review required. Conservative rule: uncertain columns remain review, not approved.",confirm_metadata_semantics_before_modeling
overall_model_candidate_without_promotion,price,review,"membership metadata requires semantic/scoring-time review. Evidence: likely static/subscription context but semantic review required. Conservative rule: uncertain columns remain review, not approved.",confirm_metadata_semantics_before_modeling
overall_model_candidate_without_promotion,billing_method,review,"membership metadata requires semantic/scoring-time review. Evidence: likely static/subscription context but semantic review required. Conservative rule: uncertain columns remain review, not approved.",confirm_metadata_semantics_before_modeling
overall_model_candidate_without_promotion,max_screen,review,"membership metadata requires semantic/scoring-time review. Evidence: likely static/subscription context but semantic review required. Conservative rule: uncertain columns remain review, not approved.",confirm_metadata_semantics_before_modeling
overall_model_candidate_without_promotion,is_promotion,exclude,"top-level split variable; use promotion rows/events wording. Evidence: id/target/split control column. Conservative rule: uncertain columns remain review, not approved.",
overall_model_candidate_without_promotion,is_churn_prevented,exclude,"outcome-like wording. Evidence: target/outcome-like wording. Conservative rule: uncertain columns remain review, not approved.",
overall_model_candidate_without_promotion,payment_device,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",06_common_preprocessing_final_cohort_policy_260513
overall_model_candidate_without_promotion,is_user_verified,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",06_common_preprocessing_final_cohort_policy_260513
overall_model_candidate_without_promotion,gender,review,"membership metadata requires semantic/scoring-time review. Evidence: likely static/subscription context but semantic review required. Conservative rule: uncertain columns remain review, not approved.",confirm_metadata_semantics_before_modeling
overall_model_candidate_without_promotion,age,review,"membership metadata requires semantic/scoring-time review. Evidence: likely static/subscription context but semantic review required. Conservative rule: uncertain columns remain review, not approved.",confirm_metadata_semantics_before_modeling
overall_model_candidate_without_promotion,reg_date,exclude,"subscription start anchor, not a regular feature. Evidence: registration anchor date. Conservative rule: uncertain columns remain review, not approved.",
overall_model_candidate_without_promotion,reg_hour,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",06_common_preprocessing_final_cohort_policy_260513
overall_model_candidate_without_promotion,end_date,exclude,"scheduled-vs-posthoc end date unresolved. Evidence: end date or duration timing unresolved. Conservative rule: uncertain columns remain review, not approved.",
overall_model_candidate_without_promotion,is_repurchase,exclude,"target; positive class means repurchase. Evidence: id/target/split control column. Conservative rule: uncertain columns remain review, not approved.",
overall_model_candidate_without_promotion,is_standard,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",06_common_preprocessing_final_cohort_policy_260513
overall_model_candidate_without_promotion,is_premium,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",06_common_preprocessing_final_cohort_policy_260513
overall_model_candidate_without_promotion,age_group,review,"membership metadata requires semantic review. Evidence: likely static/subscription context but semantic review required. Conservative rule: uncertain columns remain review, not approved.",confirm_metadata_semantics_before_modeling
overall_model_candidate_without_promotion,is_female,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",06_common_preprocessing_final_cohort_policy_260513
overall_model_candidate_without_promotion,is_male,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",06_common_preprocessing_final_cohort_policy_260513
overall_model_candidate_without_promotion,reg_is_weekend,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",06_common_preprocessing_final_cohort_policy_260513
overall_model_candidate_without_promotion,reg_hour_morning,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",06_common_preprocessing_final_cohort_policy_260513
overall_model_candidate_without_promotion,reg_hour_afternoon,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",06_common_preprocessing_final_cohort_policy_260513
overall_model_candidate_without_promotion,reg_hour_evening,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",06_common_preprocessing_final_cohort_policy_260513
overall_model_candidate_without_promotion,reg_hour_night,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",06_common_preprocessing_final_cohort_policy_260513
overall_model_candidate_without_promotion,payment_is_mobile,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",06_common_preprocessing_final_cohort_policy_260513
overall_model_candidate_without_promotion,payment_is_pc,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",06_common_preprocessing_final_cohort_policy_260513
overall_model_candidate_without_promotion,payment_is_android,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",06_common_preprocessing_final_cohort_policy_260513
overall_model_candidate_without_promotion,payment_is_ios,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",06_common_preprocessing_final_cohort_policy_260513
overall_model_candidate_without_promotion,total_watch_count,review,"total usage window unresolved. Evidence: total/all-period window unresolved. Conservative rule: uncertain columns remain review, not approved.",confirm_total_usage_window_before_modeling
overall_model_candidate_without_promotion,unique_movie,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",06_common_preprocessing_final_cohort_policy_260513
overall_model_candidate_without_promotion,watch_days,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",06_common_preprocessing_final_cohort_policy_260513
overall_model_candidate_without_promotion,active_ratio,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",confirm_content_window_before_modeling
overall_model_candidate_without_promotion,total_watch_time(min),review,"total usage window unresolved. Evidence: total/all-period window unresolved. Conservative rule: uncertain columns remain review, not approved.",confirm_total_usage_window_before_modeling
overall_model_candidate_without_promotion,watch_per_day,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",06_common_preprocessing_final_cohort_policy_260513
overall_model_candidate_without_promotion,avg_watch_time(min),review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",06_common_preprocessing_final_cohort_policy_260513
overall_model_candidate_without_promotion,median_watch_time(min),review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",06_common_preprocessing_final_cohort_policy_260513
overall_model_candidate_without_promotion,std_watch_time(min),review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",06_common_preprocessing_final_cohort_policy_260513
overall_model_candidate_without_promotion,avg_daily_watch_time(min),review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",06_common_preprocessing_final_cohort_policy_260513
overall_model_candidate_without_promotion,max_watch_time(min),review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",06_common_preprocessing_final_cohort_policy_260513
overall_model_candidate_without_promotion,max_daily_watch_time(min),review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",06_common_preprocessing_final_cohort_policy_260513
overall_model_candidate_without_promotion,max_daily_sessions,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",06_common_preprocessing_final_cohort_policy_260513
overall_model_candidate_without_promotion,recency,review,"recency reference date unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",confirm_recency_reference_date
overall_model_candidate_without_promotion,avg_gap_between_watch_days,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",06_common_preprocessing_final_cohort_policy_260513
overall_model_candidate_without_promotion,avg_gap_w1_watch_days,include,"explicit week1 behavior within observation window if construction matches name. Evidence: explicit week1. Conservative rule: uncertain columns remain review, not approved.",
overall_model_candidate_without_promotion,avg_gap_w2_watch_days,include,"explicit week2 behavior/change within observation window if construction matches name. Evidence: explicit week2. Conservative rule: uncertain columns remain review, not approved.",
overall_model_candidate_without_promotion,avg_gap_w3_watch_days,include,"explicit week3 behavior/change within observation window if construction matches name. Evidence: explicit week3. Conservative rule: uncertain columns remain review, not approved.",
overall_model_candidate_without_promotion,max_inactive_gap_days,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",06_common_preprocessing_final_cohort_policy_260513
overall_model_candidate_without_promotion,avg_rewatch_ratio,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",confirm_content_window_before_modeling
overall_model_candidate_without_promotion,weekend_watch_ratio,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",confirm_content_window_before_modeling
overall_model_candidate_without_promotion,watch_ratio_under_1m,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",confirm_content_window_before_modeling
overall_model_candidate_without_promotion,watch_ratio_under_5m,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",confirm_content_window_before_modeling
overall_model_candidate_without_promotion,is_cold_start_3d,review,"content-derived window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",confirm_content_window_before_modeling
overall_model_candidate_without_promotion,is_cold_start_7d,review,"content-derived window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",confirm_content_window_before_modeling
overall_model_candidate_without_promotion,movie_per_active_day,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",06_common_preprocessing_final_cohort_policy_260513
overall_model_candidate_without_promotion,max_day_share,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",06_common_preprocessing_final_cohort_policy_260513
overall_model_candidate_without_promotion,day_count_over_3times,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",06_common_preprocessing_final_cohort_policy_260513
overall_model_candidate_without_promotion,watch_time(min)_w1,include,"explicit week1 behavior within observation window if construction matches name. Evidence: explicit week1. Conservative rule: uncertain columns remain review, not approved.",
overall_model_candidate_without_promotion,watch_time(min)_w2,include,"explicit week2 behavior/change within observation window if construction matches name. Evidence: explicit week2. Conservative rule: uncertain columns remain review, not approved.",
overall_model_candidate_without_promotion,watch_time(min)_w3,include,"explicit week3 behavior/change within observation window if construction matches name. Evidence: explicit week3. Conservative rule: uncertain columns remain review, not approved.",
overall_model_candidate_without_promotion,watch_session_w1,include,"explicit week1 behavior within observation window if construction matches name. Evidence: explicit week1. Conservative rule: uncertain columns remain review, not approved.",
overall_model_candidate_without_promotion,watch_session_w2,include,"explicit week2 behavior/change within observation window if construction matches name. Evidence: explicit week2. Conservative rule: uncertain columns remain review, not approved.",
