column_name,timing_family,allowed_by_observation_window_policy,reason,evidence_from_column_name,evidence_from_previous_step,needs_human_confirmation
is_standard,unknown,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",timing not clear from name,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,yes
is_premium,unknown,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",timing not clear from name,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,yes
age_group,static_or_pre_subscription,review,"membership metadata requires semantic review. Evidence: likely static/subscription context but semantic review required. Conservative rule: uncertain columns remain review, not approved.",likely static/subscription context but semantic review required,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,yes
is_female,unknown,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",timing not clear from name,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,yes
is_male,unknown,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",timing not clear from name,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,yes
reg_is_weekend,unknown,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",timing not clear from name,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,yes
reg_hour_morning,unknown,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",timing not clear from name,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,yes
reg_hour_afternoon,unknown,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",timing not clear from name,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,yes
reg_hour_evening,unknown,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",timing not clear from name,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,yes
reg_hour_night,unknown,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",timing not clear from name,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,yes
payment_is_mobile,unknown,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",timing not clear from name,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,yes
payment_is_pc,unknown,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",timing not clear from name,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,yes
payment_is_android,unknown,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",timing not clear from name,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,yes
payment_is_ios,unknown,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",timing not clear from name,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,yes
total_watch_count,all_period_ambiguous,review,"total usage window unresolved. Evidence: total/all-period window unresolved. Conservative rule: uncertain columns remain review, not approved.",total/all-period window unresolved,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,yes
unique_movie,unknown,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",timing not clear from name,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,yes
watch_days,unknown,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",timing not clear from name,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,yes
active_ratio,content_window_ambiguous,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",content/recency construction window unresolved,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,yes
total_watch_time(min),all_period_ambiguous,review,"total usage window unresolved. Evidence: total/all-period window unresolved. Conservative rule: uncertain columns remain review, not approved.",total/all-period window unresolved,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,yes
watch_per_day,unknown,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",timing not clear from name,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,yes
avg_watch_time(min),unknown,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",timing not clear from name,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,yes
median_watch_time(min),unknown,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",timing not clear from name,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,yes
std_watch_time(min),unknown,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",timing not clear from name,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,yes
avg_daily_watch_time(min),unknown,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",timing not clear from name,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,yes
max_watch_time(min),unknown,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",timing not clear from name,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,yes
max_daily_watch_time(min),unknown,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",timing not clear from name,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,yes
max_daily_sessions,unknown,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",timing not clear from name,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,yes
recency,content_window_ambiguous,review,"recency reference date unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",content/recency construction window unresolved,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,yes
avg_gap_between_watch_days,unknown,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",timing not clear from name,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,yes
avg_gap_w1_watch_days,week1_observation,yes,"explicit week1 behavior within observation window if construction matches name. Evidence: explicit week1. Conservative rule: uncertain columns remain review, not approved.",explicit week1,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,no
avg_gap_w2_watch_days,week2_observation,yes,"explicit week2 behavior/change within observation window if construction matches name. Evidence: explicit week2. Conservative rule: uncertain columns remain review, not approved.",explicit week2,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,no
avg_gap_w3_watch_days,week3_observation,yes,"explicit week3 behavior/change within observation window if construction matches name. Evidence: explicit week3. Conservative rule: uncertain columns remain review, not approved.",explicit week3,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,no
max_inactive_gap_days,unknown,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",timing not clear from name,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,yes
avg_rewatch_ratio,content_window_ambiguous,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",content/recency construction window unresolved,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,yes
weekend_watch_ratio,content_window_ambiguous,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",content/recency construction window unresolved,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,yes
watch_ratio_under_1m,content_window_ambiguous,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",content/recency construction window unresolved,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,yes
watch_ratio_under_5m,content_window_ambiguous,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",content/recency construction window unresolved,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,yes
is_cold_start_3d,content_window_ambiguous,review,"content-derived window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",content/recency construction window unresolved,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,yes
is_cold_start_7d,content_window_ambiguous,review,"content-derived window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",content/recency construction window unresolved,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,yes
movie_per_active_day,unknown,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",timing not clear from name,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,yes
max_day_share,unknown,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",timing not clear from name,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,yes
day_count_over_3times,unknown,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",timing not clear from name,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,yes
watch_time(min)_w1,week1_observation,yes,"explicit week1 behavior within observation window if construction matches name. Evidence: explicit week1. Conservative rule: uncertain columns remain review, not approved.",explicit week1,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,no
watch_time(min)_w2,week2_observation,yes,"explicit week2 behavior/change within observation window if construction matches name. Evidence: explicit week2. Conservative rule: uncertain columns remain review, not approved.",explicit week2,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,no
watch_time(min)_w3,week3_observation,yes,"explicit week3 behavior/change within observation window if construction matches name. Evidence: explicit week3. Conservative rule: uncertain columns remain review, not approved.",explicit week3,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,no
watch_session_w1,week1_observation,yes,"explicit week1 behavior within observation window if construction matches name. Evidence: explicit week1. Conservative rule: uncertain columns remain review, not approved.",explicit week1,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,no
watch_session_w2,week2_observation,yes,"explicit week2 behavior/change within observation window if construction matches name. Evidence: explicit week2. Conservative rule: uncertain columns remain review, not approved.",explicit week2,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,no
watch_session_w3,week3_observation,yes,"explicit week3 behavior/change within observation window if construction matches name. Evidence: explicit week3. Conservative rule: uncertain columns remain review, not approved.",explicit week3,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,no
retention_w2_ratio,week2_observation,yes,"genre/content ratio window unresolved. Evidence: explicit week2. Conservative rule: uncertain columns remain review, not approved.",explicit week2,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,yes
retention_w3_ratio,week3_observation,yes,"genre/content ratio window unresolved. Evidence: explicit week3. Conservative rule: uncertain columns remain review, not approved.",explicit week3,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,yes
diff_between_w2_w1,week1_to_week2_change,yes,"explicit week1 behavior within observation window if construction matches name. Evidence: week1-week2 change. Conservative rule: uncertain columns remain review, not approved.",week1-week2 change,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,no
diff_between_w3_w1,week1_to_week3_change,yes,"explicit week1 behavior within observation window if construction matches name. Evidence: week1-week3 change. Conservative rule: uncertain columns remain review, not approved.",week1-week3 change,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,no
diff_between_w3_w2,week2_to_week3_change,yes,"explicit week2 behavior/change within observation window if construction matches name. Evidence: week2-week3 change. Conservative rule: uncertain columns remain review, not approved.",week2-week3 change,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,no
is_w1_over_50pct,week1_observation,yes,"explicit week1 behavior within observation window if construction matches name. Evidence: explicit week1. Conservative rule: uncertain columns remain review, not approved.",explicit week1,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,no
is_w2_over_50pct,week2_observation,yes,"explicit week2 behavior/change within observation window if construction matches name. Evidence: explicit week2. Conservative rule: uncertain columns remain review, not approved.",explicit week2,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,no
is_w3_over_50pct,week3_observation,yes,"explicit week3 behavior/change within observation window if construction matches name. Evidence: explicit week3. Conservative rule: uncertain columns remain review, not approved.",explicit week3,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,no
is_only_w1,week1_observation,yes,"explicit week1 behavior within observation window if construction matches name. Evidence: explicit week1. Conservative rule: uncertain columns remain review, not approved.",explicit week1,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,no
is_only_w2,week2_observation,yes,"explicit week2 behavior/change within observation window if construction matches name. Evidence: explicit week2. Conservative rule: uncertain columns remain review, not approved.",explicit week2,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,no
is_only_w3,week3_observation,yes,"explicit week3 behavior/change within observation window if construction matches name. Evidence: explicit week3. Conservative rule: uncertain columns remain review, not approved.",explicit week3,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,no
new_movie_in_90d_ratio,content_window_ambiguous,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",content/recency construction window unresolved,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,yes
new_movie_in_180d_ratio,content_window_ambiguous,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",content/recency construction window unresolved,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,yes
new_movie_in_365d_ratio,content_window_ambiguous,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",content/recency construction window unresolved,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,yes
old_movie_ratio(5y),content_window_ambiguous,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",content/recency construction window unresolved,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,yes
avg_ott_release_year,content_window_ambiguous,review,"content-derived window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",content/recency construction window unresolved,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,yes
genre_diversity_count,content_window_ambiguous,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",content/recency construction window unresolved,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,yes
action_adventure_ratio,content_window_ambiguous,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",content/recency construction window unresolved,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,yes
family_animation_ratio,content_window_ambiguous,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",content/recency construction window unresolved,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,yes
drama_ratio,content_window_ambiguous,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",content/recency construction window unresolved,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,yes
thriller_crime_ratio,content_window_ambiguous,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",content/recency construction window unresolved,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,yes
sf_fantasy_ratio,content_window_ambiguous,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",content/recency construction window unresolved,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,yes
comedy_ratio,content_window_ambiguous,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",content/recency construction window unresolved,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,yes
romance_ratio,content_window_ambiguous,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",content/recency construction window unresolved,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,yes
horror_ratio,content_window_ambiguous,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",content/recency construction window unresolved,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,yes
documentary_ratio,content_window_ambiguous,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",content/recency construction window unresolved,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,yes
historical_war_ratio,content_window_ambiguous,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",content/recency construction window unresolved,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,yes
other_ratio,content_window_ambiguous,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",content/recency construction window unresolved,Step 03 contract: day 0 to day 20 equals week1 to week3; day21 onward is response period.,yes
