"original_path","new_archive_path","artifact_group","action","status","reason","file_count","total_bytes"
"reports\audits\06_common_preprocessing_and_final_cohort_260513","_archive\pre13b_conservative_safe_22_reference\reports\audits\06_common_preprocessing_and_final_cohort_260513","pre13b_conservative_safe_22_reference","move","moved","pre-13b report removed from active and preserved as reference","40","39155323"
"reports\audits\07_AARRR_feature_mapping_260513","_archive\pre13b_conservative_safe_22_reference\reports\audits\07_AARRR_feature_mapping_260513","pre13b_conservative_safe_22_reference","move","moved","pre-13b report removed from active and preserved as reference","30","169236"
"reports\audits\09b_raw_view_window_validation_260514","_archive\pre13b_conservative_safe_22_reference\reports\audits\09b_raw_view_window_validation_260514","pre13b_conservative_safe_22_reference","move","moved","pre-13b report removed from active and preserved as reference","42","190800"
"reports\eda\08_promotion_vs_nonpromotion_eda_260513","_archive\pre13b_conservative_safe_22_reference\reports\eda\08_promotion_vs_nonpromotion_eda_260513","pre13b_conservative_safe_22_reference","move","moved","pre-13b report removed from active and preserved as reference","35","129157"
"reports\eda\08b_promotion_vs_nonpromotion_eda_audit_patch_260513","_archive\pre13b_conservative_safe_22_reference\reports\eda\08b_promotion_vs_nonpromotion_eda_audit_patch_260513","pre13b_conservative_safe_22_reference","move","moved","pre-13b report removed from active and preserved as reference","18","47233"
"reports\eda\09_promotion_repurchase_2x2_eda_260513","_archive\pre13b_conservative_safe_22_reference\reports\eda\09_promotion_repurchase_2x2_eda_260513","pre13b_conservative_safe_22_reference","move","moved","pre-13b report removed from active and preserved as reference","17","74429"
"reports\eda\10_feature_eda_260513","_archive\pre13b_conservative_safe_22_reference\reports\eda\10_feature_eda_260513","pre13b_conservative_safe_22_reference","move","moved","pre-13b report removed from active and preserved as reference","22","131841"
"reports\figures\10_feature_eda_260513","_archive\pre13b_conservative_safe_22_reference\reports\figures\10_feature_eda_260513","pre13b_conservative_safe_22_reference","move","moved","pre-13b report removed from active and preserved as reference","10","945448"
"reports\data\06_v2_baseline_modeling","_archive\preliminary_and_legacy_reference\reports\data\06_v2_baseline_modeling","preliminary_and_legacy_reference","move","moved","preliminary or legacy reference removed from active and preserved","1","121943622"
"reports\data\08c_v2_corrected_segmentation_strategy","_archive\preliminary_and_legacy_reference\reports\data\08c_v2_corrected_segmentation_strategy","preliminary_and_legacy_reference","move","moved","preliminary or legacy reference removed from active and preserved","2","6049489"
"reports\figures\03c_v2_usage_feature_engineering","_archive\preliminary_and_legacy_reference\reports\figures\03c_v2_usage_feature_engineering","preliminary_and_legacy_reference","move","moved","preliminary or legacy reference removed from active and preserved","0","0"
"reports\figures\04c_v2_content_feature_engineering","_archive\preliminary_and_legacy_reference\reports\figures\04c_v2_content_feature_engineering","preliminary_and_legacy_reference","move","moved","preliminary or legacy reference removed from active and preserved","0","0"
"reports\figures\05c_v2_modeling_dataset","_archive\preliminary_and_legacy_reference\reports\figures\05c_v2_modeling_dataset","preliminary_and_legacy_reference","move","moved","preliminary or legacy reference removed from active and preserved","0","0"
"reports\models\00_legacy_membership_blank_baseline_260513","_archive\preliminary_and_legacy_reference\reports\models\00_legacy_membership_blank_baseline_260513","preliminary_and_legacy_reference","move","moved","preliminary or legacy reference removed from active and preserved","6","21562673"
"reports\interpretation\16_preliminary_lightgbm_shap_260513","_archive\preliminary_and_legacy_reference\reports\interpretation\16_preliminary_lightgbm_shap_260513","preliminary_and_legacy_reference","move","moved","preliminary or legacy reference removed from active and preserved","14","925942"
"reports\_legacy_reference","_archive\preliminary_and_legacy_reference\reports\_legacy_reference","preliminary_and_legacy_reference","move","moved","preliminary or legacy reference removed from active and preserved","82","17928394"
"zip\02_target_score_orientation_260513_review_package.zip","_archive\pre13b_conservative_safe_22_reference\zips\02_target_score_orientation_260513_review_package.zip","pre13b_conservative_safe_22_reference","move","moved","old stage review zip removed from active zip and preserved","1","19915"
"zip\03_observation_window_policy_260513_review_package.zip","_archive\pre13b_conservative_safe_22_reference\zips\03_observation_window_policy_260513_review_package.zip","pre13b_conservative_safe_22_reference","move","moved","old stage review zip removed from active zip and preserved","1","83294"
"zip\04_promotion_split_260513_review_package.zip","_archive\pre13b_conservative_safe_22_reference\zips\04_promotion_split_260513_review_package.zip","pre13b_conservative_safe_22_reference","move","moved","old stage review zip removed from active zip and preserved","1","68900"
"zip\05_column_role_leakage_timing_audit_260513_review_package.zip","_archive\pre13b_conservative_safe_22_reference\zips\05_column_role_leakage_timing_audit_260513_review_package.zip","pre13b_conservative_safe_22_reference","move","moved","old stage review zip removed from active zip and preserved","1","56698"
"zip\05b_column_role_dictionary_patch_260513_review_package.zip","_archive\pre13b_conservative_safe_22_reference\zips\05b_column_role_dictionary_patch_260513_review_package.zip","pre13b_conservative_safe_22_reference","move","moved","old stage review zip removed from active zip and preserved","1","59632"
"zip\06_common_preprocessing_and_final_cohort_260513_review_package.zip","_archive\pre13b_conservative_safe_22_reference\zips\06_common_preprocessing_and_final_cohort_260513_review_package.zip","pre13b_conservative_safe_22_reference","move","moved","old stage review zip removed from active zip and preserved","1","7753770"
"zip\07_AARRR_feature_mapping_260513_review_package.zip","_archive\pre13b_conservative_safe_22_reference\zips\07_AARRR_feature_mapping_260513_review_package.zip","pre13b_conservative_safe_22_reference","move","moved","old stage review zip removed from active zip and preserved","1","40493"
"zip\08_promotion_vs_nonpromotion_eda_260513_review_package.zip","_archive\pre13b_conservative_safe_22_reference\zips\08_promotion_vs_nonpromotion_eda_260513_review_package.zip","pre13b_conservative_safe_22_reference","move","moved","old stage review zip removed from active zip and preserved","1","42677"
"zip\08b_promotion_vs_nonpromotion_eda_audit_patch_260513_review_package.zip","_archive\pre13b_conservative_safe_22_reference\zips\08b_promotion_vs_nonpromotion_eda_audit_patch_260513_review_package.zip","pre13b_conservative_safe_22_reference","move","moved","old stage review zip removed from active zip and preserved","1","38497"
"zip\09_promotion_repurchase_2x2_eda_260513_review_package.zip","_archive\pre13b_conservative_safe_22_reference\zips\09_promotion_repurchase_2x2_eda_260513_review_package.zip","pre13b_conservative_safe_22_reference","move","moved","old stage review zip removed from active zip and preserved","1","44055"
"zip\09b_raw_view_window_validation_260514_review_package.zip","_archive\pre13b_conservative_safe_22_reference\zips\09b_raw_view_window_validation_260514_review_package.zip","pre13b_conservative_safe_22_reference","move","moved","old stage review zip removed from active zip and preserved","1","66128"
"zip\10_feature_eda_260513_review_package.zip","_archive\pre13b_conservative_safe_22_reference\zips\10_feature_eda_260513_review_package.zip","pre13b_conservative_safe_22_reference","move","moved","old stage review zip removed from active zip and preserved","1","889027"
"zip\11_baseline_growth_history_260513_review_package.zip","_archive\pre13b_conservative_safe_22_reference\zips\11_baseline_growth_history_260513_review_package.zip","pre13b_conservative_safe_22_reference","move","moved","old stage review zip removed from active zip and preserved","1","7874266"
"zip\11b_baseline_growth_history_ladder_fix_260514_review_package.zip","_archive\pre13b_conservative_safe_22_reference\zips\11b_baseline_growth_history_ladder_fix_260514_review_package.zip","pre13b_conservative_safe_22_reference","move","moved","old stage review zip removed from active zip and preserved","1","8067479"
"zip\11b_semantic_validation_and_interpretation_patch_260514_review_package.zip","_archive\pre13b_conservative_safe_22_reference\zips\11b_semantic_validation_and_interpretation_patch_260514_review_package.zip","pre13b_conservative_safe_22_reference","move","moved","old stage review zip removed from active zip and preserved","1","34053"
"zip\12_model_baseline_comparison_canonical_260514_review_package.zip","_archive\pre13b_conservative_safe_22_reference\zips\12_model_baseline_comparison_canonical_260514_review_package.zip","pre13b_conservative_safe_22_reference","move","moved","old stage review zip removed from active zip and preserved","1","21191341"
"zip\13_lightweight_synthesis_for_mentor_report_260515_review_package.zip","_archive\pre13b_conservative_safe_22_reference\zips\13_lightweight_synthesis_for_mentor_report_260515_review_package.zip","pre13b_conservative_safe_22_reference","move","moved","old stage review zip removed from active zip and preserved","1","178333"
"_archive\12_deprecated_runs_20260514_232407","_archive\pre13b_conservative_safe_22_reference\deprecated_step12_runs_20260514_232407","pre13b_conservative_safe_22_reference","move","moved","existing archive folder standardized","132","132420414"
"_archive\realignment_260515","_archive\cleanup_and_discovery_logs\realignment_260515_previous_cleanup","cleanup_and_discovery_logs","move","moved","previous cleanup archive standardized","315","277845410"
"notebook\00_preliminary","_archive\preliminary_and_legacy_reference\notebook\00_preliminary","preliminary_and_legacy_reference","move","moved","preliminary notebook root removed from active and preserved","12","23128595"
"reports\brief","_archive\preliminary_and_legacy_reference\empty_active_containers\reports\brief","preliminary_and_legacy_reference","move","moved","non-active reports container removed from active and preserved without deletion","0","0"
"reports\data","_archive\preliminary_and_legacy_reference\empty_active_containers\reports\data","preliminary_and_legacy_reference","move","moved","non-active reports container removed from active and preserved without deletion","0","0"
"reports\eda","_archive\preliminary_and_legacy_reference\empty_active_containers\reports\eda","preliminary_and_legacy_reference","move","moved","non-active reports container removed from active and preserved without deletion","0","0"
"reports\figures","_archive\preliminary_and_legacy_reference\empty_active_containers\reports\figures","preliminary_and_legacy_reference","move","moved","non-active reports container removed from active and preserved without deletion","0","0"
"reports\interpretation","_archive\preliminary_and_legacy_reference\empty_active_containers\reports\interpretation","preliminary_and_legacy_reference","move","moved","non-active reports container removed from active and preserved without deletion","0","0"
"reports\models","_archive\preliminary_and_legacy_reference\empty_active_containers\reports\models","preliminary_and_legacy_reference","move","moved","non-active reports container removed from active and preserved without deletion","0","0"
