"path","item_type","should_remain","reason"
"reports\audits\03_observation_window_policy_260513\03_duration_policy_options.csv","file","yes","active 01-04 audit report scope"
"reports\audits\03_observation_window_policy_260513\03_final_checks.csv","file","yes","active 01-04 audit report scope"
"reports\audits\03_observation_window_policy_260513\03_input_consistency_check.csv","file","yes","active 01-04 audit report scope"
"reports\audits\03_observation_window_policy_260513\03_observation_window_policy.csv","file","yes","active 01-04 audit report scope"
"reports\audits\03_observation_window_policy_260513\03_open_risks_for_next_steps.csv","file","yes","active 01-04 audit report scope"
"reports\audits\03_observation_window_policy_260513\03_safe_unsafe_wording.csv","file","yes","active 01-04 audit report scope"
"reports\audits\03_observation_window_policy_260513\03_timing_allowed_for_modeling_policy.csv","file","yes","active 01-04 audit report scope"
"reports\audits\03_observation_window_policy_260513\03_week_feature_inventory.csv","file","yes","active 01-04 audit report scope"
"reports\audits\03_observation_window_policy_260513\README.md","file","yes","active 01-04 audit report scope"
"reports\audits\04_promotion_split_260513","directory","yes","active 01-04 audit report scope"
"reports\audits\04_promotion_split_260513\04_final_checks.csv","file","yes","active 01-04 audit report scope"
"reports\audits\04_promotion_split_260513\04_groupwise_modeling_policy.csv","file","yes","active 01-04 audit report scope"
"reports\audits\04_promotion_split_260513\04_input_consistency_check.csv","file","yes","active 01-04 audit report scope"
"reports\audits\04_promotion_split_260513\04_open_risks_for_next_steps.csv","file","yes","active 01-04 audit report scope"
"reports\audits\04_promotion_split_260513\04_promotion_distribution.csv","file","yes","active 01-04 audit report scope"
"reports\audits\04_promotion_split_260513\04_promotion_duration_anomaly.csv","file","yes","active 01-04 audit report scope"
"reports\audits\04_promotion_split_260513\04_promotion_duration_target_cross.csv","file","yes","active 01-04 audit report scope"
"reports\audits\04_promotion_split_260513\04_promotion_repurchase_rate_comparison.csv","file","yes","active 01-04 audit report scope"
"reports\audits\04_promotion_split_260513\04_promotion_split_contract.csv","file","yes","active 01-04 audit report scope"
"reports\audits\04_promotion_split_260513\04_promotion_target_2x2.csv","file","yes","active 01-04 audit report scope"
"reports\audits\04_promotion_split_260513\04_safe_unsafe_wording.csv","file","yes","active 01-04 audit report scope"
"reports\audits\04_promotion_split_260513\README.md","file","yes","active 01-04 audit report scope"
"zip","directory","yes","current 00d cleanup review package scope"
"zip\00d_full_archive_standardization_260515_review_package.zip","file","yes","current 00d cleanup review package scope"
