check_name,status,value,note,actual_model_output_folder,actual_figure_output_folder
no_source_row_number_as_feature,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_rebuild_260514\run_20260514_225947,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_rebuild_260514
no_is_repurchase_as_feature,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_rebuild_260514\run_20260514_225947,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_rebuild_260514
is_promotion_not_used_in_groupwise_models,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_rebuild_260514\run_20260514_225947,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_rebuild_260514
is_promotion_used_only_in_overall_with_promotion,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_rebuild_260514\run_20260514_225947,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_rebuild_260514
StratifiedGroupKFold_used,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_rebuild_260514\run_20260514_225947,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_rebuild_260514
no_group_overlap_in_cv,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_rebuild_260514\run_20260514_225947,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_rebuild_260514
all_fold_validation_sets_have_both_classes,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_rebuild_260514\run_20260514_225947,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_rebuild_260514
model_availability_created,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_rebuild_260514\run_20260514_225947,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_rebuild_260514
optional_unavailable_models_recorded,PASS,1,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_rebuild_260514\run_20260514_225947,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_rebuild_260514
cv_fold_metrics_created,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_rebuild_260514\run_20260514_225947,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_rebuild_260514
model_comparison_summary_created,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_rebuild_260514\run_20260514_225947,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_rebuild_260514
operating_metrics_at_k_created,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_rebuild_260514\run_20260514_225947,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_rebuild_260514
calibration_decile_summary_created,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_rebuild_260514\run_20260514_225947,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_rebuild_260514
vs_11b_comparison_created,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_rebuild_260514\run_20260514_225947,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_rebuild_260514
best_candidate_by_scope_created,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_rebuild_260514\run_20260514_225947,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_rebuild_260514
candidate_selection_policy_created,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_rebuild_260514\run_20260514_225947,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_rebuild_260514
stability_aware_candidate_created,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_rebuild_260514\run_20260514_225947,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_rebuild_260514
train_valid_gap_audit_created,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_rebuild_260514\run_20260514_225947,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_rebuild_260514
fold_stability_audit_created,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_rebuild_260514\run_20260514_225947,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_rebuild_260514
selected_oof_predictions_created,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_rebuild_260514\run_20260514_225947,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_rebuild_260514
score_orientation_preserved,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_rebuild_260514\run_20260514_225947,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_rebuild_260514
topk_metrics_rank_by_churn_risk_desc,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_rebuild_260514\run_20260514_225947,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_rebuild_260514
no_shap_performed,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_rebuild_260514\run_20260514_225947,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_rebuild_260514
no_optuna_performed,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_rebuild_260514\run_20260514_225947,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_rebuild_260514
no_hyperparameter_tuning_performed,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_rebuild_260514\run_20260514_225947,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_rebuild_260514
no_final_threshold_created,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_rebuild_260514\run_20260514_225947,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_rebuild_260514
no_final_segmentation_created,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_rebuild_260514\run_20260514_225947,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_rebuild_260514
handoff_to_14_created,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_rebuild_260514\run_20260514_225947,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_rebuild_260514
handoff_to_16_created,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_rebuild_260514\run_20260514_225947,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_rebuild_260514
figures_created,PASS,8,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_rebuild_260514\run_20260514_225947,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_rebuild_260514
figure_inventory_created,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_rebuild_260514\run_20260514_225947,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_rebuild_260514
visualization_warnings_created,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_rebuild_260514\run_20260514_225947,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_rebuild_260514
matplotlib_only_for_figures,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_rebuild_260514\run_20260514_225947,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_rebuild_260514
seaborn_not_used,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_rebuild_260514\run_20260514_225947,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_rebuild_260514
korean_font_found_or_warning_recorded,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_rebuild_260514\run_20260514_225947,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_rebuild_260514
readme_created,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_rebuild_260514\run_20260514_225947,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_rebuild_260514
note_md_updated,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_rebuild_260514\run_20260514_225947,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_rebuild_260514
review_zip_created,PASS,C:\Code\ott-churn-prediction\park.ingyeom\zip\12_model_baseline_comparison_rebuild_260514_review_package.zip,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_rebuild_260514\run_20260514_225947,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_rebuild_260514
notebook_saved_with_outputs,PASS,,,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_rebuild_260514\run_20260514_225947,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_rebuild_260514
zip_contains_27_csv_outputs,PASS,27,park.ingyeom/reports/models/12_model_baseline_comparison_rebuild_260514/run_20260514_225947/12r_preflight_input_validation.csv;park.ingyeom/reports/models/12_model_baseline_comparison_rebuild_260514/run_20260514_225947/12r_old_11_and_old_12_exclusion_audit.csv;park.ingyeom/reports/models/12_model_baseline_comparison_rebuild_260514/run_20260514_225947/12r_modeling_input_contract.csv;park.ingyeom/reports/models/12_model_baseline_comparison_rebuild_260514/run_20260514_225947/12r_model_availability.csv;park.ingyeom/reports/models/12_model_baseline_comparison_rebuild_260514/run_20260514_225947/12r_dataset_scope_definition.csv;park.ingyeom/reports/models/12_model_baseline_comparison_rebuild_260514/run_20260514_225947/12r_feature_set_by_scope.csv;park.ingyeom/reports/models/12_model_baseline_comparison_rebuild_260514/run_20260514_225947/12r_cv_split_audit.csv;park.ingyeom/reports/models/12_model_baseline_comparison_rebuild_260514/run_20260514_225947/12r_model_comparison_fold_metrics.csv;park.ingyeom/reports/models/12_model_baseline_comparison_rebuild_260514/run_20260514_225947/12r_model_comparison_summary.csv;park.ingyeom/reports/models/12_model_baseline_comparison_rebuild_260514/run_20260514_225947/12r_operating_metrics_at_k.csv;park.ingyeom/reports/models/12_model_baseline_comparison_rebuild_260514/run_20260514_225947/12r_calibration_decile_summary.csv;park.ingyeom/reports/models/12_model_baseline_comparison_rebuild_260514/run_20260514_225947/12r_vs_11b_baseline_comparison.csv;park.ingyeom/reports/models/12_model_baseline_comparison_rebuild_260514/run_20260514_225947/12r_best_model_candidate_by_scope.csv;park.ingyeom/reports/models/12_model_baseline_comparison_rebuild_260514/run_20260514_225947/12r_candidate_selection_policy.csv;park.ingyeom/reports/models/12_model_baseline_comparison_rebuild_260514/run_20260514_225947/12r_stability_aware_candidate_by_scope.csv;park.ingyeom/reports/models/12_model_baseline_comparison_rebuild_260514/run_20260514_225947/12r_train_valid_gap_audit.csv;park.ingyeom/reports/models/12_model_baseline_comparison_rebuild_260514/run_20260514_225947/12r_fold_stability_audit.csv;park.ingyeom/reports/models/12_model_baseline_comparison_rebuild_260514/run_20260514_225947/12r_oof_predictions_selected_candidates.csv;park.ingyeom/reports/models/12_model_baseline_comparison_rebuild_260514/run_20260514_225947/12r_oof_prediction_manifest.csv;park.ingyeom/reports/models/12_model_baseline_comparison_rebuild_260514/run_20260514_225947/12r_modeling_warnings.csv;park.ingyeom/reports/models/12_model_baseline_comparison_rebuild_260514/run_20260514_225947/12r_safe_unsafe_wording.csv;park.ingyeom/reports/models/12_model_baseline_comparison_rebuild_260514/run_20260514_225947/12r_open_risks_for_next_steps.csv;park.ingyeom/reports/models/12_model_baseline_comparison_rebuild_260514/run_20260514_225947/12r_handoff_to_14_optuna_candidate_tuning.csv;park.ingyeom/reports/models/12_model_baseline_comparison_rebuild_260514/run_20260514_225947/12r_handoff_to_16_shap_candidate_interpretation.csv;park.ingyeom/reports/models/12_model_baseline_comparison_rebuild_260514/run_20260514_225947/12r_figure_inventory.csv;park.ingyeom/reports/models/12_model_baseline_comparison_rebuild_260514/run_20260514_225947/12r_visualization_warnings.csv;park.ingyeom/reports/models/12_model_baseline_comparison_rebuild_260514/run_20260514_225947/12r_final_checks.csv,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_rebuild_260514\run_20260514_225947,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_rebuild_260514
zip_contains_8_png_figures,PASS,8,park.ingyeom/reports/figures/12_model_baseline_comparison_rebuild_260514/12r_fig_01_model_auc_by_scope.png;park.ingyeom/reports/figures/12_model_baseline_comparison_rebuild_260514/12r_fig_02_vs_11b_delta_auc.png;park.ingyeom/reports/figures/12_model_baseline_comparison_rebuild_260514/12r_fig_03_train_valid_gap_by_model.png;park.ingyeom/reports/figures/12_model_baseline_comparison_rebuild_260514/12r_fig_04_fold_stability_by_model.png;park.ingyeom/reports/figures/12_model_baseline_comparison_rebuild_260514/12r_fig_05_operating_lift_at_10.png;park.ingyeom/reports/figures/12_model_baseline_comparison_rebuild_260514/12r_fig_06_precision_at_top10.png;park.ingyeom/reports/figures/12_model_baseline_comparison_rebuild_260514/12r_fig_07_calibration_decile_example.png;park.ingyeom/reports/figures/12_model_baseline_comparison_rebuild_260514/12r_fig_08_best_candidate_summary.png,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_rebuild_260514\run_20260514_225947,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_rebuild_260514
zip_contains_notebook_readme_note_final_checks,PASS,True,notebook/readme/note/final_checks,C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_rebuild_260514\run_20260514_225947,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_rebuild_260514
