duplicate_group_id,duplicate_type,group_size_after_prior_exclusions,kept_membership_row_id,removed_membership_row_ids,removed_count,reason_code,source_rule_name
50,exact_duplicate_all_membership_columns,2,15892,15893,1,EXACT_DUPLICATE_EXTRA_ROW,R_DUP_01_KEEP_FIRST_EXACT_DUPLICATE
51,exact_duplicate_all_membership_columns,2,16065,16066,1,EXACT_DUPLICATE_EXTRA_ROW,R_DUP_01_KEEP_FIRST_EXACT_DUPLICATE
52,exact_duplicate_all_membership_columns,2,16680,16681,1,EXACT_DUPLICATE_EXTRA_ROW,R_DUP_01_KEEP_FIRST_EXACT_DUPLICATE
53,exact_duplicate_all_membership_columns,2,17574,17575,1,EXACT_DUPLICATE_EXTRA_ROW,R_DUP_01_KEEP_FIRST_EXACT_DUPLICATE
54,exact_duplicate_all_membership_columns,2,17838,17839,1,EXACT_DUPLICATE_EXTRA_ROW,R_DUP_01_KEEP_FIRST_EXACT_DUPLICATE
55,exact_duplicate_all_membership_columns,2,19215,19216,1,EXACT_DUPLICATE_EXTRA_ROW,R_DUP_01_KEEP_FIRST_EXACT_DUPLICATE
56,exact_duplicate_all_membership_columns,2,19417,19418,1,EXACT_DUPLICATE_EXTRA_ROW,R_DUP_01_KEEP_FIRST_EXACT_DUPLICATE
57,exact_duplicate_all_membership_columns,2,19534,19535,1,EXACT_DUPLICATE_EXTRA_ROW,R_DUP_01_KEEP_FIRST_EXACT_DUPLICATE
58,exact_duplicate_all_membership_columns,2,19801,19802,1,EXACT_DUPLICATE_EXTRA_ROW,R_DUP_01_KEEP_FIRST_EXACT_DUPLICATE
59,exact_duplicate_all_membership_columns,2,20155,20156,1,EXACT_DUPLICATE_EXTRA_ROW,R_DUP_01_KEEP_FIRST_EXACT_DUPLICATE
60,exact_duplicate_all_membership_columns,2,21696,21697,1,EXACT_DUPLICATE_EXTRA_ROW,R_DUP_01_KEEP_FIRST_EXACT_DUPLICATE
61,exact_duplicate_all_membership_columns,2,22106,22107,1,EXACT_DUPLICATE_EXTRA_ROW,R_DUP_01_KEEP_FIRST_EXACT_DUPLICATE
62,exact_duplicate_all_membership_columns,2,22321,22322,1,EXACT_DUPLICATE_EXTRA_ROW,R_DUP_01_KEEP_FIRST_EXACT_DUPLICATE
63,exact_duplicate_all_membership_columns,2,22629,22630,1,EXACT_DUPLICATE_EXTRA_ROW,R_DUP_01_KEEP_FIRST_EXACT_DUPLICATE
64,exact_duplicate_all_membership_columns,2,23058,23059,1,EXACT_DUPLICATE_EXTRA_ROW,R_DUP_01_KEEP_FIRST_EXACT_DUPLICATE
