window,column,role,dtype
w1_1,w1_1_genre_session_count_animation_family,candidate_feature,int64
w1_1,w1_1_genre_ratio_historical_war,candidate_feature,float64
w1_1,w1_1_genre_watch_time_historical_war,candidate_feature,float64
w1_1,w1_1_genre_session_count_historical_war,candidate_feature,int64
w1_1,w1_1_genre_ratio_other,candidate_feature,float64
w1_1,w1_1_genre_watch_time_other,candidate_feature,float64
w1_1,w1_1_genre_session_count_other,candidate_feature,int64
w1_2,membership_row_id,metadata,int64
w1_2,USER_KEY,metadata,str
w1_2,is_repurchase_label,target,Int64
w1_2,price_num,candidate_feature,float64
w1_2,max_screen_num,candidate_feature,float64
w1_2,is_promotion_bin,candidate_feature,float64
w1_2,is_user_verified_bin,candidate_feature,float64
w1_2,age_num,candidate_feature,float64
w1_2,gender_clean,candidate_feature,str
w1_2,payment_device_clean,candidate_feature,str
w1_2,billing_method_clean,candidate_feature,int64
w1_2,is_churn_prevented_bin,candidate_feature,float64
w1_2,w1_2_has_watch_obs,candidate_feature,int64
w1_2,w1_2_total_watch_time,candidate_feature,float64
w1_2,w1_2_total_sessions,candidate_feature,int64
w1_2,w1_2_unique_contents,candidate_feature,int64
w1_2,w1_2_unique_watch_days,candidate_feature,int64
w1_2,w1_2_avg_watch_time_per_session,candidate_feature,float64
w1_2,w1_2_max_daily_watch_time,candidate_feature,float64
w1_2,w1_2_max_day_share,candidate_feature,float64
w1_2,w1_2_one_minute_watch_count,candidate_feature,int64
w1_2,w1_2_short_watch_count_le5,candidate_feature,int64
w1_2,w1_2_short_watch_time_le5,candidate_feature,float64
w1_2,w1_2_week1_watch_time,candidate_feature,float64
w1_2,w1_2_week1_sessions,candidate_feature,int64
w1_2,w1_2_week2_watch_time,candidate_feature,float64
w1_2,w1_2_week2_sessions,candidate_feature,int64
w1_2,w1_2_week1_ratio,candidate_feature,float64
w1_2,w1_2_week2_ratio,candidate_feature,float64
w1_2,w1_2_w2_minus_w1_watch_time,candidate_feature,float64
w1_2,w1_2_genre_covered_watch_time,candidate_feature,float64
w1_2,w1_2_genre_unique_count,candidate_feature,int64
w1_2,w1_2_genre_entropy,candidate_feature,float64
w1_2,w1_2_top_genre,candidate_feature,str
w1_2,w1_2_top_genre_watch_time,candidate_feature,float64
w1_2,w1_2_content_has_watch_obs,candidate_feature,int64
w1_2,w1_2_genre_missing_watch_time,candidate_feature,float64
w1_2,w1_2_genre_covered_watch_ratio,candidate_feature,float64
w1_2,w1_2_genre_missing_watch_ratio,candidate_feature,float64
w1_2,w1_2_top_genre_watch_ratio,candidate_feature,float64
w1_2,w1_2_release_month_covered_watch_ratio,candidate_feature,float64
w1_2,w1_2_avg_ott_release_month_weighted,candidate_feature,float64
w1_2,w1_2_recent_content_watch_ratio,candidate_feature,float64
w1_2,w1_2_old_content_watch_ratio,candidate_feature,float64
w1_2,w1_2_genre_ratio_drama,candidate_feature,float64
w1_2,w1_2_genre_watch_time_drama,candidate_feature,float64
w1_2,w1_2_genre_session_count_drama,candidate_feature,int64
w1_2,w1_2_genre_ratio_thriller_crime,candidate_feature,float64
w1_2,w1_2_genre_watch_time_thriller_crime,candidate_feature,float64
w1_2,w1_2_genre_session_count_thriller_crime,candidate_feature,int64
w1_2,w1_2_genre_ratio_horror,candidate_feature,float64
w1_2,w1_2_genre_watch_time_horror,candidate_feature,float64
w1_2,w1_2_genre_session_count_horror,candidate_feature,int64
w1_2,w1_2_genre_ratio_comedy,candidate_feature,float64
w1_2,w1_2_genre_watch_time_comedy,candidate_feature,float64
w1_2,w1_2_genre_session_count_comedy,candidate_feature,int64
w1_2,w1_2_genre_ratio_action_adventure,candidate_feature,float64
w1_2,w1_2_genre_watch_time_action_adventure,candidate_feature,float64
w1_2,w1_2_genre_session_count_action_adventure,candidate_feature,int64
w1_2,w1_2_genre_ratio_sf_fantasy,candidate_feature,float64
w1_2,w1_2_genre_watch_time_sf_fantasy,candidate_feature,float64
w1_2,w1_2_genre_session_count_sf_fantasy,candidate_feature,int64
w1_2,w1_2_genre_ratio_romance,candidate_feature,float64
w1_2,w1_2_genre_watch_time_romance,candidate_feature,float64
w1_2,w1_2_genre_session_count_romance,candidate_feature,int64
w1_2,w1_2_genre_ratio_documentary,candidate_feature,float64
w1_2,w1_2_genre_watch_time_documentary,candidate_feature,float64
w1_2,w1_2_genre_session_count_documentary,candidate_feature,int64
w1_2,w1_2_genre_ratio_animation_family,candidate_feature,float64
w1_2,w1_2_genre_watch_time_animation_family,candidate_feature,float64
w1_2,w1_2_genre_session_count_animation_family,candidate_feature,int64
w1_2,w1_2_genre_ratio_historical_war,candidate_feature,float64
w1_2,w1_2_genre_watch_time_historical_war,candidate_feature,float64
w1_2,w1_2_genre_session_count_historical_war,candidate_feature,int64
w1_2,w1_2_genre_ratio_other,candidate_feature,float64
w1_2,w1_2_genre_watch_time_other,candidate_feature,float64
w1_2,w1_2_genre_session_count_other,candidate_feature,int64
w1_3,membership_row_id,metadata,int64
w1_3,USER_KEY,metadata,str
w1_3,is_repurchase_label,target,Int64
w1_3,price_num,candidate_feature,float64
w1_3,max_screen_num,candidate_feature,float64
w1_3,is_promotion_bin,candidate_feature,float64
w1_3,is_user_verified_bin,candidate_feature,float64
w1_3,age_num,candidate_feature,float64
w1_3,gender_clean,candidate_feature,str
w1_3,payment_device_clean,candidate_feature,str
w1_3,billing_method_clean,candidate_feature,int64
w1_3,is_churn_prevented_bin,candidate_feature,float64
w1_3,w1_3_has_watch_obs,candidate_feature,int64
w1_3,w1_3_total_watch_time,candidate_feature,float64
w1_3,w1_3_total_sessions,candidate_feature,int64
w1_3,w1_3_unique_contents,candidate_feature,int64
w1_3,w1_3_unique_watch_days,candidate_feature,int64
w1_3,w1_3_avg_watch_time_per_session,candidate_feature,float64
w1_3,w1_3_max_daily_watch_time,candidate_feature,float64
w1_3,w1_3_max_day_share,candidate_feature,float64
w1_3,w1_3_one_minute_watch_count,candidate_feature,int64
w1_3,w1_3_short_watch_count_le5,candidate_feature,int64
w1_3,w1_3_short_watch_time_le5,candidate_feature,float64
w1_3,w1_3_week1_watch_time,candidate_feature,float64
w1_3,w1_3_week1_sessions,candidate_feature,int64
w1_3,w1_3_week2_watch_time,candidate_feature,float64
w1_3,w1_3_week2_sessions,candidate_feature,int64
w1_3,w1_3_week3_watch_time,candidate_feature,float64
w1_3,w1_3_week3_sessions,candidate_feature,int64
w1_3,w1_3_week1_ratio,candidate_feature,float64
w1_3,w1_3_week2_ratio,candidate_feature,float64
w1_3,w1_3_week3_ratio,candidate_feature,float64
w1_3,w1_3_w2_minus_w1_watch_time,candidate_feature,float64
w1_3,w1_3_w3_minus_w2_watch_time,candidate_feature,float64
w1_3,w1_3_genre_covered_watch_time,candidate_feature,float64
w1_3,w1_3_genre_unique_count,candidate_feature,int64
w1_3,w1_3_genre_entropy,candidate_feature,float64
w1_3,w1_3_top_genre,candidate_feature,str
w1_3,w1_3_top_genre_watch_time,candidate_feature,float64
w1_3,w1_3_content_has_watch_obs,candidate_feature,int64
w1_3,w1_3_genre_missing_watch_time,candidate_feature,float64
w1_3,w1_3_genre_covered_watch_ratio,candidate_feature,float64
w1_3,w1_3_genre_missing_watch_ratio,candidate_feature,float64
w1_3,w1_3_top_genre_watch_ratio,candidate_feature,float64
w1_3,w1_3_release_month_covered_watch_ratio,candidate_feature,float64
w1_3,w1_3_avg_ott_release_month_weighted,candidate_feature,float64
w1_3,w1_3_recent_content_watch_ratio,candidate_feature,float64
w1_3,w1_3_old_content_watch_ratio,candidate_feature,float64
w1_3,w1_3_genre_ratio_drama,candidate_feature,float64
w1_3,w1_3_genre_watch_time_drama,candidate_feature,float64
w1_3,w1_3_genre_session_count_drama,candidate_feature,int64
w1_3,w1_3_genre_ratio_thriller_crime,candidate_feature,float64
w1_3,w1_3_genre_watch_time_thriller_crime,candidate_feature,float64
w1_3,w1_3_genre_session_count_thriller_crime,candidate_feature,int64
w1_3,w1_3_genre_ratio_horror,candidate_feature,float64
w1_3,w1_3_genre_watch_time_horror,candidate_feature,float64
w1_3,w1_3_genre_session_count_horror,candidate_feature,int64
w1_3,w1_3_genre_ratio_comedy,candidate_feature,float64
w1_3,w1_3_genre_watch_time_comedy,candidate_feature,float64
w1_3,w1_3_genre_session_count_comedy,candidate_feature,int64
w1_3,w1_3_genre_ratio_action_adventure,candidate_feature,float64
w1_3,w1_3_genre_watch_time_action_adventure,candidate_feature,float64
w1_3,w1_3_genre_session_count_action_adventure,candidate_feature,int64
w1_3,w1_3_genre_ratio_sf_fantasy,candidate_feature,float64
w1_3,w1_3_genre_watch_time_sf_fantasy,candidate_feature,float64
w1_3,w1_3_genre_session_count_sf_fantasy,candidate_feature,int64
w1_3,w1_3_genre_ratio_romance,candidate_feature,float64
w1_3,w1_3_genre_watch_time_romance,candidate_feature,float64
w1_3,w1_3_genre_session_count_romance,candidate_feature,int64
w1_3,w1_3_genre_ratio_documentary,candidate_feature,float64
w1_3,w1_3_genre_watch_time_documentary,candidate_feature,float64
w1_3,w1_3_genre_session_count_documentary,candidate_feature,int64
w1_3,w1_3_genre_ratio_animation_family,candidate_feature,float64
w1_3,w1_3_genre_watch_time_animation_family,candidate_feature,float64
w1_3,w1_3_genre_session_count_animation_family,candidate_feature,int64
w1_3,w1_3_genre_ratio_historical_war,candidate_feature,float64
w1_3,w1_3_genre_watch_time_historical_war,candidate_feature,float64
w1_3,w1_3_genre_session_count_historical_war,candidate_feature,int64
w1_3,w1_3_genre_ratio_other,candidate_feature,float64
w1_3,w1_3_genre_watch_time_other,candidate_feature,float64
w1_3,w1_3_genre_session_count_other,candidate_feature,int64
w1_4,membership_row_id,metadata,int64
w1_4,USER_KEY,metadata,str
w1_4,is_repurchase_label,target,Int64
w1_4,price_num,candidate_feature,float64
w1_4,max_screen_num,candidate_feature,float64
w1_4,is_promotion_bin,candidate_feature,float64
w1_4,is_user_verified_bin,candidate_feature,float64
w1_4,age_num,candidate_feature,float64
w1_4,gender_clean,candidate_feature,str
w1_4,payment_device_clean,candidate_feature,str
w1_4,billing_method_clean,candidate_feature,int64
w1_4,is_churn_prevented_bin,candidate_feature,float64
w1_4,w1_4_has_watch_obs,candidate_feature,int64
w1_4,w1_4_total_watch_time,candidate_feature,float64
w1_4,w1_4_total_sessions,candidate_feature,int64
w1_4,w1_4_unique_contents,candidate_feature,int64
w1_4,w1_4_unique_watch_days,candidate_feature,int64
w1_4,w1_4_avg_watch_time_per_session,candidate_feature,float64
w1_4,w1_4_max_daily_watch_time,candidate_feature,float64
w1_4,w1_4_max_day_share,candidate_feature,float64
w1_4,w1_4_one_minute_watch_count,candidate_feature,int64
w1_4,w1_4_short_watch_count_le5,candidate_feature,int64
w1_4,w1_4_short_watch_time_le5,candidate_feature,float64
w1_4,w1_4_week1_watch_time,candidate_feature,float64
w1_4,w1_4_week1_sessions,candidate_feature,int64
w1_4,w1_4_week2_watch_time,candidate_feature,float64
w1_4,w1_4_week2_sessions,candidate_feature,int64
w1_4,w1_4_week3_watch_time,candidate_feature,float64
w1_4,w1_4_week3_sessions,candidate_feature,int64
w1_4,w1_4_week4_watch_time,candidate_feature,float64
w1_4,w1_4_week4_sessions,candidate_feature,int64
w1_4,w1_4_week1_ratio,candidate_feature,float64
w1_4,w1_4_week2_ratio,candidate_feature,float64
w1_4,w1_4_week3_ratio,candidate_feature,float64
w1_4,w1_4_week4_ratio,candidate_feature,float64
w1_4,w1_4_w2_minus_w1_watch_time,candidate_feature,float64
w1_4,w1_4_w3_minus_w2_watch_time,candidate_feature,float64
w1_4,w1_4_w4_minus_w3_watch_time,candidate_feature,float64
w1_4,w1_4_genre_covered_watch_time,candidate_feature,float64
w1_4,w1_4_genre_unique_count,candidate_feature,int64
w1_4,w1_4_genre_entropy,candidate_feature,float64
w1_4,w1_4_top_genre,candidate_feature,str
w1_4,w1_4_top_genre_watch_time,candidate_feature,float64
w1_4,w1_4_content_has_watch_obs,candidate_feature,int64
w1_4,w1_4_genre_missing_watch_time,candidate_feature,float64
w1_4,w1_4_genre_covered_watch_ratio,candidate_feature,float64
w1_4,w1_4_genre_missing_watch_ratio,candidate_feature,float64
w1_4,w1_4_top_genre_watch_ratio,candidate_feature,float64
w1_4,w1_4_release_month_covered_watch_ratio,candidate_feature,float64
w1_4,w1_4_avg_ott_release_month_weighted,candidate_feature,float64
w1_4,w1_4_recent_content_watch_ratio,candidate_feature,float64
w1_4,w1_4_old_content_watch_ratio,candidate_feature,float64
w1_4,w1_4_genre_ratio_drama,candidate_feature,float64
w1_4,w1_4_genre_watch_time_drama,candidate_feature,float64
w1_4,w1_4_genre_session_count_drama,candidate_feature,int64
w1_4,w1_4_genre_ratio_thriller_crime,candidate_feature,float64
w1_4,w1_4_genre_watch_time_thriller_crime,candidate_feature,float64
w1_4,w1_4_genre_session_count_thriller_crime,candidate_feature,int64
w1_4,w1_4_genre_ratio_horror,candidate_feature,float64
w1_4,w1_4_genre_watch_time_horror,candidate_feature,float64
w1_4,w1_4_genre_session_count_horror,candidate_feature,int64
w1_4,w1_4_genre_ratio_comedy,candidate_feature,float64
w1_4,w1_4_genre_watch_time_comedy,candidate_feature,float64
w1_4,w1_4_genre_session_count_comedy,candidate_feature,int64
w1_4,w1_4_genre_ratio_action_adventure,candidate_feature,float64
w1_4,w1_4_genre_watch_time_action_adventure,candidate_feature,float64
w1_4,w1_4_genre_session_count_action_adventure,candidate_feature,int64
w1_4,w1_4_genre_ratio_sf_fantasy,candidate_feature,float64
w1_4,w1_4_genre_watch_time_sf_fantasy,candidate_feature,float64
w1_4,w1_4_genre_session_count_sf_fantasy,candidate_feature,int64
w1_4,w1_4_genre_ratio_romance,candidate_feature,float64
w1_4,w1_4_genre_watch_time_romance,candidate_feature,float64
w1_4,w1_4_genre_session_count_romance,candidate_feature,int64
w1_4,w1_4_genre_ratio_documentary,candidate_feature,float64
w1_4,w1_4_genre_watch_time_documentary,candidate_feature,float64
w1_4,w1_4_genre_session_count_documentary,candidate_feature,int64
w1_4,w1_4_genre_ratio_animation_family,candidate_feature,float64
w1_4,w1_4_genre_watch_time_animation_family,candidate_feature,float64
w1_4,w1_4_genre_session_count_animation_family,candidate_feature,int64
w1_4,w1_4_genre_ratio_historical_war,candidate_feature,float64
w1_4,w1_4_genre_watch_time_historical_war,candidate_feature,float64
w1_4,w1_4_genre_session_count_historical_war,candidate_feature,int64
w1_4,w1_4_genre_ratio_other,candidate_feature,float64
w1_4,w1_4_genre_watch_time_other,candidate_feature,float64
w1_4,w1_4_genre_session_count_other,candidate_feature,int64
