encoded_feature,vif,r2_approx,severity,corr_matrix_rank,corr_matrix_cols,rank_deficient,feature,include_for_vif_x,reason,original_feature,encoding,include_for_vif_y,feature_family,feature_type,decision
w3_minus_w1_watch_time,1.0,0.0,OK,45,63,True,w3_minus_w1_watch_time,True,included,w3_minus_w1_watch_time,numeric,True,weekly_recency_binge,numeric,NEEDS_REVIEW_WEAK_EFFECT
week1_ratio,1.0,0.0,OK,45,63,True,week1_ratio,True,included,week1_ratio,numeric,True,weekly_recency_binge,numeric,NEEDS_REVIEW_WEAK_EFFECT
week1_watch_time,1.0,0.0,OK,45,63,True,week1_watch_time,True,included,week1_watch_time,numeric,True,,,
week2_ratio,1.0,0.0,OK,45,63,True,week2_ratio,True,included,week2_ratio,numeric,True,,,
week3_ratio,1.0,0.0,OK,45,63,True,week3_ratio,True,included,week3_ratio,numeric,True,weekly_recency_binge,numeric,REJECT
week3_watch_time,1.0,0.0,OK,45,63,True,week3_watch_time,True,included,week3_watch_time,numeric,True,,,
promo_x_4screen,7.8839663389914945,0.8731602905184501,WARN,45,63,True,promo_x_4screen,True,included,promo_x_4screen,numeric,True,membership,binary,INSUFFICIENT_DATA
unique_contents,7.713262937535945,0.8703531815136777,WARN,45,63,True,unique_contents,True,included,unique_contents,numeric,True,usage,numeric,REJECT
tag_dur_코미디,6.327225901987381,0.8419528533530153,WARN,45,63,True,tag_dur_코미디,True,included,tag_dur_코미디,numeric,True,content,numeric,MODEL_ONLY
is_100won,5.954611543257197,0.8320629326135697,WARN,45,63,True,is_100won,True,included,is_100won,numeric,True,membership,binary,INSUFFICIENT_DATA
is_promotion,5.954611543257195,0.8320629326135696,WARN,45,63,True,is_promotion,True,included,is_promotion,numeric,True,membership,binary,INSUFFICIENT_DATA
alloc_dur_코미디,5.951876270673994,0.8319857546556895,WARN,45,63,True,alloc_dur_코미디,True,included,alloc_dur_코미디,numeric,True,content,numeric,MODEL_ONLY
unique_days,5.874191375625605,0.8297638030402952,WARN,45,63,True,unique_days,True,included,unique_days,numeric,True,usage,numeric,REJECT
