feature_a,feature_b,corr_method,corr,abs_corr,corr_direction,non_null_pair_n,severity,recommendation,a_feature_family,a_feature_type,a_decision,a_p_value_fdr_by_group_family,a_abs_diff,a_effect_size,b_feature_family,b_feature_type,b_decision,b_p_value_fdr_by_group_family,b_abs_diff,b_effect_size
has_usage_feature,no_usage_feature_flag,spearman,-1.0,1.0,negative,14922,NEAR_DUPLICATE,07번 모델링에서 둘 다 넣는 경우 계수/SHAP 해석 주의,,,,,,,,,,,,
has_usage_feature,no_watch_obs_flag,spearman,-1.0,1.0,negative,14922,NEAR_DUPLICATE,07번 모델링에서 둘 다 넣는 경우 계수/SHAP 해석 주의,,,,,,,,,,,,
has_watch_obs,no_content_feature_flag,spearman,-1.0,1.0,negative,14922,NEAR_DUPLICATE,07번 모델링에서 둘 다 넣는 경우 계수/SHAP 해석 주의,,,,,,,,,,,,
has_watch_obs,no_usage_feature_flag,spearman,-1.0,1.0,negative,14922,NEAR_DUPLICATE,07번 모델링에서 둘 다 넣는 경우 계수/SHAP 해석 주의,,,,,,,,,,,,
has_watch_obs,no_watch_obs_flag,spearman,-1.0,1.0,negative,14922,NEAR_DUPLICATE,07번 모델링에서 둘 다 넣는 경우 계수/SHAP 해석 주의,,,,,,,,,,,,
is_100won,is_promotion,spearman,1.0,1.0,positive,14922,NEAR_DUPLICATE,07번 모델링에서 둘 다 넣는 경우 계수/SHAP 해석 주의,membership,binary,INSUFFICIENT_DATA,,,,membership,binary,INSUFFICIENT_DATA,,,
late_ratio,week3_ratio,spearman,1.0,1.0,positive,14922,NEAR_DUPLICATE,07번 모델링에서 둘 다 넣는 경우 계수/SHAP 해석 주의,,,,,,,weekly_recency_binge,numeric,REJECT,0.3383120028285755,0.00728049818115,0.0208691902785356
metadata_covered_watch_ratio,usable_metadata_watch_ratio,spearman,1.0,1.0,positive,14922,NEAR_DUPLICATE,07번 모델링에서 둘 다 넣는 경우 계수/SHAP 해석 주의,,,,,,,,,,,,
no_content_feature_flag,no_usage_feature_flag,spearman,1.0,1.0,positive,14922,NEAR_DUPLICATE,07번 모델링에서 둘 다 넣는 경우 계수/SHAP 해석 주의,,,,,,,,,,,,
no_content_feature_flag,no_watch_obs_flag,spearman,1.0,1.0,positive,14922,NEAR_DUPLICATE,07번 모델링에서 둘 다 넣는 경우 계수/SHAP 해석 주의,,,,,,,,,,,,
no_usage_feature_flag,no_watch_obs_flag,spearman,1.0,1.0,positive,14922,NEAR_DUPLICATE,07번 모델링에서 둘 다 넣는 경우 계수/SHAP 해석 주의,,,,,,,,,,,,
has_content_feature,metadata_covered_watch_ratio,spearman,0.9987445296302131,0.9987445296302131,positive,14922,NEAR_DUPLICATE,07번 모델링에서 둘 다 넣는 경우 계수/SHAP 해석 주의,,,,,,,,,,,,
has_content_feature,usable_metadata_watch_ratio,spearman,0.9987445296302131,0.9987445296302131,positive,14922,NEAR_DUPLICATE,07번 모델링에서 둘 다 넣는 경우 계수/SHAP 해석 주의,,,,,,,,,,,,
has_usage_feature,metadata_covered_watch_ratio,spearman,0.9987445296302131,0.9987445296302131,positive,14922,NEAR_DUPLICATE,07번 모델링에서 둘 다 넣는 경우 계수/SHAP 해석 주의,,,,,,,,,,,,
has_usage_feature,usable_metadata_watch_ratio,spearman,0.9987445296302131,0.9987445296302131,positive,14922,NEAR_DUPLICATE,07번 모델링에서 둘 다 넣는 경우 계수/SHAP 해석 주의,,,,,,,,,,,,
has_watch_obs,metadata_covered_watch_ratio,spearman,0.9987445296302131,0.9987445296302131,positive,14922,NEAR_DUPLICATE,07번 모델링에서 둘 다 넣는 경우 계수/SHAP 해석 주의,,,,,,,,,,,,
has_watch_obs,usable_metadata_watch_ratio,spearman,0.9987445296302131,0.9987445296302131,positive,14922,NEAR_DUPLICATE,07번 모델링에서 둘 다 넣는 경우 계수/SHAP 해석 주의,,,,,,,,,,,,
metadata_covered_watch_ratio,no_content_feature_flag,spearman,-0.9987445296302131,0.9987445296302131,negative,14922,NEAR_DUPLICATE,07번 모델링에서 둘 다 넣는 경우 계수/SHAP 해석 주의,,,,,,,,,,,,
metadata_covered_watch_ratio,no_usage_feature_flag,spearman,-0.9987445296302131,0.9987445296302131,negative,14922,NEAR_DUPLICATE,07번 모델링에서 둘 다 넣는 경우 계수/SHAP 해석 주의,,,,,,,,,,,,
metadata_covered_watch_ratio,no_watch_obs_flag,spearman,-0.9987445296302131,0.9987445296302131,negative,14922,NEAR_DUPLICATE,07번 모델링에서 둘 다 넣는 경우 계수/SHAP 해석 주의,,,,,,,,,,,,
no_content_feature_flag,usable_metadata_watch_ratio,spearman,-0.9987445296302131,0.9987445296302131,negative,14922,NEAR_DUPLICATE,07번 모델링에서 둘 다 넣는 경우 계수/SHAP 해석 주의,,,,,,,,,,,,
no_usage_feature_flag,usable_metadata_watch_ratio,spearman,-0.9987445296302131,0.9987445296302131,negative,14922,NEAR_DUPLICATE,07번 모델링에서 둘 다 넣는 경우 계수/SHAP 해석 주의,,,,,,,,,,,,
no_watch_obs_flag,usable_metadata_watch_ratio,spearman,-0.9987445296302131,0.9987445296302131,negative,14922,NEAR_DUPLICATE,07번 모델링에서 둘 다 넣는 경우 계수/SHAP 해석 주의,,,,,,,,,,,,
alloc_dur_코미디,tag_dur_코미디,spearman,0.9912573121528229,0.9912573121528229,positive,14922,NEAR_DUPLICATE,07번 모델링에서 둘 다 넣는 경우 계수/SHAP 해석 주의,content,numeric,MODEL_ONLY,0.3652852293849608,5.338857775539221,0.1158593596890368,content,numeric,MODEL_ONLY,0.3652852293849608,13.332626906966908,0.1206500501158034
max_screen,screen_1_flag,spearman,-0.971779334901306,0.971779334901306,negative,14922,HIGH_CORR,07번 모델링에서 둘 다 넣는 경우 계수/SHAP 해석 주의,membership,numeric,INSUFFICIENT_DATA,,,,membership,binary,INSUFFICIENT_DATA,,,
total_sessions,unique_contents,spearman,0.9471520387010586,0.9471520387010586,positive,14922,HIGH_CORR,07번 모델링에서 둘 다 넣는 경우 계수/SHAP 해석 주의,usage,numeric,REJECT,0.4900275301564393,0.1318235229834767,0.022453281761959,usage,numeric,REJECT,0.4900275301564393,0.0606422145061129,0.0144027948563447
total_sessions,unique_days,spearman,0.9258726130107923,0.9258726130107923,positive,14922,HIGH_CORR,07번 모델링에서 둘 다 넣는 경우 계수/SHAP 해석 주의,usage,numeric,REJECT,0.4900275301564393,0.1318235229834767,0.022453281761959,usage,numeric,REJECT,0.4900275301564393,0.0429580831573561,0.0160383582626767
week2_ratio,week2_watch_time,spearman,0.881407939728454,0.881407939728454,positive,14922,HIGH_CORR,07번 모델링에서 둘 다 넣는 경우 계수/SHAP 해석 주의,,,,,,,,,,,,
unique_contents,unique_days,spearman,0.8810355547626998,0.8810355547626998,positive,14922,HIGH_CORR,07번 모델링에서 둘 다 넣는 경우 계수/SHAP 해석 주의,usage,numeric,REJECT,0.4900275301564393,0.0606422145061129,0.0144027948563447,usage,numeric,REJECT,0.4900275301564393,0.0429580831573561,0.0160383582626767
late_ratio,week3_watch_time,spearman,0.8755204472074517,0.8755204472074517,positive,14922,HIGH_CORR,07번 모델링에서 둘 다 넣는 경우 계수/SHAP 해석 주의,,,,,,,,,,,,
week3_ratio,week3_watch_time,spearman,0.8755204472074517,0.8755204472074517,positive,14922,HIGH_CORR,07번 모델링에서 둘 다 넣는 경우 계수/SHAP 해석 주의,weekly_recency_binge,numeric,REJECT,0.3383120028285755,0.00728049818115,0.0208691902785356,,,,,,
total_sessions,total_watch_time,spearman,0.8703086479643499,0.8703086479643499,positive,14922,HIGH_CORR,07번 모델링에서 둘 다 넣는 경우 계수/SHAP 해석 주의,usage,numeric,REJECT,0.4900275301564393,0.1318235229834767,0.022453281761959,usage,numeric,REJECT,0.5590193062920383,3.4845172151819384,0.0111115552159735
front_loaded_ratio,week1_watch_time,spearman,0.8698524608366941,0.8698524608366941,positive,14922,HIGH_CORR,07번 모델링에서 둘 다 넣는 경우 계수/SHAP 해석 주의,,,,,,,,,,,,
week1_ratio,week1_watch_time,spearman,0.8698524608366941,0.8698524608366941,positive,14922,HIGH_CORR,07번 모델링에서 둘 다 넣는 경우 계수/SHAP 해석 주의,weekly_recency_binge,numeric,NEEDS_REVIEW_WEAK_EFFECT,0.0745049511748446,0.0155546617895945,0.0445071291071188,,,,,,
promo_x_4screen,screen_4_flag,spearman,0.8682256364272328,0.8682256364272328,positive,14922,HIGH_CORR,07번 모델링에서 둘 다 넣는 경우 계수/SHAP 해석 주의,membership,binary,INSUFFICIENT_DATA,,,,membership,binary,INSUFFICIENT_DATA,,,
total_watch_time,unique_days,spearman,0.8632138888050259,0.8632138888050259,positive,14922,HIGH_CORR,07번 모델링에서 둘 다 넣는 경우 계수/SHAP 해석 주의,usage,numeric,REJECT,0.5590193062920383,3.4845172151819384,0.0111115552159735,usage,numeric,REJECT,0.4900275301564393,0.0429580831573561,0.0160383582626767
