file_path,file_type,sha256_before,size_before,mtime_before,sha256_after,size_after,mtime_after,status,role
park.ingyeom\reports\audits\05y_feature_approval_and_dictionary_patch2_260515\05y_patch2_excluded_feature_contract.csv,csv,8c43428e4aefde3cdd5d555c1ad07adf33caefb1577b809ff87d9f26d02bb163,4242,2026-05-19T19:11:52,8c43428e4aefde3cdd5d555c1ad07adf33caefb1577b809ff87d9f26d02bb163,4242,2026-05-19T19:11:52,PASS,read_source_no_modification
park.ingyeom\reports\audits\06x_dataset_generation_260515\06x_source_master_profile.csv,csv,fdeb1092e8cb9a929a8f3df6820692d240be48b0b8be538cdd8b0dc3685a0b22,218,2026-05-19T19:11:52,fdeb1092e8cb9a929a8f3df6820692d240be48b0b8be538cdd8b0dc3685a0b22,218,2026-05-19T19:11:52,PASS,read_source_no_modification
park.ingyeom\reports\audits\06x_dataset_generation_260515\06x_row_policy_audit.csv,csv,00b1ae4aa42ba6c85653d23cd3e324e4bc572cf888f3f9b9051ef500da669507,215,2026-05-19T19:11:52,00b1ae4aa42ba6c85653d23cd3e324e4bc572cf888f3f9b9051ef500da669507,215,2026-05-19T19:11:52,PASS,read_source_no_modification
park.ingyeom\reports\audits\06x_dataset_generation_260515\06x_dataset_comparison_summary.csv,csv,504c2871615e113987cd8889abaf37fe975cf13176448f8997aea1493b831a45,286,2026-05-19T19:11:52,504c2871615e113987cd8889abaf37fe975cf13176448f8997aea1493b831a45,286,2026-05-19T19:11:52,PASS,read_source_no_modification
park.ingyeom\reports\audits\06x_dataset_generation_260515\06x_dataset_schema_conservative.csv,csv,1b701cc47ebd41c30131e2d7c1f06d8dcdd45ed470a3db0a333ecbacece7a063,1524,2026-05-19T19:11:52,1b701cc47ebd41c30131e2d7c1f06d8dcdd45ed470a3db0a333ecbacece7a063,1524,2026-05-19T19:11:52,PASS,read_source_no_modification
park.ingyeom\reports\audits\06x_dataset_generation_260515\06x_dataset_schema_expanded.csv,csv,d2453082b98c5fe39cef3e219dd72e6a79caf73f8b27e8170b7f4989fe88f05b,8035,2026-05-19T19:11:52,d2453082b98c5fe39cef3e219dd72e6a79caf73f8b27e8170b7f4989fe88f05b,8035,2026-05-19T19:11:52,PASS,read_source_no_modification
park.ingyeom\reports\audits\06x_dataset_generation_260515\06x_model_feature_lists.csv,csv,ca01ba97fa6aa12f728808cfbc230a462f720810bd7b56e7484c3258c786f370,12902,2026-05-19T19:11:52,ca01ba97fa6aa12f728808cfbc230a462f720810bd7b56e7484c3258c786f370,12902,2026-05-19T19:11:52,PASS,read_source_no_modification
park.ingyeom\reports\audits\07x_feature_mapping_AARRR_260515\07x_feature_mapping_master.csv,csv,bf645d4750d45e8787e8ab79112ae890c580f9758802e329b66fe26a2caa06b7,38317,2026-05-19T19:11:52,bf645d4750d45e8787e8ab79112ae890c580f9758802e329b66fe26a2caa06b7,38317,2026-05-19T19:11:52,PASS,read_source_no_modification
park.ingyeom\reports\audits\07x_feature_mapping_AARRR_260515\07x_AARRR_summary_by_feature_set.csv,csv,786e86d742dbe4d6de2087b0cca687b006ea30830c8e6817cc43f04307e55895,2276,2026-05-19T19:11:52,786e86d742dbe4d6de2087b0cca687b006ea30830c8e6817cc43f04307e55895,2276,2026-05-19T19:11:52,PASS,read_source_no_modification
park.ingyeom\reports\audits\08x_promotion_nonpromotion_EDA_260516\08x_dataset_scope_summary.csv,csv,84e9d431a470006f6fc41cf13fe96a58cd64f022cd3b58cc15b72fedcc873b30,1077,2026-05-19T19:11:52,84e9d431a470006f6fc41cf13fe96a58cd64f022cd3b58cc15b72fedcc873b30,1077,2026-05-19T19:11:52,PASS,read_source_no_modification
park.ingyeom\reports\audits\09x_promotion_repurchase_2x2_EDA_260516\09x_2x2_cohort_summary.csv,csv,7629a4772b58eb20f0c6ec07992419f70b31ee18a1d48615676c62d4ffbea91e,1609,2026-05-19T19:11:52,7629a4772b58eb20f0c6ec07992419f70b31ee18a1d48615676c62d4ffbea91e,1609,2026-05-19T19:11:52,PASS,read_source_no_modification
park.ingyeom\reports\audits\10x_feature_distribution_redundancy_pre_audit_260516\10x_downstream_handoff.csv,csv,00e753f2a59697e31335e3213637d98b207889cbb95b5705c19a24e008590ff4,3583,2026-05-19T19:11:52,00e753f2a59697e31335e3213637d98b207889cbb95b5705c19a24e008590ff4,3583,2026-05-19T19:11:52,PASS,read_source_no_modification
park.ingyeom\reports\models\11x_baseline_growth_comparison_260516\11x_model_summary_by_scope.csv,csv,e0fdefd60b548918c5c698b97e570d67b8ff7d68ae32f78420bc860771848769,10732,2026-05-19T19:11:53,e0fdefd60b548918c5c698b97e570d67b8ff7d68ae32f78420bc860771848769,10732,2026-05-19T19:11:53,PASS,read_source_no_modification
park.ingyeom\reports\models\12x_model_family_comparison_260516\12x_model_summary_by_scope.csv,csv,5b818ae15132568aea9c6d1742ac0a8b82a4663032e23ca5e0d70282c794da4b,23046,2026-05-19T19:11:53,5b818ae15132568aea9c6d1742ac0a8b82a4663032e23ca5e0d70282c794da4b,23046,2026-05-19T19:11:53,PASS,read_source_no_modification
park.ingyeom\reports\models\12x_model_family_comparison_260516\12x_candidate_selection_by_scope.csv,csv,a604006afa4b869ce3a7c502030ffbf777843cd46d0ef64b04a9c814867b61fd,3242,2026-05-19T19:11:53,a604006afa4b869ce3a7c502030ffbf777843cd46d0ef64b04a9c814867b61fd,3242,2026-05-19T19:11:53,PASS,read_source_no_modification
park.ingyeom\reports\models\14x_lightweight_candidate_tuning_260516\14x_candidate_recommendation_summary.csv,csv,9e2b14c291120e8de3c6c1748911750e9c7736dd825367331700f9db501814d1,4625,2026-05-19T19:11:53,9e2b14c291120e8de3c6c1748911750e9c7736dd825367331700f9db501814d1,4625,2026-05-19T19:11:53,PASS,read_source_no_modification
park.ingyeom\reports\audits\15x_payment_device_sensitivity_260516\15x_model_summary_by_scope.csv,csv,f681eda5bb6abd5ca0b1499c5a26f9be725327d79df92991f1587693a8664a4f,2411,2026-05-19T19:11:52,f681eda5bb6abd5ca0b1499c5a26f9be725327d79df92991f1587693a8664a4f,2411,2026-05-19T19:11:52,PASS,read_source_no_modification
park.ingyeom\reports\audits\15x_payment_device_sensitivity_260516\15x_payment_device_feature_policy.csv,csv,f5d77fbfccdff446718e385f2d768ad7fe6e48bfd0044da11b234c97e54e0583,2246,2026-05-19T19:11:52,f5d77fbfccdff446718e385f2d768ad7fe6e48bfd0044da11b234c97e54e0583,2246,2026-05-19T19:11:52,PASS,read_source_no_modification
park.ingyeom\reports\audits\15x_payment_device_sensitivity_260516\15x_expanded_no_payment_device_feature_list.csv,csv,08592f9099522dfdfe55abe285b0da8cdf84c0faa98c787b3a9925cf1927b248,30618,2026-05-19T19:11:52,08592f9099522dfdfe55abe285b0da8cdf84c0faa98c787b3a9925cf1927b248,30618,2026-05-19T19:11:52,PASS,read_source_no_modification
park.ingyeom\reports\audits\15x_payment_device_sensitivity_260516\15x_recommendation_for_canonical_feature_contract.csv,csv,75af91bdfde7d5f8f999e919e25e8ca6b4a9354725ea72a52d0c93aad7aea1aa,376,2026-05-19T19:11:52,75af91bdfde7d5f8f999e919e25e8ca6b4a9354725ea72a52d0c93aad7aea1aa,376,2026-05-19T19:11:52,PASS,read_source_no_modification
park.ingyeom\reports\interpretation\16x_SHAP_candidate_interpretation_260516\16x_SHAP_candidate_plan.csv,csv,096c4d4f9729fe01d81f29a5ad7798c005e018c858933fe9a8b297615fc0f760,1388,2026-05-19T19:11:53,096c4d4f9729fe01d81f29a5ad7798c005e018c858933fe9a8b297615fc0f760,1388,2026-05-19T19:11:53,PASS,read_source_no_modification
park.ingyeom\reports\interpretation\16x_SHAP_candidate_interpretation_260516\16x_payment_removed_input_gate.csv,csv,ea8e850a0e531da7c4ed7338cbd50e7cb189eb0403d7ba68fd74f058e7882604,492,2026-05-19T19:11:53,ea8e850a0e531da7c4ed7338cbd50e7cb189eb0403d7ba68fd74f058e7882604,492,2026-05-19T19:11:53,PASS,read_source_no_modification
park.ingyeom\reports\interpretation\16x_SHAP_candidate_interpretation_260516\16x_model_refit_summary.csv,csv,b60010d73a4487cec08e07aeeab50e8e1213cab978bdbc148373c120f8b6331f,1197,2026-05-19T19:11:53,b60010d73a4487cec08e07aeeab50e8e1213cab978bdbc148373c120f8b6331f,1197,2026-05-19T19:11:53,PASS,read_source_no_modification
park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_score_source_selection.csv,csv,43351609814c1529d6930fcc2f51e9dbb50900ce08c35e5e0a7fb7902804a95b,1909,2026-05-19T19:11:53,43351609814c1529d6930fcc2f51e9dbb50900ce08c35e5e0a7fb7902804a95b,1909,2026-05-19T19:11:53,PASS,read_source_no_modification
park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segment_summary.csv,csv,6fcf17ac37925a04a7f143cbae3062ee12bf0e701f788d0d638754bf0e174125,2467,2026-05-19T19:11:53,6fcf17ac37925a04a7f143cbae3062ee12bf0e701f788d0d638754bf0e174125,2467,2026-05-19T19:11:53,PASS,read_source_no_modification
park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_rules.csv,csv,7643503994d9ac3b3c75231c3b83a986a6790eb5a785eca650c1053c8a2903a5,1474,2026-05-19T19:11:53,7643503994d9ac3b3c75231c3b83a986a6790eb5a785eca650c1053c8a2903a5,1474,2026-05-19T19:11:53,PASS,read_source_no_modification
park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv,csv,5daa58acac5f8917cbfb20f594e661ff5504f893df8dbc8dac284fcc8b3f1c3b,2788,2026-05-19T19:11:53,5daa58acac5f8917cbfb20f594e661ff5504f893df8dbc8dac284fcc8b3f1c3b,2788,2026-05-19T19:11:53,PASS,read_source_no_modification
park.ingyeom\reports\storyline\18x_business_recommendation_storyline_260518\18x_segment_priority_for_presentation.csv,csv,1852992fdcb364dde1c26796be10a457e93310876ecaf05692f1b8766b93d8b1,2281,2026-05-19T19:11:53,1852992fdcb364dde1c26796be10a457e93310876ecaf05692f1b8766b93d8b1,2281,2026-05-19T19:11:53,PASS,read_source_no_modification
park.ingyeom\reports\storyline\18x_business_recommendation_storyline_260518\18x_mentor_QA_defense.csv,csv,b2eea08492766cbd6031f4588599b61c1d35cdb627a12919a7cefbfcd729acea,2884,2026-05-19T19:11:53,b2eea08492766cbd6031f4588599b61c1d35cdb627a12919a7cefbfcd729acea,2884,2026-05-19T19:11:53,PASS,read_source_no_modification
park.ingyeom\reports\storyline\18x_business_recommendation_storyline_260518\18x_safe_unsafe_wording.csv,csv,2d5c9950c35158baaccf74ae6dd9f7ee2de20d3a4cd8734da60661bb35112108,1117,2026-05-19T19:11:53,2d5c9950c35158baaccf74ae6dd9f7ee2de20d3a4cd8734da60661bb35112108,1117,2026-05-19T19:11:53,PASS,read_source_no_modification
FINAL\segment_interpretation_patch_260521\07_promo_aware_segment_label_mapping.csv,csv,b6c5dfe8b09d3f40e1ea175afecf3ee0de8dfb95c430cbf429103a0da81e89b7,4809,2026-05-21T22:49:21,b6c5dfe8b09d3f40e1ea175afecf3ee0de8dfb95c430cbf429103a0da81e89b7,4809,2026-05-21T22:49:21,PASS,read_source_no_modification
FINAL\segment_interpretation_patch_260521\08_segment_business_action_matrix.csv,csv,86a315dd7b3fcfdcf10705d095b018f9045aca897a56d2d6c1503fe8dd0ab666,9327,2026-05-21T22:49:21,86a315dd7b3fcfdcf10705d095b018f9045aca897a56d2d6c1503fe8dd0ab666,9327,2026-05-21T22:49:21,PASS,read_source_no_modification
FINAL\final_note_role_reclassification_patch_260521\final_note_patch_diff_summary.md,md,27c7c731bdabaafb9cc6dd96d0a0d314a4e8d1edd2538bfee83f0fbfabde5d00,1128,2026-05-21T23:18:11,27c7c731bdabaafb9cc6dd96d0a0d314a4e8d1edd2538bfee83f0fbfabde5d00,1128,2026-05-21T23:18:11,PASS,read_source_no_modification
PUBLIC\reports\business\18_business_recommendation_storyline_hotfix_260520\18_business_storyline_memo_hotfix.md,md,d7ac45ea779d68b992e7681b10169c81ae79d55f809ae55ba378551894682a72,25945,2026-05-21T17:37:37,d7ac45ea779d68b992e7681b10169c81ae79d55f809ae55ba378551894682a72,25945,2026-05-21T17:37:37,PASS,read_source_no_modification
PUBLIC\reports\business\18_business_recommendation_storyline_hotfix_260520\18_safe_unsafe_wording_hotfix.csv,csv,f9816fa40cc0732d92262a5d7e17eec154c2759b9eda8e333cfaa25feff11dc8,2761,2026-05-21T17:37:37,f9816fa40cc0732d92262a5d7e17eec154c2759b9eda8e333cfaa25feff11dc8,2761,2026-05-21T17:37:37,PASS,read_source_no_modification
PUBLIC\reports\business\18_business_recommendation_storyline_hotfix_260520\18_segment_visual_guide_v2_polished.html,html,fc744468ac848680004453682e8c1376d97f33efc7413e2e87a7dbe62643b329,51223,2026-05-21T17:37:37,fc744468ac848680004453682e8c1376d97f33efc7413e2e87a7dbe62643b329,51223,2026-05-21T17:37:37,PASS,read_source_no_modification
park.ingyeom\notebook\06x_dataset_generation_260515\06x_dataset_generation_260515.ipynb,ipynb,e99b6aba66321e47d73adb65c20a9259914b004926a51ef81a12c24da56c90d4,49262,2026-05-20T13:50:44,e99b6aba66321e47d73adb65c20a9259914b004926a51ef81a12c24da56c90d4,49262,2026-05-20T13:50:44,PASS,read_source_no_modification
park.ingyeom\notebook\07x_feature_mapping_AARRR_260515\07x_feature_mapping_AARRR_260515.ipynb,ipynb,88aac953897c7ee0df704d4cd84e49a06f69eb8013cdbc5f2240a2659eff3e36,34961,2026-05-19T19:11:52,88aac953897c7ee0df704d4cd84e49a06f69eb8013cdbc5f2240a2659eff3e36,34961,2026-05-19T19:11:52,PASS,read_source_no_modification
park.ingyeom\notebook\11x_baseline_growth_comparison_260516\11x_baseline_growth_comparison_260516.ipynb,ipynb,c867e24bc9c42b41896a02da2124c146d094f9f4d69173eb82f43872c45679f6,56753,2026-05-19T19:11:52,c867e24bc9c42b41896a02da2124c146d094f9f4d69173eb82f43872c45679f6,56753,2026-05-19T19:11:52,PASS,read_source_no_modification
park.ingyeom\notebook\12x_model_family_comparison_260516\12x_model_family_comparison_260516.ipynb,ipynb,89a44f4db859ec461d1756bd211a3b4babba404816dbb53bd131f894fcb57f53,67476,2026-05-19T19:11:52,89a44f4db859ec461d1756bd211a3b4babba404816dbb53bd131f894fcb57f53,67476,2026-05-19T19:11:52,PASS,read_source_no_modification
park.ingyeom\notebook\16x_SHAP_candidate_interpretation_260516\16x_SHAP_candidate_interpretation_260516.ipynb,ipynb,727d9e5f6da9ed9d5104186bee3f22465f0fb3c87d342bfa811e9d0666efcdc2,36934,2026-05-19T19:11:52,727d9e5f6da9ed9d5104186bee3f22465f0fb3c87d342bfa811e9d0666efcdc2,36934,2026-05-19T19:11:52,PASS,read_source_no_modification
park.ingyeom\notebook\17x_segmentation_design_260516\17x_segmentation_design_260516.ipynb,ipynb,991394a545327de3a0c2c848ed7c0e0e1ec003e1979309ed02678ea5b677bed8,56630,2026-05-19T19:11:52,991394a545327de3a0c2c848ed7c0e0e1ec003e1979309ed02678ea5b677bed8,56630,2026-05-19T19:11:52,PASS,read_source_no_modification
