column_name,previous_timing_family,patched_timing_family,allowed_by_observation_window_policy,reason,evidence_from_column_name,evidence_from_previous_step,needs_human_confirmation
active_ratio,content_window_ambiguous,all_period_ambiguous,review,"active_ratio is a usage/behavior ratio, not a genre ratio. Construction window is not explicit, so it remains review.",Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,yes
total_watch_time(min),all_period_ambiguous,all_period_ambiguous,review,Total usage column remains review until proven to be day0-20 only.,Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,yes
watch_per_day,unknown,all_period_ambiguous,review,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,yes
avg_watch_time(min),unknown,all_period_ambiguous,review,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,yes
median_watch_time(min),unknown,all_period_ambiguous,review,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,yes
std_watch_time(min),unknown,all_period_ambiguous,review,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,yes
avg_daily_watch_time(min),unknown,all_period_ambiguous,review,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,yes
max_watch_time(min),unknown,all_period_ambiguous,review,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,yes
max_daily_watch_time(min),unknown,all_period_ambiguous,review,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,yes
max_daily_sessions,unknown,all_period_ambiguous,review,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,yes
recency,content_window_ambiguous,reference_date_review,review,Recency reference date is unresolved; it must be day21 scoring point or earlier.,Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,yes
avg_gap_between_watch_days,unknown,all_period_ambiguous,review,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,yes
avg_gap_w1_watch_days,week1_observation,week1_observation,yes,Explicit week1-week3 observation feature under the established day0-20 window.,Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,no
avg_gap_w2_watch_days,week2_observation,week2_observation,yes,Explicit week1-week3 observation feature under the established day0-20 window.,Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,no
avg_gap_w3_watch_days,week3_observation,week3_observation,yes,Explicit week1-week3 observation feature under the established day0-20 window.,Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,no
max_inactive_gap_days,unknown,all_period_ambiguous,review,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,yes
avg_rewatch_ratio,content_window_ambiguous,all_period_ambiguous,review,"avg_rewatch_ratio is a usage/behavior ratio, not a genre ratio. Construction window is not explicit, so it remains review.",Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,yes
weekend_watch_ratio,content_window_ambiguous,all_period_ambiguous,review,"weekend_watch_ratio is a usage/behavior ratio, not a genre ratio. Construction window is not explicit, so it remains review.",Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,yes
watch_ratio_under_1m,content_window_ambiguous,all_period_ambiguous,review,"watch_ratio_under_1m is a usage/behavior ratio, not a genre ratio. Construction window is not explicit, so it remains review.",Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,yes
watch_ratio_under_5m,content_window_ambiguous,all_period_ambiguous,review,"watch_ratio_under_5m is a usage/behavior ratio, not a genre ratio. Construction window is not explicit, so it remains review.",Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,yes
is_cold_start_3d,content_window_ambiguous,early_activation,yes,"Cold-start flag is early activation/onboarding behavior, not content recency; 3d/7d is inside the allowed observation window.",Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,no
is_cold_start_7d,content_window_ambiguous,week1_observation,yes,"Cold-start flag is early activation/onboarding behavior, not content recency; 3d/7d is inside the allowed observation window.",Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,no
movie_per_active_day,unknown,all_period_ambiguous,review,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,yes
max_day_share,unknown,all_period_ambiguous,review,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,yes
day_count_over_3times,unknown,all_period_ambiguous,review,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,yes
watch_time(min)_w1,week1_observation,week1_observation,yes,Explicit week1-week3 observation feature under the established day0-20 window.,Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,no
watch_time(min)_w2,week2_observation,week2_observation,yes,Explicit week1-week3 observation feature under the established day0-20 window.,Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,no
watch_time(min)_w3,week3_observation,week3_observation,yes,Explicit week1-week3 observation feature under the established day0-20 window.,Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,no
watch_session_w1,week1_observation,week1_observation,yes,Explicit week1-week3 observation feature under the established day0-20 window.,Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,no
watch_session_w2,week2_observation,week2_observation,yes,Explicit week1-week3 observation feature under the established day0-20 window.,Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,no
watch_session_w3,week3_observation,week3_observation,yes,Explicit week1-week3 observation feature under the established day0-20 window.,Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,no
retention_w2_ratio,week2_observation,week1_to_week2_change,yes,"retention_w2_ratio is retention behavior, not genre. Name explicitly references allowed week window; allowed status corrected to yes under the day0-20 observation contract.",Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,no
retention_w3_ratio,week3_observation,week1_to_week3_change,yes,"retention_w3_ratio is retention behavior, not genre. Name explicitly references allowed week window; allowed status corrected to yes under the day0-20 observation contract.",Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,no
diff_between_w2_w1,week1_to_week2_change,week1_to_week2_change,yes,Week-to-week difference feature within week1 to week3 observation window; role/family corrected to retention_change.,Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,no
diff_between_w3_w1,week1_to_week3_change,week1_to_week3_change,yes,Week-to-week difference feature within week1 to week3 observation window; role/family corrected to retention_change.,Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,no
diff_between_w3_w2,week2_to_week3_change,week2_to_week3_change,yes,Week-to-week difference feature within week1 to week3 observation window; role/family corrected to retention_change.,Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,no
is_w1_over_50pct,week1_observation,week1_observation,yes,Explicit week1-week3 observation feature under the established day0-20 window.,Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,no
is_w2_over_50pct,week2_observation,week2_observation,yes,Explicit week1-week3 observation feature under the established day0-20 window.,Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,no
is_w3_over_50pct,week3_observation,week3_observation,yes,Explicit week1-week3 observation feature under the established day0-20 window.,Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,no
is_only_w1,week1_observation,week1_observation,yes,Explicit week1-week3 observation feature under the established day0-20 window.,Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,no
is_only_w2,week2_observation,week2_observation,yes,Explicit week1-week3 observation feature under the established day0-20 window.,Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,no
is_only_w3,week3_observation,week3_observation,yes,Explicit week1-week3 observation feature under the established day0-20 window.,Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,no
new_movie_in_90d_ratio,content_window_ambiguous,content_recency_window_ambiguous,review,"New-movie ratio is content recency, not genre. Observation window must be confirmed before modeling.",Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,yes
new_movie_in_180d_ratio,content_window_ambiguous,content_recency_window_ambiguous,review,"New-movie ratio is content recency, not genre. Observation window must be confirmed before modeling.",Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,yes
new_movie_in_365d_ratio,content_window_ambiguous,content_recency_window_ambiguous,review,"New-movie ratio is content recency, not genre. Observation window must be confirmed before modeling.",Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,yes
old_movie_ratio(5y),content_window_ambiguous,content_window_ambiguous,review,"genre/content ratio window unresolved. Evidence: content/recency construction window unresolved. Conservative rule: uncertain columns remain review, not approved.",Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,yes
avg_ott_release_year,content_window_ambiguous,content_recency_window_ambiguous,review,Average release year is content metadata/recency; construction window remains unresolved.,Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,yes
genre_diversity_count,content_window_ambiguous,content_window_ambiguous,review,Actual genre/content preference column. Keep review until the observation window is documented.,Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,yes
action_adventure_ratio,content_window_ambiguous,content_window_ambiguous,review,Actual genre/content preference column. Keep review until the observation window is documented.,Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,yes
family_animation_ratio,content_window_ambiguous,content_window_ambiguous,review,Actual genre/content preference column. Keep review until the observation window is documented.,Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,yes
drama_ratio,content_window_ambiguous,content_window_ambiguous,review,Actual genre/content preference column. Keep review until the observation window is documented.,Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,yes
thriller_crime_ratio,content_window_ambiguous,content_window_ambiguous,review,Actual genre/content preference column. Keep review until the observation window is documented.,Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,yes
sf_fantasy_ratio,content_window_ambiguous,content_window_ambiguous,review,Actual genre/content preference column. Keep review until the observation window is documented.,Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,yes
comedy_ratio,content_window_ambiguous,content_window_ambiguous,review,Actual genre/content preference column. Keep review until the observation window is documented.,Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,yes
romance_ratio,content_window_ambiguous,content_window_ambiguous,review,Actual genre/content preference column. Keep review until the observation window is documented.,Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,yes
horror_ratio,content_window_ambiguous,content_window_ambiguous,review,Actual genre/content preference column. Keep review until the observation window is documented.,Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,yes
documentary_ratio,content_window_ambiguous,content_window_ambiguous,review,Actual genre/content preference column. Keep review until the observation window is documented.,Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,yes
historical_war_ratio,content_window_ambiguous,content_window_ambiguous,review,Actual genre/content preference column. Keep review until the observation window is documented.,Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,yes
other_ratio,content_window_ambiguous,content_window_ambiguous,review,Actual genre/content preference column. Keep review until the observation window is documented.,Patched by explicit column-name semantics in 05b.,Step 03 contract: day0-day20 equals week1-week3; day21 onward is response period.,yes
