column_name,old_primary_role,new_primary_role,old_feature_family,new_feature_family,old_timing_family,new_timing_family,old_overall_allowed,new_overall_allowed,old_groupwise_allowed,new_groupwise_allowed,reason_for_change,whether_allowed_status_became_more_permissive,caution
is_standard,unknown_review_required,membership_context,unknown_review,membership_context,unknown,static_or_pre_subscription_review,review,review,review,review,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,no,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
is_premium,unknown_review_required,membership_context,unknown_review,membership_context,unknown,static_or_pre_subscription_review,review,review,review,review,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,no,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
age_group,membership_context,membership_context,membership_context,membership_context,static_or_pre_subscription,static_or_pre_subscription_review,review,review,review,review,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,no,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
is_female,unknown_review_required,membership_context,unknown_review,membership_context,unknown,static_or_pre_subscription_review,review,review,review,review,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,no,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
is_male,unknown_review_required,membership_context,unknown_review,membership_context,unknown,static_or_pre_subscription_review,review,review,review,review,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,no,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
reg_is_weekend,unknown_review_required,acquisition,unknown_review,registration_context,unknown,subscription_anchor_derived_review,review,review,review,review,Registration-time derived context; review whether it is appropriate as a feature rather than anchor leakage.,no,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
reg_hour_morning,unknown_review_required,acquisition,unknown_review,registration_context,unknown,subscription_anchor_derived_review,review,review,review,review,Registration-time derived context; review whether it is appropriate as a feature rather than anchor leakage.,no,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
reg_hour_afternoon,unknown_review_required,acquisition,unknown_review,registration_context,unknown,subscription_anchor_derived_review,review,review,review,review,Registration-time derived context; review whether it is appropriate as a feature rather than anchor leakage.,no,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
reg_hour_evening,unknown_review_required,acquisition,unknown_review,registration_context,unknown,subscription_anchor_derived_review,review,review,review,review,Registration-time derived context; review whether it is appropriate as a feature rather than anchor leakage.,no,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
reg_hour_night,unknown_review_required,acquisition,unknown_review,registration_context,unknown,subscription_anchor_derived_review,review,review,review,review,Registration-time derived context; review whether it is appropriate as a feature rather than anchor leakage.,no,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
payment_is_mobile,unknown_review_required,membership_context,unknown_review,membership_context,unknown,static_or_pre_subscription_review,review,review,review,review,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,no,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
payment_is_pc,unknown_review_required,membership_context,unknown_review,membership_context,unknown,static_or_pre_subscription_review,review,review,review,review,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,no,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
payment_is_android,unknown_review_required,membership_context,unknown_review,membership_context,unknown,static_or_pre_subscription_review,review,review,review,review,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,no,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
payment_is_ios,unknown_review_required,membership_context,unknown_review,membership_context,unknown,static_or_pre_subscription_review,review,review,review,review,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,no,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
unique_movie,unknown_review_required,aggregate_usage_review,unknown_review,usage_behavior_summary,unknown,all_period_ambiguous,review,review,review,review,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,no,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
watch_days,unknown_review_required,aggregate_usage_review,unknown_review,usage_behavior_summary,unknown,all_period_ambiguous,review,review,review,review,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,no,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
active_ratio,genre_ratio,retention,content_genre,usage_behavior_ratio,content_window_ambiguous,all_period_ambiguous,review,review,review,review,"active_ratio is a usage/behavior ratio, not a genre ratio. Construction window is not explicit, so it remains review.",no,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
watch_per_day,unknown_review_required,aggregate_usage_review,unknown_review,usage_behavior_summary,unknown,all_period_ambiguous,review,review,review,review,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,no,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
avg_watch_time(min),unknown_review_required,aggregate_usage_review,unknown_review,usage_behavior_summary,unknown,all_period_ambiguous,review,review,review,review,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,no,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
median_watch_time(min),unknown_review_required,aggregate_usage_review,unknown_review,usage_behavior_summary,unknown,all_period_ambiguous,review,review,review,review,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,no,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
std_watch_time(min),unknown_review_required,aggregate_usage_review,unknown_review,usage_behavior_summary,unknown,all_period_ambiguous,review,review,review,review,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,no,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
avg_daily_watch_time(min),unknown_review_required,aggregate_usage_review,unknown_review,usage_behavior_summary,unknown,all_period_ambiguous,review,review,review,review,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,no,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
max_watch_time(min),unknown_review_required,aggregate_usage_review,unknown_review,usage_behavior_summary,unknown,all_period_ambiguous,review,review,review,review,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,no,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
max_daily_watch_time(min),unknown_review_required,aggregate_usage_review,unknown_review,usage_behavior_summary,unknown,all_period_ambiguous,review,review,review,review,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,no,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
max_daily_sessions,unknown_review_required,aggregate_usage_review,unknown_review,usage_behavior_summary,unknown,all_period_ambiguous,review,review,review,review,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,no,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
recency,content_recency,timing_review_required,content_recency,content_recency,content_window_ambiguous,reference_date_review,review,review,review,review,Recency reference date is unresolved; it must be day21 scoring point or earlier.,no,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
avg_gap_between_watch_days,unknown_review_required,aggregate_usage_review,unknown_review,usage_behavior_summary,unknown,all_period_ambiguous,review,review,review,review,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,no,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
avg_gap_w1_watch_days,activation,activation,usage_observation,usage_observation,week1_observation,week1_observation,yes,yes,yes,yes,Explicit week1-week3 observation feature under the established day0-20 window.,no,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
avg_gap_w2_watch_days,retention,retention,usage_observation,usage_observation,week2_observation,week2_observation,yes,yes,yes,yes,Explicit week1-week3 observation feature under the established day0-20 window.,no,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
avg_gap_w3_watch_days,retention,retention,usage_observation,usage_observation,week3_observation,week3_observation,yes,yes,yes,yes,Explicit week1-week3 observation feature under the established day0-20 window.,no,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
max_inactive_gap_days,unknown_review_required,aggregate_usage_review,unknown_review,usage_behavior_summary,unknown,all_period_ambiguous,review,review,review,review,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,no,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
avg_rewatch_ratio,genre_ratio,aggregate_usage_review,content_genre,engagement_depth,content_window_ambiguous,all_period_ambiguous,review,review,review,review,"avg_rewatch_ratio is a usage/behavior ratio, not a genre ratio. Construction window is not explicit, so it remains review.",no,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
weekend_watch_ratio,genre_ratio,aggregate_usage_review,content_genre,viewing_pattern,content_window_ambiguous,all_period_ambiguous,review,review,review,review,"weekend_watch_ratio is a usage/behavior ratio, not a genre ratio. Construction window is not explicit, so it remains review.",no,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
watch_ratio_under_1m,genre_ratio,aggregate_usage_review,content_genre,short_watch_behavior,content_window_ambiguous,all_period_ambiguous,review,review,review,review,"watch_ratio_under_1m is a usage/behavior ratio, not a genre ratio. Construction window is not explicit, so it remains review.",no,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
watch_ratio_under_5m,genre_ratio,aggregate_usage_review,content_genre,short_watch_behavior,content_window_ambiguous,all_period_ambiguous,review,review,review,review,"watch_ratio_under_5m is a usage/behavior ratio, not a genre ratio. Construction window is not explicit, so it remains review.",no,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
is_cold_start_3d,content_recency,activation,content,activation_onboarding,content_window_ambiguous,early_activation,review,yes,review,yes,"Cold-start flag is early activation/onboarding behavior, not content recency; 3d/7d is inside the allowed observation window.",yes,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
is_cold_start_7d,content_recency,activation,content,activation_onboarding,content_window_ambiguous,week1_observation,review,yes,review,yes,"Cold-start flag is early activation/onboarding behavior, not content recency; 3d/7d is inside the allowed observation window.",yes,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
movie_per_active_day,unknown_review_required,aggregate_usage_review,unknown_review,usage_behavior_summary,unknown,all_period_ambiguous,review,review,review,review,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,no,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
max_day_share,unknown_review_required,aggregate_usage_review,unknown_review,usage_behavior_summary,unknown,all_period_ambiguous,review,review,review,review,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,no,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
day_count_over_3times,unknown_review_required,aggregate_usage_review,unknown_review,usage_behavior_summary,unknown,all_period_ambiguous,review,review,review,review,Usage summary lacks explicit week/window in the name; keep review until construction window is documented.,no,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
watch_time(min)_w1,activation,activation,usage_observation,usage_observation,week1_observation,week1_observation,yes,yes,yes,yes,Explicit week1-week3 observation feature under the established day0-20 window.,no,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
watch_time(min)_w2,retention,retention,usage_observation,usage_observation,week2_observation,week2_observation,yes,yes,yes,yes,Explicit week1-week3 observation feature under the established day0-20 window.,no,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
watch_time(min)_w3,retention,retention,usage_observation,usage_observation,week3_observation,week3_observation,yes,yes,yes,yes,Explicit week1-week3 observation feature under the established day0-20 window.,no,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
watch_session_w1,activation,activation,usage_observation,usage_observation,week1_observation,week1_observation,yes,yes,yes,yes,Explicit week1-week3 observation feature under the established day0-20 window.,no,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
watch_session_w2,retention,retention,usage_observation,usage_observation,week2_observation,week2_observation,yes,yes,yes,yes,Explicit week1-week3 observation feature under the established day0-20 window.,no,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
watch_session_w3,retention,retention,usage_observation,usage_observation,week3_observation,week3_observation,yes,yes,yes,yes,Explicit week1-week3 observation feature under the established day0-20 window.,no,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
retention_w2_ratio,genre_ratio,retention,content_genre,retention_ratio,week2_observation,week1_to_week2_change,review,yes,review,yes,"retention_w2_ratio is retention behavior, not genre. Name explicitly references allowed week window; allowed status corrected to yes under the day0-20 observation contract.",yes,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
retention_w3_ratio,genre_ratio,retention,content_genre,retention_ratio,week3_observation,week1_to_week3_change,review,yes,review,yes,"retention_w3_ratio is retention behavior, not genre. Name explicitly references allowed week window; allowed status corrected to yes under the day0-20 observation contract.",yes,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
diff_between_w2_w1,activation,retention,usage_observation,retention_change,week1_to_week2_change,week1_to_week2_change,review,yes,review,yes,Week-to-week difference feature within week1 to week3 observation window; role/family corrected to retention_change.,yes,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
diff_between_w3_w1,activation,retention,usage_observation,retention_change,week1_to_week3_change,week1_to_week3_change,review,yes,review,yes,Week-to-week difference feature within week1 to week3 observation window; role/family corrected to retention_change.,yes,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
diff_between_w3_w2,retention,retention,usage_observation,retention_change,week2_to_week3_change,week2_to_week3_change,yes,yes,yes,yes,Week-to-week difference feature within week1 to week3 observation window; role/family corrected to retention_change.,no,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
is_w1_over_50pct,activation,activation,usage_observation,usage_observation,week1_observation,week1_observation,yes,yes,yes,yes,Explicit week1-week3 observation feature under the established day0-20 window.,no,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
is_w2_over_50pct,retention,retention,usage_observation,usage_observation,week2_observation,week2_observation,yes,yes,yes,yes,Explicit week1-week3 observation feature under the established day0-20 window.,no,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
is_w3_over_50pct,retention,retention,usage_observation,usage_observation,week3_observation,week3_observation,yes,yes,yes,yes,Explicit week1-week3 observation feature under the established day0-20 window.,no,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
is_only_w1,activation,activation,usage_observation,usage_observation,week1_observation,week1_observation,yes,yes,yes,yes,Explicit week1-week3 observation feature under the established day0-20 window.,no,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
is_only_w2,retention,retention,usage_observation,usage_observation,week2_observation,week2_observation,yes,yes,yes,yes,Explicit week1-week3 observation feature under the established day0-20 window.,no,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
is_only_w3,retention,retention,usage_observation,usage_observation,week3_observation,week3_observation,yes,yes,yes,yes,Explicit week1-week3 observation feature under the established day0-20 window.,no,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
new_movie_in_90d_ratio,genre_ratio,content_recency,content_genre,content_recency,content_window_ambiguous,content_recency_window_ambiguous,review,review,review,review,"New-movie ratio is content recency, not genre. Observation window must be confirmed before modeling.",no,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
new_movie_in_180d_ratio,genre_ratio,content_recency,content_genre,content_recency,content_window_ambiguous,content_recency_window_ambiguous,review,review,review,review,"New-movie ratio is content recency, not genre. Observation window must be confirmed before modeling.",no,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
new_movie_in_365d_ratio,genre_ratio,content_recency,content_genre,content_recency,content_window_ambiguous,content_recency_window_ambiguous,review,review,review,review,"New-movie ratio is content recency, not genre. Observation window must be confirmed before modeling.",no,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
avg_ott_release_year,content_recency,content_recency,content,content_metadata_recency,content_window_ambiguous,content_recency_window_ambiguous,review,review,review,review,Average release year is content metadata/recency; construction window remains unresolved.,no,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
genre_diversity_count,genre_ratio,genre_ratio,content_genre,content_genre,content_window_ambiguous,content_window_ambiguous,review,review,review,review,Actual genre/content preference column. Keep review until the observation window is documented.,no,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
action_adventure_ratio,genre_ratio,genre_ratio,content_genre,content_genre,content_window_ambiguous,content_window_ambiguous,review,review,review,review,Actual genre/content preference column. Keep review until the observation window is documented.,no,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
family_animation_ratio,genre_ratio,genre_ratio,content_genre,content_genre,content_window_ambiguous,content_window_ambiguous,review,review,review,review,Actual genre/content preference column. Keep review until the observation window is documented.,no,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
drama_ratio,genre_ratio,genre_ratio,content_genre,content_genre,content_window_ambiguous,content_window_ambiguous,review,review,review,review,Actual genre/content preference column. Keep review until the observation window is documented.,no,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
thriller_crime_ratio,genre_ratio,genre_ratio,content_genre,content_genre,content_window_ambiguous,content_window_ambiguous,review,review,review,review,Actual genre/content preference column. Keep review until the observation window is documented.,no,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
sf_fantasy_ratio,genre_ratio,genre_ratio,content_genre,content_genre,content_window_ambiguous,content_window_ambiguous,review,review,review,review,Actual genre/content preference column. Keep review until the observation window is documented.,no,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
comedy_ratio,genre_ratio,genre_ratio,content_genre,content_genre,content_window_ambiguous,content_window_ambiguous,review,review,review,review,Actual genre/content preference column. Keep review until the observation window is documented.,no,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
romance_ratio,genre_ratio,genre_ratio,content_genre,content_genre,content_window_ambiguous,content_window_ambiguous,review,review,review,review,Actual genre/content preference column. Keep review until the observation window is documented.,no,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
horror_ratio,genre_ratio,genre_ratio,content_genre,content_genre,content_window_ambiguous,content_window_ambiguous,review,review,review,review,Actual genre/content preference column. Keep review until the observation window is documented.,no,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
documentary_ratio,genre_ratio,genre_ratio,content_genre,content_genre,content_window_ambiguous,content_window_ambiguous,review,review,review,review,Actual genre/content preference column. Keep review until the observation window is documented.,no,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
historical_war_ratio,genre_ratio,genre_ratio,content_genre,content_genre,content_window_ambiguous,content_window_ambiguous,review,review,review,review,Actual genre/content preference column. Keep review until the observation window is documented.,no,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
other_ratio,genre_ratio,genre_ratio,content_genre,content_genre,content_window_ambiguous,content_window_ambiguous,review,review,review,review,Actual genre/content preference column. Keep review until the observation window is documented.,no,Allowed status became more permissive only when the column name explicitly anchors to week1-week3 or early day3/day7 activation; review remains review where timing is ambiguous.
