column_name,role,source_original_feature,dtype,missing_count,unique_count,use_as_feature,caveat_flag,caveat_reason
genre_diversity_count,feature,genre_diversity_count,int64,0,12,yes,True,"Movie_Master_v2 can contain multiple category rows for the same MOVIE_NUM, so genre/category values may be affected by multi-category mapping"
action_adventure_ratio,feature,action_adventure_ratio,float64,0,6019,yes,True,"Movie_Master_v2 can contain multiple category rows for the same MOVIE_NUM, so genre/category values may be affected by multi-category mapping"
family_animation_ratio,feature,family_animation_ratio,float64,0,4073,yes,True,"Movie_Master_v2 can contain multiple category rows for the same MOVIE_NUM, so genre/category values may be affected by multi-category mapping"
drama_ratio,feature,drama_ratio,float64,0,8022,yes,True,"Movie_Master_v2 can contain multiple category rows for the same MOVIE_NUM, so genre/category values may be affected by multi-category mapping"
thriller_crime_ratio,feature,thriller_crime_ratio,float64,0,6603,yes,True,"Movie_Master_v2 can contain multiple category rows for the same MOVIE_NUM, so genre/category values may be affected by multi-category mapping"
sf_fantasy_ratio,feature,sf_fantasy_ratio,float64,0,5214,yes,True,"Movie_Master_v2 can contain multiple category rows for the same MOVIE_NUM, so genre/category values may be affected by multi-category mapping"
comedy_ratio,feature,comedy_ratio,float64,0,5441,yes,True,"Movie_Master_v2 can contain multiple category rows for the same MOVIE_NUM, so genre/category values may be affected by multi-category mapping"
romance_ratio,feature,romance_ratio,float64,0,5380,yes,True,"Movie_Master_v2 can contain multiple category rows for the same MOVIE_NUM, so genre/category values may be affected by multi-category mapping"
horror_ratio,feature,horror_ratio,float64,0,2312,yes,True,"Movie_Master_v2 can contain multiple category rows for the same MOVIE_NUM, so genre/category values may be affected by multi-category mapping"
documentary_ratio,feature,documentary_ratio,float64,0,1933,yes,True,"Movie_Master_v2 can contain multiple category rows for the same MOVIE_NUM, so genre/category values may be affected by multi-category mapping"
historical_war_ratio,feature,historical_war_ratio,float64,0,4216,yes,True,"Movie_Master_v2 can contain multiple category rows for the same MOVIE_NUM, so genre/category values may be affected by multi-category mapping"
other_ratio,feature,other_ratio,float64,0,1919,yes,True,"Movie_Master_v2 can contain multiple category rows for the same MOVIE_NUM, so genre/category values may be affected by multi-category mapping"
is_basic,feature,is_basic,int32,0,2,yes,False,
is_cold_start_3d_fixed,feature,is_cold_start_3d_fixed,int32,0,2,yes,True,fixed replacement approved for modeling; raw recomputation mismatch counts are recorded in formula validation summary
is_cold_start_7d_fixed,feature,is_cold_start_7d_fixed,int32,0,2,yes,True,fixed replacement approved for modeling; raw recomputation mismatch counts are recorded in formula validation summary
