target_rule_segment_id,rule_component,component_definition,promo_group,outcome_group,rows_in_group,component_satisfied_rows,component_satisfied_rate,source_file,caveat
high_risk_week3_inactive_or_drop,flag_high_risk_top20,flag_high_risk_top20 == 1,promo0_non100won,churn,497,4,0.008048289738430584,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_rules.csv,component coverage inside S7 residual; not reassignment
high_risk_only_w1_or_cold_start_weak,flag_only_w1_or_cold_start_weak,flag_only_w1 == 1 OR flag_cold_start_weak == 1,promo0_non100won,repurchase,3402,1578,0.4638447971781305,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_rules.csv,component coverage inside S7 residual; not reassignment
high_risk_only_w1_or_cold_start_weak,flag_only_w1_or_cold_start_weak,flag_only_w1 == 1 OR flag_cold_start_weak == 1,promo1_100won,churn,762,304,0.3989501312335958,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_rules.csv,component coverage inside S7 residual; not reassignment
high_risk_only_w1_or_cold_start_weak,flag_only_w1_or_cold_start_weak,flag_only_w1 == 1 OR flag_cold_start_weak == 1,promo1_100won,repurchase,3235,1522,0.4704791344667697,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_rules.csv,component coverage inside S7 residual; not reassignment
high_risk_low_activity,flag_high_risk_top20,flag_high_risk_top20 == 1,promo0_non100won,churn,497,4,0.008048289738430584,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_rules.csv,component coverage inside S7 residual; not reassignment
high_risk_low_activity,flag_high_risk_top20,flag_high_risk_top20 == 1,promo0_non100won,repurchase,3402,2,0.0005878894767783657,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_rules.csv,component coverage inside S7 residual; not reassignment
high_risk_low_activity,flag_high_risk_top20,flag_high_risk_top20 == 1,promo1_100won,churn,762,29,0.03805774278215223,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_rules.csv,component coverage inside S7 residual; not reassignment
high_risk_low_activity,flag_high_risk_top20,flag_high_risk_top20 == 1,promo1_100won,repurchase,3235,11,0.0034003091190108192,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_rules.csv,component coverage inside S7 residual; not reassignment
high_risk_low_activity,flag_low_activity,flag_low_activity == 1,promo0_non100won,churn,497,359,0.7223340040241448,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_rules.csv,component coverage inside S7 residual; not reassignment
high_risk_low_activity,flag_low_activity,flag_low_activity == 1,promo0_non100won,repurchase,3402,1673,0.49176954732510286,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_rules.csv,component coverage inside S7 residual; not reassignment
high_risk_low_activity,flag_low_activity,flag_low_activity == 1,promo1_100won,churn,762,521,0.6837270341207349,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_rules.csv,component coverage inside S7 residual; not reassignment
high_risk_low_activity,flag_low_activity,flag_low_activity == 1,promo1_100won,repurchase,3235,1510,0.4667697063369397,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_rules.csv,component coverage inside S7 residual; not reassignment
medium_risk_retention_decay,not_high_risk_top20,flag_high_risk_top20 == 0,promo0_non100won,churn,497,493,0.9919517102615694,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_rules.csv,component coverage inside S7 residual; not reassignment
medium_risk_retention_decay,not_high_risk_top20,flag_high_risk_top20 == 0,promo0_non100won,repurchase,3402,3400,0.9994121105232217,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_rules.csv,component coverage inside S7 residual; not reassignment
medium_risk_retention_decay,not_high_risk_top20,flag_high_risk_top20 == 0,promo1_100won,churn,762,733,0.9619422572178478,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_rules.csv,component coverage inside S7 residual; not reassignment
medium_risk_retention_decay,not_high_risk_top20,flag_high_risk_top20 == 0,promo1_100won,repurchase,3235,3224,0.9965996908809892,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_rules.csv,component coverage inside S7 residual; not reassignment
medium_risk_retention_decay,risk_percentile_20_to_50,20 < risk_percentile_desc <= 50,promo0_non100won,churn,497,379,0.7625754527162978,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_rules.csv,component coverage inside S7 residual; not reassignment
medium_risk_retention_decay,risk_percentile_20_to_50,20 < risk_percentile_desc <= 50,promo0_non100won,repurchase,3402,927,0.2724867724867725,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_rules.csv,component coverage inside S7 residual; not reassignment
medium_risk_retention_decay,risk_percentile_20_to_50,20 < risk_percentile_desc <= 50,promo1_100won,churn,762,587,0.7703412073490814,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_rules.csv,component coverage inside S7 residual; not reassignment
medium_risk_retention_decay,risk_percentile_20_to_50,20 < risk_percentile_desc <= 50,promo1_100won,repurchase,3235,981,0.30324574961360123,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_rules.csv,component coverage inside S7 residual; not reassignment
medium_risk_retention_decay,flag_retention_decay,flag_retention_decay == 1,promo0_non100won,churn,497,67,0.13480885311871227,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_rules.csv,component coverage inside S7 residual; not reassignment
medium_risk_retention_decay,flag_retention_decay,flag_retention_decay == 1,promo0_non100won,repurchase,3402,1665,0.4894179894179894,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_rules.csv,component coverage inside S7 residual; not reassignment
medium_risk_retention_decay,flag_retention_decay,flag_retention_decay == 1,promo1_100won,churn,762,81,0.1062992125984252,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_rules.csv,component coverage inside S7 residual; not reassignment
medium_risk_retention_decay,flag_retention_decay,flag_retention_decay == 1,promo1_100won,repurchase,3235,1394,0.4309119010819165,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_rules.csv,component coverage inside S7 residual; not reassignment
content_preference_target_candidate,not_high_risk_top20,flag_high_risk_top20 == 0,promo0_non100won,churn,497,493,0.9919517102615694,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_rules.csv,component coverage inside S7 residual; not reassignment
content_preference_target_candidate,not_high_risk_top20,flag_high_risk_top20 == 0,promo0_non100won,repurchase,3402,3400,0.9994121105232217,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_rules.csv,component coverage inside S7 residual; not reassignment
content_preference_target_candidate,not_high_risk_top20,flag_high_risk_top20 == 0,promo1_100won,churn,762,733,0.9619422572178478,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_rules.csv,component coverage inside S7 residual; not reassignment
content_preference_target_candidate,not_high_risk_top20,flag_high_risk_top20 == 0,promo1_100won,repurchase,3235,3224,0.9965996908809892,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_rules.csv,component coverage inside S7 residual; not reassignment
content_preference_target_candidate,not_low_activity,flag_low_activity == 0,promo0_non100won,churn,497,138,0.2776659959758551,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_rules.csv,component coverage inside S7 residual; not reassignment
content_preference_target_candidate,not_low_activity,flag_low_activity == 0,promo0_non100won,repurchase,3402,1729,0.5082304526748971,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_rules.csv,component coverage inside S7 residual; not reassignment
content_preference_target_candidate,not_low_activity,flag_low_activity == 0,promo1_100won,churn,762,241,0.31627296587926507,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_rules.csv,component coverage inside S7 residual; not reassignment
content_preference_target_candidate,not_low_activity,flag_low_activity == 0,promo1_100won,repurchase,3235,1725,0.5332302936630603,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_rules.csv,component coverage inside S7 residual; not reassignment
content_preference_target_candidate,content_proxy_flag,flag_genre_focused == 1 OR flag_new_movie_oriented == 1 OR flag_old_movie_oriented == 1,promo0_non100won,churn,497,168,0.3380281690140845,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_rules.csv,component coverage inside S7 residual; not reassignment
content_preference_target_candidate,content_proxy_flag,flag_genre_focused == 1 OR flag_new_movie_oriented == 1 OR flag_old_movie_oriented == 1,promo0_non100won,repurchase,3402,961,0.2824808935920047,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_rules.csv,component coverage inside S7 residual; not reassignment
content_preference_target_candidate,content_proxy_flag,flag_genre_focused == 1 OR flag_new_movie_oriented == 1 OR flag_old_movie_oriented == 1,promo1_100won,churn,762,236,0.30971128608923887,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_rules.csv,component coverage inside S7 residual; not reassignment
content_preference_target_candidate,content_proxy_flag,flag_genre_focused == 1 OR flag_new_movie_oriented == 1 OR flag_old_movie_oriented == 1,promo1_100won,repurchase,3235,847,0.26182380216383305,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_rules.csv,component coverage inside S7 residual; not reassignment
stable_retained_user,flag_low_risk_stable,flag_low_risk_stable == 1,promo0_non100won,churn,497,0,0.0,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_rules.csv,component coverage inside S7 residual; not reassignment
stable_retained_user,flag_low_risk_stable,flag_low_risk_stable == 1,promo0_non100won,repurchase,3402,0,0.0,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_rules.csv,component coverage inside S7 residual; not reassignment
stable_retained_user,flag_low_risk_stable,flag_low_risk_stable == 1,promo1_100won,churn,762,0,0.0,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_rules.csv,component coverage inside S7 residual; not reassignment
stable_retained_user,flag_low_risk_stable,flag_low_risk_stable == 1,promo1_100won,repurchase,3235,0,0.0,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_rules.csv,component coverage inside S7 residual; not reassignment
