feature_name,feature_family,comparison,group_a_n,group_b_n,group_a_mean,group_b_mean,group_a_median,group_b_median,mean_difference,median_difference,standardized_effect_size_if_valid,missing_rate_group_a,missing_rate_group_b,rank_by_abs_effect,policy_caveat,source_file
retention_w3_ratio,retention_change,promo0_churn_vs_promo0_repurchase,497,3402,13.175322547283702,15.01112341563786,1.0,1.0,-1.8358008683541573,0.0,-0.04375640203385035,0.0,0.0,20.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
new_movie_in_365d_ratio,content_proxy,promo0_churn_vs_promo0_repurchase,497,3402,0.14445092756539238,0.14012381628453852,0.0,0.0,0.0043271112808538625,0.0,0.01739092233744307,0.0,0.0,21.0,Movie_Master mapping proxy; descriptive only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
retention_w3_ratio,retention_change,promo1_all_vs_promo0_all,3997,3899,27.286347902176633,14.777116482687868,1.0,1.0,12.509231419488765,0.0,0.22770704607017203,0.0,0.0,1.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
diff_between_w3_w2,retention_change,promo1_all_vs_promo0_all,3997,3899,-4.551163372529397,-26.925109002308282,0.0,0.0,22.373945629778884,0.0,0.12934161935988586,0.0,0.0,2.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
watch_time_min_w3,usage_behavior,promo1_all_vs_promo0_all,3997,3899,94.9467100325244,82.26442677609643,37.0,15.0,12.682283256427965,22.0,0.09205353225158532,0.0,0.0,3.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
watch_session_w3,usage_behavior,promo1_all_vs_promo0_all,3997,3899,2.2351763822867152,2.0223134136958194,1.0,1.0,0.21286296859089582,0.0,0.07571540443690382,0.0,0.0,4.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
watch_session_w2,usage_behavior,promo1_all_vs_promo0_all,3997,3899,2.0728046034525893,2.2982816106694024,1.0,1.0,-0.22547700721681307,0.0,-0.06534467472814919,0.0,0.0,5.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
recency,retention_change,promo1_all_vs_promo0_all,3997,3899,6.9729797348011004,7.403693254680688,4.0,4.0,-0.4307135198795873,0.0,-0.0565008346918617,0.0,0.0,6.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
watch_time_min_w2,usage_behavior,promo1_all_vs_promo0_all,3997,3899,99.4978734050538,109.18953577840472,1.0,17.0,-9.691662373350923,-16.0,-0.055181356582428856,0.0,0.0,7.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
old_movie_ratio_5y,content_proxy,promo1_all_vs_promo0_all,3997,3899,0.10460118889166875,0.1153035868171326,0.0,0.0,-0.010702397925463847,0.0,-0.05186245826864735,0.0,0.0,8.0,Movie_Master mapping proxy; descriptive only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
watch_ratio_under_5m,short_watch_ratio,promo1_all_vs_promo0_all,3997,3899,0.23124666224668503,0.2420991143883047,0.136364,0.142857,-0.010852452141619673,-0.006492999999999999,-0.0389172274854853,0.0,0.0,9.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
max_genre_ratio,content_proxy,promo1_all_vs_promo0_all,3997,3899,0.5596227025268953,0.5708397778917671,0.574344,0.579051,-0.01121707536487182,-0.004707000000000017,-0.03274334105391321,0.0,0.0,10.0,Movie_Master mapping proxy; descriptive only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
watch_time_min_w1,usage_behavior,promo1_all_vs_promo0_all,3997,3899,69.65674255691769,74.12054372916133,0.0,0.0,-4.463801172243635,0.0,-0.030198283508795543,0.0,0.0,11.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
diff_between_w2_w1,retention_change,promo1_all_vs_promo0_all,3997,3899,29.841130848136103,35.0689920492434,0.0,0.0,-5.227861201107295,0.0,-0.028546949933332472,0.0,0.0,12.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
watch_session_w1,usage_behavior,promo1_all_vs_promo0_all,3997,3899,1.5784338253690269,1.6458066170813028,0.0,0.0,-0.06737279171227595,0.0,-0.023141201408415284,0.0,0.0,13.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
watch_ratio_under_1m,short_watch_ratio,promo1_all_vs_promo0_all,3997,3899,0.15252580085063797,0.1558522313413696,0.0,0.0,-0.003326430490731641,0.0,-0.015143699115367299,0.0,0.0,14.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
total_watch_count,usage_behavior,promo1_all_vs_promo0_all,3997,3899,5.886414811108331,5.966401641446525,4.0,4.0,-0.07998683033819365,0.0,-0.011946943659635235,0.0,0.0,15.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
new_movie_in_365d_ratio,content_proxy,promo1_all_vs_promo0_all,3997,3899,0.14307902526895172,0.14067538702231341,0.0,0.0,0.0024036382466383066,0.0,0.009570546358741487,0.0,0.0,16.0,Movie_Master mapping proxy; descriptive only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
retention_w2_ratio,retention_change,promo1_all_vs_promo0_all,3997,3899,37.82508711758819,38.625005170813026,1.0,1.0,-0.799918053224836,0.0,-0.007610550189269089,0.0,0.0,17.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
watch_days,usage_behavior,promo1_all_vs_promo0_all,3997,3899,3.1075806855141357,3.1197743011028467,2.0,2.0,-0.012193615588711015,0.0,-0.004319419059999601,0.0,0.0,18.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
active_ratio,usage_behavior,promo1_all_vs_promo0_all,3997,3899,0.1479799059294471,0.14856055321877407,0.095238,0.095238,-0.0005806472893269687,0.0,-0.004319413251582128,0.0,0.0,19.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
total_watch_time_min,usage_behavior,promo1_all_vs_promo0_all,3997,3899,264.1013259944959,265.57450628366246,140.0,126.0,-1.473180289166578,14.0,-0.004261531418432305,0.0,0.0,20.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
genre_diversity_count,content_proxy,promo1_all_vs_promo0_all,3997,3899,2.5591693770327746,2.559630674531931,2.0,2.0,-0.00046129749915646556,0.0,-0.00022717117030270575,0.0,0.0,21.0,Movie_Master mapping proxy; descriptive only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
watch_time_min_w3,usage_behavior,promo1_churn_vs_promo0_churn,762,497,50.71653543307087,33.014084507042256,1.0,0.0,17.70245092602861,1.0,0.2259820844685685,0.0,0.0,1.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
retention_w3_ratio,retention_change,promo1_churn_vs_promo0_churn,762,497,22.95021898031496,13.175322547283702,1.0,1.0,9.774896433031259,0.0,0.19642344411889928,0.0,0.0,2.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
diff_between_w3_w2,retention_change,promo1_churn_vs_promo0_churn,762,497,17.133858267716537,-0.32595573440643866,0.0,0.0,17.459814002122975,0.0,0.18786971743990438,0.0,0.0,3.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
watch_session_w3,usage_behavior,promo1_churn_vs_promo0_churn,762,497,1.3976377952755905,1.056338028169014,1.0,0.0,0.3412997671065765,1.0,0.17862717188904464,0.0,0.0,4.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
recency,retention_change,promo1_churn_vs_promo0_churn,762,497,10.582677165354331,11.579476861167002,6.0,14.0,-0.9967996958126708,-8.0,-0.11309488553316265,0.0,0.0,5.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
genre_diversity_count,content_proxy,promo1_churn_vs_promo0_churn,762,497,1.7152230971128608,1.5533199195171026,1.0,1.0,0.16190317759575823,0.0,0.09398666544748126,0.0,0.0,6.0,Movie_Master mapping proxy; descriptive only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
total_watch_count,usage_behavior,promo1_churn_vs_promo0_churn,762,497,3.661417322834646,3.2474849094567406,2.0,2.0,0.4139324133779052,0.0,0.08356905425116867,0.0,0.0,7.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
total_watch_time_min,usage_behavior,promo1_churn_vs_promo0_churn,762,497,149.39238845144357,130.82897384305835,41.5,32.0,18.563414608385216,9.5,0.08021270219610138,0.0,0.0,8.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
max_genre_ratio,content_proxy,promo1_churn_vs_promo0_churn,762,497,0.46951478346456693,0.49847406237424546,0.5093030000000001,0.5375,-0.028959278909678532,-0.028196999999999917,-0.07189867722196745,0.0,0.0,9.0,Movie_Master mapping proxy; descriptive only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
watch_ratio_under_5m,short_watch_ratio,promo1_churn_vs_promo0_churn,762,497,0.2041786758530184,0.22195208853118711,0.0,0.0,-0.017773412678168704,0.0,-0.05783272245673841,0.0,0.0,10.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
active_ratio,usage_behavior,promo1_churn_vs_promo0_churn,762,497,0.09305078740157481,0.08728553521126761,0.047619,0.047619,0.005765252190307199,0.0,0.05467967970341885,0.0,0.0,11.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
watch_days,usage_behavior,promo1_churn_vs_promo0_churn,762,497,1.9540682414698163,1.8329979879275653,1.0,1.0,0.12107025354225098,0.0,0.05467962462233874,0.0,0.0,12.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
watch_ratio_under_1m,short_watch_ratio,promo1_churn_vs_promo0_churn,762,497,0.13710297244094488,0.146186138832998,0.0,0.0,-0.009083166392053116,0.0,-0.037418972464000735,0.0,0.0,13.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
new_movie_in_365d_ratio,content_proxy,promo1_churn_vs_promo0_churn,762,497,0.13604548293963253,0.14445092756539238,0.0,0.0,-0.008405444625759845,0.0,-0.030107384174869023,0.0,0.0,14.0,Movie_Master mapping proxy; descriptive only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
watch_session_w2,usage_behavior,promo1_churn_vs_promo0_churn,762,497,0.8595800524934383,0.8048289738430584,0.0,0.0,0.05475107865037987,0.0,0.026093902489116003,0.0,0.0,15.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
old_movie_ratio_5y,content_proxy,promo1_churn_vs_promo0_churn,762,497,0.09322484251968503,0.08782169416498993,0.0,0.0,0.005403148354695103,0.0,0.025540044106251533,0.0,0.0,16.0,Movie_Master mapping proxy; descriptive only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
retention_w2_ratio,retention_change,promo1_churn_vs_promo0_churn,762,497,7.781924644356956,7.020580941649899,1.0,1.0,0.7613437027070571,0.0,0.01862359965978036,0.0,0.0,17.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
watch_session_w1,usage_behavior,promo1_churn_vs_promo0_churn,762,497,1.4041994750656168,1.386317907444668,0.0,0.0,0.017881567620948724,0.0,0.006660780220046956,0.0,0.0,18.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
watch_time_min_w1,usage_behavior,promo1_churn_vs_promo0_churn,762,497,65.09317585301837,64.4748490945674,0.0,0.0,0.6183267584509622,0.0,0.004536380980253035,0.0,0.0,19.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
diff_between_w2_w1,retention_change,promo1_churn_vs_promo0_churn,762,497,-31.510498687664043,-31.134808853118713,0.0,0.0,-0.3756898345453301,0.0,-0.0029475712938691776,0.0,0.0,20.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
watch_time_min_w2,usage_behavior,promo1_churn_vs_promo0_churn,762,497,33.58267716535433,33.34004024144869,0.0,0.0,0.24263692390564273,0.0,0.002754956624802515,0.0,0.0,21.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
recency,retention_change,promo1_churn_vs_promo1_repurchase,762,3235,10.582677165354331,6.1227202472952085,6.0,3.0,4.459956918059123,3.0,0.5960619891023544,0.0,0.0,1.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
genre_diversity_count,content_proxy,promo1_churn_vs_promo1_repurchase,762,3235,1.7152230971128608,2.7579598145285935,1.0,2.0,-1.0427367174157327,-1.0,-0.5247503022022855,0.0,0.0,2.0,Movie_Master mapping proxy; descriptive only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
watch_days,usage_behavior,promo1_churn_vs_promo1_repurchase,762,3235,1.9540682414698163,3.379289026275116,1.0,3.0,-1.4252207848052996,-2.0,-0.5175703185685553,0.0,0.0,3.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
active_ratio,usage_behavior,promo1_churn_vs_promo1_repurchase,762,3235,0.09305078740157481,0.16091838763523955,0.047619,0.142857,-0.06786760023366474,-0.09523800000000002,-0.517570144449867,0.0,0.0,4.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
watch_time_min_w2,usage_behavior,promo1_churn_vs_promo1_repurchase,762,3235,33.58267716535433,115.02411128284389,0.0,20.0,-81.44143411748956,-20.0,-0.4829877998421125,0.0,0.0,5.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
watch_session_w2,usage_behavior,promo1_churn_vs_promo1_repurchase,762,3235,0.8595800524934383,2.358578052550232,0.0,1.0,-1.4989980000567935,-1.0,-0.4541245352857263,0.0,0.0,6.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
total_watch_count,usage_behavior,promo1_churn_vs_promo1_repurchase,762,3235,3.661417322834646,6.410510046367851,2.0,5.0,-2.7490927235332054,-3.0,-0.43392431935930326,0.0,0.0,7.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
total_watch_time_min,usage_behavior,promo1_churn_vs_promo1_repurchase,762,3235,149.39238845144357,291.1208655332303,41.5,169.0,-141.72847708178674,-127.5,-0.4293752783266318,0.0,0.0,8.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
diff_between_w2_w1,retention_change,promo1_churn_vs_promo1_repurchase,762,3235,-31.510498687664043,44.29242658423493,0.0,0.0,-75.80292527189897,0.0,-0.4278854236983321,0.0,0.0,9.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
watch_time_min_w3,usage_behavior,promo1_churn_vs_promo1_repurchase,762,3235,50.71653543307087,105.36506955177744,1.0,57.0,-54.64853411870657,-56.0,-0.4092542041696624,0.0,0.0,10.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
watch_session_w3,usage_behavior,promo1_churn_vs_promo1_repurchase,762,3235,1.3976377952755905,2.432457496136012,1.0,2.0,-1.0348197008604216,-1.0,-0.37534069651326724,0.0,0.0,11.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
retention_w2_ratio,retention_change,promo1_churn_vs_promo1_repurchase,762,3235,7.781924644356956,44.90171456877898,1.0,1.0,-37.11978992442202,0.0,-0.3568064367711087,0.0,0.0,12.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
max_genre_ratio,content_proxy,promo1_churn_vs_promo1_repurchase,762,3235,0.46951478346456693,0.5808475044822257,0.5093030000000001,0.587302,-0.11133272101765873,-0.07799899999999993,-0.32743445899070545,0.0,0.0,13.0,Movie_Master mapping proxy; descriptive only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
diff_between_w3_w2,retention_change,promo1_churn_vs_promo1_repurchase,762,3235,17.133858267716537,-9.659041731066461,0.0,0.0,26.792899998783,0.0,0.15666237215859943,0.0,0.0,14.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
watch_ratio_under_5m,short_watch_ratio,promo1_churn_vs_promo1_repurchase,762,3235,0.2041786758530184,0.2376224908809892,0.0,0.166667,-0.03344381502797078,-0.166667,-0.12219712005623086,0.0,0.0,15.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
watch_ratio_under_1m,short_watch_ratio,promo1_churn_vs_promo1_repurchase,762,3235,0.13710297244094488,0.156158627820711,0.0,0.0,-0.019055655379766112,0.0,-0.08729707715835315,0.0,0.0,16.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
retention_w3_ratio,retention_change,promo1_churn_vs_promo1_repurchase,762,3235,22.95021898031496,28.307717373106648,1.0,1.0,-5.357498392791687,0.0,-0.08226271297609439,0.0,0.0,17.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
watch_session_w1,usage_behavior,promo1_churn_vs_promo1_repurchase,762,3235,1.4041994750656168,1.6194744976816073,0.0,0.0,-0.21527502261599052,0.0,-0.07780188649674229,0.0,0.0,18.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
old_movie_ratio_5y,content_proxy,promo1_churn_vs_promo1_repurchase,762,3235,0.09322484251968503,0.10728087233384853,0.0,0.0,-0.014056029814163498,0.0,-0.07062579815181867,0.0,0.0,19.0,Movie_Master mapping proxy; descriptive only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
watch_time_min_w1,usage_behavior,promo1_churn_vs_promo1_repurchase,762,3235,65.09317585301837,70.73168469860896,0.0,0.0,-5.638508845590593,0.0,-0.04045741639434763,0.0,0.0,20.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
new_movie_in_365d_ratio,content_proxy,promo1_churn_vs_promo1_repurchase,762,3235,0.13604548293963253,0.14473576692426585,0.0,0.0,-0.008690283984633312,0.0,-0.03428904771617547,0.0,0.0,21.0,Movie_Master mapping proxy; descriptive only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
