flag_name,comparison,group_a_rate,group_b_rate,difference_pp,absolute_difference_pp,rank_by_abs_difference,interpretation,needs_user_review,source_file
flag_high_risk_top10,promo1_all_vs_promo0_all,0.003252439329497123,0.00025647601949217746,0.29959633100049454,0.29959633100049454,11.0,descriptive diagnostic gap among existing 17x flags only,True,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv
flag_new_movie_oriented,promo1_all_vs_promo0_all,0.0960720540405304,0.0933572710951526,0.2714782945377803,0.2714782945377803,12.0,descriptive diagnostic gap among existing 17x flags only,True,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv
flag_cold_start_weak,promo1_all_vs_promo0_all,0.4568426319739805,0.4588355988715055,-0.19929668975249837,0.19929668975249837,13.0,descriptive diagnostic gap among existing 17x flags only,True,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv
flag_strong_early_activation,promo1_all_vs_promo0_all,0.26044533400050035,0.2587843036676071,0.16610303328932763,0.16610303328932763,14.0,descriptive diagnostic gap among existing 17x flags only,True,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv
flag_low_risk_stable,promo1_all_vs_promo0_all,0.0,0.0,0.0,0.0,15.0,descriptive diagnostic gap among existing 17x flags only,True,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv
flag_week3_inactive,promo1_churn_vs_promo0_churn,0.49081364829396323,0.5734406438631791,-8.262699556921582,8.262699556921582,1.0,descriptive diagnostic gap among existing 17x flags only,True,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv
flag_only_w1,promo1_churn_vs_promo0_churn,0.09317585301837271,0.158953722334004,-6.57778693156313,6.57778693156313,2.0,descriptive diagnostic gap among existing 17x flags only,True,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv
flag_low_activity,promo1_churn_vs_promo0_churn,0.6837270341207349,0.7223340040241448,-3.860696990340995,3.860696990340995,3.0,descriptive diagnostic gap among existing 17x flags only,True,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv
flag_high_risk_top20,promo1_churn_vs_promo0_churn,0.03805774278215223,0.008048289738430584,3.0009453043721646,3.0009453043721646,4.0,descriptive diagnostic gap among existing 17x flags only,True,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv
flag_retention_decay,promo1_churn_vs_promo0_churn,0.1062992125984252,0.13480885311871227,-2.8509640520287065,2.8509640520287065,5.0,descriptive diagnostic gap among existing 17x flags only,True,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv
flag_retention_stable,promo1_churn_vs_promo0_churn,0.8937007874015748,0.8651911468812877,2.850964052028704,2.850964052028704,6.0,descriptive diagnostic gap among existing 17x flags only,True,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv
flag_cold_start_weak,promo1_churn_vs_promo0_churn,0.3989501312335958,0.4245472837022133,-2.559715246861749,2.559715246861749,7.0,descriptive diagnostic gap among existing 17x flags only,True,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv
flag_week3_drop,promo1_churn_vs_promo0_churn,0.12860892388451445,0.1529175050301811,-2.4308581145666643,2.4308581145666643,8.0,descriptive diagnostic gap among existing 17x flags only,True,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv
flag_genre_focused,promo1_churn_vs_promo0_churn,0.19553805774278216,0.2193158953722334,-2.377783762945124,2.377783762945124,9.0,descriptive diagnostic gap among existing 17x flags only,True,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv
flag_strong_early_activation,promo1_churn_vs_promo0_churn,0.23753280839895013,0.2595573440643863,-2.2024535665436162,2.2024535665436162,10.0,descriptive diagnostic gap among existing 17x flags only,True,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv
flag_new_movie_oriented,promo1_churn_vs_promo0_churn,0.11286089238845144,0.12877263581488935,-1.5911743426437905,1.5911743426437905,11.0,descriptive diagnostic gap among existing 17x flags only,True,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv
flag_high_risk_top10,promo1_churn_vs_promo0_churn,0.011811023622047244,0.0,1.1811023622047243,1.1811023622047243,12.0,descriptive diagnostic gap among existing 17x flags only,True,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv
flag_heavy_user,promo1_churn_vs_promo0_churn,0.16010498687664043,0.1488933601609658,1.1211626715674634,1.1211626715674634,13.0,descriptive diagnostic gap among existing 17x flags only,True,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv
flag_old_movie_oriented,promo1_churn_vs_promo0_churn,0.09711286089238845,0.0925553319919517,0.4557528900436744,0.4557528900436744,14.0,descriptive diagnostic gap among existing 17x flags only,True,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv
flag_low_risk_stable,promo1_churn_vs_promo0_churn,0.0,0.0,0.0,0.0,15.0,descriptive diagnostic gap among existing 17x flags only,True,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv
flag_retention_decay,promo1_churn_vs_promo1_repurchase,0.1062992125984252,0.4309119010819165,-32.461268848349135,32.461268848349135,1.0,descriptive diagnostic gap among existing 17x flags only,True,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv
flag_retention_stable,promo1_churn_vs_promo1_repurchase,0.8937007874015748,0.5690880989180834,32.461268848349135,32.461268848349135,1.0,descriptive diagnostic gap among existing 17x flags only,True,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv
flag_week3_drop,promo1_churn_vs_promo1_repurchase,0.12860892388451445,0.34961360123647606,-22.100467735196162,22.100467735196162,2.0,descriptive diagnostic gap among existing 17x flags only,True,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv
flag_low_activity,promo1_churn_vs_promo1_repurchase,0.6837270341207349,0.4667697063369397,21.69573277837952,21.69573277837952,3.0,descriptive diagnostic gap among existing 17x flags only,True,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv
flag_week3_inactive,promo1_churn_vs_promo1_repurchase,0.49081364829396323,0.2899536321483771,20.08600161455861,20.08600161455861,4.0,descriptive diagnostic gap among existing 17x flags only,True,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv
flag_heavy_user,promo1_churn_vs_promo1_repurchase,0.16010498687664043,0.34404945904173106,-18.394447216509064,18.394447216509064,5.0,descriptive diagnostic gap among existing 17x flags only,True,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv
flag_only_w1,promo1_churn_vs_promo1_repurchase,0.09317585301837271,0.02132921174652241,7.184664127185029,7.184664127185029,6.0,descriptive diagnostic gap among existing 17x flags only,True,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv
flag_cold_start_weak,promo1_churn_vs_promo1_repurchase,0.3989501312335958,0.4704791344667697,-7.1529003233173905,7.1529003233173905,7.0,descriptive diagnostic gap among existing 17x flags only,True,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv
flag_high_risk_top20,promo1_churn_vs_promo1_repurchase,0.03805774278215223,0.0034003091190108192,3.465743366314141,3.465743366314141,8.0,descriptive diagnostic gap among existing 17x flags only,True,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv
flag_strong_early_activation,promo1_churn_vs_promo1_repurchase,0.23753280839895013,0.26584234930448225,-2.8309540905532113,2.8309540905532113,9.0,descriptive diagnostic gap among existing 17x flags only,True,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv
flag_new_movie_oriented,promo1_churn_vs_promo1_repurchase,0.11286089238845144,0.09211746522411128,2.0743427164340162,2.0743427164340162,10.0,descriptive diagnostic gap among existing 17x flags only,True,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv
flag_genre_focused,promo1_churn_vs_promo1_repurchase,0.19553805774278216,0.1768160741885626,1.8721983554219557,1.8721983554219557,11.0,descriptive diagnostic gap among existing 17x flags only,True,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv
flag_old_movie_oriented,promo1_churn_vs_promo1_repurchase,0.09711286089238845,0.07913446676970634,1.7978394122682109,1.7978394122682109,12.0,descriptive diagnostic gap among existing 17x flags only,True,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv
flag_high_risk_top10,promo1_churn_vs_promo1_repurchase,0.011811023622047244,0.0012364760432766616,1.0574547578770581,1.0574547578770581,13.0,descriptive diagnostic gap among existing 17x flags only,True,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv
flag_low_risk_stable,promo1_churn_vs_promo1_repurchase,0.0,0.0,0.0,0.0,14.0,descriptive diagnostic gap among existing 17x flags only,True,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv
