feature_name,feature_family,category_or_value,comparison,group_a_n,group_b_n,group_a_rate,group_b_rate,difference_pp,rank_by_abs_difference,policy_caveat,source_file
dominant_genre_proxy,content_proxy,horror,promo0_churn_vs_promo0_repurchase,497,3402,0.014084507042253521,0.004703115814226925,0.9381391228026597,11.0,Movie_Master mapping proxy; descriptive only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
is_user_verified,membership_context_policy_caveat,0,promo0_churn_vs_promo0_repurchase,497,3402,0.48490945674044267,0.4794238683127572,0.5485588427685484,12.0,membership_context; descriptive only; not representative rule,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
is_user_verified,membership_context_policy_caveat,1,promo0_churn_vs_promo0_repurchase,497,3402,0.5150905432595574,0.5205761316872428,-0.5485588427685428,13.0,membership_context; descriptive only; not representative rule,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
dominant_genre_proxy,content_proxy,sf_fantasy,promo0_churn_vs_promo0_repurchase,497,3402,0.09859154929577464,0.10346854791299236,-0.4876998617217715,14.0,Movie_Master mapping proxy; descriptive only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
dominant_genre_proxy,content_proxy,documentary,promo0_churn_vs_promo0_repurchase,497,3402,0.012072434607645875,0.012933568489124045,-0.086113388147817,15.0,Movie_Master mapping proxy; descriptive only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
dominant_genre_proxy,content_proxy,other,promo0_churn_vs_promo0_repurchase,497,3402,0.01609657947686117,0.01646090534979424,-0.03643258729330717,16.0,Movie_Master mapping proxy; descriptive only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
is_user_verified,membership_context_policy_caveat,0,promo1_all_vs_promo0_all,3997,3899,0.0,0.48012310848935624,-48.01231084893563,1.0,membership_context; descriptive only; not representative rule,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
is_user_verified,membership_context_policy_caveat,1,promo1_all_vs_promo0_all,3997,3899,1.0,0.5198768915106438,48.01231084893563,1.0,membership_context; descriptive only; not representative rule,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
dominant_genre_proxy,content_proxy,romance,promo1_all_vs_promo0_all,3997,3899,0.11958969226920191,0.09976917158245704,1.9820520686744865,2.0,Movie_Master mapping proxy; descriptive only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
dominant_genre_proxy,content_proxy,comedy,promo1_all_vs_promo0_all,3997,3899,0.07280460345258945,0.08822775070530905,-1.5423147252719607,3.0,Movie_Master mapping proxy; descriptive only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
dominant_genre_proxy,content_proxy,drama,promo1_all_vs_promo0_all,3997,3899,0.2089066800100075,0.19517825083354706,1.3728429176460444,4.0,Movie_Master mapping proxy; descriptive only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
dominant_genre_proxy,content_proxy,thriller_crime,promo1_all_vs_promo0_all,3997,3899,0.06504878658994245,0.07771223390612977,-1.266344731618732,5.0,Movie_Master mapping proxy; descriptive only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
is_cold_start_3d_fixed,activation,1,promo1_all_vs_promo0_all,3997,3899,0.27295471603702776,0.2777635291100282,-0.4808813073000462,6.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
is_cold_start_3d_fixed,activation,0,promo1_all_vs_promo0_all,3997,3899,0.7270452839629722,0.7222364708899718,0.48088130730004064,7.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
dominant_genre_proxy,content_proxy,documentary,promo1_all_vs_promo0_all,3997,3899,0.008756567425569177,0.012823800974608874,-0.4067233549039697,8.0,Movie_Master mapping proxy; descriptive only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
dominant_genre_proxy,content_proxy,sf_fantasy,promo1_all_vs_promo0_all,3997,3899,0.09882411808856642,0.10284688381636317,-0.4022765727796751,9.0,Movie_Master mapping proxy; descriptive only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
dominant_genre_proxy,content_proxy,action_adventure,promo1_all_vs_promo0_all,3997,3899,0.2344258193645234,0.23159784560143626,0.28279737630871327,10.0,Movie_Master mapping proxy; descriptive only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
is_cold_start_7d_fixed,activation,0,promo1_all_vs_promo0_all,3997,3899,0.5431573680260195,0.5411644011284945,0.19929668975250392,11.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
is_cold_start_7d_fixed,activation,1,promo1_all_vs_promo0_all,3997,3899,0.4568426319739805,0.4588355988715055,-0.19929668975249837,12.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
dominant_genre_proxy,content_proxy,horror,promo1_all_vs_promo0_all,3997,3899,0.0077558168626469855,0.005898948448320082,0.18568684143269037,13.0,Movie_Master mapping proxy; descriptive only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
dominant_genre_proxy,content_proxy,historical_war,promo1_all_vs_promo0_all,3997,3899,0.0595446584938704,0.060528340600153885,-0.09836821062834816,14.0,Movie_Master mapping proxy; descriptive only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
dominant_genre_proxy,content_proxy,other,promo1_all_vs_promo0_all,3997,3899,0.01576182136602452,0.016414465247499357,-0.06526438814748389,15.0,Movie_Master mapping proxy; descriptive only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
dominant_genre_proxy,content_proxy,family_animation,promo1_all_vs_promo0_all,3997,3899,0.1085814360770578,0.10900230828417543,-0.04208722071176313,16.0,Movie_Master mapping proxy; descriptive only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
is_user_verified,membership_context_policy_caveat,0,promo1_churn_vs_promo0_churn,762,497,0.0,0.48490945674044267,-48.49094567404427,1.0,membership_context; descriptive only; not representative rule,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
is_user_verified,membership_context_policy_caveat,1,promo1_churn_vs_promo0_churn,762,497,1.0,0.5150905432595574,48.49094567404426,2.0,membership_context; descriptive only; not representative rule,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
is_cold_start_3d_fixed,activation,1,promo1_churn_vs_promo0_churn,762,497,0.20603674540682415,0.2655935613682093,-5.955681596138512,3.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
is_cold_start_3d_fixed,activation,0,promo1_churn_vs_promo0_churn,762,497,0.7939632545931758,0.7344064386317908,5.955681596138507,4.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
dominant_genre_proxy,content_proxy,drama,promo1_churn_vs_promo0_churn,762,497,0.12860892388451445,0.1006036217303823,2.8005302154132146,5.0,Movie_Master mapping proxy; descriptive only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
is_cold_start_7d_fixed,activation,0,promo1_churn_vs_promo0_churn,762,497,0.6010498687664042,0.5754527162977867,2.559715246861749,6.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
is_cold_start_7d_fixed,activation,1,promo1_churn_vs_promo0_churn,762,497,0.3989501312335958,0.4245472837022133,-2.559715246861749,6.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
dominant_genre_proxy,content_proxy,comedy,promo1_churn_vs_promo0_churn,762,497,0.048556430446194225,0.07042253521126761,-2.1866104765073384,7.0,Movie_Master mapping proxy; descriptive only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
dominant_genre_proxy,content_proxy,sf_fantasy,promo1_churn_vs_promo0_churn,762,497,0.08136482939632546,0.09859154929577464,-1.7226719899449183,8.0,Movie_Master mapping proxy; descriptive only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
dominant_genre_proxy,content_proxy,romance,promo1_churn_vs_promo0_churn,762,497,0.06692913385826772,0.052313883299798795,1.4615250558468926,9.0,Movie_Master mapping proxy; descriptive only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
dominant_genre_proxy,content_proxy,thriller_crime,promo1_churn_vs_promo0_churn,762,497,0.08398950131233596,0.096579476861167,-1.2589975548831038,10.0,Movie_Master mapping proxy; descriptive only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
dominant_genre_proxy,content_proxy,historical_war,promo1_churn_vs_promo0_churn,762,497,0.05249343832020997,0.04225352112676056,1.023991719344941,11.0,Movie_Master mapping proxy; descriptive only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
dominant_genre_proxy,content_proxy,other,promo1_churn_vs_promo0_churn,762,497,0.023622047244094488,0.01609657947686117,0.7525467767233319,12.0,Movie_Master mapping proxy; descriptive only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
dominant_genre_proxy,content_proxy,documentary,promo1_churn_vs_promo0_churn,762,497,0.007874015748031496,0.012072434607645875,-0.41984188596143784,13.0,Movie_Master mapping proxy; descriptive only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
dominant_genre_proxy,content_proxy,family_animation,promo1_churn_vs_promo0_churn,762,497,0.07742782152230972,0.08048289738430583,-0.30550758619961177,14.0,Movie_Master mapping proxy; descriptive only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
dominant_genre_proxy,content_proxy,horror,promo1_churn_vs_promo0_churn,762,497,0.011811023622047244,0.014084507042253521,-0.22734834202062776,15.0,Movie_Master mapping proxy; descriptive only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
dominant_genre_proxy,content_proxy,action_adventure,promo1_churn_vs_promo0_churn,762,497,0.41732283464566927,0.4164989939637827,0.08238406818865673,16.0,Movie_Master mapping proxy; descriptive only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
dominant_genre_proxy,content_proxy,action_adventure,promo1_churn_vs_promo1_repurchase,762,3235,0.41732283464566927,0.19134466769706338,22.59781669486059,1.0,Movie_Master mapping proxy; descriptive only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
dominant_genre_proxy,content_proxy,drama,promo1_churn_vs_promo1_repurchase,762,3235,0.12860892388451445,0.2278207109737249,-9.921178708921044,2.0,Movie_Master mapping proxy; descriptive only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
is_cold_start_3d_fixed,activation,0,promo1_churn_vs_promo1_repurchase,762,3235,0.7939632545931758,0.7112828438948995,8.268041069827635,3.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
is_cold_start_3d_fixed,activation,1,promo1_churn_vs_promo1_repurchase,762,3235,0.20603674540682415,0.28871715610510046,-8.26804106982763,4.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
is_cold_start_7d_fixed,activation,0,promo1_churn_vs_promo1_repurchase,762,3235,0.6010498687664042,0.5295208655332303,7.1529003233173905,5.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
is_cold_start_7d_fixed,activation,1,promo1_churn_vs_promo1_repurchase,762,3235,0.3989501312335958,0.4704791344667697,-7.1529003233173905,5.0,existing approved behavior feature diagnostic only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
dominant_genre_proxy,content_proxy,romance,promo1_churn_vs_promo1_repurchase,762,3235,0.06692913385826772,0.13199381761978363,-6.506468376151591,6.0,Movie_Master mapping proxy; descriptive only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
dominant_genre_proxy,content_proxy,family_animation,promo1_churn_vs_promo1_repurchase,762,3235,0.07742782152230972,0.11591962905718702,-3.8491807534877296,7.0,Movie_Master mapping proxy; descriptive only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
dominant_genre_proxy,content_proxy,comedy,promo1_churn_vs_promo1_repurchase,762,3235,0.048556430446194225,0.078516228748068,-2.9959798301873777,8.0,Movie_Master mapping proxy; descriptive only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
dominant_genre_proxy,content_proxy,thriller_crime,promo1_churn_vs_promo1_repurchase,762,3235,0.08398950131233596,0.060587326120556416,2.340217519177954,9.0,Movie_Master mapping proxy; descriptive only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
dominant_genre_proxy,content_proxy,sf_fantasy,promo1_churn_vs_promo1_repurchase,762,3235,0.08136482939632546,0.10293663060278208,-2.157180120645662,10.0,Movie_Master mapping proxy; descriptive only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
dominant_genre_proxy,content_proxy,other,promo1_churn_vs_promo1_repurchase,762,3235,0.023622047244094488,0.013910355486862442,0.9711691757232046,11.0,Movie_Master mapping proxy; descriptive only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
dominant_genre_proxy,content_proxy,historical_war,promo1_churn_vs_promo1_repurchase,762,3235,0.05249343832020997,0.061205564142194746,-0.8712125821984773,12.0,Movie_Master mapping proxy; descriptive only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
dominant_genre_proxy,content_proxy,horror,promo1_churn_vs_promo1_repurchase,762,3235,0.011811023622047244,0.0068006182380216385,0.5010405384025606,13.0,Movie_Master mapping proxy; descriptive only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
dominant_genre_proxy,content_proxy,documentary,promo1_churn_vs_promo1_repurchase,762,3235,0.007874015748031496,0.008964451313755796,-0.10904355657242998,14.0,Movie_Master mapping proxy; descriptive only,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
is_user_verified,membership_context_policy_caveat,1,promo1_churn_vs_promo1_repurchase,762,3235,1.0,1.0,0.0,15.0,membership_context; descriptive only; not representative rule,park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv
