window,feature_set,include_is_churn_prevented,model,roc_auc_repurchase,average_precision_repurchase,average_precision_churn_risk,accuracy,balanced_accuracy,precision_churn_at_0_5,recall_churn_at_0_5,f1_churn_at_0_5,n_train,n_test,train_positive_rate,test_positive_rate,feature_count,post_transform_feature_count,train_test_USER_KEY_overlap
w1_1,content_only,N,LogisticRegression,0.5795127918167322,0.762231542001093,0.34950425381241657,0.7119531086455935,0.5016628740717136,0.4074074074074074,0.008023340627279359,0.015736766809728183,19156,4777,0.721445,0.713,44,55,0
w1_1,content_only,N,HistGradientBoostingClassifier,0.5897650047348546,0.7674039878524098,0.3628692490045319,0.7123717814527947,0.5058786292521071,0.47540983606557374,0.021152443471918306,0.040502793296089384,19156,4777,0.721445,0.713,44,55,0
w1_1,reduced_interpretable_without_churn_prevented,N,LogisticRegression,0.6094912097885355,0.7860516694590715,0.3721614539628608,0.7098597446095876,0.5082570852569349,0.43243243243243246,0.0350109409190372,0.06477732793522267,19156,4777,0.721445,0.713,28,104,0
w1_1,reduced_interpretable_without_churn_prevented,N,HistGradientBoostingClassifier,0.6161793257104531,0.7921195732314842,0.38391625739423074,0.7159305003140046,0.5149111513427413,0.5673076923076923,0.043034281546316555,0.08,19156,4777,0.721445,0.713,28,104,0
w1_2,membership_only_without_churn_prevented,N,LogisticRegression,0.573793704249548,0.7587431825446153,0.3356819783096503,0.7129997906635964,0.5,0.0,0.0,0.0,19156,4777,0.721445,0.713,9,85,0
w1_2,membership_only_without_churn_prevented,N,HistGradientBoostingClassifier,0.5718420490206282,0.7529725787877535,0.3385557885984344,0.7129997906635964,0.5,0.0,0.0,0.0,19156,4777,0.721445,0.713,9,85,0
w1_2,membership_only_with_churn_prevented,Y,LogisticRegression,0.5734523492887867,0.7587639739532402,0.33537043714257675,0.7129997906635964,0.5,0.0,0.0,0.0,19156,4777,0.721445,0.713,10,86,0
w1_2,membership_only_with_churn_prevented,Y,HistGradientBoostingClassifier,0.5718420490206282,0.7529725787877535,0.3385557885984344,0.7129997906635964,0.5,0.0,0.0,0.0,19156,4777,0.721445,0.713,10,86,0
w1_2,membership_plus_usage_only_without_churn_prevented,N,LogisticRegression,0.664077808372662,0.8346816195796665,0.4074930828722796,0.7092317353987858,0.5259021814595002,0.46785714285714286,0.09555069292487235,0.15869170199878863,19156,4777,0.721445,0.713,32,108,0
w1_2,membership_plus_usage_only_without_churn_prevented,N,HistGradientBoostingClassifier,0.6847355655463628,0.8468778715930356,0.43588872015389846,0.7153024911032029,0.5384394810205357,0.5168195718654435,0.12326768781911014,0.19905771495877503,19156,4777,0.721445,0.713,32,108,0
w1_2,membership_plus_usage_only_with_churn_prevented,Y,LogisticRegression,0.6640784508223999,0.8348111401275207,0.40734583589332485,0.7088130625915847,0.5251727868570202,0.46402877697841727,0.09409190371991247,0.1564584596725288,19156,4777,0.721445,0.713,33,109,0
w1_2,membership_plus_usage_only_with_churn_prevented,Y,HistGradientBoostingClassifier,0.6847355655463628,0.8468778715930356,0.43588872015389846,0.7153024911032029,0.5384394810205357,0.5168195718654435,0.12326768781911014,0.19905771495877503,19156,4777,0.721445,0.713,33,109,0
w1_2,membership_plus_usage_content_without_churn_prevented,N,LogisticRegression,0.7102385715686866,0.861899791029031,0.459316627484581,0.7163491731212058,0.5622706186748146,0.5149812734082397,0.20058351568198396,0.2887139107611549,19156,4777,0.721445,0.713,76,163,0
w1_2,membership_plus_usage_content_without_churn_prevented,N,HistGradientBoostingClassifier,0.7401751232325673,0.8797148861797774,0.510778777214491,0.7343521038308561,0.580778631950396,0.601593625498008,0.22027716994894236,0.3224773091297384,19156,4777,0.721445,0.713,76,163,0
w1_2,membership_plus_usage_content_with_churn_prevented,Y,LogisticRegression,0.7102355734699095,0.8618504893563856,0.45919269341328284,0.7161398367176052,0.5621238189096942,0.514018691588785,0.20058351568198396,0.2885624344176285,19156,4777,0.721445,0.713,77,164,0
w1_2,membership_plus_usage_content_with_churn_prevented,Y,HistGradientBoostingClassifier,0.7401751232325673,0.8797148861797774,0.510778777214491,0.7343521038308561,0.580778631950396,0.601593625498008,0.22027716994894236,0.3224773091297384,19156,4777,0.721445,0.713,77,164,0
w1_2,usage_only,N,LogisticRegression,0.6485400543855119,0.8218288406667456,0.383829151019328,0.7060916893447771,0.5134590007850736,0.417910447761194,0.061269146608315096,0.10687022900763359,19156,4777,0.721445,0.713,23,23,0
w1_2,usage_only,N,HistGradientBoostingClassifier,0.6719621657066326,0.8346535808954179,0.4197248288578943,0.7134184634707976,0.534067717628778,0.5032467532467533,0.11305616338439095,0.18463371054198927,19156,4777,0.721445,0.713,23,23,0
w1_2,content_only,N,LogisticRegression,0.6615109004447037,0.8155030064787396,0.42774412194033934,0.7165585095248064,0.5362697141055837,0.5290102389078498,0.11305616338439095,0.18629807692307693,19156,4777,0.721445,0.713,44,55,0
w1_2,content_only,N,HistGradientBoostingClassifier,0.6749914232959985,0.8250169536478212,0.4376685376419881,0.7201172283860163,0.5446485435878591,0.5515151515151515,0.13274981765134938,0.2139917695473251,19156,4777,0.721445,0.713,44,55,0
w1_2,reduced_interpretable_without_churn_prevented,N,LogisticRegression,0.6738724900024113,0.8272531909179763,0.4447705742261256,0.7180238643500104,0.5484100868035255,0.5309278350515464,0.15025528811086797,0.23422399090392268,19156,4777,0.721445,0.713,28,104,0
w1_2,reduced_interpretable_without_churn_prevented,N,HistGradientBoostingClassifier,0.6861290390279648,0.835489818013647,0.4523323059511011,0.7213732468076198,0.5492336002926144,0.5558659217877095,0.14514952589350838,0.23019086176980913,19156,4777,0.721445,0.713,28,104,0
w1_3,membership_only_without_churn_prevented,N,LogisticRegression,0.573793704249548,0.7587431825446153,0.3356819783096503,0.7129997906635964,0.5,0.0,0.0,0.0,19156,4777,0.721445,0.713,9,85,0
w1_3,membership_only_without_churn_prevented,N,HistGradientBoostingClassifier,0.5718420490206282,0.7529725787877535,0.3385557885984344,0.7129997906635964,0.5,0.0,0.0,0.0,19156,4777,0.721445,0.713,9,85,0
w1_3,membership_only_with_churn_prevented,Y,LogisticRegression,0.5734523492887867,0.7587639739532402,0.33537043714257675,0.7129997906635964,0.5,0.0,0.0,0.0,19156,4777,0.721445,0.713,10,86,0
w1_3,membership_only_with_churn_prevented,Y,HistGradientBoostingClassifier,0.5718420490206282,0.7529725787877535,0.3385557885984344,0.7129997906635964,0.5,0.0,0.0,0.0,19156,4777,0.721445,0.713,10,86,0
w1_3,membership_plus_usage_only_without_churn_prevented,N,LogisticRegression,0.7883797331949068,0.8950771039296264,0.5846197571514928,0.7718233200753611,0.663709149298038,0.6666666666666666,0.4099197665937272,0.5076784101174345,19156,4777,0.721445,0.713,36,112,0
w1_3,membership_plus_usage_only_without_churn_prevented,N,HistGradientBoostingClassifier,0.8224801086853637,0.9149024456608645,0.6312297993028018,0.7812434582373875,0.6881827366902618,0.6694386694386695,0.4697301239970824,0.5520788684097728,19156,4777,0.721445,0.713,36,112,0
w1_3,membership_plus_usage_only_with_churn_prevented,Y,LogisticRegression,0.788353071530782,0.8950352037000291,0.5846101763076901,0.7718233200753611,0.663709149298038,0.6666666666666666,0.4099197665937272,0.5076784101174345,19156,4777,0.721445,0.713,37,113,0
w1_3,membership_plus_usage_only_with_churn_prevented,Y,HistGradientBoostingClassifier,0.8224801086853637,0.9149024456608645,0.6312297993028018,0.7812434582373875,0.6881827366902618,0.6694386694386695,0.4697301239970824,0.5520788684097728,19156,4777,0.721445,0.713,37,113,0
w1_3,membership_plus_usage_content_without_churn_prevented,N,LogisticRegression,0.8388507987577591,0.9259607760611173,0.6509684684358858,0.7908729328030144,0.6979860913914733,0.6970338983050848,0.4799416484318016,0.5684665226781858,19156,4777,0.721445,0.713,80,167,0
w1_3,membership_plus_usage_content_without_churn_prevented,N,HistGradientBoostingClassifier,0.8710919247066039,0.9413288028267148,0.7147283416702352,0.8143186100062801,0.7418827546360244,0.7232472324723247,0.5718453683442742,0.6386965376782078,19156,4777,0.721445,0.713,80,167,0
w1_3,membership_plus_usage_content_with_churn_prevented,Y,LogisticRegression,0.8386357922454604,0.9258424084229682,0.6507425956256546,0.7906635963994139,0.6978392916263529,0.6962962962962963,0.4799416484318016,0.5682210708117443,19156,4777,0.721445,0.713,81,168,0
w1_3,membership_plus_usage_content_with_churn_prevented,Y,HistGradientBoostingClassifier,0.8710919247066039,0.9413288028267148,0.7147283416702352,0.8143186100062801,0.7418827546360244,0.7232472324723247,0.5718453683442742,0.6386965376782078,19156,4777,0.721445,0.713,81,168,0
w1_3,usage_only,N,LogisticRegression,0.7785301221125633,0.887124052931396,0.5689575589799557,0.7737073477077664,0.6650303471841215,0.6738609112709832,0.4099197665937272,0.509750566893424,19156,4777,0.721445,0.713,27,27,0
w1_3,usage_only,N,HistGradientBoostingClassifier,0.811828720330065,0.9080844869232793,0.6171363707101575,0.7818714674481893,0.6877515458411445,0.6729758149316509,0.4668125455871627,0.5512489233419466,19156,4777,0.721445,0.713,27,27,0
w1_3,content_only,N,LogisticRegression,0.7486133793156027,0.8671252410984193,0.5539295401344007,0.7538203893657107,0.6282051282051282,0.6356050069541029,0.3333333333333333,0.43732057416267944,19156,4777,0.721445,0.713,44,55,0
w1_3,content_only,N,HistGradientBoostingClassifier,0.7661677830301614,0.8768998009878013,0.583478778209002,0.766799246388947,0.6508163608820065,0.6645326504481434,0.3785557986870897,0.48234200743494426,19156,4777,0.721445,0.713,44,55,0
w1_3,reduced_interpretable_without_churn_prevented,N,LogisticRegression,0.754423373520706,0.8715138123501973,0.5751691426898027,0.7588444630521247,0.6336894003930936,0.6535764375876578,0.3398978847556528,0.4472168905950096,19156,4777,0.721445,0.713,28,104,0
w1_3,reduced_interpretable_without_churn_prevented,N,HistGradientBoostingClassifier,0.7690534531030965,0.8797285179146999,0.5908591211470521,0.7688926104249529,0.6483622028830575,0.6816326530612244,0.36542669584245074,0.4757834757834758,19156,4777,0.721445,0.713,28,104,0
w1_4,membership_only_without_churn_prevented,N,LogisticRegression,0.573793704249548,0.7587431825446153,0.3356819783096503,0.7129997906635964,0.5,0.0,0.0,0.0,19156,4777,0.721445,0.713,9,85,0
w1_4,membership_only_without_churn_prevented,N,HistGradientBoostingClassifier,0.5718420490206282,0.7529725787877535,0.3385557885984344,0.7129997906635964,0.5,0.0,0.0,0.0,19156,4777,0.721445,0.713,9,85,0
w1_4,membership_only_with_churn_prevented,Y,LogisticRegression,0.5734523492887867,0.7587639739532402,0.33537043714257675,0.7129997906635964,0.5,0.0,0.0,0.0,19156,4777,0.721445,0.713,10,86,0
w1_4,membership_only_with_churn_prevented,Y,HistGradientBoostingClassifier,0.5718420490206282,0.7529725787877535,0.3385557885984344,0.7129997906635964,0.5,0.0,0.0,0.0,19156,4777,0.721445,0.713,10,86,0
w1_4,membership_plus_usage_only_without_churn_prevented,N,LogisticRegression,0.8223233509493052,0.9119413661663032,0.6419189649262255,0.7935943060498221,0.7025092587714734,0.7015706806282722,0.4886943836615609,0.5760963026655203,19156,4777,0.721445,0.713,41,117,0
w1_4,membership_plus_usage_only_without_churn_prevented,N,HistGradientBoostingClassifier,0.8544113597106064,0.9286430230860097,0.6837979058069628,0.8086665271090643,0.7322538250386648,0.7157695939565628,0.5528811086797958,0.6238683127572017,19156,4777,0.721445,0.713,41,117,0
w1_4,membership_plus_usage_only_with_churn_prevented,Y,LogisticRegression,0.8223658597069659,0.9119519989770619,0.6419083530043226,0.7940129788570233,0.7030207558378336,0.7026178010471205,0.4894237782640408,0.5769561478933792,19156,4777,0.721445,0.713,42,118,0
w1_4,membership_plus_usage_only_with_churn_prevented,Y,HistGradientBoostingClassifier,0.8544113597106064,0.9286430230860097,0.6837979058069628,0.8086665271090643,0.7322538250386648,0.7157695939565628,0.5528811086797958,0.6238683127572017,19156,4777,0.721445,0.713,42,118,0
w1_4,membership_plus_usage_content_without_churn_prevented,N,LogisticRegression,0.8723333517502257,0.9413935363608241,0.708670584197692,0.8157839648314842,0.7398597874861927,0.7340324118207817,0.5616338439095551,0.6363636363636364,19156,4777,0.721445,0.713,85,172,0
w1_4,membership_plus_usage_content_without_churn_prevented,N,HistGradientBoostingClassifier,0.9022499874722302,0.9557384630465129,0.7685860085284303,0.840694996859954,0.7865272293755432,0.7545909849749582,0.6593727206418672,0.7037757882444531,19156,4777,0.721445,0.713,85,172,0
w1_4,membership_plus_usage_content_with_churn_prevented,Y,LogisticRegression,0.8724705147692771,0.9414832461274043,0.7088316203141449,0.8155746284278836,0.7397129877210723,0.7333333333333333,0.5616338439095551,0.6361007847996696,19156,4777,0.721445,0.713,86,173,0
w1_4,membership_plus_usage_content_with_churn_prevented,Y,HistGradientBoostingClassifier,0.9022499874722302,0.9557384630465129,0.7685860085284303,0.840694996859954,0.7865272293755432,0.7545909849749582,0.6593727206418672,0.7037757882444531,19156,4777,0.721445,0.713,86,173,0
w1_4,usage_only,N,LogisticRegression,0.8131411380697298,0.9057197198253978,0.6251040974287579,0.7965250157002303,0.7045644554831586,0.7120085015940489,0.4886943836615609,0.5795847750865052,19156,4777,0.721445,0.713,32,32,0
w1_4,usage_only,N,HistGradientBoostingClassifier,0.8441571123683139,0.9239525595531067,0.6690167584534825,0.8028051078082479,0.7213886079955868,0.7092682926829268,0.5302698760029175,0.6068447412353923,19156,4777,0.721445,0.713,32,32,0
w1_4,content_only,N,LogisticRegression,0.7738402390255664,0.8810671230457354,0.596285471845757,0.766799246388947,0.6521237460987239,0.6620428751576293,0.38293216630196936,0.4852125693160813,19156,4777,0.721445,0.713,44,55,0
w1_4,content_only,N,HistGradientBoostingClassifier,0.7905315115171964,0.8903707031579492,0.6274284098682327,0.7804061126229851,0.6738679928542457,0.6916666666666667,0.4237782640408461,0.5255540479421077,19156,4777,0.721445,0.713,44,55,0
w1_4,reduced_interpretable_without_churn_prevented,N,LogisticRegression,0.7808515071656703,0.8860010211686957,0.6222595712503236,0.7739166841113669,0.6636518641964047,0.6776556776556777,0.4048140043763676,0.5068493150684932,19156,4777,0.721445,0.713,28,104,0
w1_4,reduced_interpretable_without_churn_prevented,N,HistGradientBoostingClassifier,0.7929213174673946,0.8915298349068936,0.6400629745599687,0.7864768683274022,0.6803041614039326,0.7111913357400722,0.4310722100656455,0.5367847411444142,19156,4777,0.721445,0.713,28,104,0
