membership_row_id,USER_KEY,is_repurchase,price,max_screen,is_promotion,is_user_verified,gender,age,payment_device,billing_method,w1_4_total_sessions,w1_4_unique_contents,w1_4_unique_watch_days,w1_4_avg_watch_time_per_session,w1_4_week1_watch_time,w1_4_week2_watch_time,w1_4_week1_sessions,w1_4_week2_sessions,w1_4_week3_watch_time,w1_4_week3_sessions,w1_4_week4_watch_time,w1_4_week4_sessions,w1_4_genre_ratio_action_adventure,w1_4_genre_ratio_animation_family,w1_4_genre_ratio_comedy,w1_4_genre_ratio_drama,w1_4_genre_ratio_historical_war,w1_4_genre_ratio_horror,w1_4_genre_ratio_other,w1_4_genre_ratio_romance,w1_4_genre_ratio_sf_fantasy,w1_4_genre_ratio_thriller_crime,w1_4_genre_entropy,w1_4_genre_covered_watch_ratio,w1_4_recent_content_watch_ratio
11,2c9e3f9186e5dcd624c026c3a72b3070a03822476c6d1cda79011eef7f24984086499953089c683718de94514256a79bd70dfb8ab81ba94f1ab893070b280aff,Y,7900.0,1.0,,Y,M,60.0,android,134,18,14,5,53.0,0.0,902.0,0,16,52.0,2,0.0,0,0.003145,0.0,0.0,0.378407,0.430818,0.01153,0.0,0.154088,0.0,0.0,1.691227,1.0,0.001048
12,482a8174f937ec686cfed3dd029604b33df40d4d7616a7e9c985fb6b19f44d58c8aeb01c318ea12601bb501a5b17a6d3c867d1f2a68deecbba5ffda494328a49,Y,100.0,1.0,O,Y,F,45.0,android,151,5,5,4,37.4,22.0,165.0,3,2,0.0,0,0.0,0,0.0,0.0,0.0,0.967914,0.026738,0.005348,0.0,0.0,0.0,0.0,0.225602,1.0,0.005348
13,0cdfedd59da0d83ad70c0083b12865f0cd414ac189f27872ca1ff6bb0764565318f0081e4a3c91c0d1c7be024ce86b6953e3dc98022567288746009745fc34aa,Y,7900.0,1.0,,Y,F,30.0,android,132,5,4,3,100.4,392.0,110.0,4,1,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.780876,0.219124,0.758564,1.0,0.926295
14,457120a6023152e0aa7fce1d5ad546126bda5506b30ed81f89d02462db466df5e081a233b09fd5d051392312404b9b4ae3f4aa360a33ce3e683102a00e66334d,Y,100.0,4.0,O,Y,F,50.0,mobile,180,4,3,2,68.75,0.0,275.0,0,4,0.0,0,0.0,0,0.0,0.0,0.367273,0.0,0.0,0.632727,0.0,0.0,0.0,0.0,0.948555,1.0,1.0
15,682d79dad73fef7acc8ef0424fc34344db76d46b9958609dfc99110d1ecf15fd3e0d05ec5a3b0ea9a3a8c70dbd3f6af0bbbd512b095e504f207fac6d707c4010,N,100.0,1.0,O,Y,F,25.0,pc,134,14,9,4,55.071429,333.0,438.0,6,8,0.0,0,0.0,0,0.111543,0.16083,0.0,0.177691,0.0,0.348898,0.0,0.0,0.0,0.201038,2.215189,1.0,0.115435
16,62d5dd48072abc952b8e743dc11579f59063fd20e5ff590ab011c2386ba0b2e50ad926dbb12032dd2211d77da940efa086b5a69ca481124f0f5fa23551f274ca,Y,10900.0,2.0,,N,N,35.0,android,134,3,3,2,6.333333,1.0,18.0,1,2,0.0,0,0.0,0,0.0,0.105263,0.0,0.842105,0.052632,0.0,0.0,0.0,0.0,0.0,0.774243,1.0,0.0
17,55dde00cc04d57b986d5bd9ae14fa9c5bde7c6005fa4782f0c72002036c914b3525bbf480384cfe88e74484e32511d90ad6875da1ec94942d9e467b3f3fbffc4,Y,9.99,1.0,,N,N,20.0,ios,140,5,4,4,65.2,50.0,38.0,1,1,238.0,3,0.0,0,0.0,0.0,0.309816,0.312883,0.0,0.0,0.0,0.116564,0.260736,0.0,1.915335,1.0,0.312883
18,ba6fee19b0ee3f777057486ec4fd8ae2bdec4d861a1ef617920e87e604e41961ab06b66708017602e96c5fe01619c28614bb60af65f3787b126bf232c89a2eaf,Y,100.0,1.0,O,Y,M,20.0,mobile,180,24,16,10,42.416667,0.0,979.0,0,19,39.0,5,0.0,0,0.027505,0.0,0.11002,0.318271,0.0,0.002947,0.123772,0.044204,0.014735,0.27112,2.522894,1.0,0.000982
19,b034b4906fb719f737aeb897bc8cb7b2945f4e12e9d9c0d3c40562e67c2cda84251286878ad73b9f1818d5edff3842086d8bf2119cc6b2df5136b019c94ea34c,Y,7900.0,1.0,,Y,M,25.0,pc,134,8,5,8,41.625,119.0,145.0,3,3,69.0,2,0.0,0,0.054054,0.0,0.0,0.0,0.642643,0.0,0.0,0.0,0.0,0.303303,1.159523,1.0,0.0
20,215870651ff3758eed08f033a15756df74a2360a0d080b6eeafbbe97646854adec9188e869d8f016d79cd0ad00d4b76ba42b14adc1364fb101e6c3ff29535ff4,Y,10900.0,2.0,,Y,F,30.0,pc,134,9,8,3,11.111111,94.0,0.0,8,0,6.0,1,0.0,0,0.0,0.0,0.11,0.13,0.0,0.0,0.23,0.38,0.0,0.0,2.161596,1.0,0.23
21,f4fbd206eb9c6bee476a2d25b16a18eaaa05690b48a6de8d06670744fc129469fd584369d7eb709e806c87f36618426f059e9e0083651ac098b0324a312d0e3f,Y,7900.0,1.0,,Y,F,20.0,android,190,8,2,2,28.5,0.0,0.0,0,0,0.0,0,228.0,8,0.0,0.991228,0.0,0.0,0.0,0.0,0.008772,0.0,0.0,0.0,0.072537,1.0,0.008772
22,3eb81658b0cd17c628dbf7cbed98b09aa66e0383866feb05c194f05f0113581281a6e273245c27ec86fcb8e6e9b1127c6d018f3559c72438b1dcde09292da0c3,Y,100.0,1.0,O,,F,30.0,android,151,3,2,2,41.666667,0.0,97.0,0,1,28.0,2,0.0,0,0.0,0.776,0.0,0.0,0.0,0.0,0.0,0.224,0.0,0.0,0.767404,1.0,0.224
23,1ff9d693be9f6ff2efc65ebf39f40c568efe92e3e6d7e47412f5fb3fca14b490d2f83e8799c3c56d9c3ef2dd4e689614cfba205747baa01baf2310422acebcb8,N,100.0,4.0,O,Y,M,25.0,pc,132,1,1,1,4.0,0.0,4.0,0,1,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
24,6ed11f433b70f3cb9f774c989bb71d93d7eaf56490c7f0135def999959606e243e1b64dde71d199618dafd4a5fcc14253248964ee4dde610decb58610d95405b,Y,9.99,1.0,,N,N,40.0,ios,140,9,8,4,18.444444,0.0,98.0,0,2,22.0,4,46.0,3,0.855422,0.024096,0.078313,0.0,0.0,0.03012,0.0,0.0,0.012048,0.0,0.839019,1.0,0.722892
25,c1f7ae1eaebdd5cdd89f308c424154b2f900c4f758fb646f54670431d460cfa819bd55836a8836937bcc708cdc307666e4e0d02d9cdcd69317b49f7055abd030,N,9.99,1.0,,N,F,40.0,ios,140,7,5,5,29.571429,40.0,70.0,2,3,97.0,2,0.0,0,0.21256,0.0,0.0,0.256039,0.0,0.067633,0.0,0.0,0.270531,0.193237,2.209493,1.0,0.47343
26,6d45315d362a00f79ee58e71c8f5f53221dd01b9816370548356290293bd1ec6afc1b182d7a5bbc5e30490e25883a06dd08a33a934c093e3b9476208c168067f,N,9.99,1.0,,N,F,40.0,ios,140,1,1,1,12.0,0.0,0.0,0,0,12.0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
27,e4928824e8ad9da6a73129ef84ee2a2204c2a4679729d3550628432311dc07f0b351ef3a5799d68bbdf50b930d1c775c3bbd585286c850392d88806a73f94575,Y,9.99,1.0,,N,N,40.0,ios,140,2,1,2,20.0,0.0,40.0,0,2,0.0,0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
28,fe9e2fca758c974f49a09db206158db253bf74ed8083707bf0f1ca3674a4c26fea279f7de492bd9492ad1c82986dd7f1d52339aea683c584189119bf074d9098,Y,10900.0,2.0,,N,F,45.0,android,134,9,7,6,52.777778,228.0,1.0,5,1,246.0,3,0.0,0,0.475789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.522105,0.002105,1.018097,1.0,0.526316
29,c887b4e54e444c560ee497cd46c3d16a1a3261c1748b4c3cc80cbd14f30e0fb26ecd6329d6cacde21dcae528819ab251671e728edabbe9fc25ddb51421904393,Y,9.99,1.0,,N,F,40.0,ios,140,3,3,3,80.333333,0.0,87.0,0,1,154.0,2,0.0,0,0.0,0.161826,0.0,0.477178,0.0,0.360996,0.0,0.0,0.0,0.0,1.465179,1.0,0.838174
30,2bff782c4dbe0aca845d2d9446f8ba48b59b10145e019f89abbf63462d1ab1b1740b97de6d842b2a91dd8006f7407733de3933cc1c23ed270b20333920f9edd0,N,100.0,4.0,O,Y,F,25.0,android,151,2,1,1,78.0,156.0,0.0,2,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
31,f2a83e1251239860e793fe15c0e5bec01cea7cd6a1ad2bc23eb6f6388f2684a4bf7035ea33fcf99668145681f86395beb84c47466f16451b78890e6870759a05,N,10900.0,2.0,,Y,M,35.0,pc,190,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,3c6cf38edf4abe1327dd1462d2c7bddaa6df719cc8559552c7644f8d126424a5ecaf9c2bee3f5f71f6fa2d4b2f52b13cb86e6c089c9949d05833109d9f1c9639,N,9.99,1.0,,Y,F,25.0,ios,140,6,4,2,64.166667,82.0,303.0,3,3,0.0,0,0.0,0,0.727273,0.0,0.0,0.251948,0.0,0.0,0.0,0.0,0.020779,0.0,0.951336,1.0,0.212987
33,1814e06633b810f4c8d91cdeb7c6c8b13aee0c3c95c957a6edac3bdec7c2e55e3ec614ff5feb37669b920d4c737cb6075abd292c9a65259cad9d63bb641bd634,N,10900.0,2.0,,N,F,40.0,lgtv,134,1,1,1,7.0,7.0,0.0,1,0,0.0,0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
34,d024c4c0cfe51211cd9ba4f100cc0814487f24922a52ad46bd3d607b956231ada7ac3bc7cb175b6c1b67ffb9ef9e2a375443cde996080787d274622bae202314,Y,7900.0,1.0,,Y,M,35.0,android,131,1,1,1,3.0,0.0,0.0,0,0,3.0,1,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
35,064b4d70d2129e99d78a97fa594485ab1d73b45a2eff9d3a4bd73cad1d888873faacf4f04dcff5319677ad2af01df416f3942c01725b3faea789e606abc0d41d,N,100.0,4.0,O,Y,F,25.0,pc,131,2,1,1,1.0,0.0,0.0,0,0,0.0,0,2.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
36,e90001316c5e9af579e09f4c374549e6cdb98896251e726c6bf9d0bee4feb4b5d27aeb5064f6176c114033c6ae4e5248a7a99bffa8654e62631f0591a90444e9,Y,9.99,1.0,,N,F,40.0,ios,140,7,6,5,56.857143,141.0,147.0,2,2,110.0,3,0.0,0,0.0,0.0,0.0,0.746231,0.0,0.0,0.0,0.221106,0.0,0.032663,0.957759,1.0,0.0
37,798a6947f2dca038aa7f74d4c477ddf7499485d9c252b40a1e27eb9b1c166fb032e1add3e7cd3b51f3cb8e42aafe7a62dbdeafd7d98dab2b4c45f9b97330792a,Y,100.0,4.0,O,Y,F,30.0,mobile,131,5,3,4,65.6,42.0,194.0,1,3,92.0,1,0.0,0,0.0,0.067073,0.0,0.652439,0.0,0.0,0.0,0.0,0.0,0.280488,1.177829,1.0,0.0
38,54175736d7329ec748fa16d244827714a36cab9941d37903ac2f898f9a6d71b1cde808b211e884c837cf8ecd3a0b1c927b4e9fcbbd754445d4849340003d20cc,N,100.0,1.0,O,Y,F,20.0,android,151,5,3,4,29.2,8.0,138.0,1,4,0.0,0,0.0,0,0.164384,0.0,0.041096,0.0,0.0,0.0,0.0,0.0,0.0,0.794521,0.881094,1.0,0.0
39,bd8b18a2d5aa38bc122346789936e757442ddc3d8be8dde63be93e0f096d549584047b0c09010d9d12c1942af21e5c0271cde52eeaf7da8ae34c354119faf502,Y,100.0,1.0,O,Y,F,30.0,pc,132,4,2,2,47.0,0.0,0.0,0,0,0.0,0,188.0,4,0.0,0.0,0.691489,0.0,0.0,0.0,0.0,0.0,0.0,0.308511,0.891447,1.0,1.0
40,6be69d6fbce1d6347bf7dacb31db79a882bbee9a2171611cabd4c8a70abeb3e95cc978ad9c3f4c6610ce45a33930c609c4a81657c52ad5ade4ea85e5698d4f8b,Y,9.99,1.0,,N,N,40.0,ios,140,2,2,2,1.0,2.0,0.0,2,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,1.0,1.0,1.0
41,f08d2ac930d5480ecda13e4d7d03d4d2dffb5a6a6023938aced45c95532d6589c78a14a90533e27ddc8dc0ce07842d9c9aa291341d2d1ed0b4c94f9ffc545f3b,Y,100.0,1.0,O,Y,F,60.0,mobile,180,19,12,7,30.315789,390.0,174.0,11,6,12.0,2,0.0,0,0.03125,0.244792,0.0,0.524306,0.0,0.0,0.0,0.180556,0.0,0.019097,1.696604,1.0,0.276042
42,8a9217ad1f2e18ba77d15d1eb0f73c4ea0c3105df50ccb8511122376fa6dfca3cc04fe7be3c15d4b920e1eccd13605a5e19927651751c436a36426f70d7eec92,Y,100.0,2.0,O,Y,M,40.0,pc,190,3,3,3,37.333333,4.0,67.0,1,1,0.0,0,41.0,1,0.0,0.0,0.0,0.0,0.0,0.366071,0.0,0.598214,0.0,0.035714,1.145858,1.0,0.0
43,093a5431bb5a7f2d8ed42a3c8dbeeba279fda5bd973bafc00d27a8f10c99734a2266025efc9e9e201ebdb74ea8ca52bc4bd7366f7cce1b9870b08038ee212a91,N,100.0,4.0,O,Y,M,30.0,mobile,190,10,1,1,3.6,0.0,0.0,0,0,0.0,0,36.0,10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
44,b809aa50af5a0b5394d295615ff0db12bcb7617b8858260907545cc9fce8aec59a203db14e6484ce7d05de9c11f53624542f0f4868710098c59e4994629a2223,Y,100.0,1.0,O,Y,F,40.0,android,151,6,5,6,34.5,3.0,0.0,3,0,204.0,3,0.0,0,0.0,0.990338,0.0,0.004831,0.0,0.0,0.0,0.0,0.0,0.0,0.088205,1.0,0.980676
45,9a6a9df054887c0beecc9e54a999bd28546d43d5154eeec0d0d2bff5b22de4ea097fcbf76811ba6abe54e8f43e11d311bbd48cac4a2e9813e9576d4309429425,Y,9.99,1.0,,N,N,40.0,ios,140,2,1,2,79.0,0.0,79.0,0,1,79.0,1,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
46,9e2ddd58b29bf9cd74907a2ece4db4ae6c26b12ea44a28bc2f214286c162076251e268dd9fe9552b3521808267a6a5b28815c22584b0eca133dec028088f063e,N,100.0,1.0,O,Y,F,55.0,android,151,1,1,1,1.0,0.0,0.0,0,0,0.0,0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
47,dd6f29255829683dfe5531ffcabf6499bb6fc872a4dfc78f467e6979641697d6f47b952bdc8fd5db1b6ce840888eb556a2225562d669166e1578afa9f6c659be,N,9.99,1.0,,N,N,40.0,ios,140,2,1,2,52.5,0.0,0.0,0,0,42.0,1,63.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
48,a02a14ff1ab86edbfe46ad5a6a7fce054dc83c39aa7c362622171c550dcfe7099733a95d986e379eedfcb8edb5adc79c3f2439a56104f63410b83a10131c8ea5,Y,10900.0,2.0,,N,N,40.0,pc,180,20,15,10,42.2,231.0,302.0,2,7,311.0,11,0.0,0,0.088863,0.380332,0.090047,0.07109,0.0,0.120853,0.0,0.202607,0.046209,0.0,2.464734,1.0,0.021327
50,0b3e83e778e4ea290a852641094340f58e029090fdc2e26b20147fdfea6b0397e74d5735d3323bcc9ac31d0cea2bf47ca1eafb19389b985623501e9c919235fc,Y,7900.0,1.0,,Y,F,30.0,pc,134,4,3,3,36.25,33.0,112.0,1,3,0.0,0,0.0,0,0.0,0.0,0.0,0.896552,0.0,0.0,0.103448,0.0,0.0,0.0,0.479832,1.0,0.0
51,64307c3584a401e7794b9dfa17767400654c7d706aa5858683bb5b85dc4fd299dfb3a6e0d8366ea3d38800c694804bea598da56fe991e45e39345c766a60f5a7,N,100.0,1.0,O,,F,25.0,pc,134,11,8,9,25.818182,209.0,74.0,6,4,1.0,1,0.0,0,0.003521,0.0,0.0,0.003521,0.0,0.985915,0.0,0.0,0.003521,0.003521,0.134961,1.0,0.035211
52,3eeb0831d2284e7bec46b00e204e23aa37954352338b7ff3d16d58547266e7f68b62a987d293dbcc4be2895e96c40a8ee546b7a27ed022fd73f28d66f3ca091b,Y,100.0,1.0,O,Y,M,20.0,pc,134,10,8,6,67.9,0.0,415.0,0,7,264.0,3,0.0,0,0.24595,0.204713,0.091311,0.164948,0.0,0.0,0.0,0.0,0.001473,0.291605,2.242602,1.0,0.456554
53,be1409957fae7ab50ed9241829bdfd6a89a838714f60b64619fbd5a7d7036b8d3417653d6ae1f4de2259045125dfbd6a30b6a1ac3904ac5739b3f47de1311ba4,Y,7900.0,1.0,,Y,N,40.0,mobile,134,6,4,3,31.666667,97.0,93.0,4,2,0.0,0,0.0,0,0.0,0.489474,0.0,0.0,0.215789,0.0,0.0,0.005263,0.0,0.289474,1.539455,1.0,0.494737
54,c494c7c9bdec198be2723c4fd300084e8edb2bb32932731b449106cb4171a41920a05f23e4a92c44d5ecc5adf5f4dd6defa9a8203ea7bdbff8d2a63134fa86bf,N,6700.0,1.0,,Y,M,25.0,pc,132,13,7,8,28.307692,218.0,150.0,10,3,0.0,0,0.0,0,0.054348,0.0,0.0,0.220109,0.0,0.0,0.0,0.241848,0.483696,0.0,1.711097,1.0,0.149457
55,349c7790951d3a818a75ee3e42036b7296a2f2b4cb686a6fb685eb28ba0bf5d602cd19eddf35ee3d609ce8369fc77ce5c09dc61741f4c49f61d527b888325f98,Y,3950.0,1.0,,Y,F,30.0,android,180,4,3,3,84.0,236.0,0.0,3,0,100.0,1,0.0,0,0.473214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.526786,0.0,0.997929,1.0,0.473214
56,a19935a80061c8bcb5c8cd0fc3964b38f6af299fa93a5ecf8a76cf7712bb24679d2235cbb3b22d87a446d1f920cfce55679924e95479d59458a491c4c4ba5468,N,100.0,2.0,O,Y,M,30.0,mobile,134,8,7,4,28.75,136.0,89.0,1,6,5.0,1,0.0,0,0.291304,0.0,0.082609,0.021739,0.0,0.0,0.0,0.013043,0.591304,0.0,1.465498,1.0,0.013043
57,19953a84ed20d779c8c4e2398a1cfb21b00fc0899714ef73532e8146642da76f14161c25473abac4f557079b0ee07da0fd8829fffb5786d4ab73d0f971f13f77,Y,100.0,1.0,O,Y,M,40.0,android,132,13,8,5,64.538462,839.0,0.0,13,0,0.0,0,0.0,0,0.0,0.122765,0.0,0.0,0.0,0.0,0.0,0.0,0.54112,0.0,1.379612,1.0,0.165673
58,01a2e024ad1ab913119f330fcbe827633b741e42544f31628e02f5e5873f3b45afa188f2b157a125079a90400399d9bbb6de3c90fb3820e5088695b9d6103964,Y,7900.0,1.0,,N,N,40.0,pc,134,1,1,1,102.0,0.0,0.0,0,0,0.0,0,102.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
59,4b42d3f6ecfbb3bca9de95a38f904728a8b61fdd367b5e00e05bee1580c58b9559702bac762ff403f15190b2eb3cba5742236bbd293bfed43d49f4b12a7045f1,Y,13900.0,4.0,,N,N,20.0,mobile,134,4,3,3,37.0,133.0,15.0,3,1,0.0,0,0.0,0,0.0,0.0,0.0,0.898649,0.0,0.0,0.0,0.101351,0.0,0.0,0.473265,1.0,0.0
60,266f04f978453a57d60fe1ece56253b7eeb043a7af98e2b55b1844901391635e9c0e7144df84728b4a9b31c5c26ace1b90e730770c2480c8c7d7d555c3dfe32c,Y,7900.0,1.0,,N,N,40.0,android,180,2,2,1,37.0,0.0,0.0,0,0,0.0,0,74.0,2,0.986486,0.0,0.0,0.013514,0.0,0.0,0.0,0.0,0.0,0.0,0.103275,1.0,1.0
61,6c6e5189a194500f1b87914305f9df56000de73fc56d9d16e8dece1f4740d85af08b19ecbb533ffb2fd3cb7cd9e9fcdcfb0819856c3409181850292f0e39af75,N,6900.0,1.0,,N,N,40.0,android,132,2,1,2,113.0,134.0,92.0,1,1,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
62,a0d95aac1fd00133569f6061039d7111db4fbd170eb9bcb7aa991632ac436ac22b63d738523e1dbf311c4c150c0e030878f2b370221ed5986c4c7478c7e9c469,Y,7900.0,1.0,,Y,F,45.0,android,131,2,2,2,127.0,145.0,109.0,1,1,0.0,0,0.0,0,0.0,0.0,0.570866,0.0,0.0,0.0,0.0,0.0,0.0,0.429134,0.985461,1.0,0.0
63,9050b32b60b3ac034396ca9e1dd11cf888cf8203e142f5f7e28e42b79872b6fd7da0fd9f57333f8c193333747a135739cb796141817ca79a3fe38d431ac63b5e,N,100.0,1.0,O,Y,F,25.0,android,131,5,3,2,63.6,318.0,0.0,5,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
64,69d2bf8e8eeaf6841830a7463d812e7b4004b31bdb8268b89c5330490197ffb4becbd6930202b813364a83fe20cea166db50b472de6fbc64f1b587fc93a9b942,Y,100.0,4.0,O,Y,M,20.0,pc,170,10,1,5,68.9,0.0,0.0,0,0,480.0,8,209.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
65,f564eb45ab6092e8f0eac8991cc6b1407e8151a907a6994d65feffc37da873e486af3bf51ff723561a271b6de61a9b209ef0a6b8a58eb57fc635ef396acde29b,Y,9.99,1.0,,N,F,40.0,ios,140,8,6,4,28.5,93.0,58.0,1,4,77.0,3,0.0,0,0.241228,0.0,0.0,0.346491,0.407895,0.0,0.0,0.0,0.0,0.0,1.586771,1.0,0.486842
66,02198818f8c5721f3d4fd3ebeb263dc131dc95f4a50d722f9f8846517ab7e584a78a3524a29ae9053306ecebfd7e57608ef59206e047f6176430150bdda2570a,Y,100.0,1.0,O,Y,M,20.0,pc,134,24,12,13,49.166667,590.0,408.0,12,7,182.0,5,0.0,0,0.000847,0.182203,0.0,0.204237,0.090678,0.0,0.0,0.0,0.423729,0.098305,2.092179,1.0,0.0
