check_name,status,expected,actual,notes
age_gender_not_used_as_primary_representative_rule,PASS,no age/gender,promo_scope=='promo1' AND gb_high_risk_top20==1 AND week3_inactive==1 promo_scope=='promo1' AND gb_h,
content_preference_not_used_as_representative_rule_if_broad,PASS,no content_preference_signal in rule if broad,False,
other_needs_review_caveat_recorded,PASS,large other caveat,checked,
hotfix_16b_family_mapping_used,PASS,no technical_or_unknown,False,
original_technical_unknown_not_used,PASS,no technical_or_unknown,checked,
no_model_refit_performed,PASS,prohibited action not performed,no fit,
no_optuna_performed,PASS,prohibited action not performed,no optuna,
no_shap_recalculation_performed,PASS,prohibited action not performed,read SHAP CSV only,
no_oof_regeneration_performed,PASS,prohibited action not performed,read OOF only,
no_campaign_threshold_finalized,PASS,prohibited action not performed,provisional only,
no_raw_source_modified,PASS,inputs unchanged,0,
no_park_ingyeom_modified,PASS,no park.ingyeom writes,PUBLIC-only,
note_md_append_completed,PASS,note heading,found,
review_zip_includes_executed_notebook,PASS,included in zip,PUBLIC/notebooks/17_segmentation_design_260520/17_promo_scope_oof_behavior_segmentation_hotfix_260520_executed.ipynb,
review_zip_includes_rationale_memo,PASS,included in zip,PUBLIC/results/17_segmentation_design_260520/promo_scope_oof_behavior_segments_hotfix_260520/17_segment_rationale_memo_for_executives_hotfix.md,
review_zip_includes_note_md,PASS,included in zip,PUBLIC/note.md,
review_zip_includes_zip_inventory,PASS,included in zip,PUBLIC/handoff/PUBLIC_17_segmentation_semantic_hotfix_260520/PUBLIC_17_segmentation_semantic_hotfix_zip_inventory.csv,
review_zip_includes_core_csvs,PASS,core outputs in zip,missing none,
helper_file_included_if_used,PASS,helper in zip,PUBLIC/handoff/PUBLIC_17_segmentation_semantic_hotfix_260520/public_17_semantic_hotfix_runner.py,
review_zip_created,PASS,zip exists,PUBLIC\zip\PUBLIC_17_segmentation_semantic_hotfix_260520_review_package.zip,
zip_inventory_created,PASS,zip inventory,PUBLIC\handoff\PUBLIC_17_segmentation_semantic_hotfix_260520\PUBLIC_17_segmentation_semantic_hotfix_zip_inventory.csv,
