feature,family,vif,vif_band,matrix_status,corr_matrix_rank,feature_count_in_vif_matrix,condition_number,recommended_interpretation_action,excluded_from_vif_reason
w1_3_genre_watch_time_thriller_crime,genre,inf,extreme_or_infinite,exact_inverse,61,69,7.746684088464674e+18,Group or remove before coefficient-level interpretation.,
w1_3_genre_watch_time_sf_fantasy,genre,inf,extreme_or_infinite,exact_inverse,61,69,7.746684088464674e+18,Group or remove before coefficient-level interpretation.,
w1_3_release_month_covered_watch_ratio,release_month,inf,extreme_or_infinite,exact_inverse,61,69,7.746684088464674e+18,Group or remove before coefficient-level interpretation.,
billing_method,membership,inf,extreme_or_infinite,exact_inverse,61,69,7.746684088464674e+18,Group or remove before coefficient-level interpretation.,
age,membership,inf,extreme_or_infinite,exact_inverse,61,69,7.746684088464674e+18,Group or remove before coefficient-level interpretation.,
w1_3_has_watch_obs,usage,4.754931297006995e+30,extreme_or_infinite,exact_inverse,61,69,7.746684088464674e+18,Group or remove before coefficient-level interpretation.,
w1_3_genre_covered_watch_time,genre,416523786976191.7,extreme_or_infinite,exact_inverse,61,69,7.746684088464674e+18,Group or remove before coefficient-level interpretation.,
w1_3_active_span_days,usage,174101638199694.53,extreme_or_infinite,exact_inverse,61,69,7.746684088464674e+18,Group or remove before coefficient-level interpretation.,
w1_3_first_watch_rel_day,usage,130010801729278.9,extreme_or_infinite,exact_inverse,61,69,7.746684088464674e+18,Group or remove before coefficient-level interpretation.,
w1_3_last_watch_rel_day,usage,45972723539174.46,extreme_or_infinite,exact_inverse,61,69,7.746684088464674e+18,Group or remove before coefficient-level interpretation.,
w1_3_w2_minus_w1_watch_time,usage,8307843440148.348,extreme_or_infinite,exact_inverse,61,69,7.746684088464674e+18,Group or remove before coefficient-level interpretation.,
w1_3_week3_ratio,usage,63883917.02679663,extreme_or_infinite,exact_inverse,61,69,7.746684088464674e+18,Group or remove before coefficient-level interpretation.,
w1_3_week2_ratio,usage,52991892.27490478,extreme_or_infinite,exact_inverse,61,69,7.746684088464674e+18,Group or remove before coefficient-level interpretation.,
w1_3_short_watch_count_le5,usage,80.96783002407446,extreme_or_infinite,exact_inverse,61,69,7.746684088464674e+18,Group or remove before coefficient-level interpretation.,
w1_3_genre_entropy,genre,43.167423095009646,>=10,exact_inverse,61,69,7.746684088464674e+18,Group or remove before coefficient-level interpretation.,
w1_3_top_genre_watch_ratio,genre,37.23883411695747,>=10,exact_inverse,61,69,7.746684088464674e+18,Group or remove before coefficient-level interpretation.,
w1_3_one_minute_watch_count,usage,26.43163012179637,>=10,exact_inverse,61,69,7.746684088464674e+18,Group or remove before coefficient-level interpretation.,
w1_3_short_watch_time_le5,usage,22.882768844312785,>=10,exact_inverse,61,69,7.746684088464674e+18,Group or remove before coefficient-level interpretation.,
w1_3_genre_ratio_sf_fantasy,genre,11.474678002450615,>=10,exact_inverse,61,69,7.746684088464674e+18,Group or remove before coefficient-level interpretation.,
w1_3_genre_ratio_drama,genre,11.22106121793829,>=10,exact_inverse,61,69,7.746684088464674e+18,Group or remove before coefficient-level interpretation.,
w1_3_genre_ratio_animation_family,genre,11.126774660193846,>=10,exact_inverse,61,69,7.746684088464674e+18,Group or remove before coefficient-level interpretation.,
w1_3_unique_contents,usage,10.469755556506785,>=10,exact_inverse,61,69,7.746684088464674e+18,Group or remove before coefficient-level interpretation.,
w1_3_genre_ratio_action_adventure,genre,10.36436579647693,>=10,exact_inverse,61,69,7.746684088464674e+18,Group or remove before coefficient-level interpretation.,
w1_3_genre_unique_count,genre,10.252921262451485,>=10,exact_inverse,61,69,7.746684088464674e+18,Group or remove before coefficient-level interpretation.,
w1_3_unique_watch_days,usage,10.062342482687255,>=10,exact_inverse,61,69,7.746684088464674e+18,Group or remove before coefficient-level interpretation.,
w1_3_top_genre_watch_time,genre,9.753480021540067,>=5,exact_inverse,61,69,7.746684088464674e+18,"Usable, but still check pairwise correlation.",
w1_3_genre_ratio_thriller_crime,genre,9.428589199456233,>=5,exact_inverse,61,69,7.746684088464674e+18,"Usable, but still check pairwise correlation.",
w1_3_genre_ratio_romance,genre,7.8259375941200595,>=5,exact_inverse,61,69,7.746684088464674e+18,"Usable, but still check pairwise correlation.",
w1_3_genre_ratio_comedy,genre,7.598593746615823,>=5,exact_inverse,61,69,7.746684088464674e+18,"Usable, but still check pairwise correlation.",
w1_3_max_day_share,usage,7.053005413236404,>=5,exact_inverse,61,69,7.746684088464674e+18,"Usable, but still check pairwise correlation.",
w1_3_avg_ott_release_month_weighted,release_month,6.91383508557768,>=5,exact_inverse,61,69,7.746684088464674e+18,"Usable, but still check pairwise correlation.",
w1_3_max_daily_watch_time,usage,6.374134608256789,>=5,exact_inverse,61,69,7.746684088464674e+18,"Usable, but still check pairwise correlation.",
w1_3_genre_ratio_historical_war,genre,6.047081891317287,>=5,exact_inverse,61,69,7.746684088464674e+18,"Usable, but still check pairwise correlation.",
w1_3_genre_session_count_sf_fantasy,genre,5.001863471738671,>=5,exact_inverse,61,69,7.746684088464674e+18,"Usable, but still check pairwise correlation.",
w1_3_genre_session_count_action_adventure,genre,4.456063157875899,<5,exact_inverse,61,69,7.746684088464674e+18,"Usable, but still check pairwise correlation.",
w1_3_genre_watch_time_historical_war,genre,4.190589621591035,<5,exact_inverse,61,69,7.746684088464674e+18,"Usable, but still check pairwise correlation.",
w1_3_genre_ratio_other,genre,3.875597268645416,<5,exact_inverse,61,69,7.746684088464674e+18,"Usable, but still check pairwise correlation.",
w1_3_sessions_per_active_day,usage,3.7812696953904674,<5,exact_inverse,61,69,7.746684088464674e+18,"Usable, but still check pairwise correlation.",
w1_3_genre_session_count_thriller_crime,genre,3.7781046579263013,<5,exact_inverse,61,69,7.746684088464674e+18,"Usable, but still check pairwise correlation.",
w1_3_genre_session_count_other,genre,3.76727447006947,<5,exact_inverse,61,69,7.746684088464674e+18,"Usable, but still check pairwise correlation.",
w1_3_genre_ratio_horror,genre,3.6775781468104745,<5,exact_inverse,61,69,7.746684088464674e+18,"Usable, but still check pairwise correlation.",
w1_3_genre_watch_time_action_adventure,genre,3.3880647204848144,<5,exact_inverse,61,69,7.746684088464674e+18,"Usable, but still check pairwise correlation.",
w1_3_old_content_watch_ratio,release_month,3.2437926863017585,<5,exact_inverse,61,69,7.746684088464674e+18,"Usable, but still check pairwise correlation.",
w1_3_genre_watch_time_animation_family,genre,3.166965492253563,<5,exact_inverse,61,69,7.746684088464674e+18,"Usable, but still check pairwise correlation.",
w1_3_genre_session_count_comedy,genre,3.09135442616112,<5,exact_inverse,61,69,7.746684088464674e+18,"Usable, but still check pairwise correlation.",
w1_3_genre_session_count_drama,genre,3.028450975343923,<5,exact_inverse,61,69,7.746684088464674e+18,"Usable, but still check pairwise correlation.",
w1_3_avg_watch_time_per_session,usage,2.9390119678038773,<5,exact_inverse,61,69,7.746684088464674e+18,"Usable, but still check pairwise correlation.",
w1_3_genre_watch_time_other,genre,2.934226829666711,<5,exact_inverse,61,69,7.746684088464674e+18,"Usable, but still check pairwise correlation.",
w1_3_genre_watch_time_comedy,genre,2.89814643861766,<5,exact_inverse,61,69,7.746684088464674e+18,"Usable, but still check pairwise correlation.",
w1_3_genre_session_count_horror,genre,2.2511323363716738,<5,exact_inverse,61,69,7.746684088464674e+18,"Usable, but still check pairwise correlation.",
w1_3_genre_watch_time_horror,genre,1.5065817475910006,<5,exact_inverse,61,69,7.746684088464674e+18,"Usable, but still check pairwise correlation.",
w1_3_genre_session_count_romance,genre,1.4748396460054216,<5,exact_inverse,61,69,7.746684088464674e+18,"Usable, but still check pairwise correlation.",
w1_3_genre_watch_time_romance,genre,1.1004853546992637,<5,exact_inverse,61,69,7.746684088464674e+18,"Usable, but still check pairwise correlation.",
w1_3_genre_session_count_animation_family,genre,0.6663190024486088,<5,exact_inverse,61,69,7.746684088464674e+18,"Usable, but still check pairwise correlation.",
w1_3_genre_session_count_historical_war,genre,0.6085285484845117,<5,exact_inverse,61,69,7.746684088464674e+18,"Usable, but still check pairwise correlation.",
w1_3_recent_content_watch_ratio,release_month,0.48219516726217454,<5,exact_inverse,61,69,7.746684088464674e+18,"Usable, but still check pairwise correlation.",
w1_3_total_watch_time,usage,,excluded_structural,excluded_before_vif,,69,,Excluded because it is a known structural complement or total.,known structural redundancy/complement
w1_3_no_watch_obs_flag,usage,,excluded_structural,excluded_before_vif,,69,,Excluded because it is a known structural complement or total.,known structural redundancy/complement
w1_3_total_sessions,usage,,excluded_structural,excluded_before_vif,,69,,Excluded because it is a known structural complement or total.,known structural redundancy/complement
