audit_type,feature_a,feature_b,detail,severity
same_non_null_pattern,billing_method,w1_3_w3_minus_w1_watch_time,Missing/non-missing pattern is identical.,low
same_non_null_pattern,billing_method,w1_3_max_daily_watch_time,Missing/non-missing pattern is identical.,low
same_non_null_pattern,billing_method,w1_3_max_day_share,Missing/non-missing pattern is identical.,low
same_non_null_pattern,billing_method,w1_3_one_minute_watch_count,Missing/non-missing pattern is identical.,low
same_non_null_pattern,billing_method,w1_3_short_watch_count_le5,Missing/non-missing pattern is identical.,low
same_non_null_pattern,billing_method,w1_3_short_watch_time_le5,Missing/non-missing pattern is identical.,low
same_non_null_pattern,billing_method,w1_3_content_has_watch_obs,Missing/non-missing pattern is identical.,low
same_non_null_pattern,billing_method,w1_3_genre_covered_watch_time,Missing/non-missing pattern is identical.,low
same_non_null_pattern,billing_method,w1_3_genre_covered_watch_ratio,Missing/non-missing pattern is identical.,low
same_non_null_pattern,billing_method,w1_3_genre_unique_count,Missing/non-missing pattern is identical.,low
same_non_null_pattern,billing_method,w1_3_top_genre_watch_time,Missing/non-missing pattern is identical.,low
same_non_null_pattern,billing_method,w1_3_top_genre_watch_ratio,Missing/non-missing pattern is identical.,low
same_non_null_pattern,billing_method,w1_3_genre_entropy,Missing/non-missing pattern is identical.,low
same_non_null_pattern,billing_method,w1_3_genre_ratio_drama,Missing/non-missing pattern is identical.,low
same_non_null_pattern,billing_method,w1_3_genre_watch_time_drama,Missing/non-missing pattern is identical.,low
same_non_null_pattern,billing_method,w1_3_genre_session_count_drama,Missing/non-missing pattern is identical.,low
same_non_null_pattern,billing_method,w1_3_genre_ratio_thriller_crime,Missing/non-missing pattern is identical.,low
same_non_null_pattern,billing_method,w1_3_genre_watch_time_thriller_crime,Missing/non-missing pattern is identical.,low
same_non_null_pattern,billing_method,w1_3_genre_session_count_thriller_crime,Missing/non-missing pattern is identical.,low
same_non_null_pattern,billing_method,w1_3_genre_ratio_sf_fantasy,Missing/non-missing pattern is identical.,low
same_non_null_pattern,billing_method,w1_3_genre_watch_time_sf_fantasy,Missing/non-missing pattern is identical.,low
same_non_null_pattern,billing_method,w1_3_genre_session_count_sf_fantasy,Missing/non-missing pattern is identical.,low
same_non_null_pattern,billing_method,w1_3_genre_ratio_action_adventure,Missing/non-missing pattern is identical.,low
same_non_null_pattern,billing_method,w1_3_genre_watch_time_action_adventure,Missing/non-missing pattern is identical.,low
same_non_null_pattern,billing_method,w1_3_genre_session_count_action_adventure,Missing/non-missing pattern is identical.,low
same_non_null_pattern,billing_method,w1_3_genre_ratio_animation_family,Missing/non-missing pattern is identical.,low
same_non_null_pattern,billing_method,w1_3_genre_watch_time_animation_family,Missing/non-missing pattern is identical.,low
same_non_null_pattern,billing_method,w1_3_genre_session_count_animation_family,Missing/non-missing pattern is identical.,low
same_non_null_pattern,billing_method,w1_3_genre_ratio_romance,Missing/non-missing pattern is identical.,low
same_non_null_pattern,billing_method,w1_3_genre_watch_time_romance,Missing/non-missing pattern is identical.,low
same_non_null_pattern,billing_method,w1_3_genre_session_count_romance,Missing/non-missing pattern is identical.,low
same_non_null_pattern,billing_method,w1_3_genre_ratio_comedy,Missing/non-missing pattern is identical.,low
same_non_null_pattern,billing_method,w1_3_genre_watch_time_comedy,Missing/non-missing pattern is identical.,low
same_non_null_pattern,billing_method,w1_3_genre_session_count_comedy,Missing/non-missing pattern is identical.,low
same_non_null_pattern,billing_method,w1_3_genre_ratio_historical_war,Missing/non-missing pattern is identical.,low
same_non_null_pattern,billing_method,w1_3_genre_watch_time_historical_war,Missing/non-missing pattern is identical.,low
same_non_null_pattern,billing_method,w1_3_genre_session_count_historical_war,Missing/non-missing pattern is identical.,low
same_non_null_pattern,billing_method,w1_3_genre_ratio_horror,Missing/non-missing pattern is identical.,low
same_non_null_pattern,billing_method,w1_3_genre_watch_time_horror,Missing/non-missing pattern is identical.,low
same_non_null_pattern,billing_method,w1_3_genre_session_count_horror,Missing/non-missing pattern is identical.,low
same_non_null_pattern,billing_method,w1_3_genre_ratio_other,Missing/non-missing pattern is identical.,low
same_non_null_pattern,billing_method,w1_3_genre_watch_time_other,Missing/non-missing pattern is identical.,low
same_non_null_pattern,billing_method,w1_3_genre_session_count_other,Missing/non-missing pattern is identical.,low
same_non_null_pattern,billing_method,w1_3_release_month_covered_watch_ratio,Missing/non-missing pattern is identical.,low
same_non_null_pattern,billing_method,w1_3_recent_content_watch_ratio,Missing/non-missing pattern is identical.,low
same_non_null_pattern,billing_method,w1_3_old_content_watch_ratio,Missing/non-missing pattern is identical.,low
exact_inverse_binary,w1_3_has_watch_obs,w1_3_no_watch_obs_flag,Binary complements; one variable is 1 - the other.,high
same_non_null_pattern,w1_3_has_watch_obs,w1_3_no_watch_obs_flag,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_has_watch_obs,w1_3_total_watch_time,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_has_watch_obs,w1_3_total_sessions,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_has_watch_obs,w1_3_unique_contents,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_has_watch_obs,w1_3_unique_watch_days,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_has_watch_obs,w1_3_avg_watch_time_per_session,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_has_watch_obs,w1_3_sessions_per_active_day,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_has_watch_obs,w1_3_active_span_days,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_has_watch_obs,w1_3_week1_watch_time,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_has_watch_obs,w1_3_week2_watch_time,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_has_watch_obs,w1_3_week3_watch_time,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_has_watch_obs,w1_3_week1_sessions,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_has_watch_obs,w1_3_week2_sessions,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_has_watch_obs,w1_3_week3_sessions,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_has_watch_obs,w1_3_week1_ratio,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_has_watch_obs,w1_3_week2_ratio,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_has_watch_obs,w1_3_week3_ratio,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_has_watch_obs,w1_3_w2_minus_w1_watch_time,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_has_watch_obs,w1_3_w3_minus_w1_watch_time,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_has_watch_obs,w1_3_max_daily_watch_time,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_has_watch_obs,w1_3_max_day_share,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_has_watch_obs,w1_3_one_minute_watch_count,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_has_watch_obs,w1_3_short_watch_count_le5,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_has_watch_obs,w1_3_short_watch_time_le5,Missing/non-missing pattern is identical.,low
exact_identical_numeric,w1_3_has_watch_obs,w1_3_content_has_watch_obs,Values are exactly identical on non-null rows.,high
same_non_null_pattern,w1_3_has_watch_obs,w1_3_content_has_watch_obs,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_has_watch_obs,w1_3_genre_covered_watch_time,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_has_watch_obs,w1_3_genre_covered_watch_ratio,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_has_watch_obs,w1_3_genre_unique_count,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_has_watch_obs,w1_3_top_genre_watch_time,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_has_watch_obs,w1_3_top_genre_watch_ratio,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_has_watch_obs,w1_3_genre_entropy,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_has_watch_obs,w1_3_genre_ratio_drama,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_has_watch_obs,w1_3_genre_watch_time_drama,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_has_watch_obs,w1_3_genre_session_count_drama,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_has_watch_obs,w1_3_genre_ratio_thriller_crime,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_has_watch_obs,w1_3_genre_watch_time_thriller_crime,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_has_watch_obs,w1_3_genre_session_count_thriller_crime,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_has_watch_obs,w1_3_genre_ratio_sf_fantasy,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_has_watch_obs,w1_3_genre_watch_time_sf_fantasy,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_has_watch_obs,w1_3_genre_session_count_sf_fantasy,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_has_watch_obs,w1_3_genre_ratio_action_adventure,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_has_watch_obs,w1_3_genre_watch_time_action_adventure,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_has_watch_obs,w1_3_genre_session_count_action_adventure,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_has_watch_obs,w1_3_genre_ratio_animation_family,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_has_watch_obs,w1_3_genre_watch_time_animation_family,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_has_watch_obs,w1_3_genre_session_count_animation_family,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_has_watch_obs,w1_3_genre_ratio_romance,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_has_watch_obs,w1_3_genre_watch_time_romance,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_has_watch_obs,w1_3_genre_session_count_romance,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_has_watch_obs,w1_3_genre_ratio_comedy,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_has_watch_obs,w1_3_genre_watch_time_comedy,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_has_watch_obs,w1_3_genre_session_count_comedy,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_has_watch_obs,w1_3_genre_ratio_historical_war,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_has_watch_obs,w1_3_genre_watch_time_historical_war,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_has_watch_obs,w1_3_genre_session_count_historical_war,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_has_watch_obs,w1_3_genre_ratio_horror,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_has_watch_obs,w1_3_genre_watch_time_horror,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_has_watch_obs,w1_3_genre_session_count_horror,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_has_watch_obs,w1_3_genre_ratio_other,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_has_watch_obs,w1_3_genre_watch_time_other,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_has_watch_obs,w1_3_genre_session_count_other,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_has_watch_obs,w1_3_release_month_covered_watch_ratio,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_has_watch_obs,w1_3_recent_content_watch_ratio,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_has_watch_obs,w1_3_old_content_watch_ratio,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_no_watch_obs_flag,w1_3_total_watch_time,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_no_watch_obs_flag,w1_3_total_sessions,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_no_watch_obs_flag,w1_3_unique_contents,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_no_watch_obs_flag,w1_3_unique_watch_days,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_no_watch_obs_flag,w1_3_avg_watch_time_per_session,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_no_watch_obs_flag,w1_3_sessions_per_active_day,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_no_watch_obs_flag,w1_3_active_span_days,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_no_watch_obs_flag,w1_3_week1_watch_time,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_no_watch_obs_flag,w1_3_week2_watch_time,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_no_watch_obs_flag,w1_3_week3_watch_time,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_no_watch_obs_flag,w1_3_week1_sessions,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_no_watch_obs_flag,w1_3_week2_sessions,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_no_watch_obs_flag,w1_3_week3_sessions,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_no_watch_obs_flag,w1_3_week1_ratio,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_no_watch_obs_flag,w1_3_week2_ratio,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_no_watch_obs_flag,w1_3_week3_ratio,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_no_watch_obs_flag,w1_3_w2_minus_w1_watch_time,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_no_watch_obs_flag,w1_3_w3_minus_w1_watch_time,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_no_watch_obs_flag,w1_3_max_daily_watch_time,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_no_watch_obs_flag,w1_3_max_day_share,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_no_watch_obs_flag,w1_3_one_minute_watch_count,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_no_watch_obs_flag,w1_3_short_watch_count_le5,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_no_watch_obs_flag,w1_3_short_watch_time_le5,Missing/non-missing pattern is identical.,low
exact_inverse_binary,w1_3_no_watch_obs_flag,w1_3_content_has_watch_obs,Binary complements; one variable is 1 - the other.,high
same_non_null_pattern,w1_3_no_watch_obs_flag,w1_3_content_has_watch_obs,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_no_watch_obs_flag,w1_3_genre_covered_watch_time,Missing/non-missing pattern is identical.,low
exact_inverse_binary,w1_3_no_watch_obs_flag,w1_3_genre_covered_watch_ratio,Binary complements; one variable is 1 - the other.,high
same_non_null_pattern,w1_3_no_watch_obs_flag,w1_3_genre_covered_watch_ratio,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_no_watch_obs_flag,w1_3_genre_unique_count,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_no_watch_obs_flag,w1_3_top_genre_watch_time,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_no_watch_obs_flag,w1_3_top_genre_watch_ratio,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_no_watch_obs_flag,w1_3_genre_entropy,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_no_watch_obs_flag,w1_3_genre_ratio_drama,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_no_watch_obs_flag,w1_3_genre_watch_time_drama,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_no_watch_obs_flag,w1_3_genre_session_count_drama,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_no_watch_obs_flag,w1_3_genre_ratio_thriller_crime,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_no_watch_obs_flag,w1_3_genre_watch_time_thriller_crime,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_no_watch_obs_flag,w1_3_genre_session_count_thriller_crime,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_no_watch_obs_flag,w1_3_genre_ratio_sf_fantasy,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_no_watch_obs_flag,w1_3_genre_watch_time_sf_fantasy,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_no_watch_obs_flag,w1_3_genre_session_count_sf_fantasy,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_no_watch_obs_flag,w1_3_genre_ratio_action_adventure,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_no_watch_obs_flag,w1_3_genre_watch_time_action_adventure,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_no_watch_obs_flag,w1_3_genre_session_count_action_adventure,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_no_watch_obs_flag,w1_3_genre_ratio_animation_family,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_no_watch_obs_flag,w1_3_genre_watch_time_animation_family,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_no_watch_obs_flag,w1_3_genre_session_count_animation_family,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_no_watch_obs_flag,w1_3_genre_ratio_romance,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_no_watch_obs_flag,w1_3_genre_watch_time_romance,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_no_watch_obs_flag,w1_3_genre_session_count_romance,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_no_watch_obs_flag,w1_3_genre_ratio_comedy,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_no_watch_obs_flag,w1_3_genre_watch_time_comedy,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_no_watch_obs_flag,w1_3_genre_session_count_comedy,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_no_watch_obs_flag,w1_3_genre_ratio_historical_war,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_no_watch_obs_flag,w1_3_genre_watch_time_historical_war,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_no_watch_obs_flag,w1_3_genre_session_count_historical_war,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_no_watch_obs_flag,w1_3_genre_ratio_horror,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_no_watch_obs_flag,w1_3_genre_watch_time_horror,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_no_watch_obs_flag,w1_3_genre_session_count_horror,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_no_watch_obs_flag,w1_3_genre_ratio_other,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_no_watch_obs_flag,w1_3_genre_watch_time_other,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_no_watch_obs_flag,w1_3_genre_session_count_other,Missing/non-missing pattern is identical.,low
exact_inverse_binary,w1_3_no_watch_obs_flag,w1_3_release_month_covered_watch_ratio,Binary complements; one variable is 1 - the other.,high
same_non_null_pattern,w1_3_no_watch_obs_flag,w1_3_release_month_covered_watch_ratio,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_no_watch_obs_flag,w1_3_recent_content_watch_ratio,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_no_watch_obs_flag,w1_3_old_content_watch_ratio,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_total_watch_time,w1_3_total_sessions,Missing/non-missing pattern is identical.,low
same_non_null_pattern,w1_3_total_watch_time,w1_3_unique_contents,Missing/non-missing pattern is identical.,low
