dataset,column_name,inferred_dtype,row_count,missing_count,missing_rate,unique_count,unique_count_excluding_missing,min_value,max_value,top_values
Membership,reg_date,date_yy_mm_dd,24074,0,0.0,15,15,21-03-01,21-03-15,21-03-01:2765|21-03-06:2491|21-03-07:2201|21-03-13:2158|21-03-14:1754|21-03-02:1678|21-03-12:1523|21-03-05:1506|21-03-04:1266|21-03-03:1207
Membership,reg_hour,integer_like,24074,0,0.0,24,24,0,9,0:2010|22:1932|23:1708|21:1675|10:1456|11:1423|20:1400|19:1371|18:1183|1:1034
Membership,end_date,date_yy_mm_dd,24074,0,0.0,38,38,21-03-01,21-04-16,21-04-01:2325|21-04-07:2252|21-04-06:2235|21-04-13:1971|21-04-14:1844|21-04-02:1597|21-04-05:1415|21-04-12:1402|21-04-03:1368|21-04-08:1345
Membership,is_repurchase,string_or_mixed,24074,0,0.0,2,2,N,Y,Y:17325|N:6749
User_Mapping,USER_KEY,string_or_mixed,26366,0,0.0,26315,26315,0000555c21e7942b8281c8068c2b5be0a628b8a1a3cbea1c4d42a1ebb82206c2d0cf7ba1b15f367ffc97b7cf749ae6b0b3c46732f9fc0f5186ab6aa3e8346fdd,ffff0d42a9cb0c7ba43546929d3c0dc0b141a2ec00fd5932cae23b84f62b186a5662b8470fe5b73092903af68206de5fa4749b306270dee722b53978a1f19a5e,30e3c9509b8d6102f80906a80afcd2a3593d4a69314509227839d972bc051a4c2411cac5aa2fabd6069781c5971ec4eec237a88cad2701712ba7806c533da7b8:3|a0e40506661ca05143feb4a9949ffc4261c249ec29dcc68cdb8c88ec264a2bf6b7baac018ff0530823ddd5cb3efd72106ed0857f62fd97efeb7eab299ec83e72:2|b4ef3e6518e866e89b69393c18b42f3770a1868d7496e70ea97aae3db2db13cef627f6b5fdc7ebf6e3c7cdb439e91905e8885298e01a8c6beaa98aad0d5715c0:2|a50f9c29b7914f16ed84c7ebd23637c4b30ded58982095f8a937538e9e46671a585a7255f43fb35f9458eaf5138a46ee3a2f7d3c6a18c829ca005b03daa63c79:2|48a1980ffa4529b083aac4cd2905b676125fc2fe48903e11cdc8f3a40c5c91b386249156c3a04e9030cd90126f481478b9df5c2501b933c4c64cdaa1bb82fc91:2|a0218892bc0315bc5a83ac264ab5efd8b90e1ad51b84ea8831c07bdee26f98deca7a33e5a3f56218df401f2763754e1ede70abac7e3dc74b49244a80854017dd:2|03207f956c0a2d363285286b1a9ede62e03373a9242253c7d6d5fb99819d4eb983fc1191e4dda5dd1b15ad690f9f115c47140236a4887ee22e1ab344985982d5:2|638304111623b221d3535beb1e6aafe04b2794ba90a8a734b582c5faf8924ce6a62f5d5ceb06dd11348172e8ec8dbbe54401a71058c9073a413fb3755795fd88:2|56412a01be53adfa434e714d21ec717f17516ad6267c1364ea562057a9157f88c219b6a2688c96e3ecc486befb66becae99aa064e1df2177a8c2fb8e1002f564:2|07e8934c2a06f8b6e27296413d04e783282f9446ea0c8c983a99fbfcb6646e34c86e2ba3d365d822d0f6978b8b38a354b089e2caf0ffa9ab3c49df4151f13ac0:2
User_Mapping,USER_NUM,integer_like,26366,0,0.0,26366,26366,0,9999,0:1|1:1|2:1|3:1|4:1|5:1|6:1|7:1|8:1|9:1
View_History,USER_NUM,integer_like,175301,0,0.0,23720,23720,0,9998,4228:104|379:93|12984:86|12860:75|384:72|22186:72|15172:67|25823:67|19833:66|15382:62
View_History,MOVIE_NUM,integer_like,175301,0,0.0,5411,5411,1000,9992,2170:3974|2198:2592|1616:2474|8579:2471|1900:2180|5184:2117|6654:1972|4201:1674|13893:1599|7874:1595
View_History,watch_time(min),integer_like,175301,0,0.0,200,200,1,99,1:38667|2:7260|3:4300|4:3506|5:3178|6:2850|7:2621|8:2467|9:2200|10:2038
View_History,watch_day,integer_like,175301,0,0.0,43,43,20210301,20210412,20210320:10499|20210321:9780|20210314:9132|20210313:8303|20210327:7455|20210319:6998|20210316:6701|20210317:6566|20210318:6430|20210322:6421
View_History,watch_seq,integer_like,175301,0,0.0,37,37,1,9,1:96124|2:41688|3:18340|4:8658|5:4289|6:2363|7:1387|8:812|9:516|10:327
Movie_Master,MOVIE_NUM,integer_like,14502,0,0.0,14018,14018,0,9999,7507:6|2012:5|2491:5|3967:5|4178:5|5763:5|8103:5|9664:5|12683:5|1247:4
Movie_Master,movie_title,string_or_mixed,14502,0,0.0,14018,14018,#살아있다,힛쳐(2007),실종(2008):6|뮬란:5|신데렐라:5|뮬란(2020):5|신데렐라(2015):5|인어공주(1989):5|챔피언(2018):5|뮬란(2019):5|챔피언:5|상류사회(2018):4
Movie_Master,ott_release_month,integer_like,14502,0,0.0,120,120,200212,202103,201612:458|202003:439|201701:321|201901:300|202009:277|202012:275|201909:274|201910:260|201912:246|201911:238
Movie_Master,genre,string_or_mixed,14502,0,0.0,11,11,Action/Adventure,Thriller/Crime,Drama:3184|Thriller/Crime:1838|Horror:1587|Comedy:1556|Action/Adventure:1467|SF/Fantasy:1373|Romance:1088|Documentary:757|Animation/Family:732|Historical/War:619
