section,metric,value,count,rate,note
price_vs_is_promotion,price_is_promotion_cross_tab,price=16.49|is_promotion=,304,0.012628,Audit only. No rule applied.
price_vs_is_promotion,price_is_promotion_cross_tab,price=3950|is_promotion=,169,0.00702,Audit only. No rule applied.
price_vs_is_promotion,price_is_promotion_cross_tab,price=10.99|is_promotion=,108,0.004486,Audit only. No rule applied.
price_vs_is_promotion,price_is_promotion_cross_tab,price=6700|is_promotion=,92,0.003822,Audit only. No rule applied.
price_vs_is_promotion,price_is_promotion_cross_tab,price=6950|is_promotion=,61,0.002534,Audit only. No rule applied.
price_vs_is_promotion,price_is_promotion_cross_tab,price=13750|is_promotion=,45,0.001869,Audit only. No rule applied.
price_vs_is_promotion,price_is_promotion_cross_tab,price=5450|is_promotion=,44,0.001828,Audit only. No rule applied.
price_vs_is_promotion,price_is_promotion_cross_tab,price=6900|is_promotion=,35,0.001454,Audit only. No rule applied.
price_vs_is_promotion,price_is_promotion_cross_tab,price=14.29|is_promotion=,30,0.001246,Audit only. No rule applied.
price_vs_is_promotion,price_is_promotion_cross_tab,price=5900|is_promotion=,15,0.000623,Audit only. No rule applied.
price_vs_is_promotion,price_is_promotion_cross_tab,price=13.19|is_promotion=,12,0.000498,Audit only. No rule applied.
price_vs_is_promotion,price_is_promotion_cross_tab,price=9.89|is_promotion=,7,0.000291,Audit only. No rule applied.
price_vs_is_promotion,price_is_promotion_cross_tab,price=6210|is_promotion=,7,0.000291,Audit only. No rule applied.
price_vs_is_promotion,price_is_promotion_cross_tab,price=3350|is_promotion=,6,0.000249,Audit only. No rule applied.
price_vs_is_promotion,price_is_promotion_cross_tab,price=21.99|is_promotion=,3,0.000125,Audit only. No rule applied.
price_vs_is_promotion,price_is_promotion_cross_tab,price=11800|is_promotion=,3,0.000125,Audit only. No rule applied.
price_vs_is_promotion,price_is_promotion_cross_tab,price=4900|is_promotion=,3,0.000125,Audit only. No rule applied.
price_vs_is_promotion,price_is_promotion_cross_tab,price=18.69|is_promotion=,2,8.3e-05,Audit only. No rule applied.
price_vs_is_promotion,price_is_promotion_cross_tab,price=20.49|is_promotion=,1,4.2e-05,Audit only. No rule applied.
price_vs_is_promotion,price_is_promotion_cross_tab,price=26.39|is_promotion=,1,4.2e-05,Audit only. No rule applied.
price_vs_is_promotion,price_is_promotion_cross_tab,price=16400|is_promotion=,1,4.2e-05,Audit only. No rule applied.
price_vs_is_promotion,price_is_promotion_cross_tab,price=29.69|is_promotion=,1,4.2e-05,Audit only. No rule applied.
price_vs_is_promotion,price_is_promotion_cross_tab,price=10400|is_promotion=,1,4.2e-05,Audit only. No rule applied.
price_vs_is_promotion,price_is_promotion_cross_tab,price=11550|is_promotion=,1,4.2e-05,Audit only. No rule applied.
price_vs_is_promotion,price_is_promotion_cross_tab,price=27.49|is_promotion=,1,4.2e-05,Audit only. No rule applied.
price_vs_is_promotion,price_is_promotion_cross_tab,price=24.19|is_promotion=,1,4.2e-05,Audit only. No rule applied.
price_vs_is_promotion,price_is_promotion_cross_tab,price=8900|is_promotion=,1,4.2e-05,Audit only. No rule applied.
price_vs_is_promotion,price_is_promotion_cross_tab,price=7.69|is_promotion=,1,4.2e-05,Audit only. No rule applied.
price_vs_is_promotion,price_is_promotion_cross_tab,price=9810|is_promotion=,1,4.2e-05,Audit only. No rule applied.
price_vs_is_promotion,price_is_promotion_cross_tab,price=19.79|is_promotion=,1,4.2e-05,Audit only. No rule applied.
price_vs_is_promotion,price_is_promotion_cross_tab,price=5700|is_promotion=,1,4.2e-05,Audit only. No rule applied.
price_vs_is_promotion,price_is_promotion_cross_tab,price=17.59|is_promotion=,1,4.2e-05,Audit only. No rule applied.
