section,metric,value,count,recommendation
one_to_many_detail,USER_KEY_maps_to_multiple_USER_NUM,6b8b057c60966804a172c907bbc80ee5e7e5df5329c23846e0ef6ce45e02960cfbe71f15b74fe3ada09b86a3e8ad4c6bab987058728a296077858143a79c6046,2,1935|12687
one_to_many_detail,USER_KEY_maps_to_multiple_USER_NUM,baba1c14dcdecfb7538102b30e4cb0f1de2b0db35fdc5306c8df2bc196954d82db4e8a05c1ab4562dfde6bfca92fb5c94f6b94a4aca605c4e6a1e0673a00b24a,2,2380|14923
one_to_many_detail,USER_KEY_maps_to_multiple_USER_NUM,bb905f9ac934ed4b7f9254b3c5be9f77e43b1df26752bb7a5617ef67d5bb89f6a145602c78fc36a831a459c02868f2543bfe7ccb3691d0de2eb4aa60da0b0cdc,2,3073|3811
one_to_many_detail,USER_KEY_maps_to_multiple_USER_NUM,0258fd467c5765400d487d203f7c77afb597120daa9b1ede96e6a06122e89ea3120f1c5b6932ce435b954aab5da1999305ab7de84225bd741ee334c26ff1ce33,2,3363|16255
one_to_many_detail,USER_KEY_maps_to_multiple_USER_NUM,e7607ee4e1a48b7147ad4807c099fbca1627cce1c30ab25a639cc2f2a05d8df6df46ac106d95d84d0e827213b85ee7c53b4f3283a2f362e025ec51451ced55b0,2,3405|12426
one_to_many_detail,USER_KEY_maps_to_multiple_USER_NUM,bbde69b7a6515144f270e2fecb881da3acd4986b74567a95098106971d617a005eda83a6cd7b4406833303e09c06df28295265efdf17ac03f96fb06cd19ae773,2,3431|15422
one_to_many_detail,USER_KEY_maps_to_multiple_USER_NUM,acd40950177e99a0cbb7e02b45831db97950aae00b9f4d515176bc927b04d8d06b86593be7ce9896b74577972a3d4df931cb3beb53e4fe7d594e56b51ea31b4f,2,3668|9838
one_to_many_detail,USER_KEY_maps_to_multiple_USER_NUM,1f6832090ba671fb33d0e6b815ef15fac70cb2473875851e456f0c4f2a5dad5a702ec40460181e5d2a2f7b0cb3d7068c4145bb93d156c3e01c4f802c58df752d,2,3867|14569
one_to_many_detail,USER_KEY_maps_to_multiple_USER_NUM,bd62ee7470586d63761161ce63ff64a17f677340e516a43f743f89ef376ed5e47c9952e20cdf4485348345c27835d42efd3835bc449cda00c7f35ffca3c67207,2,3978|4862
one_to_many_detail,USER_KEY_maps_to_multiple_USER_NUM,7fde7d15ef62456f67f8323066203ec3090257e53d48a8d88b6c4462e105099b85e499e0efccd162e5789c765e85912cf42eba356b5b22e46c68df7749793bb0,2,5164|15403
one_to_many_detail,USER_KEY_maps_to_multiple_USER_NUM,83d0c481417cdebb162539d053ffe6b0bcbb5e13c6cade991001b55459c9c8088103ae7bb7fd8d668debdcfe5eb03689cdcac8f59d6265d476e41b77660c109a,2,5206|13009
one_to_many_detail,USER_KEY_maps_to_multiple_USER_NUM,103ba40b65d0f0529dfa9b66e1a1fbb7df86de198a9ed6c5d6eef1b15f2f89e140204a5c4aae334f1ae2b91008af49729948346962e4d6a7330c54782f54a3a3,2,6102|9296
one_to_many_detail,USER_KEY_maps_to_multiple_USER_NUM,9f0e82544e63feb3fbd0eeb81c749932f9aa0be13d5082805cae93dadda5277be3bc4bbdc8af145edab5d890b53b4768e15d2358d58dfb76bb509ad430f732a2,2,6271|6292
one_to_many_detail,USER_KEY_maps_to_multiple_USER_NUM,6513fff57e32407ab087206e57186ee4cbde4888a5f79702f9caee7d23d008d30360c95fe000694668cd0c5fd557fb0e1a6d4473abbb18652a717ebf2d5c471e,2,6903|9473
one_to_many_detail,USER_KEY_maps_to_multiple_USER_NUM,fa8338838698247e18e24dd5b2182c9e76fc193faca094ddf5e8b2b1f5ddb46adc0b4a0ec625a9e47a4c0b364fd7e1f12ca3ecc02e69d2dc7b96d58386ef83ba,2,6953|14499
one_to_many_detail,USER_KEY_maps_to_multiple_USER_NUM,9abf8d2b6beec988fe416c81965fc2699dec74628220aeacf73e858099cd3adb49d625a774df82a1b4b9d2993fc05568ae254db51793f88a96c7e9df6e6d7e21,2,7469|11260
one_to_many_detail,USER_KEY_maps_to_multiple_USER_NUM,8f5d8a903132cff07ffcc50aff14854b977f8c8beba9189ca61ef3a6e1e2ec2d50ffa755ff9e5fde59778535b23584e2844fba29d6d9695482ba4b066d7f8c14,2,8364|10895
one_to_many_detail,USER_KEY_maps_to_multiple_USER_NUM,8e7c2a309dab310d431faf504e9fe0de8cda99bac1293e5ef39931f7c06fdb7538d8f079ea8ff88d9bcfb64b039baf17ed7729e3743979e9065718ecbf0c8b89,2,8463|15092
one_to_many_detail,USER_KEY_maps_to_multiple_USER_NUM,89650c59c905843525002ab7e970196d4ea04a86193a4dd6d8c3d26ac57e7f7c2478a5e8c7d57c5980c314e89e2f5fdab25a87a495d2ab015711f3401c2c8eed,2,8575|16053
one_to_many_detail,USER_KEY_maps_to_multiple_USER_NUM,51114f7359992ecf5c70f08e63cbc1b450779dcdb874723aa7cd7568142ffa41f53e4b1eb65a6efd481423c33a894fecad9d1928c401acb0dc10c73caa195a0e,2,9048|18438
one_to_many_detail,USER_KEY_maps_to_multiple_USER_NUM,072c0b5986c11d3c3e14fcd4f213a2cba2e973e41e635c1d51af7282689df42cb2d43ab52af8869a7780f26cd86e2f5ea384d3fbadca5ca2a72f04f77909084c,2,10426|15041
one_to_many_detail,USER_KEY_maps_to_multiple_USER_NUM,ab18590fd5c0d270f14c4d96250ae1b2ec9cb584dd1178a945c4f0ff53679553dfd29b9f93b038ed6c6fb88e0037c2d2dab89efd70dce33401f36dbee6e0cc6f,2,11044|16456
one_to_many_detail,USER_KEY_maps_to_multiple_USER_NUM,30b5277fa426741ace60d662191b7fdbb87c96bcee15e704fb38e9ee11b2d0477664db2ba37212d274be16254452d1965b0481d9e43ee1889611a604902c89a1,2,11186|18163
one_to_many_detail,USER_KEY_maps_to_multiple_USER_NUM,126884c4fdf03b822ef72f87d2f5d64cfbc6f26764b7df292e72c57a571d07e6459a00e1e2e97ea0bd4393c36a1705f42dc6a5ad857831e8d74414f29c9f0e6a,2,11798|17224
one_to_many_detail,USER_KEY_maps_to_multiple_USER_NUM,a02a14ff1ab86edbfe46ad5a6a7fce054dc83c39aa7c362622171c550dcfe7099733a95d986e379eedfcb8edb5adc79c3f2439a56104f63410b83a10131c8ea5,2,12028|16470
one_to_many_detail,USER_KEY_maps_to_multiple_USER_NUM,a6e6e6128f41e37c3fab8276d6861b58a12e2f99976df1f55bc736bdb52db94c58487e29a9cef71c7045834409303e02f24127af76d1d08091312406fcfa3bd5,2,12186|18853
one_to_many_detail,USER_KEY_maps_to_multiple_USER_NUM,f7df27e8cff200727af1582b73f9fc1685f53c174829f15edd4d014239f129b8e917811d638c868a56ecb53f993e2368e633c5fa4f579d41224990be3711194e,2,13318|15441
one_to_many_detail,USER_KEY_maps_to_multiple_USER_NUM,63370177497798e110c86c207966d8348c67f2120eda7ba945226ff26336244fab642d3e92d9c87a3d195cabfca2910beefee7a4af4f4c681e44341d05e1ccd8,2,13552|13979
one_to_many_detail,USER_KEY_maps_to_multiple_USER_NUM,6a66ddde66361935bf866d6d1ccd8c3a1186f958dc147ad5cd264b37bb18d74853e4ba4eb9f45710a9c30e7675764c7ad1d210349bbe2939d5c3f1aceaccb7e1,2,13570|15298
one_to_many_detail,USER_KEY_maps_to_multiple_USER_NUM,06413c96660e23ddd8e6cc93b3e03e299201a9a1aa05ba70ea10b8a8c6f7a17686772ce450d9427ac59dd24d830052c31a8122bb355ce6d58ae7d6d16a9c8d65,2,13820|17661
one_to_many_detail,USER_KEY_maps_to_multiple_USER_NUM,30e3c9509b8d6102f80906a80afcd2a3593d4a69314509227839d972bc051a4c2411cac5aa2fabd6069781c5971ec4eec237a88cad2701712ba7806c533da7b8,3,14197|16265|18866
one_to_many_detail,USER_KEY_maps_to_multiple_USER_NUM,cbc167c0fe700a90ea2e239057625d70855746f9341f462c7df4c8713e4e77460ec9f872a0e0dc9fa1449d260b07ad0fd876269d2816c348a502e1b0818026e6,2,15590|18497
one_to_many_detail,USER_KEY_maps_to_multiple_USER_NUM,637297b81d11f076809e4a4e167898177f9d5b8291ed155641336c239c7e4cb4439e72dde7f2db6df512780664064641e0feb63dbc2577f5404868097b3de53a,2,17761|17853
one_to_many_detail,USER_KEY_maps_to_multiple_USER_NUM,fd77b680d4f9bfe25d663b880cc4097601888b1a1c0c22a87c9adc1f30673578b46b355fdc542a8b0dad5dda500fa1c25db251e05e8dfdd5a82c1d1a3c206fcd,2,19903|20575
one_to_many_detail,USER_KEY_maps_to_multiple_USER_NUM,780f9ae1a82aeaffe1da44f3f51f770f3e169381aa6ccb1ab5a874ae9334e04fecc13b0a25f859e66bbc724c7be84e2be9e71a91a87c655cbe1172b51aae1f80,2,21576|27193
one_to_many_detail,USER_KEY_maps_to_multiple_USER_NUM,10d58f5fa156cbd2367fb314196f300432043cd5206dcf8cfc5bdf91af8455e81e0c3caf27e844f422348b69097cf5c9d1299524985bb5910ddd4a375d2fba11,2,21877|27668
one_to_many_detail,USER_KEY_maps_to_multiple_USER_NUM,16d508abafb2cfe1539bb40ba1c63001fdbca0527135b44de5bf93f560990ba86a2e51cf5045e0200761eb61f0a28ac924e5107b3ad3d941ba37ffb436426bd1,2,22405|28087
one_to_many_detail,USER_KEY_maps_to_multiple_USER_NUM,48297a1071254880823e32ae88ff41c01ea1351f9e6bd6e04c0084509856c5e6f3b39272569a7bf1b9df60162dc5ca0a0b133721f6c8407c6f8796b4267492e8,2,23405|26610
one_to_many_detail,USER_KEY_maps_to_multiple_USER_NUM,ce0e31d41025c395b502d42a4bc521deaca9975b391d24a9b7ffa827d5982d2fc0128609ef6a8a4bfafe715b99d74eb75ff424e0497c3d70d8cd09827efb5c68,2,23636|23762
one_to_many_detail,USER_KEY_maps_to_multiple_USER_NUM,4c3fc8f9cf38f445820a0647cadf1358be30da49efe33b52e4ea572828042e26b42673334a80df7b25255afa02b2e1e9c96df3adc858e50e8400a8ca3b8a717b,2,24056|24444
one_to_many_detail,USER_KEY_maps_to_multiple_USER_NUM,1b0a1584b71eb15974a900237b339a586598666781d8dcd03cccee800ad3471cd1b7a176579a5f1d8ac98e20cb475afa82f4aa1fbb4bdd649ec671d73045c0d9,2,26151|26850
