membership_row_id,has_usage_feature,total_watch_time,total_sessions,unique_contents,unique_days,first_watch_rel_day,last_watch_rel_day,avg_session_time,median_session_time,min_session_time,max_session_time,std_session_time,active_span_days,days_since_first_watch_from_reg,days_since_last_watch_to_obs_end,watch_days_ratio,sessions_per_active_day,contents_per_active_day,avg_watch_time_per_content,max_daily_watch_time,avg_daily_watch_time,median_daily_watch_time,std_daily_watch_time,max_daily_sessions,avg_gap_between_watch_days,max_gap_between_watch_days,max_inactive_gap_days,start_inactive_days,end_inactive_days,week1_watch_time,week2_watch_time,week3_watch_time,week1_sessions,week2_sessions,week3_sessions,week1_unique_contents,week2_unique_contents,week3_unique_contents,week1_active_days,week2_active_days,week3_active_days,week1_ratio,week2_ratio,week3_ratio,front_loaded_ratio,late_ratio,w2_minus_w1_watch_time,w3_minus_w2_watch_time,w3_minus_w1_watch_time,w3_to_w1_ratio,w3_to_w1_ratio_capped,daily_watch_slope,week_count_with_watch,front_loaded_flag,late_binge_flag,only_week1_flag,only_week3_flag,no_week1_flag,no_week3_flag,steady_3week_watch_flag,usage_trend_label,max_day_share,one_day_binge_flag
15,1,771,14,9,4,6,9,55.07142857142857,63.5,5,93,30.788270208272216,4,6,11,0.19047619047619047,3.5,2.25,85.66666666666667,333,192.75,174.5,102.60076347994037,6,1.0,1.0,11.0,6.0,11.0,333,438,0,6,8,0,4,6,0,1,3,0,0.43190661478599224,0.5680933852140078,0.0,0.43190661478599224,0.0,105,-438,-333,0.0,0.0,-23.785714285714285,2,0,0,0,0,0,1,0,front_decreasing,0.43190661478599224,0
16,1,19,3,3,2,5,13,6.333333333333333,2.0,1,16,8.386497083606084,9,5,7,0.09523809523809523,1.5,1.5,6.333333333333333,18,9.5,9.5,12.020815280171307,2,8.0,8.0,7.0,5.0,7.0,1,18,0,1,2,0,1,2,0,1,1,0,0.05263157894736842,0.9473684210526315,0.0,0.05263157894736842,0.0,17,-18,-1,0.0,0.0,-0.07142857142857142,2,0,0,0,0,0,1,0,mixed_or_low_activity,0.9473684210526315,1
17,1,326,5,4,4,5,19,65.2,51.0,38,102,27.0129598526337,15,5,1,0.19047619047619047,1.25,1.0,81.5,136,81.5,76.0,45.73474244670748,2,4.666666666666667,9.0,8.0,5.0,1.0,50,38,238,1,1,3,1,1,3,1,1,2,0.15337423312883436,0.1165644171779141,0.7300613496932515,0.15337423312883436,0.7300613496932515,-12,200,188,4.76,4.76,13.428571428571429,3,0,1,0,0,0,0,1,late_increasing,0.4171779141104294,0
18,1,1018,24,16,10,7,20,42.416666666666664,18.5,1,152,50.68909210048069,14,7,0,0.47619047619047616,2.4,1.6,63.625,249,101.8,94.0,86.01395235657992,5,1.4444444444444444,5.0,7.0,7.0,0.0,0,979,39,0,19,5,0,13,4,0,7,3,0.0,0.9616895874263262,0.03831041257367387,0.0,0.03831041257367387,979,-940,39,,999.0,2.7857142857142856,2,0,0,0,0,1,0,0,late_increasing,0.24459724950884087,0
19,1,333,8,5,8,0,19,41.625,48.5,2,81,29.60664741960108,20,0,1,0.38095238095238093,1.0,0.625,66.6,81,41.625,48.5,29.60664741960108,1,2.7142857142857144,6.0,5.0,0.0,1.0,119,145,69,3,3,2,3,2,2,3,3,2,0.35735735735735735,0.43543543543543545,0.2072072072072072,0.35735735735735735,0.2072072072072072,26,-76,-50,0.5798319327731093,0.5798319327731093,-3.5714285714285716,3,0,0,0,0,0,0,1,front_decreasing,0.24324324324324326,0
20,1,100,9,8,3,0,18,11.11111111111111,11.0,6,17,4.567396535348241,19,0,2,0.14285714285714285,3.0,2.6666666666666665,12.5,71,33.333333333333336,23.0,33.70954365359065,6,9.0,13.0,12.0,0.0,2.0,94,0,6,8,0,1,8,0,1,2,0,1,0.94,0.0,0.06,0.94,0.06,-94,6,-88,0.06382978723404255,0.06382978723404255,-6.285714285714286,2,1,0,0,0,0,0,0,front_decreasing,0.71,0
23,1,125,3,2,2,7,14,41.666666666666664,27.0,1,97,49.652123150307816,8,7,6,0.09523809523809523,1.5,1.0,62.5,97,62.5,62.5,48.79036790187178,2,7.0,7.0,7.0,7.0,6.0,0,97,28,0,1,2,0,1,1,0,1,1,0.0,0.776,0.224,0.0,0.224,97,-69,28,,999.0,2.0,2,0,0,0,0,1,0,0,mixed_or_low_activity,0.776,0
24,1,4,1,1,1,8,8,4.0,4.0,4,4,0.0,1,8,12,0.047619047619047616,1.0,1.0,4.0,4,4.0,4.0,0.0,1,0.0,0.0,12.0,8.0,12.0,0,4,0,0,1,0,0,1,0,0,1,0,0.0,1.0,0.0,0.0,0.0,4,-4,0,0.0,0.0,0.0,1,0,0,0,0,1,1,0,mixed_or_low_activity,1.0,1
25,1,207,7,5,5,5,20,29.571428571428573,39.0,1,56,23.98511443136585,16,5,0,0.23809523809523808,1.4,1.0,41.4,56,41.4,44.0,16.637307474468336,2,3.75,5.0,5.0,5.0,0.0,40,70,97,2,3,2,1,2,2,1,2,2,0.1932367149758454,0.33816425120772947,0.46859903381642515,0.1932367149758454,0.46859903381642515,30,27,57,2.425,2.425,4.071428571428571,3,0,0,0,0,0,0,1,late_increasing,0.27053140096618356,0
26,1,12,1,1,1,15,15,12.0,12.0,12,12,0.0,1,15,5,0.047619047619047616,1.0,1.0,12.0,12,12.0,12.0,0.0,1,0.0,0.0,15.0,15.0,5.0,0,0,12,0,0,1,0,0,1,0,0,1,0.0,0.0,1.0,0.0,1.0,0,12,12,,999.0,0.8571428571428571,1,0,1,0,1,1,0,0,only_week3,1.0,1
28,1,475,9,7,6,1,17,52.77777777777778,63.0,1,117,52.48756466482747,17,1,3,0.2857142857142857,1.5,1.1666666666666667,67.85714285714286,180,79.16666666666667,89.0,69.96403838163336,2,3.2,7.0,6.0,1.0,3.0,228,1,246,5,1,3,5,1,1,3,1,2,0.48,0.002105263157894737,0.5178947368421053,0.48,0.5178947368421053,-227,245,18,1.0789473684210527,1.0789473684210527,1.2857142857142858,3,0,1,0,0,0,0,1,steady_all_weeks,0.37894736842105264,0
29,1,84,5,3,3,0,5,16.8,1.0,1,73,31.56263613832026,6,0,15,0.14285714285714285,1.6666666666666667,1.0,28.0,73,28.0,10.0,39.230090491866065,3,2.5,4.0,15.0,0.0,15.0,84,0,0,5,0,0,3,0,0,3,0,0,1.0,0.0,0.0,1.0,0.0,-84,0,-84,0.0,0.0,-6.0,1,1,0,1,0,0,1,0,only_week1,0.8690476190476191,1
30,1,241,3,3,3,7,19,80.33333333333333,87.0,39,115,38.4360941477322,13,7,1,0.14285714285714285,1.0,1.0,80.33333333333333,115,80.33333333333333,87.0,38.4360941477322,1,6.0,7.0,7.0,7.0,1.0,0,87,154,0,1,2,0,1,2,0,1,2,0.0,0.36099585062240663,0.6390041493775933,0.0,0.6390041493775933,87,67,154,,999.0,11.0,2,0,1,0,0,1,0,0,late_increasing,0.47717842323651455,0
31,1,156,2,1,1,0,0,78.0,78.0,5,151,103.23759005323593,1,0,20,0.047619047619047616,2.0,1.0,156.0,156,156.0,156.0,0.0,2,0.0,0.0,20.0,0.0,20.0,156,0,0,2,0,0,1,0,0,1,0,0,1.0,0.0,0.0,1.0,0.0,-156,0,-156,0.0,0.0,-11.142857142857142,1,1,0,1,0,0,1,0,only_week1,1.0,1
33,1,385,6,4,2,4,11,64.16666666666667,40.5,1,200,77.8033846735903,8,4,9,0.09523809523809523,3.0,2.0,96.25,303,192.5,192.5,156.27059864222701,3,7.0,7.0,9.0,4.0,9.0,82,303,0,3,3,0,2,2,0,1,1,0,0.21298701298701297,0.787012987012987,0.0,0.21298701298701297,0.0,221,-303,-82,0.0,0.0,-5.857142857142857,2,0,0,0,0,0,1,0,front_decreasing,0.787012987012987,0
34,1,7,1,1,1,2,2,7.0,7.0,7,7,0.0,1,2,18,0.047619047619047616,1.0,1.0,7.0,7,7.0,7.0,0.0,1,0.0,0.0,18.0,2.0,18.0,7,0,0,1,0,0,1,0,0,1,0,0,1.0,0.0,0.0,1.0,0.0,-7,0,-7,0.0,0.0,-0.5,1,1,0,1,0,0,1,0,only_week1,1.0,1
35,1,3,1,1,1,17,17,3.0,3.0,3,3,0.0,1,17,3,0.047619047619047616,1.0,1.0,3.0,3,3.0,3.0,0.0,1,0.0,0.0,17.0,17.0,3.0,0,0,3,0,0,1,0,0,1,0,0,1,0.0,0.0,1.0,0.0,1.0,0,3,3,,999.0,0.21428571428571427,1,0,1,0,1,1,0,0,only_week3,1.0,1
37,1,398,7,6,5,3,17,56.857142857142854,49.0,4,137,45.193762738636735,15,3,3,0.23809523809523808,1.4,1.2,66.33333333333333,141,79.6,88.0,47.44259689350911,2,3.5,6.0,5.0,3.0,3.0,141,147,110,2,2,3,2,2,3,1,2,2,0.3542713567839196,0.3693467336683417,0.27638190954773867,0.3542713567839196,0.27638190954773867,6,-37,-31,0.7801418439716312,0.7801418439716312,-2.2142857142857144,3,0,0,0,0,0,0,1,front_decreasing,0.3542713567839196,0
38,1,328,5,3,4,5,17,65.6,42.0,22,132,45.329901830910686,13,5,3,0.19047619047619047,1.25,0.75,109.33333333333333,172,82.0,67.0,66.8331255192114,2,4.0,6.0,5.0,5.0,3.0,42,194,92,1,3,1,1,2,1,1,2,1,0.12804878048780488,0.5914634146341463,0.2804878048780488,0.12804878048780488,0.2804878048780488,152,-102,50,2.1904761904761907,2.1904761904761907,3.5714285714285716,3,0,0,0,0,0,0,1,late_increasing,0.524390243902439,0
39,1,146,5,3,4,5,12,29.2,8.0,4,112,46.51021393199562,8,5,8,0.19047619047619047,1.25,0.75,48.666666666666664,112,36.5,13.0,50.44799302251776,2,2.3333333333333335,4.0,8.0,5.0,8.0,8,138,0,1,4,0,1,3,0,1,3,0,0.0547945205479452,0.9452054794520548,0.0,0.0547945205479452,0.0,130,-138,-8,0.0,0.0,-0.5714285714285714,2,0,0,0,0,0,1,0,mixed_or_low_activity,0.7671232876712328,0
43,1,215,4,4,1,20,20,53.75,43.5,1,127,63.16842565712715,1,20,0,0.047619047619047616,4.0,4.0,53.75,215,215.0,215.0,0.0,4,0.0,0.0,20.0,20.0,0.0,0,0,215,0,0,4,0,0,4,0,0,1,0.0,0.0,1.0,0.0,1.0,0,215,215,,999.0,15.357142857142858,1,0,1,0,1,1,0,0,only_week3,1.0,1
45,1,576,19,12,7,0,17,30.31578947368421,18.0,1,140,37.40774226395586,18,0,3,0.3333333333333333,2.7142857142857144,1.7142857142857142,48.0,258,82.28571428571429,57.0,91.20803013937294,7,2.8333333333333335,6.0,5.0,0.0,3.0,390,174,12,11,6,2,7,3,2,2,4,1,0.6770833333333334,0.3020833333333333,0.020833333333333332,0.6770833333333334,0.020833333333333332,-216,-162,-378,0.03076923076923077,0.03076923076923077,-27.0,3,1,0,0,0,0,0,1,front_decreasing,0.4479166666666667,0
47,1,207,6,5,6,1,19,34.5,1.0,1,200,81.08205720133154,19,1,1,0.2857142857142857,1.0,0.8333333333333334,41.4,200,34.5,1.0,81.08205720133154,1,3.6,9.0,8.0,1.0,1.0,3,0,204,3,0,3,3,0,2,3,0,3,0.014492753623188406,0.0,0.9855072463768116,0.014492753623188406,0.9855072463768116,-3,204,201,68.0,68.0,14.357142857142858,2,0,1,0,0,0,0,0,late_increasing,0.966183574879227,1
54,1,145,4,3,3,3,11,36.25,35.0,15,60,18.5,9,3,9,0.14285714285714285,1.3333333333333333,1.0,48.333333333333336,97,48.333333333333336,33.0,43.096790290383964,2,4.0,4.0,9.0,3.0,9.0,33,112,0,1,3,0,1,2,0,1,2,0,0.22758620689655173,0.7724137931034483,0.0,0.22758620689655173,0.0,79,-112,-33,0.0,0.0,-2.357142857142857,2,0,0,0,0,0,1,0,front_decreasing,0.6689655172413793,0
55,1,284,11,8,9,2,17,25.818181818181817,1.0,1,100,39.16074100886801,16,2,3,0.42857142857142855,1.2222222222222223,0.8888888888888888,35.5,101,31.555555555555557,1.0,43.951994013671076,2,1.875,4.0,3.0,2.0,3.0,209,74,1,6,4,1,4,4,1,4,4,1,0.7359154929577465,0.2605633802816901,0.0035211267605633804,0.7359154929577465,0.0035211267605633804,-135,-73,-208,0.004784688995215311,0.004784688995215311,-14.857142857142858,3,1,0,0,0,0,0,1,front_decreasing,0.35563380281690143,0
56,1,679,10,8,6,9,19,67.9,69.5,1,112,39.49528804525646,11,9,1,0.2857142857142857,1.6666666666666667,1.3333333333333333,84.875,243,113.16666666666667,99.0,67.01765936428001,4,2.0,5.0,9.0,9.0,1.0,0,415,264,0,7,3,0,5,3,0,3,3,0.0,0.6111929307805597,0.38880706921944036,0.0,0.38880706921944036,415,-151,264,,999.0,18.857142857142858,2,0,0,0,0,1,0,0,late_increasing,0.35787923416789397,0
57,1,190,6,4,3,0,12,31.666666666666668,35.0,1,63,26.379284802031055,13,0,8,0.14285714285714285,2.0,1.3333333333333333,47.5,97,63.333333333333336,63.0,33.50124375800596,4,6.0,11.0,10.0,0.0,8.0,97,93,0,4,2,0,3,1,0,1,2,0,0.5105263157894737,0.48947368421052634,0.0,0.5105263157894737,0.0,-4,-93,-97,0.0,0.0,-6.928571428571429,2,1,0,0,0,0,1,0,front_decreasing,0.5105263157894737,0
58,1,368,13,7,8,2,11,28.307692307692307,20.0,1,89,26.160990728514772,10,2,9,0.38095238095238093,1.625,0.875,52.57142857142857,100,46.0,40.5,35.528660462867364,3,1.2857142857142858,3.0,9.0,2.0,9.0,218,150,0,10,3,0,6,2,0,5,3,0,0.592391304347826,0.4076086956521739,0.0,0.592391304347826,0.0,-68,-150,-218,0.0,0.0,-15.571428571428571,2,1,0,0,0,0,1,0,front_decreasing,0.2717391304347826,0
59,1,336,4,3,3,0,19,84.0,79.5,21,156,57.83309317913635,20,0,1,0.14285714285714285,1.3333333333333333,1.0,112.0,177,112.0,100.0,59.90826320300064,2,9.5,13.0,12.0,0.0,1.0,236,0,100,3,0,1,2,0,1,2,0,1,0.7023809523809523,0.0,0.2976190476190476,0.7023809523809523,0.2976190476190476,-236,100,-136,0.423728813559322,0.423728813559322,-9.714285714285714,2,1,0,0,0,0,0,0,front_decreasing,0.5267857142857143,0
60,1,230,8,7,4,0,18,28.75,4.0,1,136,48.18639404882432,19,0,2,0.19047619047619047,2.0,1.75,32.857142857142854,136,57.5,45.0,64.64518543557594,4,6.0,11.0,10.0,0.0,2.0,136,89,5,1,6,1,1,5,1,1,2,1,0.591304347826087,0.3869565217391304,0.021739130434782608,0.591304347826087,0.021739130434782608,-47,-84,-131,0.03676470588235294,0.03676470588235294,-9.357142857142858,3,1,0,0,0,0,0,1,front_decreasing,0.591304347826087,0
61,1,839,13,8,5,0,6,64.53846153846153,49.0,1,140,51.64883894244443,7,0,14,0.23809523809523808,2.6,1.6,104.875,328,167.8,82.0,138.06954769245823,3,1.5,2.0,14.0,0.0,14.0,839,0,0,13,0,0,8,0,0,5,0,0,1.0,0.0,0.0,1.0,0.0,-839,0,-839,0.0,0.0,-59.92857142857143,1,1,0,1,0,0,1,0,only_week1,0.3909415971394517,0
63,1,148,4,3,3,1,10,37.0,26.5,15,80,30.648545370593585,10,1,10,0.14285714285714285,1.3333333333333333,1.0,49.333333333333336,80,49.333333333333336,53.0,32.65475973473596,2,4.5,6.0,10.0,1.0,10.0,133,15,0,3,1,0,2,1,0,2,1,0,0.8986486486486487,0.10135135135135136,0.0,0.8986486486486487,0.0,-118,-15,-133,0.0,0.0,-9.5,2,1,0,0,0,0,1,0,front_decreasing,0.5405405405405406,0
66,1,254,2,2,2,0,11,127.0,127.0,109,145,25.45584412271571,12,0,9,0.09523809523809523,1.0,1.0,127.0,145,127.0,127.0,25.45584412271571,1,11.0,11.0,10.0,0.0,9.0,145,109,0,1,1,0,1,1,0,1,1,0,0.5708661417322834,0.42913385826771655,0.0,0.5708661417322834,0.0,-36,-109,-145,0.0,0.0,-10.357142857142858,2,1,0,0,0,0,1,0,front_decreasing,0.5708661417322834,0
70,1,318,5,3,2,2,3,63.6,36.0,1,157,72.19972299115835,2,2,17,0.09523809523809523,2.5,1.5,106.0,193,159.0,159.0,48.08326112068523,3,1.0,1.0,17.0,2.0,17.0,318,0,0,5,0,0,3,0,0,2,0,0,1.0,0.0,0.0,1.0,0.0,-318,0,-318,0.0,0.0,-22.714285714285715,1,1,0,1,0,0,1,0,only_week1,0.6069182389937107,0
71,1,480,8,1,4,17,20,60.0,39.5,12,122,45.34313619501854,4,17,0,0.19047619047619047,2.0,0.25,480.0,246,120.0,95.5,94.80857907735283,3,1.0,1.0,17.0,17.0,0.0,0,0,480,0,0,8,0,0,1,0,0,4,0.0,0.0,1.0,0.0,1.0,0,480,480,,999.0,34.285714285714285,1,0,1,0,1,1,0,0,only_week3,0.5125,0
72,1,228,8,6,4,3,17,28.5,12.5,1,93,34.67399190006415,15,3,3,0.19047619047619047,2.0,1.5,38.0,93,57.0,66.0,39.22584182228174,3,4.666666666666667,7.0,6.0,3.0,3.0,93,58,77,1,4,3,1,4,2,1,2,1,0.40789473684210525,0.2543859649122807,0.33771929824561403,0.40789473684210525,0.33771929824561403,-35,19,-16,0.8279569892473119,0.8279569892473119,-1.1428571428571428,3,0,0,0,0,0,0,1,steady_all_weeks,0.40789473684210525,0
73,1,1180,24,12,13,1,20,49.166666666666664,39.5,1,193,48.28598380362626,20,1,0,0.6190476190476191,1.8461538461538463,0.9230769230769231,98.33333333333333,228,90.76923076923077,97.0,67.49339948734968,4,1.5833333333333333,6.0,5.0,1.0,0.0,590,408,182,12,7,5,7,4,3,6,5,2,0.5,0.34576271186440677,0.15423728813559323,0.5,0.15423728813559323,-182,-226,-408,0.30847457627118646,0.30847457627118646,-29.142857142857142,3,1,0,0,0,0,0,1,front_decreasing,0.19322033898305085,0
74,1,618,18,15,8,5,20,34.333333333333336,14.0,1,145,47.5221310672877,16,5,0,0.38095238095238093,2.25,1.875,41.2,267,77.25,18.0,99.53857830725015,6,2.142857142857143,6.0,5.0,5.0,0.0,196,44,378,6,3,9,5,3,8,2,3,3,0.31715210355987056,0.07119741100323625,0.6116504854368932,0.31715210355987056,0.6116504854368932,-152,334,182,1.9285714285714286,1.9285714285714286,13.0,3,0,1,0,0,0,0,1,late_increasing,0.4320388349514563,0
76,1,84,5,4,4,1,20,16.8,11.0,1,59,24.170229622409465,20,1,0,0.19047619047619047,1.25,1.0,21.0,60,21.0,11.5,26.47010892812243,2,6.333333333333333,11.0,10.0,1.0,0.0,23,60,1,2,2,1,2,2,1,2,1,1,0.27380952380952384,0.7142857142857143,0.011904761904761904,0.27380952380952384,0.011904761904761904,37,-59,-22,0.043478260869565216,0.043478260869565216,-1.5714285714285714,3,0,0,0,0,0,0,1,steady_all_weeks,0.7142857142857143,0
77,1,1,1,1,1,6,6,1.0,1.0,1,1,0.0,1,6,14,0.047619047619047616,1.0,1.0,1.0,1,1.0,1.0,0.0,1,0.0,0.0,14.0,6.0,14.0,1,0,0,1,0,0,1,0,0,1,0,0,1.0,0.0,0.0,1.0,0.0,-1,0,-1,0.0,0.0,-0.07142857142857142,1,1,0,1,0,0,1,0,only_week1,1.0,1
79,1,722,8,8,6,4,17,90.25,106.0,6,167,55.31403851774753,14,4,3,0.2857142857142857,1.3333333333333333,1.3333333333333333,90.25,167,120.33333333333333,119.0,28.09033048340063,3,2.6,4.0,4.0,4.0,3.0,116,484,122,1,6,1,1,6,1,1,4,1,0.16066481994459833,0.6703601108033241,0.16897506925207756,0.16066481994459833,0.16897506925207756,368,-362,6,1.0517241379310345,1.0517241379310345,0.42857142857142855,3,0,0,0,0,0,0,1,steady_all_weeks,0.23130193905817176,0
80,1,1,1,1,1,2,2,1.0,1.0,1,1,0.0,1,2,18,0.047619047619047616,1.0,1.0,1.0,1,1.0,1.0,0.0,1,0.0,0.0,18.0,2.0,18.0,1,0,0,1,0,0,1,0,0,1,0,0,1.0,0.0,0.0,1.0,0.0,-1,0,-1,0.0,0.0,-0.07142857142857142,1,1,0,1,0,0,1,0,only_week1,1.0,1
82,1,333,6,4,3,3,17,55.5,50.0,1,117,59.688357323685835,15,3,3,0.14285714285714285,2.0,1.3333333333333333,83.25,117,111.0,115.0,8.717797887081348,3,7.0,12.0,11.0,3.0,3.0,232,0,101,3,0,3,2,0,2,2,0,1,0.6966966966966966,0.0,0.3033033033033033,0.6966966966966966,0.3033033033033033,-232,101,-131,0.4353448275862069,0.4353448275862069,-9.357142857142858,2,1,0,0,0,0,0,0,front_decreasing,0.35135135135135137,0
83,1,219,5,4,4,8,15,43.8,44.0,1,77,29.149614062625254,8,8,5,0.19047619047619047,1.25,1.0,54.75,77,54.75,54.0,19.05037182489273,2,2.3333333333333335,5.0,8.0,8.0,5.0,0,140,79,0,2,3,0,2,3,0,2,2,0.0,0.639269406392694,0.3607305936073059,0.0,0.3607305936073059,140,-61,79,,999.0,5.642857142857143,2,0,0,0,0,1,0,0,late_increasing,0.3515981735159817,0
85,1,643,18,9,7,7,16,35.72222222222222,26.5,1,112,38.07084040166291,10,7,4,0.3333333333333333,2.5714285714285716,1.2857142857142858,71.44444444444444,214,91.85714285714286,49.0,85.41355975766488,7,1.5,2.0,7.0,7.0,4.0,0,570,73,0,15,3,0,9,2,0,4,3,0.0,0.8864696734059098,0.11353032659409021,0.0,0.11353032659409021,570,-497,73,,999.0,5.214285714285714,2,0,0,0,0,1,0,0,late_increasing,0.3328149300155521,0
86,1,74,4,1,4,0,15,18.5,7.5,5,54,23.69950773047125,16,0,5,0.19047619047619047,1.0,0.25,74.0,54,18.5,7.5,23.69950773047125,1,5.0,9.0,8.0,0.0,5.0,69,0,5,3,0,1,1,0,1,3,0,1,0.9324324324324325,0.0,0.06756756756756757,0.9324324324324325,0.06756756756756757,-69,5,-64,0.07246376811594203,0.07246376811594203,-4.571428571428571,2,1,0,0,0,0,0,0,front_decreasing,0.7297297297297297,0
87,1,95,3,1,1,5,5,31.666666666666668,3.0,1,91,51.39390365922142,1,5,15,0.047619047619047616,3.0,1.0,95.0,95,95.0,95.0,0.0,3,0.0,0.0,15.0,5.0,15.0,95,0,0,3,0,0,1,0,0,1,0,0,1.0,0.0,0.0,1.0,0.0,-95,0,-95,0.0,0.0,-6.785714285714286,1,1,0,1,0,0,1,0,only_week1,1.0,1
